,Rank,Streams,Year,Country,Title,Artist
0,1,3455458,2022,ar,Entre Nosotros (Remix) [con Nicki Nicole], Tiago PZK
1,2,2749851,2022,ar,Tiago PZK: Bzrp Music Sessions Vol. 48, Bizarrap
2,3,2622667,2022,ar,TITAN, Salastkbron
3,4,2567952,2022,ar,Bar, TINI
4,5,2247804,2022,ar,Salimo de Noche, Tiago PZK
5,6,2121627,2022,ar,DANCE CRIP, Trueno
6,7,2032633,2022,ar,Hace Calor, Kaleb Di Masi
7,8,1817046,2022,ar,BB, MYA
8,9,1647603,2022,ar,Rápido Lento, Emilia
9,10,1573705,2022,ar,Una Vaina Loca, Fuego
10,11,1521359,2022,ar,TOP 5, Duki
11,12,1505621,2022,ar,Antes de Ti, Rusherking
12,13,1441195,2022,ar,Pa Tra Rkt, Callejero Fino
13,14,1428856,2022,ar,Otra Noche, Los Ángeles Azules
14,15,1331312,2022,ar,KALEB DI MASI | DJ TAO Turreo Sessions #5, Kaleb Di Masi
15,16,1326428,2022,ar,Como Si No Importara, Emilia
16,17,1319592,2022,ar,De Enero a Diciembre, Emilia
17,18,1298599,2022,ar,Mal Acostumbrao, Mau y Ricky
18,19,1201613,2022,ar,Turraka - Remix, Kaleb Di Masi
19,20,1192476,2022,ar,Miénteme, TINI
20,21,1187080,2022,ar,Entre Nosotros, Tiago PZK
21,22,1176353,2022,ar,Medallo, Blessd
22,23,1153032,2022,ar,El Mismo Aire, La K'onga
23,24,1118735,2022,ar,Wow Wow (feat. Becky G), Maria Becerra
24,25,1102412,2022,ar,YIN YAN, Duki
25,26,1070135,2022,ar,VIVIR ASÍ ES MORIR DE AMOR, Nathy Peluso
26,27,1043608,2022,ar,Pepas, Farruko
27,28,1036719,2022,ar,MESITA | Mission 05, Alan Gomez
28,29,1029021,2022,ar,Sabe, Nicki Nicole
29,30,1019766,2022,ar,FEEL ME??, Trueno
30,31,1018226,2022,ar,Mon Amour - Remix, zzoilo
31,32,1004653,2022,ar,Tacones Rojos, Sebastian Yatra
32,33,997822,2022,ar,Unfollow, Duki
