,Rank,Streams,Year,Country,Title,Artist
0,1,279987,2020,at,Maschine, RAF Camora
1,2,245917,2020,at,Roller, Apache 207
2,3,220779,2020,at,Dance Monkey, Tones And I
3,4,157053,2020,at,Falling, Trevor Daniel
4,5,136573,2020,at,Vor der Tür, Gzuz
5,6,136437,2020,at,Skifahren (feat. Joshi Mizu), The Cratez
6,7,130999,2020,at,Blinding Lights, The Weeknd
7,8,127588,2020,at,Yummy, Justin Bieber
8,9,123722,2020,at,KEIN SCHLAF, Nimo
9,10,121964,2020,at,ROXANNE, Arizona Zervas
10,11,119695,2020,at,Don't Start Now, Dua Lipa
11,12,115101,2020,at,110, Capital Bra
12,13,113476,2020,at,Nur zur Info, Ufo361
13,14,111215,2020,at,COLT, Samra
14,15,110384,2020,at,Memories, Maroon 5
15,16,108127,2020,at,Ayy Macarena, Tyga
16,17,107293,2020,at,Ride It, Regard
17,18,106738,2020,at,everything i wanted, Billie Eilish
18,19,106337,2020,at,Circles, Post Malone
19,20,105711,2020,at,200 km/h, Apache 207
20,21,101947,2020,at,bad guy, Billie Eilish
21,22,97633,2020,at,Wieso tust Du dir das an?, Apache 207
22,23,96241,2020,at,Keine Liebe, RIN
23,24,95212,2020,at,100%, Senidah
24,25,92536,2020,at,hot girl bummer, blackbear
25,26,92125,2020,at,Der Bratan bleibt der gleiche, Capital Bra
26,27,91251,2020,at,Puta Madre - Bonustrack, RAF Camora
27,28,89267,2020,at,Alien, RIN
28,29,87149,2020,at,2002, Sido
29,30,83639,2020,at,Someone You Loved, Lewis Capaldi
30,31,83274,2020,at,Honda Civic, The Cratez
31,32,82868,2020,at,Lose You To Love Me, Selena Gomez
32,33,81715,2020,at,My Oh My (feat. DaBa,)  
33,34,81687,2020,at,Tilidin, Capital Bra
34,35,80479,2020,at,Mit Dir, Loredana
35,36,80339,2020,at,The Box, Roddy Ricch
36,37,78873,2020,at,Roses - Imanbek Remix, SAINt JHN
37,38,77118,2020,at,Señorita, Shawn Mendes
38,39,76821,2020,at,500 PS, Bonez MC
39,40,75354,2020,at,KARMA, Nimo
40,41,75158,2020,at,Vermissen (feat. Henning May), Juju
41,42,71639,2020,at,Adriana, RAF Camora
42,43,70559,2020,at,Unnormal, RAF Camora
43,44,69639,2020,at,Wieder Lila, Samra
44,45,68245,2020,at,CASINO ROYAL, Kianush
45,46,68200,2020,at,Doch in der Nacht, Apache 207
46,47,65097,2020,at,HIGHEST IN THE ROOM, Travis Scott
47,48,62935,2020,at,Lucid Dreams, Juice WRLD
48,49,61366,2020,at,Beautiful People (feat. Khalid), Ed Sheeran
49,50,60198,2020,at,If the World Was Ending (feat. Julia Michaels), JP Saxe
50,51,59585,2020,at,Lose Control, MEDUZA
51,52,59081,2020,at,Before You Go, Lewis Capaldi
52,53,57999,2020,at,Better, Lena
53,54,57357,2020,at,I Don't Care (with Justin Bieber), Ed Sheeran
54,55,57208,2020,at,Stars, VIZE
55,56,57043,2020,at,Adore You, Harry Styles
56,57,56408,2020,at,Eiskalt, Loredana
57,58,54723,2020,at,Hoch, Tim Bendzko
58,59,54531,2020,at,Mary, Bausa
59,60,53183,2020,at,Little Help, The BossHoss
60,61,51744,2020,at,Kein Problem, Apache 207
61,62,51642,2020,at,Castles, Freya Ridings
62,63,51219,2020,at,South of the Border (feat. Camila Cabello & Cardi B), Ed Sheeran
63,64,50273,2020,at,RITMO (Bad Boys For Life), Black Eyed Peas
64,65,49618,2020,at,Huracan, Samra
65,66,49416,2020,at,STAR, Nimo
66,67,49284,2020,at,No Idea, Don Toliver
67,68,49264,2020,at,Torn, Ava Max
68,69,49227,2020,at,Rescue Me, OneRepublic
69,70,49172,2020,at,Himmel grau, Kontra K
70,71,48534,2020,at,Summer Cem (feat. Luciano), Summer Cem
71,72,48458,2020,at,Piece Of Your Heart, MEDUZA
72,73,47947,2020,at,Watermelon Sugar, Harry Styles
73,74,47812,2020,at,Bruises, Lewis Capaldi
74,75,47428,2020,at,Higher Love, Kygo
75,76,47340,2020,at,Outnumbered, Dermot Kennedy
76,77,47107,2020,at,Hate Me (with Juice WRLD), Ellie Goulding
77,78,47049,2020,at,Light, Jerome
78,79,46779,2020,at,Bandit (with YoungBoy Never Broke Again), Juice WRLD
79,80,46744,2020,at,95 BPM, Samra
80,81,45872,2020,at,Sweet but Psycho, Ava Max
81,82,45400,2020,at,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Ba,) - REMIX  
82,83,45007,2020,at,PHANTOM (feat. Summer Cem), reezy
83,84,43902,2020,at,194 Länder - Single Version, Mark Forster
84,85,43689,2020,at,Turn Me On (feat. Vula), Riton
85,86,43451,2020,at,when the party's over, Billie Eilish
86,87,42833,2020,at,Old Town Road - Remix, Lil Nas X
