,Rank,Streams,Year,Country,Title,Artist
0,1,209874,2018,be,Crazy, Lost Frequencies
1,2,187616,2018,be,rockstar, Post Malone
2,3,172023,2018,be,River (feat. Ed Sheeran), Eminem
3,4,164841,2018,be,Havana (feat. Young Thug), Camila Cabello
4,5,163228,2018,be,Wolves, Selena Gomez
5,6,147772,2018,be,Silence, Marshmello
6,7,139758,2018,be,Let You Down, NF
7,8,139495,2018,be,New Rules, Dua Lipa
8,9,134852,2018,be,I Miss You (feat. Julia Michaels), Clean Bandit
9,10,131109,2018,be,Perfect, Ed Sheeran
10,11,127242,2018,be,Him & I (with Halsey), G-Eazy
11,12,117744,2018,be,What Lovers Do (feat. SZA), Maroon 5
12,13,115192,2018,be,Too Good At Good,es  
13,14,114108,2018,be,Shape of You, Ed Sheeran
14,15,107926,2018,be,Perfect Duet (Ed Sheeran & Beyoncé), Ed Sheeran
15,16,103276,2018,be,Stargazing, Kygo
16,17,102847,2018,be,Let Me Go (with Alesso Florida Georgia Line & watt), Hailee Steinfeld
17,18,100194,2018,be,Gucci Gang, Lil Pump
18,19,99850,2018,be,Dusk Till Dawn (feat. Sia) - Radio Edit, ZAYN
19,20,99377,2018,be,Feel It Still, Portugal. The Man
20,21,96081,2018,be,Finesse - Remix; feat. Cardi B, Bruno Mars
21,22,95515,2018,be,You Have A Heart, Regi
22,23,94402,2018,be,Man's Not Hot, Big Shaq
23,24,93305,2018,be,Filthy, Justin Timberlake
24,25,90782,2018,be,So Far Away (feat. Jamie Scott & Romy Dya), Martin Garrix
25,26,90649,2018,be,Échame La Culpa, Luis Fonsi
26,27,85420,2018,be,Mwaka Moon, Kalash
27,28,84178,2018,be,All The Stars (with SZA), Kendrick Lamar
28,29,83579,2018,be,Anywhere, Rita Ora
29,30,83478,2018,be,In The Mood (feat. Veronica), Henri PFR
30,31,81495,2018,be,Complicated (feat. Kiiara), Dimitri Vegas & Like Mike
31,32,77115,2018,be,How Long, Charlie Puth
32,33,75712,2018,be,I Fall Apart, Post Malone
33,34,75610,2018,be,Meant to Be (feat. Florida Georgia Line), Bebe Rexha
34,35,74786,2018,be,More Than You Know, Axwell /\ Ingrosso
35,36,74322,2018,be,Lonely Together (feat. Rita Ora), Avicii
36,37,73952,2018,be,Bartier Cardi (feat. 21 Savage), Cardi B
37,38,73670,2018,be,No Limit, G-Eazy
38,39,73211,2018,be,Patsergedrag, Sevn Alias
39,40,69851,2018,be,Wiesegaidanie, Van Echelpoel
40,41,69498,2018,be,Thunder, Imagine Dragons
