,Rank,Streams,Year,Country,Title,Artist
0,1,192551,2021,bo,DÁKITI, Bad Bunny
1,2,188726,2021,bo,BICHOTA, KAROL G
2,3,128675,2021,bo,Hecha Pa' Mi, Boza
3,4,123726,2021,bo,Hawái, Maluma
4,5,123219,2021,bo,LA NOCHE DE ANOCHE, Bad Bunny
5,6,118019,2021,bo,Si Me Tomo Una Cerveza, Migrantes
6,7,113075,2021,bo,Reloj, Rauw Alejandro
7,8,109405,2021,bo,Chica Ideal, Sebastian Yatra
8,9,97083,2021,bo,Parce (feat. Justin Quiles), Maluma
9,10,96067,2021,bo,BEBÉ, Camilo
10,11,95949,2021,bo,La Tóxica, Farruko
11,12,91607,2021,bo,La Nota, Manuel Turizo
12,13,89232,2021,bo,Relación - Remix, Sech
13,14,89100,2021,bo,Vida de Rico, Camilo
14,15,88226,2021,bo,Aquí Abajo, Christian Nodal
15,16,86716,2021,bo,Ay DiOs Mío!, KAROL G
16,17,85172,2021,bo,Jeans, Justin Quiles
17,18,83946,2021,bo,Mi Niña, Wisin
18,19,82620,2021,bo,La Curiosidad, Jay Wheeler
19,20,81290,2021,bo,Bandido, Myke Towers
20,21,72088,2021,bo,Se Te Nota (with Guaynaa), Lele Pons
21,22,70472,2021,bo,Una Locura, Ozuna
22,23,69462,2021,bo,TE MUDASTE, Bad Bunny
23,24,68401,2021,bo,Tattoo - Remix with Camilo, Rauw Alejandro
24,25,67834,2021,bo,Pa' Olvidarme De Ella, Piso 21
25,26,58033,2021,bo,Despeinada, Ozuna
26,27,57729,2021,bo,Mi Cuarto, Jerry Di
27,28,56989,2021,bo,La Jeepeta - Remix, Nio Garcia
28,29,55230,2021,bo,Más De La Una, Piso 21
29,30,53180,2021,bo,Polvo, Nicky Jam
30,31,52809,2021,bo,Azul, J Balvin
31,32,51596,2021,bo,Tusa, KAROL G
32,33,49367,2021,bo,Dime Cómo Quieres, Christian Nodal
33,34,49290,2021,bo,Blinding Lights, The Weeknd
34,35,49267,2021,bo,Nada, Cali Y El Dandee
35,36,48358,2021,bo,Hasta Abajo, Kevin Roldan
36,37,47518,2021,bo,UN DIA (ONE DAY) (Feat. Tainy), J Balvin
37,38,47362,2021,bo,De Los Besos Que Te Di, Christian Nodal
38,39,45608,2021,bo,Quiéreme Mientras Se Pueda, Manuel Turizo
39,40,45333,2021,bo,De Cora <3, Rauw Alejandro
40,41,45311,2021,bo,Nathy Peluso: Bzrp Music Sessions Vol. 36, Bizarrap
41,42,44412,2021,bo,Ponte Pa' Mi, Justin Quiles
42,43,42619,2021,bo,Caramelo, Ozuna
43,44,41703,2021,bo,La Mitad, Camilo
44,45,40979,2021,bo,Favorito, Camilo
45,46,40171,2021,bo,No Bailes Sola, Danna Paola
46,47,39930,2021,bo,Tú Me Dejaste De Querer, C. Tangana
47,48,39629,2021,bo,La Luz, Sech
48,49,39013,2021,bo,No Te Enamores - Remix, Milly
49,50,36807,2021,bo,Dynamite, BTS
50,51,34350,2021,bo,Bésame, El Reja
51,52,33052,2021,bo,HACIENDO QUE ME AMAS, Bad Bunny
52,53,32691,2021,bo,Se Me Olvidó, Christian Nodal
53,54,31889,2021,bo,Hola - Remix, Dalex
54,55,30769,2021,bo,BOOKER T, Bad Bunny
55,56,30082,2021,bo,Elegí (feat. Dímelo Flow), Rauw Alejandro
56,57,29596,2021,bo,Miedito o Qué? (feat. KAROL G), Ovy On The Drums
57,58,29025,2021,bo,Caramelo - Remix, Ozuna
58,59,28633,2021,bo,Rojo, J Balvin
59,60,27816,2021,bo,No Te Contaron Mal, Christian Nodal
60,61,27641,2021,bo,Jangueo, Alex Rose
61,62,27595,2021,bo,Tan Enamorados, CNCO
62,63,27492,2021,bo,"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie", Tainy
63,64,27489,2021,bo,Tak Tiki Tak, Harry Nach
64,65,27202,2021,bo,LA CANCIÓN, J Balvin
65,66,27129,2021,bo,Si Me Dices Que Sí, Reik
66,67,26752,2021,bo,Sigues Con El, Arcangel
67,68,26661,2021,bo,Relación, Sech
68,69,26386,2021,bo,+Linda, Dalex
69,70,26360,2021,bo,Enchule, Rauw Alejandro
70,71,25886,2021,bo,La Curiosidad (feat. Dj Nelson Jhay Cortez Lunay & Kendo Kaponi) - Blue Grand Prix Remix, Jay Wheeler
71,72,25867,2021,bo,Si Veo a Tu Mamá, Bad Bunny
72,73,25703,2021,bo,Por Primera Vez, Camilo
73,74,25552,2021,bo,Como Si Nada, ADSO
74,75,25527,2021,bo,100 Años, Carlos Rivera
75,76,25362,2021,bo,Djadja (feat. Maluma) - Remix, Aya Nakamura
76,77,25195,2021,bo,El Mismo Aire - con Pablo Alborán, Camilo
77,78,24822,2021,bo,La Forma en Que Me Miras, Super Yei
78,79,24721,2021,bo,Nace Un Borracho, Christian Nodal
79,80,24611,2021,bo,No Me Conoce - Remix, Jhay Cortez
80,81,24524,2021,bo,GIRL LIKE ME, Black Eyed Peas
81,82,23433,2021,bo,Bonita, Jeeiph
82,83,23419,2021,bo,Te Vi, Piso 21
83,84,23265,2021,bo,Dance Monkey, Tones And I
84,85,22947,2021,bo,ADMV, Maluma
85,86,22896,2021,bo,El Efecto - Remix, Rauw Alejandro
86,87,22801,2021,bo,Don Don, Daddy Yankee
87,88,22691,2021,bo,Don't Start Now, Dua Lipa
88,89,22605,2021,bo,Amor Tóxico, Christian Nodal
89,90,22604,2021,bo,Hawái - Remix, Maluma
90,91,22566,2021,bo,Amor A Primera Vista, Los Ángeles Azules
91,92,22527,2021,bo,Ayer Me Llamó Mi Ex (feat. Lenny Santos), KHEA
92,93,22276,2021,bo,Desconocidos, Mau y Ricky
93,94,22258,2021,bo,Detente, Mike Bahía
94,95,22230,2021,bo,Los Besos, Greeicy
95,96,21761,2021,bo,Tutu, Camilo
96,97,21652,2021,bo,China, Anuel AA
97,98,21584,2021,bo,Desnudarte, Brytiago
98,99,21437,2021,bo,Life Goes On, BTS
99,100,21302,2021,bo,Mamichula - con Nicki Nicole, Trueno
100,101,21295,2021,bo,Mood (feat. iann dior), 24kGoldn
101,102,21288,2021,bo,Fantasias, Rauw Alejandro
102,103,21276,2021,bo,Ignorantes, Bad Bunny
103,104,21231,2021,bo,Madrid (feat. Myke Towers), Maluma
104,105,21229,2021,bo,Lean (feat. Towy Osquel Beltito & Sammy & Falsetto), Super Yei
105,106,21149,2021,bo,Watermelon Sugar, Harry Styles
106,107,21079,2021,bo,Adiós Amor, Christian Nodal
107,108,20927,2021,bo,Diosa, Myke Towers
108,109,20771,2021,bo,Me Rehúso, Danny Ocean
109,110,20423,2021,bo,Hasta Que Dios Diga, Anuel AA
110,111,20273,2021,bo,PORFA Remix ( Feat. Maluma Nicky Jam Sech) - Remix, Feid
111,112,20162,2021,bo,Safaera, Bad Bunny
112,113,20125,2021,bo,Yo Perreo Sola, Bad Bunny
113,114,19978,2021,bo,Ayer Me Llamó Mi Ex – Remix, KHEA
114,115,19943,2021,bo,Snowman, Sia
115,116,19928,2021,bo,PORFA, Feid
116,117,19642,2021,bo,Travesuras, Flow La Movie
117,118,19594,2021,bo,De Vuelta Pa' La Vuelta, Daddy Yankee
118,119,19540,2021,bo,Anaranjado, Jowell & Randy
119,120,19440,2021,bo,Callaita, Bad Bunny
120,121,19302,2021,bo,Nunca Es Suficiente, Los Ángeles Azules
121,122,18891,2021,bo,Victoria, Lunay
122,123,18748,2021,bo,Probablemente, Christian Nodal
123,124,18665,2021,bo,CÓMO SE SIENTE - Remix, Jhay Cortez
124,125,18450,2021,bo,A Mí, Rels B
125,126,18339,2021,bo,Si Estuviésemos Juntos, Bad Bunny
126,127,18321,2021,bo,Vete, Bad Bunny
127,128,18240,2021,bo,UN PESO, J Balvin
128,129,18187,2021,bo,Seguro Te Pierdo, Sergi
129,130,18000,2021,bo,positions, Ariana Grande
130,131,17622,2021,bo,Aparentemente 2, Arcangel
131,132,17619,2021,bo,Poco, Reik
132,133,17560,2021,bo,Locura, Cali Y El Dandee
133,134,17497,2021,bo,34+35, Ariana Grande
134,135,17350,2021,bo,AYAYAY!, Christian Nodal
135,136,17137,2021,bo,En Tu Cuerpo - Remix, Lyanno
136,137,16951,2021,bo,El Efecto, Rauw Alejandro
137,138,16804,2021,bo,Desesperado (Voy A Tomar), Joey Montana
138,139,16798,2021,bo,YO VISTO ASÍ, Bad Bunny
139,140,16797,2021,bo,La Santa, Bad Bunny
140,141,16785,2021,bo,11 PM, Maluma
141,142,16601,2021,bo,Mala Fama, Danna Paola
142,143,16472,2021,bo,Lonely (with benny blanco), Justin Bieber
143,144,16425,2021,bo,Morado, J Balvin
144,145,16310,2021,bo,La Difícil, Bad Bunny
145,146,16152,2021,bo,Lamento Boliviano, Los Enanitos Verdes
146,147,15939,2021,bo,Caraluna, Bacilos
147,148,15736,2021,bo,Tal Vez, Paulo Londra
148,149,15648,2021,bo,Qué Mal Te Fue (Remix), Natti Natasha
149,150,15358,2021,bo,Devuélveme a mi chica, Hombres G
150,151,15347,2021,bo,TE DESEO LO MEJOR, Bad Bunny
151,152,15309,2021,bo,Believer, Imagine Dragons
152,153,15244,2021,bo,HOY COBRÉ, Bad Bunny
153,154,15202,2021,bo,Colgando en tus manos (con Marta Sánchez), Carlos Baute
154,155,15159,2021,bo,Cómo Te Voy A Olvidar, Los Ángeles Azules
155,156,15109,2021,bo,Amén, Ricardo Montaner
156,157,14986,2021,bo,Un Año, Sebastian Yatra
157,158,14863,2021,bo,Fuentes de Ortiz, Ed Maverick
158,159,14707,2021,bo,ANTES QUE SE ACABE, Bad Bunny
159,160,14624,2021,bo,A Tu Merced, Bad Bunny
160,161,14561,2021,bo,Me Dediqué a Perderte, Alejandro Fernández
161,162,14515,2021,bo,Procura, ChiChi Peralta
162,163,14487,2021,bo,Heather, Conan Gray
163,164,14462,2021,bo,Cuenta Conmigo (feat. Mozart La Para), Mike Bahía
164,165,14259,2021,bo,Tú, Carin Leon
165,166,14238,2021,bo,Ba, (with J Balvin)  
166,167,14225,2021,bo,Tussi, Arcangel
167,168,14164,2021,bo,Sweater Weather, The Neighbourhood
168,169,14137,2021,bo,Ahora Te Puedes Marchar, Luis Miguel
169,170,14112,2021,bo,La Tóxica (feat. Jay Wheeler & Tempo) - Remix, Farruko
170,171,14054,2021,bo,Tattoo, Rauw Alejandro
171,172,14031,2021,bo,Señorita, Shawn Mendes
172,173,13881,2021,bo,Chachachá, Jósean Log
173,174,13853,2021,bo,Jockey, Dalex
174,175,13841,2021,bo,Someone You Loved, Lewis Capaldi
175,176,13810,2021,bo,Therefore I Am, Billie Eilish
176,177,13809,2021,bo,Soltera - Remix, Lunay
177,178,13767,2021,bo,La Incondicional, Luis Miguel
178,179,13735,2021,bo,Traicionera, Sebastian Yatra
179,180,13710,2021,bo,Bajo La Mesa, Morat
180,181,13689,2021,bo,Levitating (feat. DaBa,)  
181,182,13654,2021,bo,Déjala Que Vuelva (feat. Manuel Turizo), Piso 21
182,183,13600,2021,bo,Roses - Imanbek Remix, SAINt JHN
183,184,13577,2021,bo,Inolvidable, Ovy On The Drums
184,185,13517,2021,bo,Destino, Greeicy
185,186,13493,2021,bo,Flaca, Andrés Calamaro
186,187,13432,2021,bo,La Mejor Versión de Mi - Remix, Natti Natasha
187,188,13406,2021,bo,Reggaetonera, Anuel AA
188,189,13391,2021,bo,Toda Remix - Remix, Alex Rose
189,190,13346,2021,bo,Adan y Eva, Paulo Londra
190,191,13341,2021,bo,Amantes y Amigos, Arcangel
191,192,13258,2021,bo,Adore You, Harry Styles
192,193,13194,2021,bo,Monster (Shawn Mendes & Justin Bieber), Shawn Mendes
193,194,13136,2021,bo,Vámonos a Marte, Kevin Kaarl
194,195,13068,2021,bo,La Bella y la Bestia, Reik
195,196,13047,2021,bo,Pa Mí - Remix, Dalex
196,197,12999,2021,bo,La Difícil, Camilo
