,Rank,Streams,Year,Country,Title,Artist
0,1,9916692,2022,br,Malvadão 3, Xamã
1,2,6457531,2022,br,Vai Lá Em Casa Hoje, George Henrique & Rodrigo
2,3,5763853,2022,br,Esqueça-Me Se For Capaz, Marília Mendonça
3,4,5318185,2022,br,Toma Toma Vapo Vapo, Zé Felipe
4,5,5318124,2022,br,Bloqueado - Ao Vivo, Gusttavo Lima
5,6,5201657,2022,br,Pandora, DJ Matt D
6,7,4956600,2022,br,Arranhão - Ao Vivo, Henrique & Juliano
7,8,4953951,2022,br,Presepada, Marília Mendonça
8,9,4833939,2022,br,GALOPA, PEDRO SAMPAIO
9,10,4678230,2022,br,Parada Louca, Mari Fernandez
10,11,4472516,2022,br,Molhando o Volante, Jorge & Mateus
11,12,4242899,2022,br,Ameaça, Paulo Pires
12,13,3713852,2022,br,Todo Mundo Menos Você, Marília Mendonça
13,14,3684473,2022,br,A Maior Saudade - Ao Vivo, Henrique & Juliano
14,15,3493595,2022,br,Coração Cachorro, Avine Vinny
15,16,3483323,2022,br,Ela me Falou Que Quer Rave, MC Levin
16,17,3382885,2022,br,Cê Tá Preparada - Ao Vivo, Tayrone
17,18,3231493,2022,br,Revoada No Colchão, Zé Felipe
18,19,3154494,2022,br,Ela e Ela, Zé Neto & Cristiano
19,20,3100985,2022,br,NO CHÃO NOVINHA, Anitta
20,21,2991315,2022,br,Nota de Repúdio - Ao Vivo, Gusttavo Lima
21,22,2937096,2022,br,Meu Pedaço de Pecado, João Gomes
22,23,2802355,2022,br,Putariazinha, Felipe Amorim
23,24,2720259,2022,br,Expectativa x Realidade, Matheus & Kauan
24,25,2630334,2022,br,Sem Dó, Matuê
25,26,2576229,2022,br,Ba, Me Atende  
26,27,2537505,2022,br,Set dos Casados, Mc Davi
27,28,2472294,2022,br,Acordo - Ao Vivo, Henrique & Juliano
28,29,2460123,2022,br,Eu Já Tava Bem - Ao Vivo, Wesley Safadão
29,30,2435906,2022,br,Você Beberia Ou Não Beberia?, Zé Neto & Cristiano
30,31,2427881,2022,br,Por Supuesto, Marina Sena
31,32,2410912,2022,br,Dar uma Namorada - Ao Vivo, Israel & Rodolffo
32,33,2396839,2022,br,Vestido Coladinho, Max e Luan
33,34,2378781,2022,br,Bala Love, Mc Anjim
34,35,2287833,2022,br,Água Nos Zói - Ao Vivo, Clayton & Romário
35,36,2265298,2022,br,Rolê, Tarcísio do Acordeon
36,37,2245194,2022,br,Me Sinto Abençoado, Mc Poze do Rodo
37,38,2205011,2022,br,ANACONDA *o* ~~~, Luísa Sonza
38,39,2201427,2022,br,Não Sei o Que Lá, Marília Mendonça
39,40,2196773,2022,br,A QUEDA, Gloria Groove
40,41,2152500,2022,br,Localiza Aí BB, Vitor e Luan
41,42,2044643,2022,br,Trava na Pose Chama no Zoom Dá um Close (feat. Mc Rennan), DJ Patrick Muniz
42,43,2001322,2022,br,Quer Voar, Matuê
43,44,1935209,2022,br,Enemy (with JID) - from the series Arcane League of Legends, Imagine Dragons
44,45,1928770,2022,br,Senta Danada, Zé Felipe
45,46,1889521,2022,br,Carinha de Neném, Japãozin
46,47,1887804,2022,br,Imagina A Sentada - Ao Vivo, Matheus & Kauan
47,48,1874691,2022,br,INDUSTRY BABY (feat. Jack Harlow), Lil Nas X
48,49,1864587,2022,br,Desbloqueado - Ao Vivo, Diego & Victor Hugo
49,50,1860285,2022,br,Ficha Limpa - Ao Vivo, Gusttavo Lima
50,51,1749611,2022,br,MORENA, Luan Santana
51,52,1607692,2022,br,Motel Afrodite, Marília Mendonça
52,53,1584111,2022,br,Sem Sentimento, DG e Batidão Stronda
53,54,1559811,2022,br,Vamo Tomar Uma, Zé Neto & Cristiano
54,55,1545496,2022,br,Formosa, Kaio Viana
55,56,1531286,2022,br,Troca de Calçada, Marília Mendonça
56,57,1496782,2022,br,Não Me Arranha - Ao Vivo, Gusttavo Lima
57,58,1496521,2022,br,Vagabundo, Matheus & Kauan
58,59,1495445,2022,br,Aquelas Coisas, João Gomes
59,60,1493583,2022,br,abcdefu, GAYLE
60,61,1492438,2022,br,Assalto Perigoso, Melody
61,62,1463020,2022,br,Mete a Louca, MC Rogerinho
62,63,1461858,2022,br,Namorando Com Saudade, Jorge & Mateus
63,64,1431430,2022,br,Cold Heart - PNAU Remix, Elton John
64,65,1382428,2022,br,Rasteira - Ao Vivo, Henrique & Juliano
65,66,1369978,2022,br,Uma Ex (Ao Vivo), Murilo Huff
66,67,1364697,2022,br,Batom de Cereja - Ao Vivo, Israel & Rodolffo
67,68,1340968,2022,br,STAY (with Justin Bieber), The Kid LAROI
68,69,1328377,2022,br,Sacrifice, The Weeknd
69,70,1325119,2022,br,Chega E Senta - Ao Vivo, John Amplificado
70,71,1318310,2022,br,Quebrando Protocolo - Ao Vivo, Gusttavo Lima
71,72,1310572,2022,br,Eu Fiz o Jogo Virar, Mc Poze do Rodo
72,73,1275461,2022,br,Chá De Casa Nova - Ao Vivo, Henrique & Juliano
73,74,1244979,2022,br,Tiffany, MD Chefe
74,75,1227494,2022,br,Oi Deus - Ao Vivo, Hugo & Guilherme
75,76,1218010,2022,br,Easy On Me, Adele
76,77,1213677,2022,br,Calma Bb Tá nos Melhores Amigos, Mc Th
77,78,1208249,2022,br,Se For Amor, João Gomes
78,79,1203222,2022,br,Deu Meia Noite Eu Sumi Geral Soltando Fogos, Mc Delux
79,80,1200569,2022,br,Do It To It, ACRAZE
80,81,1181774,2022,br,INVEJOSO, Distrito 23
81,82,1172882,2022,br,Corte Americano, Filipe Ret
82,83,1158917,2022,br,LEILÃO, Gloria Groove
83,84,1152550,2022,br,Modo Avião - Ao Vivo, DENNIS
84,85,1132898,2022,br,ESSÊNCIA DE CRIA, MC Cabelinho
85,86,1131258,2022,br,Proteção de Tela, Tarcísio do Acordeon
86,87,1127581,2022,br,Louis V Menina Linda, Sidoka
87,88,1125498,2022,br,Poesia Acústica 11: Nada Mudou, Pineapple StormTv
88,89,1118737,2022,br,Calculista, Dom Vittor & Gustavo
89,90,1109820,2022,br,Teste de Farmácia - Ao Vivo, Gusttavo Lima
90,91,1109336,2022,br,Groupies, Doode
91,92,1107177,2022,br,A Cara do Crime (Nós Incomoda), Mc Poze do Rodo
