,Rank,Streams,Year,Country,Title,Artist
0,1,1494833,2022,ca,Sacrifice, The Weeknd
1,2,1234185,2022,ca,Fingers Crossed, Lauren Spencer-Smith
2,3,1215134,2022,ca,Out of Time, The Weeknd
3,4,1209613,2022,ca,Is There Someone Else?, The Weeknd
4,5,1029007,2022,ca,Gasoline, The Weeknd
5,6,1025209,2022,ca,Heat Waves, Glass Animals
6,7,1017723,2022,ca,Cold Heart - PNAU Remix, Elton John
7,8,999535,2022,ca,How Do I Make You Love Me?, The Weeknd
8,9,999322,2022,ca,We Don't Talk About Bruno, Carolina Gaitán - La Gaita
9,10,968042,2022,ca,STAY (with Justin Bieber), The Kid LAROI
10,11,955713,2022,ca,abcdefu, GAYLE
11,12,929008,2022,ca,I Heard You’re Married (feat. Lil Wayne), The Weeknd
12,13,892876,2022,ca,INDUSTRY BABY (feat. Jack Harlow), Lil Nas X
13,14,883108,2022,ca,Easy On Me, Adele
14,15,877367,2022,ca,Less Than Zero, The Weeknd
15,16,874170,2022,ca,Best Friends, The Weeknd
16,17,873278,2022,ca,Here We Go… Again (feat. Tyler the Creator), The Weeknd
17,18,868368,2022,ca,Take My Breath, The Weeknd
18,19,811729,2022,ca,Shivers, Ed Sheeran
19,20,785274,2022,ca,Dawn FM, The Weeknd
20,21,774613,2022,ca,Starry Eyes, The Weeknd
21,22,761240,2022,ca,Enemy (with JID) - from the series Arcane League of Legends, Imagine Dragons
22,23,693348,2022,ca,Bad Habits, Ed Sheeran
23,24,653521,2022,ca,Surface Pressure, Jessica Darrow
24,25,624443,2022,ca,pushin P (feat. Young Thug), Gunna
25,26,624135,2022,ca,Don’t Break My Heart, The Weeknd
26,27,604332,2022,ca,A Tale By Quincy, The Weeknd
27,28,586162,2022,ca,Every Angel is Terrifying, The Weeknd
28,29,585907,2022,ca,Do It To It, ACRAZE
29,30,569799,2022,ca,One Right Now (with The Weeknd), Post Malone
30,31,560145,2022,ca,good 4 u, Olivia Rodrigo
31,32,553803,2022,ca,Ghost, Justin Bieber
32,33,530934,2022,ca,Where Are You Now, Lost Frequencies
33,34,527748,2022,ca,Super Gremlin, Kodak Black
34,35,510248,2022,ca,edamame (feat. Rich Brian), bbno$
35,36,509667,2022,ca,Kiss Me More (feat. SZA), Doja Cat
36,37,508209,2022,ca,THATS WHAT I WANT, Lil Nas X
37,38,503229,2022,ca,Better Days (NEIKED x Mae Muller x Polo G), NEIKED
38,39,491162,2022,ca,Woman, Doja Cat
39,40,478862,2022,ca,Knife Talk (with 21 Savage ft. Project Pat), Drake
40,41,477814,2022,ca,The Motto, Tiësto
41,42,475906,2022,ca,Phantom Regret, Jim  
42,43,473937,2022,ca,Beggin', Måneskin
43,44,466136,2022,ca,thought i was playing, Gunna
44,45,451708,2022,ca,I Hate U, SZA
45,46,450858,2022,ca,Meet Me At Our Spot, THE ANXIETY
46,47,435889,2022,ca,Broadway Girls (feat. Morgan Wallen), Lil Durk
47,48,435168,2022,ca,Infinity, Jaymes Young
48,49,434787,2022,ca,Oh My God, Adele
49,50,433357,2022,ca,Need to Know, Doja Cat
50,51,426825,2022,ca,MONTERO (Call Me By Your Name), Lil Nas X
51,52,424304,2022,ca,Miserable Man, David Kushner
52,53,420998,2022,ca,I AM WOMAN, Emmy Meli
53,54,420586,2022,ca,25k jacket (feat. Lil Ba,)  
54,55,420389,2022,ca,Blinding Lights, The Weeknd
55,56,420280,2022,ca,love nwantiti (ah ah ah), CKay
56,57,411939,2022,ca,Pepas, Farruko
57,58,403248,2022,ca,how you did that (feat. Kodak Black), Gunna
58,59,399456,2022,ca,Levitating (feat. DaBa,)  
59,60,390233,2022,ca,Softcore, The Neighbourhood
60,61,390102,2022,ca,alotta cake, Gunna
61,62,387425,2022,ca,My Universe, Coldplay
62,63,385653,2022,ca,2055, Sleepy Hallow
63,64,384482,2022,ca,I Love You So, The Walters
64,65,383531,2022,ca,Sweater Weather, The Neighbourhood
65,66,381640,2022,ca,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault), Taylor Swift
66,67,380970,2022,ca,The Family Madrigal, Stephanie Beatriz
67,68,377437,2022,ca,It'll Be Okay, Shawn Mendes
68,69,374100,2022,ca,Moth To A Flame (with The Weeknd), Swedish House Mafia
69,70,362957,2022,ca,mop (feat. Young Thug), Gunna
70,71,359700,2022,ca,drivers license, Olivia Rodrigo
71,72,358648,2022,ca,poochie gown, Gunna
72,73,347949,2022,ca,Way 2 Sexy (with Future & Young Thug), Drake
73,74,347355,2022,ca,Smokin Out The Window, Bruno Mars
74,75,342594,2022,ca,What Else Can I Do?, Diane Guerrero
75,76,341996,2022,ca,Save Your Tears (with Ariana Grande) (Remix), The Weeknd
76,77,340434,2022,ca,Happier Than Ever, Billie Eilish
77,78,340356,2022,ca,Toxic, BoyWithUke
78,79,337000,2022,ca,traitor, Olivia Rodrigo
79,80,329662,2022,ca,Sunflower - Spider-Man: Into the Spider-Verse, Post Malone
80,81,328395,2022,ca,You Right, Doja Cat
81,82,327529,2022,ca,Man in the Mirror, A Boogie Wit da Hoodie
82,83,326629,2022,ca,Dark Red, Steve Lacy
83,84,322843,2022,ca,Fancy Like, Walker Hayes
84,85,322646,2022,ca,Peru, Fireboy DML
85,86,322369,2022,ca,Buy Dirt, Jordan Davis
86,87,322087,2022,ca,RAPSTAR, Polo G
87,88,317958,2022,ca,Someone You Loved, Lewis Capaldi
88,89,317825,2022,ca,Peaches (feat. Daniel Caesar & Giveon), Justin Bieber
89,90,311672,2022,ca,Leave Before You Love Me (with Jonas Brothers), Marshmello
90,91,310808,2022,ca,Mood (feat. iann dior), 24kGoldn
91,92,309765,2022,ca,Acapulco, Jason Derulo
92,93,308981,2022,ca,Fair Trade (with Travis Scott), Drake
93,94,308623,2022,ca,Sky, Playboi Carti
94,95,307316,2022,ca,family ties (with Kendrick Lamar), Ba
95,96,306253,2022,ca,too easy, Gunna
96,97,297647,2022,ca,Lil Bit (feat. Florida Georgia Line), Nelly
97,98,293524,2022,ca,Love Grows (Where My Rosemary Goes), Edison Lighthouse
98,99,291455,2022,ca,I WANNA BE YOUR SLAVE, Måneskin
99,100,281976,2022,ca,south to west, Gunna
100,101,281457,2022,ca,Beautiful Mistakes (feat. Megan Thee Stallion), Maroon 5
101,102,279716,2022,ca,Save Your Tears, The Weeknd
102,103,278671,2022,ca,Praise God, Kanye West
103,104,278256,2022,ca,Take My Breath - Single Version, The Weeknd
104,105,277539,2022,ca,private island, Gunna
105,106,277082,2022,ca,When I’m Gone (with Katy Perry), Alesso
106,107,276507,2022,ca,Waiting On A Miracle, Stephanie Beatriz
107,108,275600,2022,ca,idk that bitch (feat. G Herbo), Gunna
108,109,273135,2022,ca,Life Goes On, Oliver Tree
109,110,271005,2022,ca,Dos Oruguitas, Sebastian Yatra
110,111,268603,2022,ca,CTRL + ALT + DEL, Rêve
111,112,267180,2022,ca,Watermelon Sugar, Harry Styles
112,113,266031,2022,ca,Bad Man (Smooth Criminal), Polo G
113,114,265911,2022,ca,Astronaut In The Ocean, Masked Wolf
114,115,264161,2022,ca,Before You Go, Lewis Capaldi
115,116,262776,2022,ca,Get Into It (Yuh), Doja Cat
116,117,262582,2022,ca,No Role Modelz, J. Cole
117,118,261568,2022,ca,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy), Amaarae
118,119,260917,2022,ca,Dreams - 2004 Remaster, Fleetwood Mac
119,120,259434,2022,ca,Dandelions, Ruth B.
120,121,257969,2022,ca,MONEY, LISA
121,122,255941,2022,ca,livin wild, Gunna
122,123,252039,2022,ca,Martin & Gina, Polo G
123,124,251530,2022,ca,Circles, Post Malone
124,125,251191,2022,ca,Lucid Dreams, Juice WRLD
125,126,249439,2022,ca,Lost in the Fire (feat. The Weeknd), Gesaffelstein
126,127,248088,2022,ca,deja vu, Olivia Rodrigo
127,128,247898,2022,ca,Dance Monkey, Tones And I
128,129,247555,2022,ca,feel like shit, Tate McRae
129,130,247321,2022,ca,Die For You, The Weeknd
130,131,246296,2022,ca,you broke me first, Tate McRae
131,132,244986,2022,ca,Don't Stop Believin', Journey
132,133,242709,2022,ca,Mr. Brightside, The Killers
133,134,241794,2022,ca,The Real Slim Shady, Eminem
134,135,241327,2022,ca,Freaks, Surf Curse
135,136,240273,2022,ca,Already Dead, Juice WRLD
136,137,237510,2022,ca,Alien Blues, Vundabar
137,138,237023,2022,ca,TO THE MOON, Jnr Choi
138,139,236865,2022,ca,Wants and Needs (feat. Lil Ba,)  
139,140,235387,2022,ca,The Hills, The Weeknd
140,141,234764,2022,ca,Without Me, Eminem
141,142,234727,2022,ca,Someday, OneRepublic
142,143,233573,2022,ca,Classic, MKTO
143,144,231608,2022,ca,Pursuit Of Happiness (Nightmare), Kid Cudi
144,145,230453,2022,ca,25 million, Roddy Ricch
145,146,230421,2022,ca,The Business, Tiësto
