,Rank,Streams,Year,Country,Title,Artist
0,1,246965,2019,ch,Sweet but Psycho, Ava Max
1,2,241740,2019,ch,Benzema, Capital Bra
2,3,199064,2019,ch,High Hopes, Panic! At The Disco
3,4,159165,2019,ch,Wow., Post Malone
4,5,158668,2019,ch,Without Me, Halsey
5,6,157452,2019,ch,HaifischNikez Allstars, LX
6,7,153908,2019,ch,Lelele, Azet
7,8,153876,2019,ch,Taki Taki (with Selena Gomez Ozuna & Cardi B), DJ Snake
8,9,150289,2019,ch,Shallow, Lady Gaga
9,10,150141,2019,ch,Tausend Tattoos, Sido
10,11,142841,2019,ch,Bad Liar, Imagine Dragons
11,12,141569,2019,ch,Baller los, MERO
12,13,138467,2019,ch,MIA (feat. Drake), Bad Bunny
13,14,134107,2019,ch,Be Alright, Dean Lewis
14,15,133618,2019,ch,Crack Koks Piece Unternehmen, Nash
15,16,130413,2019,ch,In My Mind, Dynoro
16,17,126590,2019,ch,thank u next, Ariana Grande
17,18,119422,2019,ch,Arms Around You (feat. Maluma & Swae Lee), XXXTENTACION
18,19,111709,2019,ch,ZEZE (feat. Travis Scott & Offset), Kodak Black
19,20,109873,2019,ch,Sunflower - Spider-Man: Into the Spider-Verse, Post Malone
20,21,104726,2019,ch,Happier, Marshmello
21,22,99167,2019,ch,Let You Love Me, Rita Ora
22,23,96618,2019,ch,Calma - Remix, Pedro Capó
23,24,92081,2019,ch,SICKO MODE, Travis Scott
24,25,89596,2019,ch,Eastside (with Halsey & Khalid), benny blanco
25,26,88588,2019,ch,Adan y Eva, Paulo Londra
26,27,87868,2019,ch,Promises (with Sam Smith), Calvin Harris
27,28,85080,2019,ch,Going Bad (feat. Drake), Meek Mill
28,29,83695,2019,ch,Trampoline, SHAED
29,30,83482,2019,ch,when the party's over, Billie Eilish
30,31,82360,2019,ch,Mo Bamba, Sheck Wes
31,32,81804,2019,ch,Close To Me (with Diplo) (feat. Swae Lee), Ellie Goulding
32,33,81570,2019,ch,Nothing Breaks Like a Heart (feat. Miley Cyrus), Mark Ronson
33,34,80283,2019,ch,Body (feat. brando), Loud Luxury
34,35,80271,2019,ch,500 PS, Bonez MC
35,36,78131,2019,ch,Bohemian Rhapsody - Remastered 2011, Queen
36,37,75755,2019,ch,Love Someone, Lukas Graham
37,38,74892,2019,ch,Feuer, Capital Bra
38,39,74391,2019,ch,Moonlight, XXXTENTACION
39,40,74027,2019,ch,Better Now, Post Malone
40,41,73517,2019,ch,Perfekt (feat. Sofiane), RAF Camora
41,42,72396,2019,ch,Happy Now, Kygo
42,43,71163,2019,ch,Standard (feat. Trettmann Gringo Ufo361 & Gzuz), KitschKrieg
43,44,71151,2019,ch,Natural, Imagine Dragons
44,45,70500,2019,ch,Say My Name, David Guetta
45,46,70360,2019,ch,SAD!, XXXTENTACION
46,47,70150,2019,ch,Cataleya, Samra
47,48,69559,2019,ch,Drip Too Hard (Lil Ba, & Gunna)  
48,49,68570,2019,ch,Better, Khalid
49,50,68108,2019,ch,KIKA, 6ix9ine
50,51,67188,2019,ch,Girls Like You (feat. Cardi B) - Cardi B Version, Maroon 5
51,52,66529,2019,ch,Ruin My Life, Zara Larsson
52,53,65871,2019,ch,Meer, Luciano
53,54,65376,2019,ch,Rise, Jonas Blue
54,55,61502,2019,ch,Taste (feat. Offset), Tyga
55,56,61006,2019,ch,MALA, 6ix9ine
56,57,60878,2019,ch,079, Lo & Leduc
57,58,60784,2019,ch,Zoey, Nimo
58,59,60757,2019,ch,Solo (feat. Demi Lovato), Clean Bandit
59,60,60738,2019,ch,I Like It, Cardi B
60,61,60372,2019,ch,rockstar (feat. 21 Savage), Post Malone
61,62,59912,2019,ch,Nevermind, Dennis Lloyd
62,63,59611,2019,ch,No Stylist (feat. Drake), French Montana
63,64,59475,2019,ch,Run Run, RAY BLK
64,65,59015,2019,ch,Creep On Me, GASHI
65,66,58924,2019,ch,High On Life (feat. Bonn), Martin Garrix
66,67,58806,2019,ch,Butterfly Doors, Lil Pump
67,68,58455,2019,ch,whoa (mind in awe), XXXTENTACION
68,69,58386,2019,ch,Facetime, Dardan
69,70,57893,2019,ch,lovely, Billie Eilish
70,71,57030,2019,ch,Saturday Nights, Khalid
71,72,56177,2019,ch,Look Back at It, A Boogie Wit da Hoodie
72,73,56153,2019,ch,Ich liebe es (feat. XATAR & SAMY), Capital Bra
73,74,55999,2019,ch,Melodien (feat. Juju), Capital Bra
74,75,55622,2019,ch,Shotgun, George Ezra
75,76,54799,2019,ch,Ella Quiere Beber - Remix, Anuel AA
76,77,54481,2019,ch,Solo de Mi, Bad Bunny
77,78,54145,2019,ch,Leave Me Alone, Flipp Dinero
78,79,53975,2019,ch,Lucid Dreams, Juice WRLD
79,80,53658,2019,ch,Empty Space, James Arthur
80,81,53437,2019,ch,Speechless (feat. Erika Sirola), Robin Schulz
81,82,52769,2019,ch,These Days (feat. Jess Glynne Macklemore & Dan Caplen), Rudimental
82,83,52557,2019,ch,Kiss Me, Rea Garvey
83,84,52405,2019,ch,Mi Culpa, Loco Escrito
84,85,51778,2019,ch,Diamond Heart, Alan Walker
85,86,51599,2019,ch,Dior 2001, RIN
86,87,51330,2019,ch,Undecided, Chris Brown
87,88,51303,2019,ch,Kiss and Make Up, Dua Lipa
88,89,50424,2019,ch,Thunderclouds, Sia
89,90,50190,2019,ch,Allein, Capital Bra
90,91,50153,2019,ch,Whenever (feat. Conor Maynard), Kris Kross Amsterdam
91,92,50050,2019,ch,Always, Gavin James
92,93,49546,2019,ch,2002, Anne-Marie
93,94,49291,2019,ch,Tout oublier, Angèle
94,95,49249,2019,ch,Praise The Lord (Da Shine) (feat. Skepta), A$AP Rocky
95,96,49183,2019,ch,Someone You Loved, Lewis Capaldi
96,97,48329,2019,ch,"Fire On Fire - From ""Watership Down""", Sam Smith
97,98,48031,2019,ch,Hayate, Luciano
98,99,47961,2019,ch,Shape of You, Ed Sheeran
99,100,47905,2019,ch,Don't Stop Me Now - Remastered 2011, Queen
100,101,47789,2019,ch,Falling Down - Bonus Track, Lil Peep
101,102,47546,2019,ch,One Kiss (with Dua Lipa), Calvin Harris
102,103,47368,2019,ch,Copines, Aya Nakamura
103,104,47167,2019,ch,Vaina Loca, Ozuna
104,105,47118,2019,ch,imagine, Ariana Grande
105,106,46890,2019,ch,MILLIONDOLLAR$MILE, Loredana
106,107,46495,2019,ch,monster, 21 Savage
107,108,46207,2019,ch,Always Remember Us This Way, Lady Gaga
108,109,46200,2019,ch,Madrina, Maes
109,110,46108,2019,ch,God's Plan, Drake
110,111,45408,2019,ch,Ramenez la coupe à la maison, Vegedream
111,112,45258,2019,ch,Youngblood, 5 Seconds of Summer
112,113,45199,2019,ch,Lambo Diablo GT (feat. Nimo & Juju) - Remix, Capo
113,114,45128,2019,ch,Neymar, Capital Bra
114,115,45094,2019,ch,Perfect, Ed Sheeran
115,116,44925,2019,ch,Imposible, Luis Fonsi
116,117,44378,2019,ch,Adictiva, Daddy Yankee
117,118,44353,2019,ch,Kokain, Bonez MC
118,119,44297,2019,ch,Suncity (feat. Empress Of), Khalid
119,120,43590,2019,ch,a lot, 21 Savage
120,121,43417,2019,ch,Another One Bites The Dust - Remastered 2011, Queen
121,122,43412,2019,ch,Djadja, Aya Nakamura
122,123,43378,2019,ch,Remind Me to Forget, Kygo
123,124,43378,2019,ch,Trop beau, Lomepal
124,125,43184,2019,ch,Te Boté - Remix, Nio Garcia
125,126,43158,2019,ch,BEBE, 6ix9ine
126,127,43036,2019,ch,Wake Up in the Sky, Gucci Mane
127,128,42944,2019,ch,Born To Be Yours, Kygo
128,129,42530,2019,ch,Rewrite The Stars (with James Arthur & Anne-Marie), James Arthur
129,130,42342,2019,ch,Flames, David Guetta
130,131,42162,2019,ch,Skam Koh, Azet
131,132,41979,2019,ch,FRIENDS, Marshmello
132,133,41372,2019,ch,Amore e Capoeira, Takagi & Ketra
133,134,41300,2019,ch,Nonstop, Drake
134,135,41279,2019,ch,Binks to Binks 6, Ninho
135,136,40898,2019,ch,UFF, Veysel
136,137,40851,2019,ch,I Love It (& Lil Pump), Kanye West
137,138,40644,2019,ch,Havana (feat. Young Thug), Camila Cabello
138,139,40538,2019,ch,Familia (with Anuel Aa feat. Bantu) - Spider-Man: Into the Spider-Verse, Nicki Minaj
139,140,40272,2019,ch,Sale mood, Bramsito
140,141,40008,2019,ch,Happy Now, Zedd
141,142,39578,2019,ch,Believer, Imagine Dragons
142,143,39501,2019,ch,1000°C, Lomepal
143,144,39387,2019,ch,Roli Glitzer Glitzer (feat. Luciano & Eno), Capital Bra
144,145,39147,2019,ch,Without You (feat. Sandro Cavazza), Avicii
145,146,39134,2019,ch,Thunder, Imagine Dragons
146,147,39054,2019,ch,FEFE, 6ix9ine
147,148,39042,2019,ch,BONNIE & CLYDE, Loredana
148,149,38472,2019,ch,Risiko, Bonez MC
149,150,38452,2019,ch,Under Pressure - Remastered 2011, Queen
150,151,38361,2019,ch,Leave a Light On, Tom Walker
151,152,38265,2019,ch,Valentino Camouflage, Luciano
152,153,38202,2019,ch,Like I Do, David Guetta
153,154,38142,2019,ch,Blah Blah Blah, Armin van Buuren
154,155,38054,2019,ch,Like I Love You (feat. The NGHBRS), Lost Frequencies
155,156,37950,2019,ch,Jocelyn Flores, XXXTENTACION
156,157,37892,2019,ch,Back To You - From 13 Reasons Why – Season 2 Soundtrack, Selena Gomez
157,158,37725,2019,ch,In My Feelings, Drake
158,159,37539,2019,ch,One Night Stand, Capital Bra
159,160,37383,2019,ch,Woman Like Me (feat. Nicki Minaj), Little Mix
160,161,37353,2019,ch,Casanova, Summer Cem
