,Rank,Streams,Year,Country,Title,Artist
0,1,2777807,2020,cl,Tusa, KAROL G
1,2,2019658,2020,cl,Sigues Con El, Arcangel
2,3,1909421,2020,cl,Hola - Remix, Dalex
3,4,1691934,2020,cl,Vete, Bad Bunny
4,5,1520924,2020,cl,Whine Up, Nicky Jam
5,6,1430896,2020,cl,Fantasias, Rauw Alejandro
6,7,1372860,2020,cl,Dance Monkey, Tones And I
7,8,1328512,2020,cl,Aventura, Lunay
8,9,1229945,2020,cl,RITMO (Bad Boys For Life), Black Eyed Peas
9,10,1189764,2020,cl,Adicto (with Anuel AA & Ozuna), Tainy
10,11,1188343,2020,cl,China, Anuel AA
11,12,1133926,2020,cl,Bellaquita - Remix, Dalex
12,13,1040864,2020,cl,No Me Conoce - Remix, Jhay Cortez
13,14,1035119,2020,cl,Que Tire Pa Lante, Daddy Yankee
14,15,1027891,2020,cl,Quizas, Rich Music LTD
15,16,908766,2020,cl,LA CANCIÓN, J Balvin
16,17,893486,2020,cl,Callaita, Bad Bunny
17,18,817101,2020,cl,Si Te Vas, Sech
18,19,801672,2020,cl,105 F Remix, KEVVO
19,20,753850,2020,cl,El Favor (with Nicky Jam & Sech feat. Farruko Zion & Lunay), Dímelo Flow
20,21,722266,2020,cl,Soltera - Remix, Lunay
21,22,712021,2020,cl,Si Se Da - Remix, Myke Towers
22,23,705011,2020,cl,Piropo, Noriel
23,24,700674,2020,cl,DJ No Pare (feat. Zion Dalex Lenny Tavárez) - Remix, Justin Quiles
24,25,699926,2020,cl,Perreo en La Luna, Rich Music LTD
25,26,690261,2020,cl,Cuerpo en Venta, Noriel
26,27,681547,2020,cl,B11 (feat. Myke Towers), Rvssian
27,28,658008,2020,cl,Tutu, Camilo
28,29,651930,2020,cl,Otro Trago - Remix, Sech
29,30,646328,2020,cl,Fantasía, Ozuna
30,31,641397,2020,cl,Infeliz, Arcangel
31,32,633842,2020,cl,Coronao Now, El Alfa
32,33,598495,2020,cl,Piensan, Haze
33,34,595611,2020,cl,QUE PRETENDES, J Balvin
34,35,581760,2020,cl,Mami, Paloma Mami
35,36,565000,2020,cl,Imaginaste - Remix, Jhay Cortez
36,37,556550,2020,cl,Yo x Ti Tu x Mi, ROSALÍA
37,38,549911,2020,cl,Verte Ir, DJ Luian
38,39,549031,2020,cl,Si Supieras, Daddy Yankee
39,40,542543,2020,cl,Cuaderno, Dalex
40,41,537036,2020,cl,Que Mas Pues - Remix, Sech
41,42,529510,2020,cl,Señorita, Shawn Mendes
42,43,525529,2020,cl,No Te Debí Besar, C. Tangana
43,44,525310,2020,cl,Te Quemaste, Manuel Turizo
44,45,520586,2020,cl,La Playa - Remix, Myke Towers
45,46,513622,2020,cl,La Cama, Lunay
46,47,511888,2020,cl,Mírame - Remix, Nio Garcia
47,48,496304,2020,cl,Pa Los Gustos Los Colores, Javiielo
48,49,477579,2020,cl,Pa Mí - Remix, Dalex
49,50,468031,2020,cl,Con Altura, ROSALÍA
50,51,462370,2020,cl,Yummy, Justin Bieber
51,52,460183,2020,cl,Mi Error - Remix, Eladio Carrion
52,53,428952,2020,cl,Indeciso, Reik
53,54,426746,2020,cl,Uniforme, Rich Music LTD
54,55,424281,2020,cl,Te Robaré, Nicky Jam
55,56,421289,2020,cl,Don't Start Now, Dua Lipa
56,57,415210,2020,cl,Que Calor (with J Balvin & El Alfa), Major Lazer
57,58,397604,2020,cl,Blanco, J Balvin
58,59,395509,2020,cl,Fantasmita - Remix, Casper Magico
59,60,383962,2020,cl,El Efecto - Remix, Rauw Alejandro
60,61,375798,2020,cl,Algún Día Volveras, Santaferia
61,62,368273,2020,cl,Música, DJ Luian
62,63,365125,2020,cl,Otro Trago, Sech
63,64,361326,2020,cl,Bellaquita, Dalex
64,65,357644,2020,cl,Mi Culpa, Princesa Alba
65,66,355747,2020,cl,Atrévete, Nicky Jam
66,67,350156,2020,cl,Loco Contigo (with J. Balvin & Ozuna feat. Nicky Jam Natti Natasha Darell & Sech) - REMIX, DJ Snake
67,68,350114,2020,cl,Velitas, Darell
68,69,342116,2020,cl,Amanece, Anuel AA
69,70,338357,2020,cl,Jangueo, Alex Rose
70,71,338168,2020,cl,Baila Conmigo (feat. Kelly Ruiz), Dayvi
71,72,337050,2020,cl,11 PM, Maluma
72,73,335860,2020,cl,Con Calma, Daddy Yankee
73,74,326434,2020,cl,Calma - Remix, Pedro Capó
74,75,324587,2020,cl,Hookah & Sheridan s, Tommy Boysen
75,76,318526,2020,cl,El Gil de Tu Ex, Santaferia
76,77,318360,2020,cl,Desconocidos, Mau y Ricky
77,78,310573,2020,cl,Goteo, Duki
78,79,309924,2020,cl,Ella Quiere Beber - Remix, Anuel AA
79,80,309133,2020,cl,Tal Vez, Paulo Londra
80,81,306732,2020,cl,Easy - Remix, Jhay Cortez
81,82,304745,2020,cl,Sigue Bailandome, Yannc
82,83,298496,2020,cl,La Playa, Myke Towers
83,84,297225,2020,cl,Un Año, Sebastian Yatra
84,85,294941,2020,cl,Te Quiero Ver, Ceaese
85,86,294370,2020,cl,Dele Cotele - Remix, Yohancito
86,87,290724,2020,cl,Adan y Eva, Paulo Londra
87,88,286789,2020,cl,La Forma en Que Me Miras, Super Yei
88,89,284694,2020,cl,Loco Contigo (feat. J. Balvin & Tyga), DJ Snake
89,90,284414,2020,cl,Hasta Que Salga el Sol, Ozuna
90,91,277188,2020,cl,Te Vi, Piso 21
91,92,275464,2020,cl,El Efecto, Rauw Alejandro
92,93,274576,2020,cl,ROXANNE, Arizona Zervas
93,94,274421,2020,cl,No Vuelvas Más, Darell
94,95,272980,2020,cl,bad guy, Billie Eilish
95,96,269862,2020,cl,Guayo, Zion & Lennox
96,97,269126,2020,cl,Damelo, Ceaese
97,98,268278,2020,cl,Fresa, TINI
98,99,266499,2020,cl,Porno, Rich Music LTD
99,100,265650,2020,cl,C90 (Remix), John C
100,101,260535,2020,cl,Aullando, Wisin & Yandel
101,102,260402,2020,cl,La Boca - Remix, Mau y Ricky
102,103,258987,2020,cl,UN PESO, J Balvin
103,104,257554,2020,cl,Es Poco, Simon la Letra
104,105,255729,2020,cl,Fingías, Paloma Mami
105,106,253265,2020,cl,Memories, Maroon 5
106,107,252943,2020,cl,Secreto, Anuel AA
107,108,250418,2020,cl,Imaginate, Rich Music LTD
108,109,250191,2020,cl,Rasta Barbie (Remix), Gigolo Y La Exce
109,110,248288,2020,cl,Nadie (feat. Sech & Sharo Towers) - Remix, Farruko
110,111,239750,2020,cl,How Do You Sleep?, Sam Smith
111,112,239549,2020,cl,Falling, Trevor Daniel
112,113,237343,2020,cl,Rutina, Myke Towers
113,114,236413,2020,cl,everything i wanted, Billie Eilish
114,115,235636,2020,cl,La Mejor Versión de Mi - Remix, Natti Natasha
115,116,235540,2020,cl,BOTA FUEGO (feat. Dímelo Flow Justin Quiles & Lenny Tavárez) - Remix, Mau y Ricky
116,117,234117,2020,cl,No Idea, Don Toliver
117,118,233654,2020,cl,No Te Enamores, Paloma Mami
118,119,228513,2020,cl,Toxico, Brytiago
119,120,225876,2020,cl,La Romana, Bad Bunny
120,121,223483,2020,cl,Baila Baila Baila - Remix, Ozuna
121,122,219805,2020,cl,MIA (feat. Drake), Bad Bunny
122,123,219749,2020,cl,Cuando Te Besé, Becky G
123,124,219313,2020,cl,Si Estuviésemos Juntos, Bad Bunny
124,125,218045,2020,cl,Bellacoso, Residente
125,126,217167,2020,cl,Una Vida Para Recordar, Piso 21
126,127,211176,2020,cl,Qué Pena, Maluma
127,128,209533,2020,cl,La Mas Linda, Casper Magico
128,129,206337,2020,cl,Me Rehúso, Danny Ocean
129,130,205046,2020,cl,Circles, Post Malone
130,131,204127,2020,cl,MY BLOOD, Polimá Westcoast
131,132,202492,2020,cl,Adictiva, Daddy Yankee
132,133,202427,2020,cl,La player (Bandolera), Zion & Lennox
133,134,201858,2020,cl,Gan-Ga - Remix, Bryant Myers
134,135,201152,2020,cl,Verano En París - Remix, Jerry Di
135,136,201115,2020,cl,Créeme, KAROL G
136,137,200028,2020,cl,Not Steady, Paloma Mami
137,138,199887,2020,cl,Mueve Lo Que Dios Te Dio, joel music
138,139,197704,2020,cl,Serenata cruel, Villa Cariño
139,140,197649,2020,cl,Solita, Sech
140,141,196940,2020,cl,Detective, Rauw Alejandro
141,142,196737,2020,cl,Por Eso Vine, Paulo Londra
142,143,196307,2020,cl,Blinding Lights, The Weeknd
143,144,196131,2020,cl,Rebota - Remix, Guaynaa
144,145,195083,2020,cl,Chica Bombastic, Wisin & Yandel
145,146,194795,2020,cl,Runaway, Sebastian Yatra
146,147,192665,2020,cl,Loco, Beéle
147,148,192411,2020,cl,LuisMi, Polimá Westcoast
148,149,191581,2020,cl,No Se Me Quita (feat. Ricky Martin), Maluma
149,150,190713,2020,cl,Reggaetón en lo Oscuro, Wisin & Yandel
150,151,190536,2020,cl,Fantasias - Unplugged, Rauw Alejandro
151,152,190055,2020,cl,Lose You To Love Me, Selena Gomez
152,153,189786,2020,cl,La Cartera, Farruko
153,154,189684,2020,cl,La Isla (with Sech & Dalex feat. Justin Quiles La Exce Feid Zion), Dímelo Flow
154,155,189512,2020,cl,Imposible, Luis Fonsi
155,156,189374,2020,cl,Oye, TINI
156,157,188907,2020,cl,Bohemian Rhapsody - Remastered 2011, Queen
157,158,188781,2020,cl,Mcntm - Remix, Marvel Boy
158,159,187784,2020,cl,A Solas - Remix, Lunay
159,160,185796,2020,cl,HP, Maluma
160,161,184654,2020,cl,Nada, Cazzu
161,162,184362,2020,cl,Sistema, Zion & Lennox
162,163,184195,2020,cl,Si Se Da, Myke Towers
163,164,183984,2020,cl,Trátame Suavemente - Remasterizado 2007, Soda Stereo
164,165,181576,2020,cl,Norty, Harry Nach
165,166,181351,2020,cl,Convéncete, Princesa Alba
166,167,180705,2020,cl,Vaina Loca, Ozuna
167,168,179825,2020,cl,Te Soñé de Nuevo, Ozuna
168,169,179650,2020,cl,I Don't Care (with Justin Bieber), Ed Sheeran
169,170,178207,2020,cl,Muévelo, Nicky Jam
170,171,177199,2020,cl,One Kiss (with Dua Lipa), Calvin Harris
171,172,176455,2020,cl,Plata Ta Tá, Mon Laferte
172,173,176019,2020,cl,Bandolera, Bryant Myers
173,174,175607,2020,cl,Haciendo Nada, Santaferia
174,175,175366,2020,cl,Esclavo de Tus Besos, Manuel Turizo
175,176,174611,2020,cl,Querida Rosa, Cami
176,177,174389,2020,cl,Dream Girl - Remix, Ir Sais
177,178,174074,2020,cl,Vibras, Pablo Chill-E
178,179,173534,2020,cl,Cristina, Sebastian Yatra
179,180,172452,2020,cl,Destino, Greeicy
180,181,170992,2020,cl,Aquí Estoy, Cami
181,182,170974,2020,cl,No Te Veo - Remix, Casper Magico
182,183,168270,2020,cl,Desacatao - Remix, BlackRoy
183,184,168211,2020,cl,Solo de Mi, Bad Bunny
184,185,167888,2020,cl,Girls Like You (feat. Cardi B) - Cardi B Version, Maroon 5
185,186,167835,2020,cl,Bailemos, Manuel Turizo
186,187,167803,2020,cl,Que Le De - Remix, Rauw Alejandro
187,188,167630,2020,cl,La Boca, Mau y Ricky
188,189,167146,2020,cl,Shape of You, Ed Sheeran
189,190,166921,2020,cl,Amigos Con Derechos, Reik
190,191,166581,2020,cl,Que Le De, Rauw Alejandro
191,192,165944,2020,cl,Dancin (feat. Luvli) - Krono Remix, Aaron Smith
192,193,165673,2020,cl,Te Boté - Remix, Nio Garcia
193,194,165097,2020,cl,Pensando En Ti, Pablo Chill-E
194,195,164601,2020,cl,DOLLAR, Becky G
195,196,164400,2020,cl,Every Breath You Take, The Police
196,197,164052,2020,cl,Otra Noche en Miami, Bad Bunny
197,198,163370,2020,cl,Adore You, Harry Styles
198,199,163200,2020,cl,Tanto, Jesse & Joy
199,200,163124,2020,cl,Flyte, Pablo Chill-E
