,Rank,Streams,Year,Country,Title,Artist
0,1,141901,2017,cr,Reggaetón Lento (Bailemos), CNCO
1,2,132933,2017,cr,Shape of You, Ed Sheeran
2,3,120481,2017,cr,Otra vez (feat. J Balvin), Zion & Lennox
3,4,112325,2017,cr,Chantaje (feat. Maluma), Shakira
4,5,100519,2017,cr,Safari, J Balvin
5,6,94004,2017,cr,Let Me Love You, DJ Snake
6,7,92699,2017,cr,Closer, The Chainsmokers
7,8,77307,2017,cr,One Dance, Drake
8,9,76256,2017,cr,Chillax (feat. Ky-Mani Marley), Farruko
9,10,71866,2017,cr,Vente Pa' Ca (feat. Maluma), Ricky Martin
10,11,71114,2017,cr,Starboy, The Weeknd
11,12,68341,2017,cr,Castle on the Hill, Ed Sheeran
12,13,66008,2017,cr,24K Magic, Bruno Mars
13,14,64273,2017,cr,Don't Wanna Know, Maroon 5
14,15,64236,2017,cr,Cold Water (feat. Justin Bieber & MØ), Major Lazer
15,16,63260,2017,cr,Traicionera, Sebastian Yatra
16,17,62001,2017,cr,La Bicicleta, Carlos Vives
17,18,61947,2017,cr,In the Name of Love, Martin Garrix
18,19,60461,2017,cr,Rocka,e (feat. Sean Paul & Anne-Marie)  
19,20,58090,2017,cr,Don't Let Me Down (feat. Daya), The Chainsmokers
20,21,57066,2017,cr,Side To Side, Ariana Grande
21,22,56455,2017,cr,Treat You Better, Shawn Mendes
22,23,55479,2017,cr,Fever, Vybz Kartel
23,24,54082,2017,cr,I Took A Pill In Ibiza - Seeb Remix, Mike Posner
24,25,52938,2017,cr,My Way, Calvin Harris
25,26,51834,2017,cr,Ay Mi Dios (feat. Pitbull Yandel & Chacal), IAmChino
26,27,51087,2017,cr,Cuatro Ba,s (feat. Trap Capos
27,28,50282,2017,cr,Heathens, Twenty One Pilots
28,29,48770,2017,cr,Shaky Shaky, Daddy Yankee
29,30,48467,2017,cr,Cheap Thrills, Sia
30,31,47272,2017,cr,Andas En Mi Cabeza, Chino & Nacho
31,32,46553,2017,cr,Ride, Twenty One Pilots
32,33,46159,2017,cr,Pa Que Me Invitan - Spanglish Version, JENCARLOS
33,34,44357,2017,cr,Thinking out Loud, Ed Sheeran
34,35,43690,2017,cr,Photograph, Ed Sheeran
35,36,43471,2017,cr,Black Beatles, Rae Sremmurd
36,37,43405,2017,cr,Borro Cassette, Maluma
37,38,42708,2017,cr,Vacaciones, Wisin
38,39,42296,2017,cr,We Don't Talk Anymore (feat. Selena Gomez), Charlie Puth
39,40,42256,2017,cr,Gyal You A Party Animal, Charly Black
40,41,41338,2017,cr,Stressed Out, Twenty One Pilots
41,42,39789,2017,cr,Cake By The Ocean, DNCE
42,43,39268,2017,cr,This Is What You Came For (feat. Rihanna), Calvin Harris
43,44,39267,2017,cr,I Feel It Coming, The Weeknd
44,45,38739,2017,cr,Ya Me Enteré (feat. Nicky Jam) - Urban Version, Reik
45,46,37934,2017,cr,Cheap Thrills (feat. Sean Paul), Sia
46,47,37036,2017,cr,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""", ZAYN
47,48,36535,2017,cr,DUELE EL CORAZON (feat. Wisin), Enrique Iglesias
48,49,36295,2017,cr,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")", Justin Timberlake
49,50,35712,2017,cr,Work, Rihanna
50,51,32598,2017,cr,Bobo, J Balvin
51,52,30011,2017,cr,Mercy, Shawn Mendes
52,53,28837,2017,cr,La Gozadera (feat. Marc Anthony), Gente De Zona
53,54,28147,2017,cr,Desde Esa Noche (feat. Maluma), Thalia
54,55,27755,2017,cr,Just Hold On, Steve Aoki
55,56,27487,2017,cr,Faded, Alan Walker
56,57,27470,2017,cr,Hasta el Amanecer, Nicky Jam
57,58,27024,2017,cr,The Greatest (feat. Kendrick Lamar), Sia
58,59,26943,2017,cr,Fake Love, Drake
59,60,26594,2017,cr,Panda, Desiigner
60,61,26577,2017,cr,All We Know, The Chainsmokers
61,62,26143,2017,cr,Sorry, Justin Bieber
62,63,26011,2017,cr,Love Yourself, Justin Bieber
63,64,25188,2017,cr,Ya Me Enteré, Reik
64,65,24610,2017,cr,The Greatest, Sia
65,66,24377,2017,cr,Work from Home (feat. Ty Dolla $ign), Fifth Harmony
66,67,24370,2017,cr,Say You Won't Let Go, James Arthur
67,68,24245,2017,cr,La Ocasion (feat. Arcangel Ozuna & Anuel Aa), De La Ghetto
68,69,24062,2017,cr,El Chisme, Reykon
69,70,23955,2017,cr,Me Rehúso, Danny Ocean
