,Rank,Streams,Year,Country,Title,Artist
0,1,13344,2017,cy,Shape of You, Ed Sheeran
1,2,7850,2017,cy,Castle on the Hill, Ed Sheeran
2,3,4993,2017,cy,Starboy, The Weeknd
3,4,4370,2017,cy,Rocka,e (feat. Sean Paul & Anne-Marie)  
4,5,3974,2017,cy,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""", ZAYN
5,6,3183,2017,cy,Say You Won't Let Go, James Arthur
6,7,3120,2017,cy,I Feel It Coming, The Weeknd
7,8,2983,2017,cy,Don't Wanna Know, Maroon 5
8,9,2924,2017,cy,Closer, The Chainsmokers
9,10,2719,2017,cy,Call On Me - Ryan Riback Extended Remix, Starley
10,11,2589,2017,cy,Fake Love, Drake
11,12,2497,2017,cy,Let Me Love You, DJ Snake
12,13,2398,2017,cy,Just Hold On, Steve Aoki
13,14,2306,2017,cy,Now and Later, Sage The Gemini
14,15,2303,2017,cy,24K Magic, Bruno Mars
15,16,2295,2017,cy,Chantaje (feat. Maluma), Shakira
16,17,2140,2017,cy,One Dance, Drake
17,18,2029,2017,cy,Black Beatles, Rae Sremmurd
18,19,2027,2017,cy,All Night, The Vamps
19,20,2018,2017,cy,All We Know, The Chainsmokers
20,21,1999,2017,cy,Bad Things (with Camila Cabello), Machine Gun Kelly
21,22,1952,2017,cy,Starving, Hailee Steinfeld
22,23,1917,2017,cy,I Would Like, Zara Larsson
23,24,1905,2017,cy,Mercy, Shawn Mendes
24,25,1885,2017,cy,Cold Water (feat. Justin Bieber & MØ), Major Lazer
25,26,1879,2017,cy,In the Name of Love, Martin Garrix
26,27,1829,2017,cy,"How Far I'll Go - From ""Moana""", Alessia Cara
27,28,1800,2017,cy,Side To Side, Ariana Grande
28,29,1744,2017,cy,Heathens, Twenty One Pilots
29,30,1702,2017,cy,All Time Low, Jon Bellion
30,31,1701,2017,cy,Love Me Now, John Legend
31,32,1681,2017,cy,By Your Side, Jonas Blue
32,33,1626,2017,cy,The Mack, Nevada
33,34,1618,2017,cy,Weak, AJR
34,35,1607,2017,cy,Human, Rag'n'Bone Man
35,36,1591,2017,cy,Treat You Better, Shawn Mendes
36,37,1568,2017,cy,Shed a Light, Robin Schulz
37,38,1505,2017,cy,Photograph, Ed Sheeran
38,39,1502,2017,cy,Scars To Your Beautiful, Alessia Cara
39,40,1501,2017,cy,Bad and Boujee (feat. Lil Uzi Vert), Migos
40,41,1431,2017,cy,Cheap Thrills, Sia
41,42,1420,2017,cy,Sunset Lover, Petit Biscuit
42,43,1404,2017,cy,My Way, Calvin Harris
43,44,1384,2017,cy,Don't Let Me Down (feat. Daya), The Chainsmokers
44,45,1378,2017,cy,We Don't Talk Anymore (feat. Selena Gomez), Charlie Puth
45,46,1339,2017,cy,Hear Me Now, Alok
46,47,1318,2017,cy,I Got You, Bebe Rexha
47,48,1295,2017,cy,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars), Vice
48,49,1293,2017,cy,Solo Dance, Martin Jensen
49,50,1244,2017,cy,Lighthouse - Andrelli Remix, Hearts & Colors
50,51,1244,2017,cy,The Greatest (feat. Kendrick Lamar), Sia
51,52,1205,2017,cy,Trust Nobody (feat. Selena Gomez & Tory Lanez), Cashmere Cat
52,53,1204,2017,cy,Thinking out Loud, Ed Sheeran
53,54,1202,2017,cy,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")", Justin Timberlake
54,55,1186,2017,cy,Lot to Learn, Luke Christopher
55,56,1150,2017,cy,Water Under the Bridge, Adele
56,57,1139,2017,cy,Make Me (Cry), Noah Cyrus
57,58,1132,2017,cy,Some Kind Of Drug (feat. Marc E. Bassy), G-Eazy
58,59,1118,2017,cy,Party Monster, The Weeknd
59,60,1111,2017,cy,Setting Fires, The Chainsmokers
60,61,1099,2017,cy,Ride, Twenty One Pilots
61,62,1068,2017,cy,Dynamite (feat. Pretty Sister), Nause
62,63,1066,2017,cy,Not Going Home (feat. Gia Koka), DVBBS
63,64,1056,2017,cy,Light, San Holo
64,65,1051,2017,cy,Too Good, Drake
65,66,1013,2017,cy,Broccoli (feat. Lil Yachty), Shelley FKA DRAM
66,67,1010,2017,cy,I Took A Pill In Ibiza - Seeb Remix, Mike Posner
67,68,1002,2017,cy,Panda, Desiigner
