,Rank,Streams,Year,Country,Title,Artist
0,1,4090983,2020,de,Roller, Apache 207
1,2,3490894,2020,de,Blinding Lights, The Weeknd
2,3,3162237,2020,de,Dance Monkey, Tones And I
3,4,2557434,2020,de,Vor der Tür, Gzuz
4,5,2550241,2020,de,Skifahren (feat. Joshi Mizu), The Cratez
5,6,2520190,2020,de,KEIN SCHLAF, Nimo
6,7,2286508,2020,de,Alien, RIN
7,8,2248060,2020,de,Falling, Trevor Daniel
8,9,2247365,2020,de,Maschine, RAF Camora
9,10,2190187,2020,de,200 km/h, Apache 207
10,11,2164202,2020,de,Wieso tust Du dir das an?, Apache 207
11,12,2135994,2020,de,COLT, Samra
12,13,2070715,2020,de,Keine Liebe, RIN
13,14,2003631,2020,de,Ayy Macarena, Tyga
14,15,1961868,2020,de,110, Capital Bra
15,16,1853941,2020,de,Nur zur Info, Ufo361
16,17,1762899,2020,de,Ride It, Regard
17,18,1714359,2020,de,Mit Dir, Loredana
18,19,1700096,2020,de,ROXANNE, Arizona Zervas
19,20,1697811,2020,de,Yummy, Justin Bieber
20,21,1660671,2020,de,CASINO ROYAL, Kianush
21,22,1648051,2020,de,Don't Start Now, Dua Lipa
22,23,1647045,2020,de,Roses - Imanbek Remix, SAINt JHN
23,24,1597632,2020,de,Doch in der Nacht, Apache 207
24,25,1590221,2020,de,2002, Sido
25,26,1468858,2020,de,hot girl bummer, blackbear
26,27,1435504,2020,de,KARMA, Nimo
27,28,1421780,2020,de,everything i wanted, Billie Eilish
28,29,1419125,2020,de,Vermissen (feat. Henning May), Juju
29,30,1289038,2020,de,Memories, Maroon 5
30,31,1286696,2020,de,Turn Me On (feat. Vula), Riton
31,32,1257380,2020,de,Lose Control, MEDUZA
32,33,1243114,2020,de,RITMO (Bad Boys For Life), Black Eyed Peas
33,34,1210619,2020,de,The Box, Roddy Ricch
34,35,1195715,2020,de,Der Bratan bleibt der gleiche, Capital Bra
35,36,1189621,2020,de,Kein Problem, Apache 207
36,37,1186753,2020,de,Light, Jerome
37,38,1159750,2020,de,Tilidin, Capital Bra
38,39,1140726,2020,de,bad guy, Billie Eilish
39,40,1132108,2020,de,Circles, Post Malone
40,41,1114358,2020,de,Someone You Loved, Lewis Capaldi
41,42,1090895,2020,de,My Oh My (feat. DaBa,)  
42,43,1083759,2020,de,STAR, Nimo
43,44,1080330,2020,de,Honda Civic, The Cratez
44,45,1043094,2020,de,Sex mit dir, Apache 207
45,46,1026313,2020,de,Señorita, Shawn Mendes
46,47,983747,2020,de,HIGHEST IN THE ROOM, Travis Scott
47,48,966171,2020,de,Himmel grau, Kontra K
48,49,963691,2020,de,STREIT MIT DEM MOND, Kianush
49,50,960104,2020,de,Lose You To Love Me, Selena Gomez
50,51,912180,2020,de,PHANTOM (feat. Summer Cem), reezy
51,52,911355,2020,de,Puls steigt, Capo
52,53,901782,2020,de,Close Your Eyes, Felix Jaehn
53,54,895309,2020,de,95 BPM, Samra
54,55,874716,2020,de,Mary, Bausa
55,56,867684,2020,de,Monster, LUM!X
56,57,864540,2020,de,Wieder Lila, Samra
57,58,855250,2020,de,Hauseingang, Pashanim
58,59,813258,2020,de,Before You Go, Lewis Capaldi
59,60,802028,2020,de,500 PS, Bonez MC
60,61,795742,2020,de,Puta Madre - Bonustrack, RAF Camora
61,62,792339,2020,de,CASINO, Katja Krasavice
62,63,792239,2020,de,South of the Border (feat. Camila Cabello & Cardi B), Ed Sheeran
