,Rank,Streams,Year,Country,Title,Artist
0,1,443192,2021,dk,Bando Bitch, Branco
1,2,352207,2021,dk,WITHOUT YOU, The Kid LAROI
2,3,331089,2021,dk,Anyone, Justin Bieber
3,4,324304,2021,dk,HUNDO, Branco
4,5,303558,2021,dk,JIGGY, Branco
5,6,288619,2021,dk,Smooth Criminal, Branco
6,7,282112,2021,dk,Solhverv, Lord Siva
7,8,266214,2021,dk,Dripsnak 2.0, Branco
8,9,258052,2021,dk,Young & Dangerous, Branco
9,10,254084,2021,dk,Mood (feat. iann dior), 24kGoldn
10,11,242378,2021,dk,The Business, Tiësto
11,12,238499,2021,dk,Blå Himmel (feat. Hans Philip), KESI
12,13,228454,2021,dk,Blæstegnen (feat. Orgi-E), Tessa
13,14,226030,2021,dk,Whoopty, CJ
14,15,225034,2021,dk,Burna, Branco
15,16,221341,2021,dk,ErruDumEllaHvad, ICEKIID
16,17,217051,2021,dk,Blinding Lights, The Weeknd
17,18,215545,2021,dk,Feelings, Branco
18,19,213823,2021,dk,Head & Heart (feat. MNEK), Joel Corry
19,20,213105,2021,dk,Monster (Shawn Mendes & Justin Bieber), Shawn Mendes
20,21,202876,2021,dk,Til Banken (Natasja X Tessa X Karen Mukupa), Natasja
21,22,200623,2021,dk,Goosebumps, HVME
22,23,198576,2021,dk,Back to Back, Branco
23,24,196467,2021,dk,Lemonade (feat. Gunna Don Toliver & NAV), Internet Money
24,25,194439,2021,dk,positions, Ariana Grande
25,26,190469,2021,dk,Cruise Control, Branco
26,27,186127,2021,dk,you broke me first, Tate McRae
27,28,180315,2021,dk,Tax Free, Branco
28,29,178167,2021,dk,Lonely (with benny blanco), Justin Bieber
29,30,176905,2021,dk,SO DONE, The Kid LAROI
30,31,175449,2021,dk,What A Life, Scarlet Pleasure
31,32,171254,2021,dk,Kopenhagen (feat. ICEKIID & Noah Carter), Gilli
32,33,170890,2021,dk,Dejlig, Jimilian
33,34,165833,2021,dk,Many Men, Branco
34,35,164684,2021,dk,Prisoner (feat. Dua Lipa), Miley Cyrus
35,36,164151,2021,dk,What You Know Bout Love, Pop Smoke
36,37,163494,2021,dk,Southside, Branco
37,38,161066,2021,dk,Headshot, Branco
38,39,155862,2021,dk,Showtime, Branco
39,40,155273,2021,dk,Afterglow, Ed Sheeran
40,41,151422,2021,dk,HOLIDAY, Lil Nas X
41,42,150607,2021,dk,Girl Like You, Clara
42,43,144777,2021,dk,My Lord (et brev til mine børn), Branco
43,44,143029,2021,dk,Paradise (feat. Dermot Kennedy), MEDUZA
44,45,142828,2021,dk,Therefore I Am, Billie Eilish
45,46,140663,2021,dk,Share That Love (feat. G-Eazy), Lukas Graham
46,47,138803,2021,dk,La' Champagnen Græde (Outro), Branco
47,48,138126,2021,dk,Someone You Loved, Lewis Capaldi
48,49,134877,2021,dk,Levitating (feat. DaBa,)  
49,50,133081,2021,dk,Roses - Imanbek Remix, SAINt JHN
50,51,130100,2021,dk,Everything, Branco
51,52,129717,2021,dk,Love Not War (The Tampa Beat), Jason Derulo
52,53,122555,2021,dk,LA DANZA, Branco
53,54,122206,2021,dk,Dit Indre, Branco
54,55,121809,2021,dk,34+35, Ariana Grande
55,56,118852,2021,dk,ROCKSTAR (feat. Roddy Ricch), DaBa
56,57,116772,2021,dk,All Day, Branco
57,58,116673,2021,dk,Breaking Me, Topic
58,59,114176,2021,dk,ALL MY LOVE (feat. ATYPISK), LOLO
59,60,112580,2021,dk,Svag, Victor Leksell
60,61,111646,2021,dk,Filur (feat. Gilli), Larry 44
61,62,111223,2021,dk,For The Night (feat. Lil Ba, & DaBa
62,63,106457,2021,dk,Holy (feat. Chance The Rapper), Justin Bieber
63,64,106282,2021,dk,Gonzo, Suspekt
64,65,104561,2021,dk,Stjernerne, Lord Siva
65,66,103633,2021,dk,Ben, Tessa
66,67,103611,2021,dk,Nytår Igen (feat. Jesu Brødre Lina Rafn Niels Olsen Klam Vandmand & Shambs), Sikkerhedsstyrelsen
67,68,103000,2021,dk,Wonder, Shawn Mendes
68,69,101670,2021,dk,Watermelon Sugar, Harry Styles
69,70,100884,2021,dk,Jeg Vil La' Lyset Brænde, Bro
70,71,99304,2021,dk,Savage Love (Laxed - Siren Beat), Jawsh 685
71,72,98590,2021,dk,Before You Go, Lewis Capaldi
72,73,97457,2021,dk,Train Wreck, James Arthur
73,74,96371,2021,dk,Cardio, KESI
74,75,94780,2021,dk,Dance Monkey, Tones And I
75,76,91832,2021,dk,willow, Taylor Swift
76,77,91229,2021,dk,Mood Swings (feat. Lil Tjay), Pop Smoke
77,78,90945,2021,dk,Put Your Records On, Ritt Momney
78,79,90202,2021,dk,Reminds Me Of You, Juice WRLD
79,80,88899,2021,dk,Drop Down, Xander Linnet
80,81,87898,2021,dk,Tilbage, KESI
81,82,87006,2021,dk,Snik Snak, Gilli
82,83,86932,2021,dk,Take You Dancing, Jason Derulo
83,84,86065,2021,dk,I Wanna Be Dancing, Drew Sycamore
84,85,85442,2021,dk,Burnout, Cal
85,86,84472,2021,dk,WAP (feat. Megan Thee Stallion), Cardi B
86,87,83646,2021,dk,PUB G (feat. Branco & Larry 44), LOLO
87,88,83295,2021,dk,London Town, Branco
88,89,82829,2021,dk,Good Days, SZA
89,90,82394,2021,dk,Midnight Sky, Miley Cyrus
90,91,82257,2021,dk,Be Alright, Dean Lewis
91,92,80692,2021,dk,3STYLE, Gilli
92,93,80661,2021,dk,føler mig selv 100, andreas odbjerg
93,94,79385,2021,dk,Dior, Pop Smoke
94,95,78466,2021,dk,Klovne, RH
95,96,78242,2021,dk,Tracksuit (feat. AMRO), Benny Jamz
96,97,77744,2021,dk,Tempo, Branco
97,98,76776,2021,dk,All My Love, Rocazino
98,99,76310,2021,dk,Blitz Ba,  
99,100,75507,2021,dk,Head Shoulders Knees & Toes (feat. Norma Jean Martine), Ofenbach
100,101,74806,2021,dk,Hel Perfecto, GMG
101,102,74656,2021,dk,Hello (feat. A Boogie Wit da Hoodie), Pop Smoke
102,103,74332,2021,dk,Nudes, Jada
103,104,74324,2021,dk,Avatar, NODE
104,105,72565,2021,dk,Ride It, Regard
105,106,71761,2021,dk,In Your Eyes, The Weeknd
106,107,70199,2021,dk,Dynamite, BTS
107,108,70061,2021,dk,Say You Won't Let Go, James Arthur
108,109,69878,2021,dk,Bruises, Lewis Capaldi
109,110,68641,2021,dk,If the World Was Ending (feat. Julia Michaels), JP Saxe
110,111,68443,2021,dk,Robbery, Juice WRLD
111,112,67624,2021,dk,The Woo (feat. 50 Cent & Roddy Ricch), Pop Smoke
112,113,67394,2021,dk,Menneskeforbruger, Fyr Og Flamme
113,114,67292,2021,dk,SPORT, TopGunn
114,115,67233,2021,dk,Vai Amor, Gilli
115,116,67006,2021,dk,Circles, Post Malone
116,117,66332,2021,dk,Laugh Now Cry Later (feat. Lil Durk), Drake
117,118,66133,2021,dk,ALWAYS DO, The Kid LAROI
118,119,65515,2021,dk,Blueberry Faygo, Lil Mosey
119,120,65425,2021,dk,Nix Normal, Stepz
120,121,65414,2021,dk,Wishing Well, Juice WRLD
121,122,64469,2021,dk,L.U.V, Gilli
122,123,64255,2021,dk,Lucid Dreams, Juice WRLD
123,124,63878,2021,dk,DANCE, CLMD
124,125,63700,2021,dk,Så'n der, Tessa
125,126,63643,2021,dk,Shallow, Lady Gaga
126,127,63280,2021,dk,Dancing On My Own, Calum Scott
127,128,63261,2021,dk,Snowman, Sia
128,129,62462,2021,dk,Knuste Hjerter, Troels Gustavsen
129,130,61906,2021,dk,Go Crazy, Chris Brown
130,131,61702,2021,dk,Hurtige Hænder - Acoustic Version - Moyo Live P3, The Minds Of 99
131,132,61372,2021,dk,Falling, Harry Styles
132,133,61226,2021,dk,Intentions (feat. Quavo), Justin Bieber
133,134,61170,2021,dk,Masterchef, PAY
134,135,60931,2021,dk,Some Say - Felix Jaehn Remix, Nea
135,136,60931,2021,dk,Element, Pop Smoke
136,137,60696,2021,dk,Kærlighed (feat. Gilli & Kesi), ATYPISK
137,138,60127,2021,dk,everything i wanted, Billie Eilish
138,139,59695,2021,dk,COMFY, Sivas
139,140,59432,2021,dk,Come & Go (with Marshmello), Juice WRLD
140,141,59182,2021,dk,This City, Sam Fischer
141,142,59129,2021,dk,Don't Start Now, Dua Lipa
142,143,59022,2021,dk,Nobody's Lover (feat. Lord Siva), Clara
143,144,59013,2021,dk,Memories, Maroon 5
144,145,58729,2021,dk,Fly Away, Tones And I
145,146,58239,2021,dk,Room For Love, Lord Siva
146,147,57966,2021,dk,Love Someone, Lukas Graham
147,148,57659,2021,dk,Mozart, Benny Jamz
148,149,57343,2021,dk,Dancing in My Room, 347aidan
149,150,57314,2021,dk,DÁKITI, Bad Bunny
150,151,57270,2021,dk,Beautiful People (feat. Khalid), Ed Sheeran
151,152,56898,2021,dk,Golden, Harry Styles
152,153,56766,2021,dk,Lacazette, ZK
153,154,56567,2021,dk,Martin & Gina, Polo G
154,155,56162,2021,dk,lovely (with Khalid), Billie Eilish
155,156,56023,2021,dk,What If, Faustix
156,157,55950,2021,dk,Get The Bag, KESI
157,158,55936,2021,dk,Coco (feat. DaBa,)  
158,159,55786,2021,dk,I Want It That Way, Backstreet Boys
159,160,55575,2021,dk,When You Love Someone, James TW
160,161,55529,2021,dk,Lasting Lover, Sigala
161,162,55460,2021,dk,Vil Du Med…, Suspekt
162,163,55310,2021,dk,Smid Tøjet, Jimilian
163,164,55274,2021,dk,Det Okay, Benny Jamz
164,165,55035,2021,dk,F.N, Lil Tjay
165,166,54912,2021,dk,Jocelyn Flores, XXXTENTACION
166,167,54780,2021,dk,GO (feat. Juice WRLD), The Kid LAROI
167,168,54765,2021,dk,goosebumps, Travis Scott
168,169,54743,2021,dk,Rum Bum Bum - Hedegaard Remix, NAVID
169,170,54500,2021,dk,Higher Love, Kygo
170,171,54466,2021,dk,My Head & My Heart, Ava Max
171,172,54327,2021,dk,Salt, Ava Max
172,173,54239,2021,dk,Rover (feat. DTG), S1mba
173,174,54137,2021,dk,Adore You, Harry Styles
174,175,53972,2021,dk,Got It On Me, Pop Smoke
175,176,53814,2021,dk,The Box, Roddy Ricch
176,177,53628,2021,dk,Stuck with U (with Justin Bieber), Ariana Grande
177,178,53599,2021,dk,Secrets, Regard
178,179,53487,2021,dk,Under Stjernerne På Himlen, Rasmus Seebach
179,180,53138,2021,dk,I Wanna Dance with Somebody (Who Loves Me), Whitney Houston
180,181,53018,2021,dk,Can't Sleep - Radio Version, Ranji
181,182,52801,2021,dk,Op A, Ude Af Kontrol
182,183,52771,2021,dk,Dreams - 2004 Remaster, Fleetwood Mac
183,184,52442,2021,dk,All Around The World (La La La), R3HAB
184,185,52370,2021,dk,Leap Of Faith, Christopher
185,186,52265,2021,dk,Let Her Go, Passenger
186,187,52243,2021,dk,Jeg Vil La' Lyset Brænde, Ray Dee Ohh
187,188,51892,2021,dk,All Girls Are The Same, Juice WRLD
188,189,51684,2021,dk,Ghost, Christopher
189,190,51599,2021,dk,HIGHEST IN THE ROOM, Travis Scott
190,191,51573,2021,dk,Perfect, Ed Sheeran
191,192,51438,2021,dk,death bed (coffee for your head), Powfu
192,193,51409,2021,dk,Lose Control, MEDUZA
193,194,51153,2021,dk,Hun Kommer Tilbage, Jung
194,195,51137,2021,dk,bad guy, Billie Eilish
195,196,50950,2021,dk,Som Fluer, The Minds Of 99
196,197,50618,2021,dk,Paris, Lord Siva
197,198,50288,2021,dk,Diamonds, Sam Smith
198,199,50219,2021,dk,Heather, Conan Gray
199,200,50109,2021,dk,when the party's over, Billie Eilish
