,Rank,Streams,Year,Country,Title,Artist
0,1,96561,2022,do,No Te Deseo el Mal, Eladio Carrion
1,2,96528,2022,do,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas), Tainy
2,3,85201,2022,do,Yonaguni, Bad Bunny
3,4,80006,2022,do,Volando - Remix, Mora
4,5,72219,2022,do,Súbelo, Anuel AA
5,6,71641,2022,do,Volví, Aventura
6,7,66177,2022,do,Nostálgico, Rvssian
7,8,65029,2022,do,Me Gustas Natural, Eladio Carrion
8,9,63493,2022,do,Ley Seca, Jhay Cortez
9,10,62152,2022,do,Manos de Tijera, Yiyo Sarante
10,11,57813,2022,do,DÁKITI, Bad Bunny
11,12,56519,2022,do,3730, Treintisiete
12,13,54669,2022,do,AM Remix, Nio Garcia
13,14,50520,2022,do,Piri Bambam, Kaly Ocho
14,15,49761,2022,do,Bagre, Braulio Fogon
15,16,49318,2022,do,Todo De Ti, Rauw Alejandro
16,17,48348,2022,do,Di Di Di, Braulio Fogon
17,18,47197,2022,do,Curazao, El Alfa
18,19,47114,2022,do,Pepas, Farruko
19,20,45225,2022,do,Rochy RD X Anuel AA (LOS ILLUMINATY) - Radio Edit, MUSICSPAIN
20,21,44226,2022,do,Mango Piña, Braulio Fogon
21,22,44027,2022,do,Desesperados, Rauw Alejandro
22,23,43554,2022,do,Uva Bombom, Rochy RD
23,24,43216,2022,do,Cúrame, Rauw Alejandro
24,25,40486,2022,do,Tamo en Hoja, El Alfa
25,26,40437,2022,do,2/Catorce, Rauw Alejandro
26,27,38832,2022,do,120, Bad Bunny
27,28,37872,2022,do,Jóvenes Millonarios, Eladio Carrion
28,29,37660,2022,do,Tontoron Tonton, El Alfa
29,30,35987,2022,do,Este Tema Maste, El Alfa
30,31,35979,2022,do,Hola Como Vas, Eladio Carrion
31,32,35977,2022,do,Conexión, Foreign Teck
32,33,35766,2022,do,North Carolina, Anuel AA
33,34,35401,2022,do,Cold Heart - PNAU Remix, Elton John
34,35,35062,2022,do,LA NOCHE DE ANOCHE, Bad Bunny
35,36,34506,2022,do,La Curiosidad, Jay Wheeler
36,37,34415,2022,do,Medallo, Blessd
37,38,34365,2022,do,LA CANCIÓN, J Balvin
38,39,33642,2022,do,Mcgregor, Anuel AA
39,40,33557,2022,do,Easy On Me, Adele
40,41,33540,2022,do,Chupable, El Alfa
41,42,33234,2022,do,Flores en Anónimo, Eladio Carrion
42,43,32407,2022,do,Singamo, Tokischa
43,44,32218,2022,do,A Tu Merced, Bad Bunny
44,45,31851,2022,do,Sacrifice, The Weeknd
45,46,31404,2022,do,Claro Cristal, Eladio Carrion
46,47,30782,2022,do,911 - Remix, Sech
47,48,30647,2022,do,Pareja Del Año, Sebastian Yatra
48,49,30555,2022,do,Se Le Ve, Dímelo Flow
49,50,29427,2022,do,El Incomprendido, Farruko
50,51,29259,2022,do,Enemy (with JID) - from the series Arcane League of Legends, Imagine Dragons
51,52,28716,2022,do,Qué Más Pues?, J Balvin
52,53,27080,2022,do,INDUSTRY BABY (feat. Jack Harlow), Lil Nas X
53,54,27070,2022,do,Aquel Nap ZzZz, Rauw Alejandro
54,55,26780,2022,do,CÓMO SE SIENTE - Remix, Jhay Cortez
55,56,25717,2022,do,TE MUDASTE, Bad Bunny
56,57,25574,2022,do,Woman, Doja Cat
57,58,25320,2022,do,Out of Time, The Weeknd
58,59,25212,2022,do,Miradas Raras, Eladio Carrion
59,60,24984,2022,do,LA FAMA (with The Weeknd), ROSALÍA
60,61,24975,2022,do,Millonario, Rochy RD
61,62,24931,2022,do,STAY (with Justin Bieber), The Kid LAROI
62,63,24773,2022,do,Si Estuviésemos Juntos, Bad Bunny
63,64,24700,2022,do,SEJODIOTO, KAROL G
64,65,24611,2022,do,Gasoline, The Weeknd
65,66,24583,2022,do,Paz Mental, Eladio Carrion
66,67,24558,2022,do,BOOKER T, Bad Bunny
67,68,24527,2022,do,512, Mora
68,69,24122,2022,do,Eladio Carrion: Bzrp Music Sessions Vol. 40, Bizarrap
69,70,23954,2022,do,Ex Bitch, Dowba Montana
70,71,23696,2022,do,Si Veo a Tu Mamá, Bad Bunny
71,72,23577,2022,do,65 Millones - En Vivo, Rochy RD
72,73,23500,2022,do,Loco, Justin Quiles
73,74,23425,2022,do,Quienes Son Ustedes, Eladio Carrion
74,75,23065,2022,do,Alejarme de Ti, Eladio Carrion
75,76,22992,2022,do,Experimento, Myke Towers
76,77,22931,2022,do,HACIENDO QUE ME AMAS, Bad Bunny
77,78,22929,2022,do,How Do I Make You Love Me?, The Weeknd
78,79,22488,2022,do,Sobrio, Maluma
79,80,22470,2022,do,Fiel - Remix, Wisin
80,81,22428,2022,do,La Santa, Bad Bunny
81,82,22397,2022,do,Cooperas Con los Federicos, Rochy RD
82,83,22395,2022,do,Linda, Tokischa
83,84,22308,2022,do,abcdefu, GAYLE
