,Rank,Streams,Year,Country,Title,Artist
0,1,462107,2021,ec,DÁKITI, Bad Bunny
1,2,374675,2021,ec,BICHOTA, KAROL G
2,3,286219,2021,ec,LA NOCHE DE ANOCHE, Bad Bunny
3,4,228941,2021,ec,Chica Ideal, Sebastian Yatra
4,5,225328,2021,ec,Hecha Pa' Mi, Boza
5,6,220063,2021,ec,Reloj, Rauw Alejandro
6,7,214311,2021,ec,Hawái, Maluma
7,8,208419,2021,ec,TE MUDASTE, Bad Bunny
8,9,191128,2021,ec,La Nota, Manuel Turizo
9,10,190731,2021,ec,Bandido, Myke Towers
10,11,188469,2021,ec,BEBÉ, Camilo
11,12,179985,2021,ec,La Curiosidad, Jay Wheeler
12,13,175804,2021,ec,Vida de Rico, Camilo
13,14,168917,2021,ec,Parce (feat. Justin Quiles), Maluma
14,15,167688,2021,ec,Relación - Remix, Sech
15,16,160304,2021,ec,Mi Niña, Wisin
16,17,156111,2021,ec,La Tóxica, Farruko
17,18,155399,2021,ec,Se Te Nota (with Guaynaa), Lele Pons
18,19,151481,2021,ec,Jeans, Justin Quiles
19,20,148925,2021,ec,Ay DiOs Mío!, KAROL G
20,21,130253,2021,ec,HACIENDO QUE ME AMAS, Bad Bunny
21,22,128349,2021,ec,Una Locura, Ozuna
22,23,125556,2021,ec,Despeinada, Ozuna
23,24,115910,2021,ec,Tattoo - Remix with Camilo, Rauw Alejandro
24,25,109314,2021,ec,UN DIA (ONE DAY) (Feat. Tainy), J Balvin
25,26,108398,2021,ec,BOOKER T, Bad Bunny
26,27,106017,2021,ec,La Jeepeta - Remix, Nio Garcia
27,28,99828,2021,ec,Blinding Lights, The Weeknd
28,29,97812,2021,ec,Mi Cuarto, Jerry Di
29,30,97160,2021,ec,Si Me Tomo Una Cerveza, Migrantes
30,31,92777,2021,ec,GIRL LIKE ME, Black Eyed Peas
31,32,91952,2021,ec,Tusa, KAROL G
32,33,91623,2021,ec,Nada, Cali Y El Dandee
33,34,91237,2021,ec,Ponte Pa' Mi, Justin Quiles
34,35,91192,2021,ec,Más De La Una, Piso 21
35,36,89249,2021,ec,Polvo, Nicky Jam
36,37,86311,2021,ec,Azul, J Balvin
37,38,86189,2021,ec,La Luz, Sech
38,39,85281,2021,ec,De Cora <3, Rauw Alejandro
39,40,84559,2021,ec,Quiéreme Mientras Se Pueda, Manuel Turizo
40,41,83912,2021,ec,Hasta Abajo, Kevin Roldan
41,42,78410,2021,ec,CÓMO SE SIENTE - Remix, Jhay Cortez
42,43,78020,2021,ec,Favorito, Camilo
43,44,76943,2021,ec,No Te Enamores - Remix, Milly
44,45,76905,2021,ec,Si Veo a Tu Mamá, Bad Bunny
45,46,75729,2021,ec,YO VISTO ASÍ, Bad Bunny
46,47,72951,2021,ec,TE DESEO LO MEJOR, Bad Bunny
47,48,72739,2021,ec,La Curiosidad (feat. Dj Nelson Jhay Cortez Lunay & Kendo Kaponi) - Blue Grand Prix Remix, Jay Wheeler
48,49,69819,2021,ec,Miedito o Qué? (feat. KAROL G), Ovy On The Drums
49,50,69666,2021,ec,Caramelo, Ozuna
50,51,68511,2021,ec,Dynamite, BTS
51,52,68221,2021,ec,"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie", Tainy
52,53,68046,2021,ec,Nathy Peluso: Bzrp Music Sessions Vol. 36, Bizarrap
53,54,67851,2021,ec,Safaera, Bad Bunny
54,55,64188,2021,ec,Si Estuviésemos Juntos, Bad Bunny
55,56,62691,2021,ec,Pa' Olvidarme De Ella, Piso 21
56,57,62569,2021,ec,A Tu Merced, Bad Bunny
57,58,61693,2021,ec,LA CANCIÓN, J Balvin
58,59,60668,2021,ec,Elegí (feat. Dímelo Flow), Rauw Alejandro
59,60,60513,2021,ec,No Me Conoce - Remix, Jhay Cortez
60,61,60404,2021,ec,Djadja (feat. Maluma) - Remix, Aya Nakamura
61,62,60365,2021,ec,Yo Perreo Sola, Bad Bunny
62,63,60342,2021,ec,Caramelo - Remix, Ozuna
63,64,60153,2021,ec,Madrid (feat. Myke Towers), Maluma
64,65,59133,2021,ec,Hola - Remix, Dalex
65,66,58827,2021,ec,De Vuelta Pa' La Vuelta, Daddy Yankee
66,67,58679,2021,ec,Los Besos, Greeicy
67,68,58008,2021,ec,HOY COBRÉ, Bad Bunny
68,69,57955,2021,ec,La Santa, Bad Bunny
69,70,57729,2021,ec,Rojo, J Balvin
70,71,57417,2021,ec,Jangueo, Alex Rose
71,72,56557,2021,ec,Don't Start Now, Dua Lipa
72,73,56051,2021,ec,ANTES QUE SE ACABE, Bad Bunny
73,74,54856,2021,ec,Enchule, Rauw Alejandro
74,75,54849,2021,ec,120, Bad Bunny
75,76,54707,2021,ec,LA DROGA, Bad Bunny
76,77,54081,2021,ec,Si Me Dices Que Sí, Reik
77,78,53922,2021,ec,SORRY PAPI, Bad Bunny
78,79,53634,2021,ec,Procura, ChiChi Peralta
79,80,53471,2021,ec,Tan Enamorados, CNCO
80,81,53051,2021,ec,Relación, Sech
81,82,52914,2021,ec,Lean (feat. Towy Osquel Beltito & Sammy & Falsetto), Super Yei
82,83,52832,2021,ec,Ignorantes, Bad Bunny
83,84,52409,2021,ec,Sigues Con El, Arcangel
84,85,52280,2021,ec,Desesperado (Voy A Tomar), Joey Montana
85,86,52165,2021,ec,Vete, Bad Bunny
86,87,51728,2021,ec,Tú Me Dejaste De Querer, C. Tangana
87,88,50973,2021,ec,Dance Monkey, Tones And I
88,89,49904,2021,ec,El Mismo Aire - con Pablo Alborán, Camilo
89,90,49734,2021,ec,No Bailes Sola, Danna Paola
90,91,49618,2021,ec,Como Si Nada, ADSO
91,92,49557,2021,ec,La Difícil, Bad Bunny
92,93,48840,2021,ec,Travesuras, Flow La Movie
93,94,48544,2021,ec,Hawái - Remix, Maluma
94,95,48295,2021,ec,Detente, Mike Bahía
95,96,47962,2021,ec,Callaita, Bad Bunny
96,97,47663,2021,ec,Watermelon Sugar, Harry Styles
97,98,46551,2021,ec,MALDITA POBREZA, Bad Bunny
98,99,46267,2021,ec,Por Primera Vez, Camilo
99,100,46085,2021,ec,L-Gante Rkt, Papu DJ
100,101,45347,2021,ec,Diosa, Myke Towers
101,102,45148,2021,ec,Mood (feat. iann dior), 24kGoldn
102,103,44467,2021,ec,ADMV, Maluma
103,104,44444,2021,ec,Don Don, Daddy Yankee
104,105,44036,2021,ec,Anaranjado, Jowell & Randy
105,106,43484,2021,ec,TRELLAS, Bad Bunny
106,107,43464,2021,ec,Caraluna, Bacilos
107,108,43096,2021,ec,Aquí Abajo, Christian Nodal
108,109,43081,2021,ec,Fantasias, Rauw Alejandro
109,110,42778,2021,ec,Te Vi, Piso 21
110,111,42590,2021,ec,China, Anuel AA
111,112,42381,2021,ec,Una Vez, Bad Bunny
112,113,41571,2021,ec,Hasta Que Dios Diga, Anuel AA
113,114,41275,2021,ec,La Forma en Que Me Miras, Super Yei
114,115,41036,2021,ec,Morado, J Balvin
115,116,40816,2021,ec,Fuentes de Ortiz, Ed Maverick
116,117,40403,2021,ec,Devuélveme a mi chica, Hombres G
117,118,40333,2021,ec,Dime Cómo Quieres, Christian Nodal
118,119,40320,2021,ec,Seguro Te Pierdo, Sergi
119,120,40298,2021,ec,PORFA, Feid
120,121,40065,2021,ec,A Mí, Rels B
121,122,40020,2021,ec,Lamento Boliviano, Los Enanitos Verdes
122,123,39957,2021,ec,Tal Vez, Paulo Londra
123,124,39262,2021,ec,Roses - Imanbek Remix, SAINt JHN
124,125,39245,2021,ec,Me Rehúso, Danny Ocean
125,126,38746,2021,ec,Desconocidos, Mau y Ricky
126,127,38621,2021,ec,Tutu, Camilo
127,128,38474,2021,ec,PORFA Remix ( Feat. Maluma Nicky Jam Sech) - Remix, Feid
128,129,38472,2021,ec,UN PESO, J Balvin
129,130,38312,2021,ec,Ayer Me Llamó Mi Ex (feat. Lenny Santos), KHEA
130,131,38231,2021,ec,34+35, Ariana Grande
131,132,38189,2021,ec,EL MUNDO ES MÍO, Bad Bunny
132,133,38061,2021,ec,Mamichula - con Nicki Nicole, Trueno
133,134,37886,2021,ec,El Efecto, Rauw Alejandro
134,135,37839,2021,ec,Tak Tiki Tak, Harry Nach
135,136,37320,2021,ec,Destino, Greeicy
136,137,37132,2021,ec,Victoria, Lunay
137,138,36858,2021,ec,La Mitad, Camilo
138,139,36731,2021,ec,El Efecto - Remix, Rauw Alejandro
139,140,36507,2021,ec,QUE PRETENDES, J Balvin
140,141,36376,2021,ec,Life Goes On, BTS
141,142,36174,2021,ec,+Linda, Dalex
142,143,35903,2021,ec,Snowman, Sia
143,144,35876,2021,ec,positions, Ariana Grande
144,145,35141,2021,ec,Bonita, Jeeiph
145,146,35017,2021,ec,Someone You Loved, Lewis Capaldi
146,147,34928,2021,ec,Bichiyal, Bad Bunny
147,148,34889,2021,ec,Desnudarte, Brytiago
148,149,34816,2021,ec,Amantes y Amigos, Arcangel
149,150,34766,2021,ec,De Los Besos Que Te Di, Christian Nodal
150,151,34357,2021,ec,Levitating (feat. DaBa,)  
151,152,33965,2021,ec,Adan y Eva, Paulo Londra
152,153,33824,2021,ec,Dile, Don Omar
153,154,33198,2021,ec,Cuenta Conmigo (feat. Mozart La Para), Mike Bahía
154,155,33046,2021,ec,Chachachá, Jósean Log
155,156,32758,2021,ec,Amén, Ricardo Montaner
156,157,32634,2021,ec,Candela, Super Yei
157,158,32540,2021,ec,Colgando en tus manos (con Marta Sánchez), Carlos Baute
158,159,32513,2021,ec,Bajo El Agua, Manuel Medrano
159,160,32324,2021,ec,En Su Nota, Omar Courtz
160,161,32225,2021,ec,Vámonos a Marte, Kevin Kaarl
161,162,32170,2021,ec,Aparentemente 2, Arcangel
162,163,32097,2021,ec,11 PM, Maluma
