,Rank,Streams,Year,Country,Title,Artist
0,1,38120,2022,ee,Vihje, nublu
1,2,31245,2022,ee,?mis sa tegid, 5MIINUST
2,3,24845,2022,ee,abcdefu, GAYLE
3,4,24734,2022,ee,Down Under (feat. Colin Hay), Luude
4,5,24471,2022,ee,Zim Zimma, Marcara
5,6,22688,2022,ee,Heat Waves, Glass Animals
6,7,22263,2022,ee,koptereid, 5MIINUST
7,8,21934,2022,ee,Enemy (with JID) - from the series Arcane League of Legends, Imagine Dragons
8,9,21508,2022,ee,Sacrifice, The Weeknd
9,10,20284,2022,ee,Do It To It, ACRAZE
10,11,19603,2022,ee,Softcore, The Neighbourhood
11,12,19438,2022,ee,Cold Heart - PNAU Remix, Elton John
12,13,18926,2022,ee,Easy On Me, Adele
13,14,17288,2022,ee,INDUSTRY BABY (feat. Jack Harlow), Lil Nas X
14,15,16473,2022,ee,Where Are You Now, Lost Frequencies
15,16,16359,2022,ee,STAY (with Justin Bieber), The Kid LAROI
16,17,15604,2022,ee,Moth To A Flame (with The Weeknd), Swedish House Mafia
17,18,15130,2022,ee,Shivers, Ed Sheeran
18,19,15029,2022,ee,Woman, Doja Cat
19,20,14611,2022,ee,Toxic, BoyWithUke
20,21,14313,2022,ee,Gasoline, The Weeknd
21,22,14141,2022,ee,How Do I Make You Love Me?, The Weeknd
22,23,13929,2022,ee,Pepas, Farruko
23,24,13819,2022,ee,Is There Someone Else?, The Weeknd
24,25,13517,2022,ee,Õnnenumber, Alika Milova
25,26,13437,2022,ee,Sweater Weather, The Neighbourhood
26,27,13001,2022,ee,Bad Habits, Ed Sheeran
27,28,12660,2022,ee,Infinity, Jaymes Young
28,29,12577,2022,ee,The Motto, Tiësto
29,30,11733,2022,ee,Bacardi, Marcara
30,31,11693,2022,ee,Less Than Zero, The Weeknd
31,32,11588,2022,ee,Out of Time, The Weeknd
32,33,11538,2022,ee,Take My Breath, The Weeknd
33,34,11417,2022,ee,Beggin', Måneskin
34,35,11380,2022,ee,My Universe, Coldplay
