,Rank,Streams,Year,Country,Title,Artist
0,1,115309,2022,eg,Etnaset, Muslim - مُسلِم
1,2,114453,2022,eg,Elghazala Ray2a (feat. Mohamed Osama), Karim Mahmoud Abdelaziz
2,3,80616,2022,eg,Keify Keda, Wegz
3,4,74513,2022,eg,FAR2 KHEBRA, Afroto
4,5,70910,2022,eg,SIRI, Shahyn
5,6,65117,2022,eg,Enemy (with JID) - from the series Arcane League of Legends, Imagine Dragons
6,7,64149,2022,eg,Less Than Zero, The Weeknd
7,8,63772,2022,eg,Sacrifice, The Weeknd
8,9,61146,2022,eg,عرفة, Lege-Cy
9,10,61077,2022,eg,عفاريت الأسفلت, Wegz
10,11,57147,2022,eg,Is There Someone Else?, The Weeknd
11,12,53668,2022,eg,How Do I Make You Love Me?, The Weeknd
12,13,53042,2022,eg,Ta3ala Adalla3ak, Bahaa Sultan
13,14,51748,2022,eg,Mesh Nadman, Muslim - مُسلِم
14,15,50208,2022,eg,Out of Time, The Weeknd
15,16,50175,2022,eg,Konty 2olely, Mohammed Saeed
16,17,49347,2022,eg,Tegy Ntrahn, Tamer Ashour
17,18,47903,2022,eg,Gasoline, The Weeknd
18,19,43799,2022,eg,Best Friends, The Weeknd
19,20,42727,2022,eg,Inta El Haz, Amr Diab
20,21,42456,2022,eg,RAKAM 1 DA MESH ENTA, El Joker
21,22,42239,2022,eg,INDUSTRY BABY (feat. Jack Harlow), Lil Nas X
22,23,42062,2022,eg,Msh Bel 7ozoz - مش بالحظوظ, Afroto
23,24,41832,2022,eg,Take My Breath, The Weeknd
24,25,41570,2022,eg,Tesla, Marwan Moussa
25,26,41268,2022,eg,Tege Goal, Afroto
26,27,39508,2022,eg,Starry Eyes, The Weeknd
27,28,38878,2022,eg,3la 3eny, Ahmed Kamel
28,29,37592,2022,eg,أسياد الصوت, Wegz
29,30,37545,2022,eg,I Heard You’re Married (feat. Lil Wayne), The Weeknd
30,31,37534,2022,eg,مفيش مانع, Lege-Cy
31,32,37299,2022,eg,البوصلة ضاعت, Marwan Moussa
32,33,37174,2022,eg,El QOWA, Mousv
33,34,36833,2022,eg,Here We Go… Again (feat. Tyler the Creator), The Weeknd
34,35,36667,2022,eg,Betadeen, Lege-Cy
35,36,36624,2022,eg,Sindbad, Marwan Pablo
36,37,36235,2022,eg,HUSTLE, Marwan Moussa
37,38,35918,2022,eg,Talabat W Elnaghnagha - Law Talabet, Ahmed Kamel
38,39,35904,2022,eg,واحد وعشرين, Wegz
39,40,35348,2022,eg,Dawn FM, The Weeknd
40,41,33620,2022,eg,خطر (ياللي سيرتي تعباك), Hoda Bondok
41,42,33499,2022,eg,La Malama (Bonus Track), Mohamed Hamaki
42,43,32594,2022,eg,Don’t Break My Heart, The Weeknd
43,44,32542,2022,eg,CTRL, Marwan Pablo
44,45,32460,2022,eg,كان نفسي, Wegz
45,46,32054,2022,eg,El Melouk - الملوك, Ahmed Saad
46,47,31859,2022,eg,Free, Marwan Pablo
47,48,30989,2022,eg,Mamlaka, A
48,49,30786,2022,eg,سكرتي, Wegz
49,50,30448,2022,eg,Awadeeh, Abo El Anwar
50,51,30354,2022,eg,STAY (with Justin Bieber), The Kid LAROI
51,52,29860,2022,eg,Ray'a, Amr Diab
52,53,29698,2022,eg,شيراتون, Marwan Moussa
53,54,29534,2022,eg,Ghaba, Marwan Pablo
54,55,29392,2022,eg,Heat Waves, Glass Animals
55,56,29087,2022,eg,El 3aw - العو, Double Zuksh
56,57,29069,2022,eg,وسط دموع وجراح, Essam Saasa
57,58,28587,2022,eg,Samurai, Cairokee
58,59,28421,2022,eg,Denamet, Molotof
59,60,28342,2022,eg,Infinity, Jaymes Young
60,61,28068,2022,eg,love nwantiti (ah ah ah), CKay
61,62,27998,2022,eg,تاني, Lege-Cy
62,63,27525,2022,eg,إتنين بليل, Lege-Cy
63,64,27227,2022,eg,Msh Khalsa, Wegz
64,65,26974,2022,eg,Easy On Me, Adele
65,66,26944,2022,eg,A Tale By Quincy, The Weeknd
66,67,26652,2022,eg,abcdefu, GAYLE
67,68,26647,2022,eg,خد و هات, Wegz
68,69,26384,2022,eg,طلقاتى راشقه, حمو الطيخا
69,70,26264,2022,eg,Every Angel is Terrifying, The Weeknd
70,71,25651,2022,eg,ثرثرة, Lege-Cy
71,72,25641,2022,eg,3latol, Abo El Anwar
72,73,25521,2022,eg,Amaken El Sahar, Amr Diab
73,74,24883,2022,eg,Law, Mohammed Saeed
74,75,24724,2022,eg,Mmmm Mmmm, Abo El Anwar
75,76,24669,2022,eg,صاحبي من غبائه, Mody Amin
76,77,24094,2022,eg,Kan Lak Ma'aya (Feat. Umm Kulthum), Cairokee
77,78,23907,2022,eg,Toxic, BoyWithUke
78,79,23897,2022,eg,دورك جي, Wegz
79,80,23692,2022,eg,Habibty, Hassan Shakosh
80,81,23675,2022,eg,Basha E3temed, A
81,82,23636,2022,eg,Law Hatsib, Mohamed Hamaki
82,83,23527,2022,eg,Abl Mawsalek, Muslim - مُسلِم
83,84,23410,2022,eg,EL 3abaseya, Abo El Anwar
84,85,23395,2022,eg,Phantom Regret, Jim  
85,86,23259,2022,eg,MONEY, LISA
86,87,22989,2022,eg,BIG MAFIA, Marwan Moussa
87,88,22851,2022,eg,Sogara, Afroto
88,89,22664,2022,eg,صنع في مصر (عشان انا حته تقيله ف البلد), مسلم
89,90,22481,2022,eg,TOTLOB AMA TOTLOB, El Joker
90,91,22220,2022,eg,Enta Habibi Yala, Double Zuksh
91,92,21928,2022,eg,مسجون حزين, Hamo ElTikha
92,93,21843,2022,eg,El Gemeza, Marwan Pablo
93,94,21752,2022,eg,Mraite, Moustafa Max
94,95,21528,2022,eg,اللقطة, Wegz
95,96,21417,2022,eg,مسيطره, Lamis Kan
96,97,21237,2022,eg,الغسالة, Wegz
97,98,21023,2022,eg,Skhent Gamed, Marwan Moussa
98,99,20839,2022,eg,Oyouno Lama Ablony, Ramy Sabry
99,100,20469,2022,eg,Woman, Doja Cat
100,101,20421,2022,eg,يا سبايسي (سجلتك على التليفون هارتي), Seif Magdy
101,102,20180,2022,eg,Wa7ed Wa7ed, A
102,103,19955,2022,eg,Blinding Lights, The Weeknd
103,104,19876,2022,eg,Tarsh, 3enba
104,105,19668,2022,eg,Arosty, Sharmoofers
105,106,19644,2022,eg,بطل, 3enba
106,107,19549,2022,eg,Ma3lesh Ana Toht, A
107,108,19415,2022,eg,Saaba, Tamer Hosny
108,109,19025,2022,eg,Ala Ba'ady, Afroto
109,110,18975,2022,eg,Hamoot Men Gherha, Ramy Sabry
110,111,18874,2022,eg,Save Your Tears, The Weeknd
111,112,18357,2022,eg,ممنوع حد يقرب منك, Essam Saasa
112,113,18265,2022,eg,Hustla, Wegz
113,114,18203,2022,eg,MONTERO (Call Me By Your Name), Lil Nas X
114,115,18150,2022,eg,Beggin', Måneskin
115,116,17832,2022,eg,MIDDLE OF THE NIGHT, Elley Duhé
116,117,17774,2022,eg,Bestek Now, Shahyn
117,118,17697,2022,eg,Al, Plastic  
118,119,17543,2022,eg,انا بعشقني اوي يابا, Essam Saasa
119,120,17512,2022,eg,SAFINA, Mousv
120,121,17492,2022,eg,Zayaha Meen, Mohamed Hamaki
121,122,17433,2022,eg,Ouzoreny, Khaled Essam El Deen
122,123,17183,2022,eg,STR3, DizzyTooSkinny
123,124,17152,2022,eg,ما علينا, Shahyn
124,125,17121,2022,eg,El Donia El Helwa, Amr Diab
125,126,16988,2022,eg,Need to Know, Doja Cat
126,127,16961,2022,eg,Geb Felos, Molotof
127,128,16947,2022,eg,Hayaty Msh Tamam, Ramy Sabry
128,129,16692,2022,eg,lovely (with Khalid), Billie Eilish
129,130,16667,2022,eg,Agans, Shehab
130,131,16584,2022,eg,Dawla, 3enba
131,132,16528,2022,eg,Meen Fe Dol, Ahmed Kamel
132,133,16521,2022,eg,Moth To A Flame (with The Weeknd), Swedish House Mafia
133,134,16421,2022,eg,Hetta Tanya, Ru
134,135,16180,2022,eg,ع الصامت, Lege-Cy
135,136,16177,2022,eg,Forsa, Double Zuksh
136,137,16113,2022,eg,Kol El Nas, El Sawareekh
137,138,16104,2022,eg,El 3bd W El Waili, El Waili
138,139,16043,2022,eg,3ASAS, Mousv
139,140,15873,2022,eg,MA YORAM, Lil Baba
140,141,15870,2022,eg,Salamat Ala Nas Amaloly Ekhwat, Ameen Khattab
141,142,15848,2022,eg,Ouda, Hamid Al Shaeri
142,143,15687,2022,eg,شقطت منك حبيبتك ياعم, حمو الطيخا
143,144,15674,2022,eg,Matgreesh, VLI WEEZY
144,145,15647,2022,eg,El 3asal, Donia Wael
145,146,15642,2022,eg,Gaw El Banat, Mohamed Ramadan
146,147,15610,2022,eg,Min Mafesh, Molotof
147,148,15560,2022,eg,Beluga, Marwan Moussa
148,149,15558,2022,eg,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy), Amaarae
149,150,15365,2022,eg,Raghm El Masafa, Massar Egbari
150,151,15364,2022,eg,Bahebak, Tamer Hosny
151,152,15321,2022,eg,Happier Than Ever, Billie Eilish
152,153,15318,2022,eg,Atary, Marwan Pablo
153,154,15252,2022,eg,انا ابن ابويا وامى, حمو الطيخا
154,155,15240,2022,eg,Haneialik, Muslim - مُسلِم
155,156,15129,2022,eg,Fady Shewaya, Hamza Namira
156,157,15047,2022,eg,Bel Salama - Lorry Pt. 2 Remix, Molotof
157,158,14982,2022,eg,Narcos, Arsenik
158,159,14935,2022,eg,مش فير, Wegz
159,160,14895,2022,eg,مهرجان شيماء سوسته, xMusicx
160,161,14859,2022,eg,El Hob Fein, Marwan Pablo
161,162,14853,2022,eg,love nwantiti (feat. Dj Yo! & AX'EL) - Remix, CKay
162,163,14817,2022,eg,Tayarat, 3enba
163,164,14816,2022,eg,Piece Of My Heart, Hussain Aljassmi
164,165,14685,2022,eg,MESH ZAY ELE 7ASO, El Joker
165,166,14645,2022,eg,عقباوي دمي حامي, Hamada Abo El Soud
166,167,14624,2022,eg,Sweater Weather, The Neighbourhood
167,168,14566,2022,eg,Abu Mecca, Marwan Pablo
168,169,14531,2022,eg,فتش فتش, احمد الدوجري
169,170,14504,2022,eg,ساليني, Wegz
170,171,14397,2022,eg,يلا نفتح الحساب, احمد موزه
171,172,14370,2022,eg,Ouly, Ahmed Kamel
172,173,14344,2022,eg,Enemy - From the series Arcane League of Legends, Imagine Dragons
173,174,14199,2022,eg,Kalem El Matafy, Intomymind
174,175,14117,2022,eg,Oloolo Samah, Tamer Ashour
175,176,14070,2022,eg,Die For You, The Weeknd
176,177,13983,2022,eg,Mehtag L Wogodk, Mohammed Saeed
177,178,13958,2022,eg,Kiss Me More (feat. SZA), Doja Cat
178,179,13913,2022,eg,Rolling in the Deep, Adele
179,180,13905,2022,eg,فانتازيا, Lege-Cy
180,181,13894,2022,eg,Tamally Maak, Amr Diab
181,182,13881,2022,eg,You Right, Doja Cat
182,183,13844,2022,eg,Amrikkka, Shabjdeed
183,184,13800,2022,eg,عايز انام, Shehab
184,185,13753,2022,eg,Unstoppable, Sia
185,186,13746,2022,eg,Arcade, Duncan Laurence
186,187,13620,2022,eg,بوم طخ طخ, Essam Sasa
187,188,13568,2022,eg,مش مسيكب, Shehab
188,189,13541,2022,eg,One Right Now (with The Weeknd), Post Malone
