,Rank,Streams,Year,Country,Title,Artist
0,1,76164,2017,gr,Shape of You, Ed Sheeran
1,2,37779,2017,gr,Castle on the Hill, Ed Sheeran
2,3,34824,2017,gr,Starboy, The Weeknd
3,4,24781,2017,gr,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""", ZAYN
4,5,22380,2017,gr,Rocka,e (feat. Sean Paul & Anne-Marie)  
5,6,18957,2017,gr,Fake Love, Drake
6,7,18190,2017,gr,Closer, The Chainsmokers
7,8,18044,2017,gr,I Feel It Coming, The Weeknd
8,9,17855,2017,gr,Let Me Love You, DJ Snake
9,10,16972,2017,gr,Don't Wanna Know, Maroon 5
10,11,16356,2017,gr,Call On Me - Ryan Riback Extended Remix, Starley
11,12,15694,2017,gr,Black Beatles, Rae Sremmurd
12,13,15001,2017,gr,One Dance, Drake
13,14,14963,2017,gr,Say You Won't Let Go, James Arthur
14,15,14085,2017,gr,24K Magic, Bruno Mars
15,16,14067,2017,gr,Chantaje (feat. Maluma), Shakira
16,17,14046,2017,gr,Just Hold On, Steve Aoki
17,18,13459,2017,gr,Side To Side, Ariana Grande
18,19,12965,2017,gr,Bad Things (with Camila Cabello), Machine Gun Kelly
19,20,12469,2017,gr,Mercy, Shawn Mendes
20,21,12115,2017,gr,Treat You Better, Shawn Mendes
21,22,12111,2017,gr,In the Name of Love, Martin Garrix
22,23,12056,2017,gr,Heathens, Twenty One Pilots
23,24,12051,2017,gr,Bad and Boujee (feat. Lil Uzi Vert), Migos
24,25,12006,2017,gr,Party Monster, The Weeknd
25,26,11916,2017,gr,Cold Water (feat. Justin Bieber & MØ), Major Lazer
26,27,11871,2017,gr,All We Know, The Chainsmokers
27,28,11714,2017,gr,Human, Rag'n'Bone Man
28,29,11295,2017,gr,All Night, The Vamps
29,30,10875,2017,gr,Now and Later, Sage The Gemini
30,31,10839,2017,gr,I Would Like, Zara Larsson
31,32,10521,2017,gr,Don't Let Me Down (feat. Daya), The Chainsmokers
32,33,10223,2017,gr,Photograph, Ed Sheeran
33,34,10127,2017,gr,"How Far I'll Go - From ""Moana""", Alessia Cara
34,35,10083,2017,gr,Love Me Now, John Legend
35,36,9721,2017,gr,Scars To Your Beautiful, Alessia Cara
36,37,9714,2017,gr,Starving, Hailee Steinfeld
37,38,9698,2017,gr,Cheap Thrills, Sia
38,39,9615,2017,gr,All Time Low, Jon Bellion
39,40,9465,2017,gr,We Don't Talk Anymore (feat. Selena Gomez), Charlie Puth
40,41,9394,2017,gr,By Your Side, Jonas Blue
41,42,9093,2017,gr,Shed a Light, Robin Schulz
42,43,8881,2017,gr,I Got You, Bebe Rexha
43,44,8634,2017,gr,Sidewalks, The Weeknd
44,45,8599,2017,gr,Weak, AJR
45,46,8551,2017,gr,My Way, Calvin Harris
46,47,8294,2017,gr,Hear Me Now, Alok
47,48,8284,2017,gr,Six Feet Under, The Weeknd
48,49,8034,2017,gr,Sunset Lover, Petit Biscuit
49,50,8006,2017,gr,Panda, Desiigner
50,51,7524,2017,gr,Thinking out Loud, Ed Sheeran
51,52,7423,2017,gr,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")", Justin Timberlake
52,53,7197,2017,gr,The Mack, Nevada
53,54,6998,2017,gr,Solo Dance, Martin Jensen
54,55,6879,2017,gr,Broccoli (feat. Lil Yachty), Shelley FKA DRAM
55,56,6877,2017,gr,The Greatest (feat. Kendrick Lamar), Sia
56,57,6845,2017,gr,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars), Vice
57,58,6658,2017,gr,I Took A Pill In Ibiza - Seeb Remix, Mike Posner
58,59,6374,2017,gr,Trust Nobody (feat. Selena Gomez & Tory Lanez), Cashmere Cat
59,60,6303,2017,gr,Lighthouse - Andrelli Remix, Hearts & Colors
60,61,6284,2017,gr,Stressed Out, Twenty One Pilots
61,62,6243,2017,gr,Sucker for Pain (with Wiz Khalifa Imagine Dragons Logic & Ty Dolla $ign feat. X Ambassadors), Lil Wayne
62,63,6224,2017,gr,Work from Home (feat. Ty Dolla $ign), Fifth Harmony
63,64,6064,2017,gr,Lot to Learn, Luke Christopher
64,65,6031,2017,gr,Some Kind Of Drug (feat. Marc E. Bassy), G-Eazy
65,66,5855,2017,gr,Not Going Home (feat. Gia Koka), DVBBS
66,67,5799,2017,gr,Die For You, The Weeknd
67,68,5782,2017,gr,This Is What You Came For (feat. Rihanna), Calvin Harris
68,69,5743,2017,gr,Caroline, Aminé
