,Rank,Streams,Year,Country,Title,Artist
0,1,104044,2018,gt,Déjala Que Vuelva (feat. Manuel Turizo), Piso 21
1,2,86342,2018,gt,Sensualidad, Bad Bunny
2,3,79124,2018,gt,Criminal, Natti Natasha
3,4,71129,2018,gt,Corazón, Maluma
4,5,68418,2018,gt,Se Preparó, Ozuna
5,6,66145,2018,gt,Échame La Culpa, Luis Fonsi
6,7,61730,2018,gt,Que Va, Alex Sensation
7,8,61589,2018,gt,Downtown, Anitta
8,9,54490,2018,gt,Bella, Wolfine
9,10,54027,2018,gt,Mayores, Becky G
10,11,52567,2018,gt,Quiero Repetir, Ozuna
11,12,51690,2018,gt,Vuelve, Daddy Yankee
12,13,50989,2018,gt,Suena El Dembow, Joey Montana
13,14,50112,2018,gt,Me Rehúso, Danny Ocean
14,15,48430,2018,gt,Báilame - Remix, Nacho
15,16,47716,2018,gt,SUTRA, Sebastian Yatra
16,17,46619,2018,gt,Robarte un Beso, Carlos Vives
17,18,46113,2018,gt,Bella y Sensual, Romeo Santos
18,19,44646,2018,gt,Escápate Conmigo (feat. Ozuna), Wisin
19,20,42253,2018,gt,Dembow, Danny Ocean
20,21,40875,2018,gt,Déjate Llevar, Juan Magán
21,22,40478,2018,gt,Explícale (feat. Bad Bunny), Yandel
22,23,40336,2018,gt,Esperándote, Manuel Turizo
23,24,39613,2018,gt,Perro Fiel (feat. Nicky Jam), Shakira
24,25,37410,2018,gt,3 A.M., Jesse & Joy
25,26,36114,2018,gt,Ahora Dice, Chris Jedi
26,27,35548,2018,gt,Una Lady Como Tú, Manuel Turizo
27,28,35253,2018,gt,rockstar, Post Malone
28,29,35151,2018,gt,Síguelo Bailando, Ozuna
29,30,33696,2018,gt,Chambea, Bad Bunny
30,31,33490,2018,gt,Bonita, J Balvin
31,32,32961,2018,gt,Besame, Valentino
32,33,32742,2018,gt,Como Antes (feat. Wisin), Yandel
33,34,31780,2018,gt,Tú Foto, Ozuna
34,35,31615,2018,gt,Havana - Remix, Camila Cabello
35,36,31502,2018,gt,El Farsante, Ozuna
36,37,31173,2018,gt,Sola, Anuel AA
37,38,30926,2018,gt,Loco Enamorado, Abraham Mateo
38,39,30782,2018,gt,New Rules, Dua Lipa
39,40,30637,2018,gt,Mi Gente, J Balvin
40,41,30452,2018,gt,Felices los 4, Maluma
41,42,29783,2018,gt,Mamita, CNCO
42,43,28841,2018,gt,#Natural, Paty Cantú
43,44,28680,2018,gt,GPS (feat. French Montana), Maluma
44,45,28482,2018,gt,Bum Bum Tam Tam, MC Fioti
45,46,27642,2018,gt,Havana (feat. Young Thug), Camila Cabello
46,47,27566,2018,gt,Wolves, Selena Gomez
47,48,26274,2018,gt,What Lovers Do (feat. SZA), Maroon 5
48,49,25620,2018,gt,Shape of You, Ed Sheeran
49,50,25209,2018,gt,Besos En Guerra, Morat
50,51,22803,2018,gt,Si Tú La Ves (feat. Wisin), Nicky Jam
51,52,22319,2018,gt,Perfect, Ed Sheeran
52,53,22184,2018,gt,La Modelo, Ozuna
53,54,21794,2018,gt,Besándote, Piso 21
54,55,21107,2018,gt,Mi Mala, Mau y Ricky
55,56,20965,2018,gt,La fórmula (feat. Chris Jedi), De La Ghetto
56,57,20905,2018,gt,Hey DJ, CNCO
57,58,20249,2018,gt,Otra vez (feat. J Balvin), Zion & Lennox
58,59,19636,2018,gt,Diles (feat. Arcangel Nengo Flow Dj Luian & Mambo Kings), Ozuna
59,60,18990,2018,gt,El Color de Tus Ojos, Banda MS de Sergio Lizárraga
60,61,18875,2018,gt,Vivo Pensando En Ti (feat. Maluma), Felipe Peláez
61,62,18746,2018,gt,Adiós Amor, Christian Nodal
62,63,18586,2018,gt,Too Good At Good,es  
63,64,17751,2018,gt,Cásate Conmigo, Silvestre Dangond
64,65,17472,2018,gt,Todo Comienza en la Disco, Wisin
65,66,17431,2018,gt,Krippy Kush, Farruko
66,67,17210,2018,gt,Bebe (feat. Anuel AA), Ozuna
67,68,17140,2018,gt,Imitadora, Romeo Santos
68,69,17105,2018,gt,Me llamas (feat. Maluma) - Remix, Piso 21
69,70,17045,2018,gt,El Granjero, Arcangel
70,71,16971,2018,gt,Gucci Gang, Lil Pump
71,72,16945,2018,gt,Bonita - Remix, J Balvin
72,73,16475,2018,gt,La Rompe Corazones, Daddy Yankee
73,74,15725,2018,gt,Dusk Till Dawn (feat. Sia) - Radio Edit, ZAYN
74,75,15550,2018,gt,Despacito (Featuring Daddy Yankee), Luis Fonsi
75,76,14904,2018,gt,Amor Amor Amor (feat. Wisin), Jennifer Lopez
76,77,14868,2018,gt,Ahora Me Llama, KAROL G
77,78,14862,2018,gt,Let Me Go (with Alesso Florida Georgia Line & watt), Hailee Steinfeld
78,79,14789,2018,gt,Probablemente, Christian Nodal
79,80,14331,2018,gt,Sigo Extrañándote, J Balvin
80,81,14280,2018,gt,Thunder, Imagine Dragons
81,82,14271,2018,gt,Una Lady Como Tú (feat. Nicky Jam) - Remix, Manuel Turizo
82,83,14256,2018,gt,Something Just Like This, The Chainsmokers
83,84,14244,2018,gt,Háblame Bajito, Abraham Mateo
84,85,14184,2018,gt,Vitamina (feat. Arcángel), Maluma
85,86,13977,2018,gt,Ella, Ricardo Arjona
86,87,13567,2018,gt,Soy Peor, Bad Bunny
87,88,13521,2018,gt,Sexto Sentido (feat. Bad Bunny), Gigolo Y La Exce
