,Rank,Streams,Year,Country,Title,Artist
0,1,125435,2020,hk,Yummy, Justin Bieber
1,2,122391,2020,hk,Señorita, Shawn Mendes
2,3,113141,2020,hk,Memories, Maroon 5
3,4,108623,2020,hk,Dance Monkey, Tones And I
4,5,101222,2020,hk,Psycho, Red Velvet
5,6,97077,2020,hk,ROXANNE, Arizona Zervas
6,7,93937,2020,hk,Circles, Post Malone
7,8,91982,2020,hk,everything i wanted, Billie Eilish
8,9,87538,2020,hk,Don't Start Now, Dua Lipa
9,10,79117,2020,hk,說好不哭, Jay Chou
10,11,77232,2020,hk,Falling, Trevor Daniel
11,12,75723,2020,hk,My Oh My (feat. DaBa,)  
12,13,74583,2020,hk,bad guy, Billie Eilish
13,14,74092,2020,hk,"讓愛高飛 - 劇集 ""多功能老婆"" 片尾曲", Pakho Chau
14,15,73951,2020,hk,Blinding Lights, The Weeknd
15,16,69081,2020,hk,Adore You, Harry Styles
16,17,65584,2020,hk,我們都是這樣長大的, Sammi Cheng
17,18,64381,2020,hk,Lose You To Love Me, Selena Gomez
18,19,60074,2020,hk,Someone You Loved, Lewis Capaldi
19,20,57148,2020,hk,Mean It, Lauv
20,21,56730,2020,hk,Watermelon Sugar, Harry Styles
21,22,54886,2020,hk,我們的基因, Kay Tse
22,23,53279,2020,hk,Beautiful People (feat. Khalid), Ed Sheeran
23,24,52764,2020,hk,假使世界原來不像你預期, Charmaine Fong
24,25,52508,2020,hk,未來見, RubberBand
25,26,52227,2020,hk,Into the Unknown, Idina Menzel
26,27,52057,2020,hk,春秋, Hins Cheung
27,28,51765,2020,hk,你瞞我瞞, Jason Chan
28,29,49075,2020,hk,I Don't Care (with Justin Bieber), Ed Sheeran
29,30,49047,2020,hk,人話, Charmaine Fong
30,31,48154,2020,hk,有一種悲傷 - 電影《比悲傷更悲傷的故事》主題曲, A-Lin
31,32,47957,2020,hk,hot girl bummer, blackbear
32,33,47883,2020,hk,The Box, Roddy Ricch
33,34,47449,2020,hk,你好不好? - TVBS連續劇【遺憾拼圖】片尾曲, Eric Chou
34,35,47006,2020,hk,South of the Border (feat. Camila Cabello & Cardi B), Ed Sheeran
35,36,46953,2020,hk,句號, G.E.M.
36,37,46847,2020,hk,7 rings, Ariana Grande
37,38,46602,2020,hk,逃生門 (feat. 王灝兒) - 門外版, Endy Chow
38,39,45673,2020,hk,Heartless, The Weeknd
39,40,45231,2020,hk,Before You Go, Lewis Capaldi
40,41,44295,2020,hk,10000 Hours (with Justin Bieber), Dan + Shay
41,42,43974,2020,hk,囍帖街, Kay Tse
42,43,43949,2020,hk,Sunflower - Spider-Man: Into the Spider-Verse, Post Malone
43,44,43825,2020,hk,How Do You Sleep?, Sam Smith
44,45,43347,2020,hk,告白氣球, Jay Chou
45,46,41875,2020,hk,透明, G.E.M.
46,47,40993,2020,hk,Shallow, Lady Gaga
47,48,40992,2020,hk,可惜我是水瓶座, Miriam Yeung
48,49,40988,2020,hk,Trampoline (with ZAYN), SHAED
49,50,40665,2020,hk,Something Just Like This, The Chainsmokers
50,51,40283,2020,hk,命硬, Justin Lo
51,52,39052,2020,hk,願榮光歸香港, 湯瑪仕與眾香港人
52,53,38516,2020,hk,Two at a time, AGA
53,54,38159,2020,hk,Alone Pt. II, Alan Walker
54,55,38130,2020,hk,心之科學, Joey Yung
55,56,38056,2020,hk,你是你本身的傳奇, Charmaine Fong
56,57,37463,2020,hk,櫻花樹下, Hins Cheung
57,58,36985,2020,hk,明年今日, Eason Chan
58,59,36468,2020,hk,歲月如歌, Eason Chan
59,60,36327,2020,hk,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Ba,) - REMIX  
60,61,36179,2020,hk,怎麼了, Eric Chou
61,62,35770,2020,hk,心淡, Joey Yung
62,63,35394,2020,hk,情感的廢墟, Juno Mak
63,64,35316,2020,hk,Graveyard, Halsey
64,65,35314,2020,hk,Boy With Luv (feat. Halsey), BTS
65,66,34712,2020,hk,Up All Night, Khalid
66,67,34236,2020,hk,說散就散, JC 陳詠桐
67,68,34184,2020,hk,戀無可戀, Leo Ku
68,69,34164,2020,hk,羅生門, Juno Mak
69,70,33935,2020,hk,Shape of You, Ed Sheeran
70,71,33917,2020,hk,Takeaway, The Chainsmokers
71,72,33806,2020,hk,來自天堂的魔鬼, G.E.M.
72,73,33796,2020,hk,突然好想你, Mayday
