,Rank,Streams,Year,Country,Title,Artist
0,1,75265,2019,hn,Calma - Remix, Pedro Capó
1,2,55392,2019,hn,MIA (feat. Drake), Bad Bunny
2,3,54514,2019,hn,Adan y Eva, Paulo Londra
3,4,48417,2019,hn,Solo de Mi, Bad Bunny
4,5,44400,2019,hn,Ella Quiere Beber - Remix, Anuel AA
5,6,41745,2019,hn,Taki Taki (with Selena Gomez Ozuna & Cardi B), DJ Snake
6,7,41624,2019,hn,Bubalu, Becky G
7,8,37159,2019,hn,Adictiva, Daddy Yankee
8,9,36044,2019,hn,Amanece, Anuel AA
9,10,33261,2019,hn,Desconocidos, Mau y Ricky
10,11,32576,2019,hn,Ni Gucci Ni Prada, Kenny Man
11,12,31775,2019,hn,Vaina Loca, Ozuna
12,13,30309,2019,hn,Culpables, KAROL G
13,14,29096,2019,hn,Cuando Te Besé, Becky G
14,15,26372,2019,hn,NI BIEN NI MAL, Bad Bunny
15,16,24500,2019,hn,Otra Noche en Miami, Bad Bunny
16,17,24457,2019,hn,BEBE, 6ix9ine
17,18,23709,2019,hn,Quiere Beber, Anuel AA
18,19,23406,2019,hn,Mocca, Lalo Ebratt
19,20,23031,2019,hn,Créeme, KAROL G
20,21,22965,2019,hn,thank u next, Ariana Grande
21,22,22890,2019,hn,Imposible, Luis Fonsi
22,23,22832,2019,hn,Asesina - Remix, Brytiago
23,24,22298,2019,hn,Reggaeton, J Balvin
24,25,21164,2019,hn,Si Estuviésemos Juntos, Bad Bunny
25,26,20785,2019,hn,Ya No Tiene Novio, Sebastian Yatra
26,27,20670,2019,hn,Estamos Bien, Bad Bunny
27,28,20644,2019,hn,Caro, Bad Bunny
28,29,20597,2019,hn,Mala Mía, Maluma
29,30,20593,2019,hn,Hipócrita, Anuel AA
30,31,19940,2019,hn,Te Boté - Remix, Nio Garcia
31,32,19536,2019,hn,La player (Bandolera), Zion & Lennox
32,33,19210,2019,hn,No Es Justo, J Balvin
33,34,19104,2019,hn,Sunflower - Spider-Man: Into the Spider-Verse, Post Malone
34,35,18499,2019,hn,PPP, Kevin Roldan
35,36,18124,2019,hn,Amigos Con Derechos, Reik
36,37,17927,2019,hn,Puntos Suspensivos, Piso 21
37,38,16869,2019,hn,Subete, Lary Over
38,39,16856,2019,hn,Ibiza, Ozuna
39,40,15971,2019,hn,Sola, Manuel Turizo
40,41,15839,2019,hn,Está Rico, Marc Anthony
41,42,15587,2019,hn,Bohemian Rhapsody - Remastered 2011, Queen
42,43,15584,2019,hn,Girls Like You (feat. Cardi B) - Cardi B Version, Maroon 5
43,44,15349,2019,hn,Mocca - Remix, Lalo Ebratt
