,Rank,Streams,Year,Country,Title,Artist
0,1,283254,2021,ie,Paradise (feat. Dermot Kennedy), MEDUZA
1,2,261404,2021,ie,Giants, Dermot Kennedy
2,3,246280,2021,ie,The Business, Tiësto
3,4,243658,2021,ie,Afterglow, Ed Sheeran
4,5,237997,2021,ie,WITHOUT YOU, The Kid LAROI
5,6,210129,2021,ie,Mood (feat. iann dior), 24kGoldn
6,7,209824,2021,ie,positions, Ariana Grande
7,8,196206,2021,ie,Levitating (feat. DaBa,)  
8,9,193327,2021,ie,Head & Heart (feat. MNEK), Joel Corry
9,10,182148,2021,ie,Anyone, Justin Bieber
10,11,171749,2021,ie,you broke me first, Tate McRae
11,12,163827,2021,ie,Lemonade (feat. Gunna Don Toliver & NAV), Internet Money
12,13,157709,2021,ie,Get Out My Head, Shane Codd
13,14,156533,2021,ie,34+35, Ariana Grande
14,15,154308,2021,ie,What You Know Bout Love, Pop Smoke
15,16,150765,2021,ie,Blinding Lights, The Weeknd
16,17,147576,2021,ie,Sweet Melody, Little Mix
17,18,146884,2021,ie,Whoopty, CJ
18,19,141833,2021,ie,Therefore I Am, Billie Eilish
19,20,140159,2021,ie,Prisoner (feat. Dua Lipa), Miley Cyrus
20,21,126878,2021,ie,HOLIDAY, Lil Nas X
21,22,124633,2021,ie,Looking for Me, Paul Woolford
22,23,123659,2021,ie,willow, Taylor Swift
23,24,117823,2021,ie,Goosebumps, HVME
24,25,116739,2021,ie,Good Days, SZA
25,26,115407,2021,ie,SO DONE, The Kid LAROI
26,27,113695,2021,ie,Outnumbered, Dermot Kennedy
27,28,113048,2021,ie,See Nobody, Wes Nelson
28,29,111150,2021,ie,Watermelon Sugar, Harry Styles
29,30,110754,2021,ie,WAP (feat. Megan Thee Stallion), Cardi B
30,31,107216,2021,ie,ROCKSTAR (feat. Roddy Ricch), DaBa
31,32,106241,2021,ie,Holy (feat. Chance The Rapper), Justin Bieber
32,33,101816,2021,ie,Take You Dancing, Jason Derulo
33,34,99679,2021,ie,Someone You Loved, Lewis Capaldi
34,35,99182,2021,ie,Train Wreck, James Arthur
35,36,98932,2021,ie,Roses - Imanbek Remix, SAINt JHN
36,37,98369,2021,ie,Power Over Me, Dermot Kennedy
37,38,98041,2021,ie,Midnight Sky, Miley Cyrus
38,39,95608,2021,ie,Golden, Harry Styles
39,40,90748,2021,ie,Wishing Well, Juice WRLD
40,41,90653,2021,ie,Really Love (feat. Craig David & Digital Farm Animals), KSI
41,42,90502,2021,ie,Tick Tock (feat. 24kGoldn), Clean Bandit
42,43,89691,2021,ie,Dreams - 2004 Remaster, Fleetwood Mac
43,44,88010,2021,ie,Lasting Lover, Sigala
44,45,87884,2021,ie,Come & Go (with Marshmello), Juice WRLD
45,46,87865,2021,ie,Lonely (with benny blanco), Justin Bieber
46,47,87439,2021,ie,Monster (Shawn Mendes & Justin Bieber), Shawn Mendes
47,48,82830,2021,ie,Put Your Records On, Ritt Momney
48,49,82529,2021,ie,Rain On Me (with Ariana Grande), Lady Gaga
49,50,79515,2021,ie,champagne problems, Taylor Swift
50,51,77313,2021,ie,Dance Monkey, Tones And I
51,52,75704,2021,ie,Before You Go, Lewis Capaldi
52,53,74105,2021,ie,Dynamite, BTS
53,54,73808,2021,ie,For The Night (feat. Lil Ba, & DaBa
54,55,72328,2021,ie,A92 x Fumez The Engineer - Plugged In Freestyle, Fumez The Engineer
55,56,71844,2021,ie,Wonder, Shawn Mendes
56,57,71431,2021,ie,Days Like This, Dermot Kennedy
57,58,71381,2021,ie,Falling, Harry Styles
58,59,70000,2021,ie,Heather, Conan Gray
59,60,68961,2021,ie,Savage Love (Laxed - Siren Beat), Jawsh 685
60,61,68890,2021,ie,Robbery, Juice WRLD
61,62,68397,2021,ie,Heat Waves, Glass Animals
62,63,67812,2021,ie,Laugh Now Cry Later (feat. Lil Durk), Drake
63,64,67532,2021,ie,Don't Start Now, Dua Lipa
64,65,67038,2021,ie,Lucid Dreams, Juice WRLD
65,66,66806,2021,ie,Snowman, Sia
66,67,66766,2021,ie,Breaking Me, Topic
67,68,66491,2021,ie,Sweater Weather, The Neighbourhood
68,69,65200,2021,ie,Ain't It Different (feat. AJ Tracey & Stormzy), Headie One
69,70,64762,2021,ie,i miss u (with Au/Ra), Jax Jones
70,71,64431,2021,ie,Reminds Me Of You, Juice WRLD
71,72,61909,2021,ie,Shallow, Lady Gaga
72,73,60933,2021,ie,Body, Megan Thee Stallion
73,74,60046,2021,ie,Adore You, Harry Styles
74,75,58509,2021,ie,Blueberry Faygo, Lil Mosey
75,76,57100,2021,ie,Loading, Central Cee
76,77,57072,2021,ie,pov, Ariana Grande
77,78,56237,2021,ie,Mr. Brightside, The Killers
78,79,55933,2021,ie,Mood Swings (feat. Lil Tjay), Pop Smoke
79,80,55900,2021,ie,All Girls Are The Same, Juice WRLD
80,81,55510,2021,ie,Circles, Post Malone
81,82,55003,2021,ie,Sunflower - Spider-Man: Into the Spider-Verse, Post Malone
82,83,54458,2021,ie,Lonely, Joel Corry
83,84,54449,2021,ie,Rome, Dermot Kennedy
84,85,54095,2021,ie,Why'd You Only Call Me When You're High?, Arctic Monkeys
85,86,53336,2021,ie,Bruises, Lewis Capaldi
86,87,53215,2021,ie,Lighter (feat. KSI), Nathan Dawe
87,88,52869,2021,ie,no body no crime (feat. HAIM), Taylor Swift
88,89,52633,2021,ie,Say You Won't Let Go, James Arthur
89,90,51904,2021,ie,Martin & Gina, Polo G
90,91,51686,2021,ie,Diamonds, Sam Smith
91,92,51099,2021,ie,Too Many Nights (with JC Stewart), 220 KID
92,93,49570,2021,ie,Godzilla (feat. Juice WRLD), Eminem
93,94,49390,2021,ie,July, Noah Cyrus
94,95,49386,2021,ie,Yellow, Coldplay
95,96,49373,2021,ie,Hayloft, Mother Mother
96,97,49284,2021,ie,Rover (feat. DTG), S1mba
97,98,49002,2021,ie,Someone To You, BANNERS
98,99,48933,2021,ie,If the World Was Ending (feat. Julia Michaels), JP Saxe
99,100,48819,2021,ie,The Box, Roddy Ricch
100,101,48526,2021,ie,Ophelia, The Lumineers
101,102,47987,2021,ie,Dior, Pop Smoke
102,103,47328,2021,ie,Daddy Issues, The Neighbourhood
103,104,46996,2021,ie,gold rush, Taylor Swift
104,105,46533,2021,ie,Secrets, Regard
105,106,46495,2021,ie,Do I Wanna Know?, Arctic Monkeys
106,107,46306,2021,ie,Love Not War (The Tampa Beat), Jason Derulo
107,108,46242,2021,ie,All I Want, Kodaline
108,109,46017,2021,ie,bad guy, Billie Eilish
109,110,45701,2021,ie,No Role Modelz, J. Cole
110,111,45651,2021,ie,my ex's best friend (with blackbear), Machine Gun Kelly
111,112,45613,2021,ie,Black And White, Niall Horan
112,113,45354,2021,ie,‘tis the damn season, Taylor Swift
113,114,45349,2021,ie,Promiscuous, Nelly Furtado
114,115,45196,2021,ie,Heaven On My Mind (with Sigala), Becky Hill
115,116,44945,2021,ie,Life Is Good (feat. Drake), Future
116,117,44886,2021,ie,Plastic Hearts, Miley Cyrus
117,118,44796,2021,ie,Angels Like You, Miley Cyrus
118,119,44501,2021,ie,Don’t Need Love (with GRACEY), 220 KID
119,120,44245,2021,ie,Daisy, Ashnikko
120,121,43831,2021,ie,The Woo (feat. 50 Cent & Roddy Ricch), Pop Smoke
121,122,43642,2021,ie,This City, Sam Fischer
122,123,43568,2021,ie,Classic, MKTO
123,124,43396,2021,ie,All My Friends, Dermot Kennedy
124,125,43286,2021,ie,Location (feat. Burna Boy), Dave
125,126,43151,2021,ie,Be Alright, Dean Lewis
126,127,42920,2021,ie,No Time For Tears, Nathan Dawe
127,128,42667,2021,ie,Take Me To Church, Hozier
128,129,42658,2021,ie,death bed (coffee for your head), Powfu
129,130,42306,2021,ie,everything i wanted, Billie Eilish
130,131,42289,2021,ie,Hello (feat. A Boogie Wit da Hoodie), Pop Smoke
131,132,41997,2021,ie,Dancing On My Own, Calum Scott
132,133,41887,2021,ie,Everywhere - 2017 Remaster, Fleetwood Mac
133,134,41835,2021,ie,cardigan, Taylor Swift
134,135,41575,2021,ie,GO (feat. Juice WRLD), The Kid LAROI
135,136,41172,2021,ie,Hold Me While You Wait, Lewis Capaldi
136,137,41103,2021,ie,exile (feat. Bon Iver), Taylor Swift
137,138,41069,2021,ie,Electric Love, BØRNS
138,139,40931,2021,ie,Memories, Maroon 5
139,140,40908,2021,ie,Break My Heart, Dua Lipa
140,141,40811,2021,ie,The Chain - 2004 Remaster, Fleetwood Mac
141,142,40743,2021,ie,Your New Boyfriend, Wilbur Soot
142,143,40522,2021,ie,Wake Me Up, Avicii
143,144,40262,2021,ie,lovely (with Khalid), Billie Eilish
144,145,40236,2021,ie,F.N, Lil Tjay
145,146,39803,2021,ie,Beautiful People (feat. Khalid), Ed Sheeran
146,147,39796,2021,ie,I Don't Care (with Justin Bieber), Ed Sheeran
147,148,39778,2021,ie,Jocelyn Flores, XXXTENTACION
148,149,39701,2021,ie,Go Your Own Way - 2004 Remaster, Fleetwood Mac
149,150,39651,2021,ie,Own It (feat. Ed Sheeran & Burna Boy), Stormzy
150,151,39582,2021,ie,goosebumps, Travis Scott
151,152,39535,2021,ie,When You Love Someone, James TW
