,Rank,Streams,Year,Country,Title,Artist
0,1,462195,2019,in,Sucker, Jonas Brothers
1,2,343948,2019,in,I Can’t Get Enough (benny blanco Selena Gomez J Balvin Tainy), benny blanco
2,3,236020,2019,in,7 rings, Ariana Grande
3,4,222100,2019,in,Sunflower - Spider-Man: Into the Spider-Verse, Post Malone
4,5,210906,2019,in,Shallow, Lady Gaga
5,6,206310,2019,in,break up with your girlfriend i'm bored, Ariana Grande
6,7,206065,2019,in,"Duniyaa (From ""Luka Chuppi"")", Akhil
7,8,183659,2019,in,i'm so tired..., Lauv
8,9,170821,2019,in,Apna Time Aayega, Ranveer Singh
9,10,163697,2019,in,Wow., Post Malone
10,11,162096,2019,in,Dancing With A Stranger (with Normani), Sam Smith
11,12,160000,2019,in,Talk, Khalid
12,13,154040,2019,in,Con Calma, Daddy Yankee
13,14,148097,2019,in,Don't Call Me Up, Mabel
14,15,144550,2019,in,Without Me, Halsey
15,16,129594,2019,in,"Aankh Marey (From ""Simmba"")", Neha Kakkar
16,17,127106,2019,in,Who Do You Love, The Chainsmokers
17,18,126305,2019,in,Happier, Marshmello
18,19,124546,2019,in,bury a friend, Billie Eilish
19,20,121354,2019,in,"Coca Cola (From ""Luka Chuppi"")", Tony Kakkar
20,21,119983,2019,in,BIBA, Marshmello
21,22,117334,2019,in,Lamberghini, The Doorbeen
22,23,111328,2019,in,She Move It Like, Badshah
23,24,106014,2019,in,Sakhiyaan, Maninder Buttar
24,25,104240,2019,in,Proper Patola, Badshah
25,26,99505,2019,in,Azadi, Dub Sharma
26,27,98665,2019,in,Eastside (with Halsey & Khalid), benny blanco
27,28,91103,2019,in,thank u next, Ariana Grande
28,29,87842,2019,in,"Dilbar (From ""Satyameva Jayate"")", Neha Kakkar
29,30,87243,2019,in,MIDDLE CHILD, J. Cole
30,31,86831,2019,in,Taki Taki (with Selena Gomez Ozuna & Cardi B), DJ Snake
31,32,86746,2019,in,"Morni Banke (From ""Badhaai Ho"")", Guru Randhawa
