,Rank,Streams,Year,Country,Title,Artist
0,1,1377466,2018,it,Diego Armando Maradona, Dark Polo Gang
1,2,1073963,2018,it,La musica non c'è, Coez
2,3,956542,2018,it,Irraggiungibile (feat. Federica Carta), Shade
3,4,889675,2018,it,Havana (feat. Young Thug), Camila Cabello
4,5,796637,2018,it,Perfect, Ed Sheeran
5,6,758704,2018,it,rockstar, Post Malone
6,7,721466,2018,it,Amorevole, Dark Polo Gang
7,8,709007,2018,it,Échame La Culpa, Luis Fonsi
8,9,682266,2018,it,Chosen, Måneskin
9,10,672295,2018,it,Fiori D'Erba, Dark Polo Gang
10,11,653272,2018,it,PERDONAMI, Salmo
11,12,617530,2018,it,Leave a Light On, Tom Walker
12,13,593195,2018,it,River (feat. Ed Sheeran), Eminem
13,14,591318,2018,it,Me Rehúso, Danny Ocean
14,15,588760,2018,it,Perfect Duet (Ed Sheeran & Beyoncé), Ed Sheeran
15,16,585049,2018,it,Fuck Gosha, Dark Polo Gang
16,17,583481,2018,it,Sconosciuti da una vita, J-AX
17,18,575055,2018,it,New Rules, Dua Lipa
18,19,574971,2018,it,Luxory, Dark Polo Gang
19,20,572375,2018,it,What Lovers Do (feat. SZA), Maroon 5
20,21,571475,2018,it,L'amore è, Enrico Nigiotti
21,22,556917,2018,it,Habibi, Ghali
22,23,546448,2018,it,Dusk Till Dawn (feat. Sia) - Radio Edit, ZAYN
23,24,534845,2018,it,Giovane Fuoriclasse, Capo Plaza
24,25,531607,2018,it,Intro, Dark Polo Gang
25,26,530643,2018,it,Whatever It Takes, Imagine Dragons
26,27,503989,2018,it,Cheesecake, Dark Polo Gang
27,28,501357,2018,it,Infamity Show, Nitro
28,29,477687,2018,it,Le luci della città, Coez
29,30,473823,2018,it,Come neve, Giorgia
30,31,467268,2018,it,Poetica, Cesare Cremonini
31,32,446205,2018,it,Shape of You, Ed Sheeran
32,33,442160,2018,it,Wolves, Selena Gomez
33,34,440080,2018,it,More Than You Know, Axwell /\ Ingrosso
34,35,434532,2018,it,Orgasmo, Calcutta
35,36,433237,2018,it,El Party, Jake La Furia
36,37,426399,2018,it,Faccio un casino, Coez
37,38,421042,2018,it,In Giro Con I Miei Cani, Dark Polo Gang
38,39,416031,2018,it,Stavo Pensando A Te, Fabri Fibra
39,40,414052,2018,it,Too Good At Good,es  
40,41,413822,2018,it,Thunder, Imagine Dragons
41,42,413399,2018,it,Something Just Like This, The Chainsmokers
42,43,412759,2018,it,Ti Fa Stare Bene, Caparezza
43,44,412631,2018,it,Nevermind, Dennis Lloyd
44,45,408396,2018,it,La legge del più forte, Tedua
45,46,403266,2018,it,Guarda come flexo, MamboLosco
46,47,396554,2018,it,Magicabula, JUNIOR CALLY
47,48,394791,2018,it,Lulla,  
48,49,384219,2018,it,Favorisca i sentimenti, J-AX
49,50,378018,2018,it,Tran Tran, Sfera Ebbasta
50,51,371874,2018,it,Fuori, Gemitaiz
51,52,368771,2018,it,Ipernova, Mr.Rain
52,53,366402,2018,it,Let You Down, NF
53,54,366383,2018,it,Perfect Symphony (Ed Sheeran & Andrea Bocelli), Ed Sheeran
54,55,359593,2018,it,Fantasmi, Dark Polo Gang
55,56,351182,2018,it,Mi Gente, J Balvin
56,57,339850,2018,it,Io non abito al mare, Francesca Michielin
57,58,337441,2018,it,Milano Bachata, Rkomi
58,59,334923,2018,it,How Long, Charlie Puth
59,60,333701,2018,it,Fino all'imbrunire, Negramaro
60,61,324929,2018,it,Direzione la vita, Annalisa
61,62,315667,2018,it,Almighty, Dark Polo Gang
62,63,302503,2018,it,There's Nothing Holdin' Me Back, Shawn Mendes
63,64,293857,2018,it,Gucci Gang, Lil Pump
64,65,290974,2018,it,Katchi - Ofenbach vs. Nick Waterhouse, Ofenbach
65,66,289343,2018,it,She's On My Mind, JP Cooper
66,67,286339,2018,it,Buona fortuna, Benji & Fede
67,68,285349,2018,it,Galway Girl, Ed Sheeran
68,69,283193,2018,it,Friends (with BloodPop®), Justin Bieber
69,70,282008,2018,it,Sempre In Due, Carl Brave x Franco126
70,71,281865,2018,it,Without You (feat. Sandro Cavazza), Avicii
71,72,281702,2018,it,I Miss You (feat. Julia Michaels), Clean Bandit
72,73,278813,2018,it,Senza Pagare VS T-Pain (feat. T-Pain), J-AX
73,74,272193,2018,it,No Vacancy (feat. Amir), OneRepublic
74,75,270498,2018,it,Trapano, MadMan
75,76,270227,2018,it,What About Us, P!nk
76,77,267751,2018,it,XO Tour Llif3, Lil Uzi Vert
77,78,260894,2018,it,OK, Robin Schulz
78,79,260779,2018,it,Allenamento #2, Capo Plaza
79,80,259809,2018,it,Criminal, Natti Natasha
