,Rank,Streams,Year,Country,Title,Artist
0,1,16716,2018,lu,rockstar, Post Malone
1,2,12929,2018,lu,River (feat. Ed Sheeran), Eminem
2,3,12237,2018,lu,Havana (feat. Young Thug), Camila Cabello
3,4,11732,2018,lu,Him & I (with Halsey), G-Eazy
4,5,9895,2018,lu,Wolves, Selena Gomez
5,6,9659,2018,lu,Let You Down, NF
6,7,9367,2018,lu,Silence, Marshmello
7,8,8748,2018,lu,New Rules, Dua Lipa
8,9,8667,2018,lu,Perfect, Ed Sheeran
9,10,8252,2018,lu,Échame La Culpa, Luis Fonsi
10,11,8141,2018,lu,Finesse - Remix; feat. Cardi B, Bruno Mars
11,12,7874,2018,lu,What Lovers Do (feat. SZA), Maroon 5
12,13,7622,2018,lu,I Miss You (feat. Julia Michaels), Clean Bandit
13,14,7454,2018,lu,Dusk Till Dawn (feat. Sia) - Radio Edit, ZAYN
14,15,7353,2018,lu,Was du Liebe nennst, Bausa
15,16,7276,2018,lu,No Limit, G-Eazy
16,17,7172,2018,lu,Too Good At Good,es  
17,18,7132,2018,lu,All The Stars (with SZA), Kendrick Lamar
18,19,7092,2018,lu,Perfect Duet (Ed Sheeran & Beyoncé), Ed Sheeran
19,20,7073,2018,lu,Shape of You, Ed Sheeran
20,21,6862,2018,lu,Mwaka Moon, Kalash
21,22,6850,2018,lu,So Far Away (feat. Jamie Scott & Romy Dya), Martin Garrix
22,23,6494,2018,lu,I Fall Apart, Post Malone
23,24,6430,2018,lu,Unforgettable, French Montana
24,25,6403,2018,lu,Bartier Cardi (feat. 21 Savage), Cardi B
25,26,6395,2018,lu,Gucci Gang, Lil Pump
26,27,6377,2018,lu,Stargazing, Kygo
27,28,6265,2018,lu,Let Me Go (with Alesso Florida Georgia Line & watt), Hailee Steinfeld
28,29,6138,2018,lu,Feel It Still, Portugal. The Man
29,30,6099,2018,lu,Filthy, Justin Timberlake
30,31,5966,2018,lu,Anywhere, Rita Ora
31,32,5649,2018,lu,Man's Not Hot, Big Shaq
32,33,5480,2018,lu,More Than You Know, Axwell /\ Ingrosso
33,34,5296,2018,lu,Réseaux, Niska
34,35,5261,2018,lu,XO Tour Llif3, Lil Uzi Vert
35,36,5205,2018,lu,Friends (with BloodPop®), Justin Bieber
36,37,5106,2018,lu,Thunder, Imagine Dragons
37,38,4983,2018,lu,Meant to Be (feat. Florida Georgia Line), Bebe Rexha
38,39,4940,2018,lu,Never Be the Same, Camila Cabello
39,40,4895,2018,lu,Congratulations, Post Malone
40,41,4842,2018,lu,Mi Gente, J Balvin
41,42,4790,2018,lu,Ric Flair Drip (with Metro Boomin), Offset
42,43,4763,2018,lu,How Long, Charlie Puth
43,44,4738,2018,lu,Tip Toe (feat. French Montana), Jason Derulo
44,45,4568,2018,lu,Codeine Dreaming (feat. Lil Wayne), Kodak Black
45,46,4541,2018,lu,IDGAF, Dua Lipa
46,47,4512,2018,lu,Home (with Machine Gun Kelly X Ambassadors & Bebe Rexha), Machine Gun Kelly
47,48,4503,2018,lu,Candy Paint, Post Malone
48,49,4393,2018,lu,Tell Me You Love Me, Demi Lovato
