,Rank,Streams,Year,Country,Title,Artist
0,1,2464795,2017,mx,Chantaje (feat. Maluma), Shakira
1,2,2247725,2017,mx,Reggaetón Lento (Bailemos), CNCO
2,3,1765814,2017,mx,Vente Pa' Ca (feat. Maluma), Ricky Martin
3,4,1713022,2017,mx,Safari, J Balvin
4,5,1672457,2017,mx,Otra vez (feat. J Balvin), Zion & Lennox
5,6,1476040,2017,mx,Traicionera, Sebastian Yatra
6,7,1365760,2017,mx,Closer, The Chainsmokers
7,8,1302453,2017,mx,Starboy, The Weeknd
8,9,1284853,2017,mx,Let Me Love You, DJ Snake
9,10,1261349,2017,mx,Ay Mi Dios (feat. Pitbull Yandel & Chacal), IAmChino
10,11,1238896,2017,mx,Shape of You, Ed Sheeran
11,12,1214283,2017,mx,La Bicicleta, Carlos Vives
12,13,1190580,2017,mx,Don't Wanna Know, Maroon 5
13,14,1179874,2017,mx,Me llamas (feat. Maluma) - Remix, Piso 21
14,15,1169803,2017,mx,Rocka,e (feat. Sean Paul & Anne-Marie)  
15,16,1156458,2017,mx,I Feel It Coming, The Weeknd
16,17,1110250,2017,mx,24K Magic, Bruno Mars
17,18,1050868,2017,mx,Dile Que Tu Me Quieres, Ozuna
18,19,993331,2017,mx,Shaky Shaky, Daddy Yankee
19,20,940702,2017,mx,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""", ZAYN
20,21,935208,2017,mx,Cuatro Ba,s (feat. Trap Capos
21,22,928222,2017,mx,Side To Side, Ariana Grande
22,23,922673,2017,mx,We Don't Talk Anymore (feat. Selena Gomez), Charlie Puth
23,24,921280,2017,mx,My Way, Calvin Harris
24,25,874122,2017,mx,Leve, Cartel De Santa
25,26,863395,2017,mx,In the Name of Love, Martin Garrix
26,27,858945,2017,mx,Quiero Que Vuelvas, Alejandro Fernández
27,28,841625,2017,mx,Cold Water (feat. Justin Bieber & MØ), Major Lazer
28,29,832502,2017,mx,Vacaciones, Wisin
29,30,831632,2017,mx,Just Hold On, Steve Aoki
30,31,815061,2017,mx,Hear Me Now, Alok
31,32,810691,2017,mx,Andas En Mi Cabeza, Chino & Nacho
32,33,806830,2017,mx,Adiós Amor, Christian Nodal
33,34,805345,2017,mx,Heathens, Twenty One Pilots
34,35,801778,2017,mx,Borro Cassette, Maluma
35,36,800946,2017,mx,One Dance, Drake
36,37,780948,2017,mx,Chillax (feat. Ky-Mani Marley), Farruko
37,38,729746,2017,mx,Castle on the Hill, Ed Sheeran
38,39,700610,2017,mx,By Your Side, Jonas Blue
39,40,700288,2017,mx,This Is What You Came For (feat. Rihanna), Calvin Harris
40,41,697360,2017,mx,Fake Love, Drake
41,42,689345,2017,mx,Llegaste tú (feat. Reykon), Sofía Reyes
42,43,677806,2017,mx,Say You Won't Let Go, James Arthur
43,44,672558,2017,mx,Fuego, Juanes
44,45,666893,2017,mx,Dueles, Jesse & Joy
45,46,659501,2017,mx,Qué Gano Olvidándote, Reik
46,47,655323,2017,mx,Black Beatles, Rae Sremmurd
47,48,595352,2017,mx,Mercy, Shawn Mendes
48,49,591998,2017,mx,Desde Esa Noche (feat. Maluma), Thalia
49,50,587984,2017,mx,The Greatest (feat. Kendrick Lamar), Sia
50,51,586229,2017,mx,Brillas, León Larregui
51,52,577227,2017,mx,I Took A Pill In Ibiza - Seeb Remix, Mike Posner
52,53,574316,2017,mx,DUELE EL CORAZON (feat. Wisin), Enrique Iglesias
53,54,560421,2017,mx,Mi tesoro (feat. Nicky Jam), Zion & Lennox
54,55,521714,2017,mx,Bobo, J Balvin
55,56,497831,2017,mx,Middle, DJ Snake
56,57,497110,2017,mx,Locos, León Larregui
57,58,488644,2017,mx,Tengo Que Colgar, Banda MS de Sergio Lizárraga
58,59,480654,2017,mx,Cheap Thrills, Sia
59,60,480514,2017,mx,Photograph, Ed Sheeran
60,61,478374,2017,mx,Ride, Twenty One Pilots
61,62,475350,2017,mx,Stressed Out, Twenty One Pilots
62,63,462349,2017,mx,Me Quema, Paulina Rubio
63,64,449120,2017,mx,Don't Let Me Down (feat. Daya), The Chainsmokers
64,65,446183,2017,mx,El Perdedor, Maluma
65,66,441418,2017,mx,Thinking out Loud, Ed Sheeran
66,67,432878,2017,mx,Treat You Better, Shawn Mendes
