,Rank,Streams,Year,Country,Title,Artist
0,1,361445,2021,my,At My Worst, Pink Sweat$
1,2,276033,2021,my,Life Goes On, BTS
2,3,251360,2021,my,34+35, Ariana Grande
3,4,243244,2021,my,positions, Ariana Grande
4,5,240856,2021,my,Heather, Conan Gray
5,6,231120,2021,my,Dynamite, BTS
6,7,222473,2021,my,Lonely (with benny blanco), Justin Bieber
7,8,211320,2021,my,you broke me first, Tate McRae
8,9,197763,2021,my,Anyone, Justin Bieber
9,10,182137,2021,my,Monster (Shawn Mendes & Justin Bieber), Shawn Mendes
10,11,181992,2021,my,Sofia, Clairo
11,12,181861,2021,my,Afterglow, Ed Sheeran
12,13,176435,2021,my,Lovesick Girls, BLACKPINK
13,14,167354,2021,my,willow, Taylor Swift
14,15,162768,2021,my,Love Is Gone - Acoustic, SLANDER
15,16,158528,2021,my,Snowman, Sia
16,17,157676,2021,my,Before You Go, Lewis Capaldi
17,18,153671,2021,my,Levitating (feat. DaBa,)  
18,19,153345,2021,my,Stuck with U (with Justin Bieber), Ariana Grande
19,20,150439,2021,my,Someone You Loved, Lewis Capaldi
20,21,146943,2021,my,CRY FOR ME, TWICE
21,22,142718,2021,my,How You Like That, BLACKPINK
22,23,140053,2021,my,Pulang, K-Clique
23,24,137358,2021,my,Teman, Iman Troye
24,25,136976,2021,my,Therefore I Am, Billie Eilish
25,26,133565,2021,my,Wonder, Shawn Mendes
26,27,127985,2021,my,Purnama, Naim Daniel
27,28,123774,2021,my,Be Kind (with Halsey), Marshmello
28,29,122859,2021,my,Mood (feat. iann dior), 24kGoldn
29,30,122803,2021,my,Fallin’ (Adrenaline), Why Don't We
30,31,120375,2021,my,Mad at Disney, salem ilese
31,32,114250,2021,my,Memories, Maroon 5
32,33,112472,2021,my,Watermelon Sugar, Harry Styles
33,34,109876,2021,my,Ice Cream (with Selena Gomez), BLACKPINK
34,35,107953,2021,my,I CAN'T STOP ME, TWICE
35,36,105555,2021,my,Blinding Lights, The Weeknd
36,37,101544,2021,my,HOLIDAY, Lil Nas X
37,38,99976,2021,my,Holy (feat. Chance The Rapper), Justin Bieber
38,39,99137,2021,my,Mood (Remix) feat. Justin Bieber J Balvin & iann dior, 24kGoldn
39,40,96806,2021,my,刻在我心底的名字 (Your Name Engraved Herein) - 電影<刻在你心底的名字>主題曲, Crowd Lu
40,41,96301,2021,my,Pretty Savage, BLACKPINK
41,42,96070,2021,my,If the World Was Ending (feat. Julia Michaels), JP Saxe
42,43,95126,2021,my,lie to me, Tate McRae
43,44,95023,2021,my,Lemonade (feat. Gunna Don Toliver & NAV), Internet Money
44,45,94656,2021,my,Mimpi, Haqiem Rusli
45,46,93924,2021,my,What You Know Bout Love, Pop Smoke
46,47,92002,2021,my,Aku Bidadari Syurgamu, Dato' Sri Siti Nurhaliza
47,48,91540,2021,my,Say You Won't Let Go, James Arthur
48,49,89289,2021,my,Good Days, SZA
49,50,86504,2021,my,Sakit, Zynakal
50,51,85758,2021,my,Maniac, Conan Gray
51,52,84142,2021,my,Peluang Kedua, Nabila Razali
52,53,83844,2021,my,Better, ZAYN
53,54,81512,2021,my,WITHOUT YOU, The Kid LAROI
54,55,80506,2021,my,Penat, Andi Bernadee
55,56,78460,2021,my,Prisoner (feat. Dua Lipa), Miley Cyrus
56,57,78221,2021,my,Blue & Grey, BTS
57,58,78203,2021,my,Teach Me How To Love, Shawn Mendes
58,59,77874,2021,my,r u ok, Tate McRae
59,60,77762,2021,my,Boy With Luv (feat. Halsey), BTS
60,61,77687,2021,my,It's You, Ali Gatie
61,62,77172,2021,my,Señorita, Shawn Mendes
62,63,76940,2021,my,death bed (coffee for your head), Powfu
63,64,76672,2021,my,Fake, Lauv
64,65,75800,2021,my,pov, Ariana Grande
65,66,75554,2021,my,Intentions (feat. Quavo), Justin Bieber
66,67,74185,2021,my,Circles, Post Malone
67,68,73384,2021,my,Black Mamba, aespa
68,69,73287,2021,my,Psycho, Red Velvet
69,70,73090,2021,my,no body no crime (feat. HAIM), Taylor Swift
70,71,72424,2021,my,Train Wreck, James Arthur
71,72,72130,2021,my,comethru, Jeremy Zucker
72,73,70742,2021,my,lovely (with Khalid), Billie Eilish
73,74,69973,2021,my,Diamonds, Sam Smith
74,75,69540,2021,my,Put Your Records On, Ritt Momney
75,76,68024,2021,my,Be Alright, Dean Lewis
76,77,67257,2021,my,eight(Prod.&Feat. SUGA of BTS), IU
77,78,66845,2021,my,I Like Me Better, Lauv
78,79,66337,2021,my,Maria, Hwa Sa
79,80,65206,2021,my,I.F.L.Y., Bazzi
80,81,64832,2021,my,Terlanjur Cinta, Cakra Khan
81,82,64353,2021,my,You Are The Reason, Calum Scott
82,83,63595,2021,my,Lara, Hael Husaini
83,84,63069,2021,my,Hawái - Remix, Maluma
84,85,62780,2021,my,Fly To My Room, BTS
85,86,62230,2021,my,Without Me, Halsey
86,87,62198,2021,my,Lotus Inn, Why Don't We
87,88,61943,2021,my,飞鸟和蝉, Ren Ran
88,89,61916,2021,my,Perfect, Ed Sheeran
89,90,60719,2021,my,10000 Hours (with Justin Bieber), Dan + Shay
90,91,60661,2021,my,Don't Start Now, Dua Lipa
91,92,60247,2021,my,Golden, Harry Styles
92,93,59980,2021,my,Dance Monkey, Tones And I
93,94,59892,2021,my,SLOW DANCING IN THE DARK, Joji
94,95,59572,2021,my,Play Date, Melanie Martinez
95,96,59303,2021,my,Falling, Trevor Daniel
96,97,58727,2021,my,Telepathy, BTS
97,98,57271,2021,my,Too Good At Good,es  
98,99,57212,2021,my,Falling, Harry Styles
99,100,57034,2021,my,MAGO, GFRIEND
100,101,56885,2021,my,2002, Anne-Marie
101,102,56807,2021,my,NUNU NANA, Jessi
102,103,56604,2021,my,Dancing With Your Ghost, Sasha Alex Sloan
103,104,56442,2021,my,Sunflower - Spider-Man: Into the Spider-Verse, Post Malone
104,105,56291,2021,my,Let Me Down Slowly, Alec Benjamin
105,106,56205,2021,my,Sweater Weather, The Neighbourhood
106,107,55196,2021,my,Savage Love (Laxed - Siren Beat), Jawsh 685
107,108,54839,2021,my,WAP (feat. Megan Thee Stallion), Cardi B
108,109,54620,2021,my,Backyard Boy (with Jeremy Zucker), Claire Rosinkranz
109,110,54388,2021,my,Not Shy, ITZY
110,111,54338,2021,my,What Am I, Why Don't We
111,112,54197,2021,my,Kalau Kau Rindu, Luqman Podolski
112,113,54037,2021,my,Love To Hate Me, BLACKPINK
113,114,54008,2021,my,A Thousand Years, Christina Perri
114,115,53691,2021,my,阿拉斯加海湾, 菲道尔
115,116,53511,2021,my,Shallow, Lady Gaga
116,117,53290,2021,my,Dis-ease, BTS
117,118,53256,2021,my,Kill This Love, BLACKPINK
118,119,52630,2021,my,Stay, BTS
119,120,52483,2021,my,Photograph, Ed Sheeran
120,121,52143,2021,my,Make A Wish (Birthday Song), NCT U
121,122,52135,2021,my,Blueberry Eyes (feat. SUGA of BTS), MAX
122,123,51874,2021,my,Lose You To Love Me, Selena Gomez
123,124,51828,2021,my,Beautiful People (feat. Khalid), Ed Sheeran
124,125,51792,2021,my,ROCKSTAR (feat. Roddy Ricch), DaBa
125,126,51791,2021,my,Whoopty, CJ
126,127,51400,2021,my,Adlina Marie, Haqiem Rusli
127,128,50991,2021,my,You Never Know, BLACKPINK
128,129,50958,2021,my,Sembah, Naim Daniel
129,130,50897,2021,my,Best Part (feat. Daniel Caesar), H.E.R.
130,131,50778,2021,my,7 rings, Ariana Grande
131,132,50674,2021,my,Just the Way You Are, Bruno Mars
132,133,50195,2021,my,90's Love, NCT U
133,134,50185,2021,my,Daisy, Ashnikko
134,135,49904,2021,my,Angels Like You, Miley Cyrus
135,136,49841,2021,my,Bet You Wanna (feat. Cardi B), BLACKPINK
136,137,49598,2021,my,Day & Night, Jung Seung Hwan
137,138,48990,2021,my,Can We Kiss Forever?, Kina
138,139,48966,2021,my,Mmmh, KAI
139,140,48842,2021,my,thank u next, Ariana Grande
140,141,48717,2021,my,Surrender, Natalie Taylor
141,142,48673,2021,my,Say So, Doja Cat
142,143,48347,2021,my,Scars To Your Beautiful, Alessia Cara
143,144,48117,2021,my,Gundah, Ernie Zakri
144,145,48025,2021,my,ROXANNE, Arizona Zervas
145,146,48013,2021,my,WANNABE, ITZY
146,147,47853,2021,my,Sumpah, Naim Daniel
147,148,47808,2021,my,everything i wanted, Billie Eilish
148,149,47304,2021,my,I Don't Care (with Justin Bieber), Ed Sheeran
149,150,46901,2021,my,Take You Dancing, Jason Derulo
150,151,46894,2021,my,Dusk Till Dawn (feat. Sia) - Radio Edit, ZAYN
151,152,46495,2021,my,Entah Apa, Sarah Suhairi
152,153,46491,2021,my,紅蓮華, LiSA
153,154,45944,2021,my,ON, BTS
154,155,45652,2021,my,Empat Dara 2020, Faizal Tahir
155,156,45618,2021,my,you were good to me, Jeremy Zucker
156,157,45546,2021,my,As If It's Your Last, BLACKPINK
157,158,45390,2021,my,Panorama, IZ*ONE
158,159,45327,2021,my,Rewrite The Stars, Zac Efron
159,160,45274,2021,my,Mimpi (feat. Alif), K-Clique
160,161,45221,2021,my,Something Just Like This, The Chainsmokers
