,Rank,Streams,Year,Country,Title,Artist
0,1,16693,2017,ni,Shape of You, Ed Sheeran
1,2,13345,2017,ni,Chantaje (feat. Maluma), Shakira
2,3,13082,2017,ni,Reggaetón Lento (Bailemos), CNCO
3,4,12924,2017,ni,Safari, J Balvin
4,5,12239,2017,ni,Let Me Love You, DJ Snake
5,6,12237,2017,ni,Closer, The Chainsmokers
6,7,12101,2017,ni,Otra vez (feat. J Balvin), Zion & Lennox
7,8,8851,2017,ni,Starboy, The Weeknd
8,9,8774,2017,ni,Vente Pa' Ca (feat. Maluma), Ricky Martin
9,10,8300,2017,ni,Don't Wanna Know, Maroon 5
10,11,8240,2017,ni,One Dance, Drake
11,12,8150,2017,ni,Castle on the Hill, Ed Sheeran
12,13,8001,2017,ni,Cuatro Ba,s (feat. Trap Capos
13,14,7738,2017,ni,La Bicicleta, Carlos Vives
14,15,7372,2017,ni,Cold Water (feat. Justin Bieber & MØ), Major Lazer
15,16,7015,2017,ni,I Took A Pill In Ibiza - Seeb Remix, Mike Posner
16,17,6852,2017,ni,In the Name of Love, Martin Garrix
17,18,6604,2017,ni,24K Magic, Bruno Mars
18,19,6500,2017,ni,Don't Let Me Down (feat. Daya), The Chainsmokers
19,20,6371,2017,ni,Me Rehúso, Danny Ocean
20,21,6079,2017,ni,Treat You Better, Shawn Mendes
21,22,5975,2017,ni,My Way, Calvin Harris
22,23,5751,2017,ni,I Feel It Coming, The Weeknd
23,24,5749,2017,ni,Side To Side, Ariana Grande
24,25,5737,2017,ni,Shaky Shaky, Daddy Yankee
25,26,5563,2017,ni,Ay Mi Dios (feat. Pitbull Yandel & Chacal), IAmChino
26,27,5562,2017,ni,We Don't Talk Anymore (feat. Selena Gomez), Charlie Puth
27,28,5544,2017,ni,Chillax (feat. Ky-Mani Marley), Farruko
28,29,5386,2017,ni,Rocka,e (feat. Sean Paul & Anne-Marie)  
29,30,5307,2017,ni,Middle, DJ Snake
30,31,5158,2017,ni,Cheap Thrills, Sia
31,32,4994,2017,ni,Vacaciones, Wisin
32,33,4977,2017,ni,Black Beatles, Rae Sremmurd
33,34,4858,2017,ni,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""", ZAYN
34,35,4842,2017,ni,Photograph, Ed Sheeran
35,36,4836,2017,ni,Andas En Mi Cabeza, Chino & Nacho
36,37,4821,2017,ni,Dile Que Tu Me Quieres, Ozuna
37,38,4794,2017,ni,Heathens, Twenty One Pilots
38,39,4657,2017,ni,Ride, Twenty One Pilots
39,40,4554,2017,ni,Traicionera, Sebastian Yatra
40,41,4548,2017,ni,This Is What You Came For (feat. Rihanna), Calvin Harris
41,42,4531,2017,ni,Thinking out Loud, Ed Sheeran
42,43,4395,2017,ni,All We Know, The Chainsmokers
