,Rank,Streams,Year,Country,Title,Artist
0,1,819501,2018,no,River (feat. Ed Sheeran), Eminem
1,2,617762,2018,no,Meant to Be (feat. Florida Georgia Line), Bebe Rexha
2,3,614391,2018,no,All Falls Down (feat. Juliander), Alan Walker
3,4,587588,2018,no,Him & I (with Halsey), G-Eazy
4,5,585403,2018,no,rockstar, Post Malone
5,6,527492,2018,no,Walls, Ruben
6,7,523422,2018,no,Strongest, Ina Wroldsen
7,8,516269,2018,no,Let You Down, NF
8,9,508184,2018,no,Home (with Machine Gun Kelly X Ambassadors & Bebe Rexha), Machine Gun Kelly
9,10,496077,2018,no,Rett i foret, Karpe
10,11,455490,2018,no,Perfect Duet (Ed Sheeran & Beyoncé), Ed Sheeran
11,12,445309,2018,no,Wolves, Selena Gomez
12,13,436259,2018,no,Échame La Culpa, Luis Fonsi
13,14,420100,2018,no,Perfect, Ed Sheeran
14,15,411841,2018,no,So Far Away (feat. Jamie Scott & Romy Dya), Martin Garrix
15,16,405108,2018,no,Stargazing, Kygo
16,17,389435,2018,no,I Miss You (feat. Julia Michaels), Clean Bandit
17,18,374522,2018,no,Silence, Marshmello
18,19,355574,2018,no,This Town (feat. Sasha Alex Sloan), Kygo
19,20,348364,2018,no,Havana (feat. Young Thug), Camila Cabello
20,21,330020,2018,no,Dreamer, Axwell /\ Ingrosso
21,22,327536,2018,no,Feel It Still, Portugal. The Man
22,23,325102,2018,no,Dusk Till Dawn (feat. Sia) - Radio Edit, ZAYN
23,24,324336,2018,no,What Lovers Do (feat. SZA), Maroon 5
24,25,323585,2018,no,All The Stars (with SZA), Kendrick Lamar
25,26,321140,2018,no,In My Head, Sophie Elise
26,27,316536,2018,no,Think Before I Talk, Astrid S
27,28,315035,2018,no,For You (Fifty Shades Freed) (& Rita Ora), Liam Payne
28,29,303023,2018,no,Cruel World, Seeb
29,30,299887,2018,no,Incapable, Julie Bergan
30,31,286114,2018,no,Finesse - Remix; feat. Cardi B, Bruno Mars
31,32,280515,2018,no,The Spectre, Alan Walker
32,33,267467,2018,no,Man's Not Hot, Big Shaq
33,34,266414,2018,no,I Fall Apart, Post Malone
34,35,258171,2018,no,Too Good At Good,es  
35,36,257495,2018,no,New Rules, Dua Lipa
36,37,254428,2018,no,Candy Paint, Post Malone
37,38,249488,2018,no,Let Me Go (with Alesso Florida Georgia Line & watt), Hailee Steinfeld
