,Rank,Streams,Year,Country,Title,Artist
0,1,317240,2017,pe,Reggaetón Lento (Bailemos), CNCO
1,2,296434,2017,pe,Chantaje (feat. Maluma), Shakira
2,3,241792,2017,pe,Otra vez (feat. J Balvin), Zion & Lennox
3,4,234930,2017,pe,Safari, J Balvin
4,5,212930,2017,pe,Vente Pa' Ca (feat. Maluma), Ricky Martin
5,6,209897,2017,pe,Ay Mi Dios (feat. Pitbull Yandel & Chacal), IAmChino
6,7,195145,2017,pe,Let Me Love You, DJ Snake
7,8,183899,2017,pe,Shaky Shaky, Daddy Yankee
8,9,179077,2017,pe,La Bicicleta, Carlos Vives
9,10,176244,2017,pe,Shape of You, Ed Sheeran
10,11,161002,2017,pe,24K Magic, Bruno Mars
11,12,150703,2017,pe,Andas En Mi Cabeza, Chino & Nacho
12,13,146691,2017,pe,Dile Que Tu Me Quieres, Ozuna
13,14,145825,2017,pe,Starboy, The Weeknd
14,15,144145,2017,pe,Don't Wanna Know, Maroon 5
15,16,142124,2017,pe,Traicionera, Sebastian Yatra
16,17,141125,2017,pe,Closer, The Chainsmokers
17,18,140837,2017,pe,Cuatro Ba,s (feat. Trap Capos
18,19,139759,2017,pe,Chillax (feat. Ky-Mani Marley), Farruko
19,20,136680,2017,pe,Me llamas (feat. Maluma) - Remix, Piso 21
20,21,133530,2017,pe,One Dance, Drake
21,22,119760,2017,pe,Desde Esa Noche (feat. Maluma), Thalia
22,23,115400,2017,pe,Vacaciones, Wisin
23,24,114690,2017,pe,Rocka,e (feat. Sean Paul & Anne-Marie)  
24,25,112576,2017,pe,Tienes La Magia, Lil Silvio & El Vega
25,26,111327,2017,pe,Cold Water (feat. Justin Bieber & MØ), Major Lazer
26,27,111270,2017,pe,In the Name of Love, Martin Garrix
27,28,108899,2017,pe,Qué Bonito, Vicky Corbacho
28,29,108485,2017,pe,Side To Side, Ariana Grande
29,30,104463,2017,pe,My Way, Calvin Harris
30,31,104429,2017,pe,Diles (feat. Arcangel Nengo Flow Dj Luian & Mambo Kings), Ozuna
31,32,102884,2017,pe,We Don't Talk Anymore (feat. Selena Gomez), Charlie Puth
32,33,100797,2017,pe,Borro Cassette, Maluma
33,34,98367,2017,pe,DUELE EL CORAZON (feat. Wisin), Enrique Iglesias
34,35,93640,2017,pe,Gyal You A Party Animal - Remix, Charly Black
35,36,92798,2017,pe,Ya Me Enteré (feat. Nicky Jam) - Urban Version, Reik
36,37,91921,2017,pe,I Feel It Coming, The Weeknd
37,38,91457,2017,pe,Castle on the Hill, Ed Sheeran
38,39,89693,2017,pe,I Took A Pill In Ibiza - Seeb Remix, Mike Posner
39,40,85931,2017,pe,Sola, Anuel AA
40,41,84925,2017,pe,Don't Let Me Down (feat. Daya), The Chainsmokers
41,42,81865,2017,pe,La Gozadera (feat. Marc Anthony), Gente De Zona
42,43,81626,2017,pe,Treat You Better, Shawn Mendes
43,44,80831,2017,pe,Heathens, Twenty One Pilots
44,45,80734,2017,pe,Bobo, J Balvin
45,46,80675,2017,pe,No Quiere Enamorarse (Remix) [feat. Daddy Yankee], Ozuna
46,47,78969,2017,pe,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")", Justin Timberlake
47,48,76516,2017,pe,Cake By The Ocean, DNCE
48,49,75248,2017,pe,Ride, Twenty One Pilots
49,50,69897,2017,pe,Middle, DJ Snake
50,51,66890,2017,pe,Manicomio, Cosculluela
51,52,66126,2017,pe,Me Ama Me Odia, Ozuna
52,53,63647,2017,pe,Hasta el Amanecer, Nicky Jam
53,54,63217,2017,pe,Te Quiero Pa´Mi, Don Omar
54,55,61277,2017,pe,Cheap Thrills, Sia
55,56,60785,2017,pe,Te Vas, Ozuna
56,57,60388,2017,pe,This Is What You Came For (feat. Rihanna), Calvin Harris
57,58,57881,2017,pe,Traicionera - Remix, Sebastian Yatra
58,59,57525,2017,pe,Fuego, Juanes
59,60,56445,2017,pe,Por Fin Te Encontré, Cali Y El Dandee
60,61,56434,2017,pe,Bailame Despacio, Xantos
61,62,56317,2017,pe,Gyal You A Party Animal, Charly Black
62,63,55955,2017,pe,Just Hold On, Steve Aoki
63,64,55251,2017,pe,Ruleta Rusa, Kevin Roldan
64,65,55034,2017,pe,Photograph, Ed Sheeran
65,66,54737,2017,pe,Un Bellakeo (feat. Alexio Pusho & Juanka El Problematik), Ozuna
66,67,54249,2017,pe,Thinking out Loud, Ed Sheeran
67,68,52966,2017,pe,Si me dices que sí (feat. Nicky Jam), Cosculluela
68,69,52922,2017,pe,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""", ZAYN
69,70,52371,2017,pe,Encantadora (feat. Farruko & Zion & Lennox) - Remix, Yandel
70,71,51828,2017,pe,Work, Rihanna
71,72,51641,2017,pe,Starving, Hailee Steinfeld
72,73,50936,2017,pe,De Pies A Cabeza, Maná
73,74,50626,2017,pe,Light It Up (feat. Nyla & Fuse ODG) - Remix, Major Lazer
74,75,50528,2017,pe,Stressed Out, Twenty One Pilots
75,76,49699,2017,pe,Deja Que Te Bese, Alejandro Sanz
76,77,48806,2017,pe,Ya Me Enteré, Reik
77,78,48724,2017,pe,El Perdedor (feat. Yandel) - The Remix, Maluma
78,79,48441,2017,pe,Love Yourself, Justin Bieber
79,80,46823,2017,pe,La Ocasion (feat. Arcangel Ozuna & Anuel Aa), De La Ghetto
80,81,46645,2017,pe,Hasta Que Se Seque el Malecón (feat. Farruko) - Remix, Jacob Forever
81,82,46438,2017,pe,Acércate (feat. Nicky Jam) - Remix, De La Ghetto
82,83,46428,2017,pe,Tan Fácil, CNCO
83,84,46351,2017,pe,Faded, Alan Walker
84,85,45886,2017,pe,Work from Home (feat. Ty Dolla $ign), Fifth Harmony
85,86,45824,2017,pe,Hymn for the Weekend - Seeb Remix, Coldplay
