,Rank,Streams,Year,Country,Title,Artist
0,1,728634,2017,pl,Shape of You, Ed Sheeran
1,2,416982,2017,pl,Castle on the Hill, Ed Sheeran
2,3,229688,2017,pl,Rocka,e (feat. Sean Paul & Anne-Marie)  
3,4,225264,2017,pl,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""", ZAYN
4,5,221122,2017,pl,Starboy, The Weeknd
5,6,194900,2017,pl,Tuesday, Burak Yeter
6,7,186273,2017,pl,Closer, The Chainsmokers
7,8,178888,2017,pl,Let Me Love You, DJ Snake
8,9,167100,2017,pl,I Feel It Coming, The Weeknd
9,10,165642,2017,pl,Don't Wanna Know, Maroon 5
10,11,158256,2017,pl,Alone, Alan Walker
11,12,148273,2017,pl,Heathens, Twenty One Pilots
12,13,144706,2017,pl,Just Hold On, Steve Aoki
13,14,143331,2017,pl,Black Beatles, Rae Sremmurd
14,15,142522,2017,pl,Say You Won't Let Go, James Arthur
15,16,134170,2017,pl,In the Name of Love, Martin Garrix
16,17,130633,2017,pl,Treat You Better, Shawn Mendes
17,18,126724,2017,pl,My Way, Calvin Harris
18,19,125022,2017,pl,Human, Rag'n'Bone Man
19,20,120022,2017,pl,Fake Love, Drake
20,21,119850,2017,pl,Mercy, Shawn Mendes
21,22,117785,2017,pl,Cold Water (feat. Justin Bieber & MØ), Major Lazer
22,23,117392,2017,pl,All We Know, The Chainsmokers
23,24,116108,2017,pl,One Dance, Drake
24,25,113116,2017,pl,Now and Later, Sage The Gemini
25,26,112277,2017,pl,All Night, The Vamps
26,27,112032,2017,pl,Side To Side, Ariana Grande
27,28,110583,2017,pl,Bad Things (with Camila Cabello), Machine Gun Kelly
28,29,110163,2017,pl,Photograph, Ed Sheeran
29,30,108643,2017,pl,By Your Side, Jonas Blue
30,31,106222,2017,pl,24K Magic, Bruno Mars
31,32,104595,2017,pl,Cheap Thrills, Sia
32,33,102328,2017,pl,Chantaje (feat. Maluma), Shakira
33,34,100269,2017,pl,Don't Let Me Down (feat. Daya), The Chainsmokers
34,35,100191,2017,pl,I Would Like, Zara Larsson
35,36,99274,2017,pl,Starving, Hailee Steinfeld
36,37,97039,2017,pl,Shed a Light, Robin Schulz
37,38,96586,2017,pl,Love On The Brain, Rihanna
38,39,95001,2017,pl,We Don't Talk Anymore (feat. Selena Gomez), Charlie Puth
39,40,92927,2017,pl,Sucker for Pain (with Wiz Khalifa Imagine Dragons Logic & Ty Dolla $ign feat. X Ambassadors), Lil Wayne
40,41,92469,2017,pl,Scars To Your Beautiful, Alessia Cara
41,42,92429,2017,pl,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")", Justin Timberlake
42,43,89569,2017,pl,Stressed Out, Twenty One Pilots
43,44,88934,2017,pl,"How Far I'll Go - From ""Moana""", Alessia Cara
44,45,88137,2017,pl,Love Me Now, John Legend
45,46,78217,2017,pl,I Took A Pill In Ibiza - Seeb Remix, Mike Posner
46,47,78001,2017,pl,Hear Me Now, Alok
47,48,74804,2017,pl,Thinking out Loud, Ed Sheeran
48,49,72617,2017,pl,All Time Low, Jon Bellion
49,50,70966,2017,pl,The Mack, Nevada
50,51,68821,2017,pl,Ride, Twenty One Pilots
51,52,67766,2017,pl,Sunset Lover, Petit Biscuit
52,53,65202,2017,pl,This Girl (Kungs Vs. Cookin' On 3 Burners), Kungs
53,54,63511,2017,pl,The Greatest (feat. Kendrick Lamar), Sia
54,55,63139,2017,pl,Faded, Alan Walker
55,56,61921,2017,pl,Perfect Strangers, Jonas Blue
56,57,61529,2017,pl,Bad and Boujee (feat. Lil Uzi Vert), Migos
57,58,60735,2017,pl,This Is What You Came For (feat. Rihanna), Calvin Harris
58,59,59570,2017,pl,Weak, AJR
59,60,59409,2017,pl,The A Team, Ed Sheeran
60,61,58489,2017,pl,Solo Dance, Martin Jensen
61,62,56977,2017,pl,"I See Fire - From ""The Hobbit - The Desolation Of Smaug""", Ed Sheeran
62,63,55381,2017,pl,I Got You, Bebe Rexha
63,64,55366,2017,pl,Work from Home (feat. Ty Dolla $ign), Fifth Harmony
64,65,54026,2017,pl,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars), Vice
65,66,52831,2017,pl,Lordly (feat. Alex Aiono), Feder
66,67,52214,2017,pl,Make Me (Cry), Noah Cyrus
67,68,51816,2017,pl,Love Yourself, Justin Bieber
68,69,50961,2017,pl,Lost on You, LP
69,70,50878,2017,pl,Would I Lie to You - Radio Edit, David Guetta
70,71,49512,2017,pl,The Ocean (feat. Shy Martin), Mike Perry
71,72,49502,2017,pl,Broccoli (feat. Lil Yachty), Shelley FKA DRAM
72,73,49216,2017,pl,Trust Nobody (feat. Selena Gomez & Tory Lanez), Cashmere Cat
73,74,48400,2017,pl,Water Under the Bridge, Adele
74,75,48304,2017,pl,Don't, Ed Sheeran
75,76,47117,2017,pl,Cake By The Ocean, DNCE
76,77,47053,2017,pl,Party Monster, The Weeknd
77,78,46346,2017,pl,Light It Up (feat. Nyla & Fuse ODG) - Remix, Major Lazer
78,79,46076,2017,pl,Libre, Alvaro Soler
79,80,46048,2017,pl,Some Kind Of Drug (feat. Marc E. Bassy), G-Eazy
80,81,46045,2017,pl,Into You, Ariana Grande
81,82,45836,2017,pl,Caroline, Aminé
82,83,45706,2017,pl,Lot to Learn, Luke Christopher
83,84,45636,2017,pl,Magic Symphony, C-BooL
84,85,45266,2017,pl,Kisses Back, Matthew Koma
85,86,45097,2017,pl,Panda, Desiigner
86,87,45023,2017,pl,Dynamite (feat. Pretty Sister), Nause
87,88,44953,2017,pl,Lighthouse - Andrelli Remix, Hearts & Colors
88,89,44344,2017,pl,Me Myself & I, G-Eazy
89,90,44269,2017,pl,Give Me Love, Ed Sheeran
90,91,43670,2017,pl,7 Years, Lukas Graham
91,92,43589,2017,pl,Don't Leave, Snakehips
92,93,43247,2017,pl,Hymn for the Weekend - Seeb Remix, Coldplay
93,94,42938,2017,pl,Not Going Home (feat. Gia Koka), DVBBS
94,95,42865,2017,pl,Lean On (feat. MØ & DJ Snake), Major Lazer
95,96,42232,2017,pl,Send My Love (To Your New Lover), Adele
