,Rank,Streams,Year,Country,Title,Artist
0,1,474135,2021,py,DÁKITI, Bad Bunny
1,2,451731,2021,py,BICHOTA, KAROL G
2,3,435103,2021,py,LA NOCHE DE ANOCHE, Bad Bunny
3,4,348928,2021,py,Si Me Tomo Una Cerveza, Migrantes
4,5,346921,2021,py,Reloj, Rauw Alejandro
5,6,344393,2021,py,Bandido, Myke Towers
6,7,329132,2021,py,Hecha Pa' Mi, Boza
7,8,307576,2021,py,La Nota, Manuel Turizo
8,9,285106,2021,py,Chica Ideal, Sebastian Yatra
9,10,270002,2021,py,La Tóxica, Farruko
10,11,260168,2021,py,Jeans, Justin Quiles
11,12,253116,2021,py,Mi Niña, Wisin
12,13,246265,2021,py,Una Locura, Ozuna
13,14,242721,2021,py,Polvo, Nicky Jam
14,15,232440,2021,py,TE MUDASTE, Bad Bunny
15,16,228501,2021,py,Hawái, Maluma
16,17,212349,2021,py,Parce (feat. Justin Quiles), Maluma
17,18,203327,2021,py,Relación - Remix, Sech
18,19,194272,2021,py,La Curiosidad, Jay Wheeler
19,20,193806,2021,py,BEBÉ, Camilo
20,21,184094,2021,py,Ay DiOs Mío!, KAROL G
21,22,170219,2021,py,Vida de Rico, Camilo
22,23,166107,2021,py,Despeinada, Ozuna
23,24,164687,2021,py,UN DIA (ONE DAY) (Feat. Tainy), J Balvin
24,25,161825,2021,py,Bésame, El Reja
25,26,157049,2021,py,Se Te Nota (with Guaynaa), Lele Pons
26,27,154294,2021,py,Mi Cuarto, Jerry Di
27,28,142457,2021,py,La Jeepeta - Remix, Nio Garcia
28,29,142192,2021,py,Tattoo - Remix with Camilo, Rauw Alejandro
29,30,136622,2021,py,Nathy Peluso: Bzrp Music Sessions Vol. 36, Bizarrap
30,31,136008,2021,py,De Cora <3, Rauw Alejandro
31,32,129620,2021,py,Ponte Pa' Mi, Justin Quiles
32,33,126666,2021,py,Hasta Abajo, Kevin Roldan
33,34,122121,2021,py,En Tu Cuerpo - Remix, Lyanno
34,35,122015,2021,py,Caramelo, Ozuna
35,36,114400,2021,py,Enchule, Rauw Alejandro
36,37,113034,2021,py,Azul, J Balvin
37,38,112616,2021,py,Ya No Más, Fer Palacio
38,39,109911,2021,py,HACIENDO QUE ME AMAS, Bad Bunny
39,40,104956,2021,py,Más De La Una, Piso 21
40,41,102339,2021,py,Hasta Que Dios Diga, Anuel AA
41,42,100346,2021,py,CÓMO SE SIENTE - Remix, Jhay Cortez
42,43,100005,2021,py,La Luz, Sech
43,44,97477,2021,py,+Linda, Dalex
44,45,95160,2021,py,Quiéreme Mientras Se Pueda, Manuel Turizo
45,46,92917,2021,py,Bonita, Jeeiph
46,47,92086,2021,py,Madrid (feat. Myke Towers), Maluma
47,48,91762,2021,py,Caramelo - Remix, Ozuna
48,49,87665,2021,py,A Tu Merced, Bad Bunny
49,50,83317,2021,py,Rojo, J Balvin
50,51,62440,2021,py,La Curiosidad (feat. Dj Nelson Jhay Cortez Lunay & Kendo Kaponi) - Blue Grand Prix Remix, Jay Wheeler
51,52,60207,2021,py,Tusa, KAROL G
52,53,56406,2021,py,Elegí (feat. Dímelo Flow), Rauw Alejandro
53,54,56089,2021,py,Don Don, Daddy Yankee
54,55,55676,2021,py,Desnudarte, Brytiago
55,56,55664,2021,py,La Forma en Que Me Miras, Super Yei
56,57,55637,2021,py,Ayer Me Llamó Mi Ex – Remix, KHEA
57,58,53987,2021,py,Victoria, Lunay
58,59,53889,2021,py,Hola - Remix, Dalex
59,60,53722,2021,py,BOOKER T, Bad Bunny
60,61,53696,2021,py,El Efecto - Remix, Rauw Alejandro
61,62,49935,2021,py,Amor Platonico, Los Verduleros
62,63,49135,2021,py,Miedito o Qué? (feat. KAROL G), Ovy On The Drums
63,64,48781,2021,py,Favorito, Camilo
64,65,48187,2021,py,Si Veo a Tu Mamá, Bad Bunny
65,66,47938,2021,py,Anaranjado, Jowell & Randy
66,67,47894,2021,py,Ayer Me Llamó Mi Ex (feat. Lenny Santos), KHEA
67,68,47619,2021,py,"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie", Tainy
68,69,46595,2021,py,Travesuras, Flow La Movie
69,70,46291,2021,py,Tak Tiki Tak, Harry Nach
70,71,45235,2021,py,Amantes y Amigos, Arcangel
71,72,45054,2021,py,YO VISTO ASÍ, Bad Bunny
72,73,44997,2021,py,Tú Me Dejaste De Querer, C. Tangana
