,Rank,Streams,Year,Country,Title,Artist
0,1,276232,2022,sg,Ghost, Justin Bieber
1,2,256417,2022,sg,STAY (with Justin Bieber), The Kid LAROI
2,3,234346,2022,sg,abcdefu, GAYLE
3,4,225712,2022,sg,Easy On Me, Adele
4,5,223146,2022,sg,"如果可以 - 電影""月老""主題曲", WeiBird
5,6,214419,2022,sg,Heat Waves, Glass Animals
6,7,183517,2022,sg,Enemy (with JID) - from the series Arcane League of Legends, Imagine Dragons
7,8,172492,2022,sg,Shivers, Ed Sheeran
8,9,166509,2022,sg,INDUSTRY BABY (feat. Jack Harlow), Lil Nas X
9,10,150354,2022,sg,Infinity, Jaymes Young
10,11,149984,2022,sg,ELEVEN, IVE
11,12,148734,2022,sg,My Universe, Coldplay
12,13,148519,2022,sg,WA DA DA, Kep1er
13,14,147374,2022,sg,Dandelions, Ruth B.
14,15,146594,2022,sg,Sacrifice, The Weeknd
15,16,136737,2022,sg,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault), Taylor Swift
16,17,136577,2022,sg,Step Back, GOT the beat
17,18,135675,2022,sg,Bad Habits, Ed Sheeran
18,19,129236,2022,sg,I Love You So, The Walters
19,20,129149,2022,sg,We Don't Talk About Bruno, Carolina Gaitán - La Gaita
20,21,125736,2022,sg,Angel Ba,  
21,22,124589,2022,sg,Every Summertime, NIKI
22,23,122653,2022,sg,MONEY, LISA
23,24,120392,2022,sg,Cold Heart - PNAU Remix, Elton John
24,25,115504,2022,sg,It'll Be Okay, Shawn Mendes
25,26,115273,2022,sg,飞鸟和蝉, Ren Ran
26,27,113897,2022,sg,Christmas Tree, V
27,28,112687,2022,sg,Enchanted, Taylor Swift
28,29,107540,2022,sg,Kiss Me More (feat. SZA), Doja Cat
29,30,107269,2022,sg,Is There Someone Else?, The Weeknd
30,31,105075,2022,sg,double take, dhruv
31,32,102297,2022,sg,At My Worst, Pink Sweat$
32,33,101393,2022,sg,Here's Your Perfect, Jamie Miller
33,34,99836,2022,sg,drivers license, Olivia Rodrigo
34,35,99172,2022,sg,good 4 u, Olivia Rodrigo
35,36,98893,2022,sg,One Right Now (with The Weeknd), Post Malone
36,37,98279,2022,sg,Woman, Doja Cat
37,38,97905,2022,sg,I GUESS I'M IN LOVE, Clinton Kane
38,39,96242,2022,sg,Out of Time, The Weeknd
39,40,95245,2022,sg,love nwantiti (ah ah ah), CKay
40,41,92276,2022,sg,Dreams Come True, aespa
41,42,90931,2022,sg,Smokin Out The Window, Bruno Mars
42,43,89491,2022,sg,The Feels, TWICE
43,44,88693,2022,sg,嘉宾, 张远
44,45,88564,2022,sg,Save Your Tears (with Ariana Grande) (Remix), The Weeknd
45,46,87083,2022,sg,你不屬於我 - 《比悲傷更悲傷的故事》影集版片尾曲, Eric Chou
46,47,83679,2022,sg,Someone You Loved, Lewis Capaldi
47,48,82289,2022,sg,How Do I Make You Love Me?, The Weeknd
48,49,81266,2022,sg,Less Than Zero, The Weeknd
49,50,80352,2022,sg,Leave Before You Love Me (with Jonas Brothers), Marshmello
50,51,79273,2022,sg,Butter, BTS
51,52,78805,2022,sg,LOCO, ITZY
52,53,77980,2022,sg,Peaches (feat. Daniel Caesar & Giveon), Justin Bieber
53,54,77136,2022,sg,Gasoline, The Weeknd
54,55,75293,2022,sg,Surface Pressure, Jessica Darrow
55,56,74588,2022,sg,THATS WHAT I WANT, Lil Nas X
56,57,73828,2022,sg,Polaroid Love, ENHYPEN
57,58,73177,2022,sg,Memories, Maroon 5
58,59,73169,2022,sg,Levitating (feat. DaBa,)  
59,60,73099,2022,sg,Shivers (feat. Jessi & SUNMI), Ed Sheeran
60,61,72823,2022,sg,Toxic, BoyWithUke
61,62,72637,2022,sg,I Heard You’re Married (feat. Lil Wayne), The Weeknd
62,63,72052,2022,sg,I Hate U, SZA
63,64,71741,2022,sg,Dynamite, BTS
64,65,71415,2022,sg,Here We Go… Again (feat. Tyler the Creator), The Weeknd
65,66,71251,2022,sg,traitor, Olivia Rodrigo
66,67,69603,2022,sg,Before You Go, Lewis Capaldi
67,68,69593,2022,sg,Take My Breath, The Weeknd
68,69,69229,2022,sg,Heartbreak Anniversary, Giveon
69,70,67988,2022,sg,deja vu, Olivia Rodrigo
70,71,67829,2022,sg,Need to Know, Doja Cat
71,72,67228,2022,sg,Don’t Wake Me Up, Jonas Blue
72,73,66980,2022,sg,Moth To A Flame (with The Weeknd), Swedish House Mafia
73,74,66765,2022,sg,MONTERO (Call Me By Your Name), Lil Nas X
74,75,66457,2022,sg,Oh My God, Adele
75,76,66166,2022,sg,Heather, Conan Gray
76,77,66145,2022,sg,刻在我心底的名字 (Your Name Engraved Herein) - 電影<刻在你心底的名字>主題曲, Crowd Lu
77,78,65993,2022,sg,Say You Won't Let Go, James Arthur
78,79,65860,2022,sg,ONLY, LeeHi
79,80,65214,2022,sg,怎麼了, Eric Chou
80,81,64919,2022,sg,Softcore, The Neighbourhood
81,82,64573,2022,sg,edamame (feat. Rich Brian), bbno$
82,83,63737,2022,sg,feel like shit, Tate McRae
83,84,63608,2022,sg,Permission to Dance, BTS
84,85,63590,2022,sg,Blinding Lights, The Weeknd
85,86,63321,2022,sg,Leave The Door Open, Bruno Mars
86,87,62991,2022,sg,Nothing, Bruno Major
87,88,62788,2022,sg,Strawberries & Cigarettes, Troye Sivan
88,89,62783,2022,sg,Blessed-Cursed, ENHYPEN
89,90,62762,2022,sg,Perfect, Ed Sheeran
90,91,62151,2022,sg,you broke me first, Tate McRae
91,92,62147,2022,sg,你好不好? - TVBS連續劇【遺憾拼圖】片尾曲, Eric Chou
92,93,61559,2022,sg,你的答案, 阿冗
93,94,61189,2022,sg,Best Friends, The Weeknd
94,95,60987,2022,sg,Counting Stars, BE'O
95,96,60910,2022,sg,Dawn FM, The Weeknd
96,97,60826,2022,sg,夜に駆ける, YOASOBI
97,98,60635,2022,sg,Girl Of My Dreams (with SUGA of BTS), Juice WRLD
98,99,60363,2022,sg,LALISA, LISA
99,100,58548,2022,sg,Happier Than Ever, Billie Eilish
100,101,58031,2022,sg,Beggin', Måneskin
101,102,58026,2022,sg,Starry Eyes, The Weeknd
102,103,57740,2022,sg,Save Your Tears, The Weeknd
103,104,57335,2022,sg,this is how you fall in love, Jeremy Zucker
104,105,57312,2022,sg,Savage, aespa
105,106,56617,2022,sg,Stuck with U (with Justin Bieber), Ariana Grande
106,107,56284,2022,sg,Do It To It, ACRAZE
107,108,56025,2022,sg,Reckless, Madison Beer
108,109,55936,2022,sg,ZOO, TAEYONG
109,110,55756,2022,sg,Habibi, Ricky Rich
110,111,55721,2022,sg,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy), Amaarae
111,112,55519,2022,sg,2002, Anne-Marie
112,113,54778,2022,sg,嚣张, En
113,114,54724,2022,sg,Señorita, Shawn Mendes
114,115,54708,2022,sg,Hold On, Justin Bieber
115,116,54255,2022,sg,Beautiful Mistakes (feat. Megan Thee Stallion), Maroon 5
116,117,54094,2022,sg,At Least I Had You (with JJ Lin), Gentle Bones
117,118,53598,2022,sg,Just Look Up (From Don’t Look Up), Ariana Grande
118,119,53383,2022,sg,勇气, 棉子
119,120,53042,2022,sg,說好不哭, Jay Chou
120,121,52794,2022,sg,Talking to the Moon, Bruno Mars
121,122,52639,2022,sg,You Right, Doja Cat
122,123,52453,2022,sg,Better Days (NEIKED x Mae Muller x Polo G), NEIKED
123,124,52387,2022,sg,Blank Space, Taylor Swift
124,125,52250,2022,sg,Sunflower - Spider-Man: Into the Spider-Verse, Post Malone
125,126,52183,2022,sg,Arcade, Duncan Laurence
126,127,52000,2022,sg,positions, Ariana Grande
127,128,51629,2022,sg,Just the Way You Are, Bruno Mars
128,129,51335,2022,sg,Photograph, Ed Sheeran
129,130,51262,2022,sg,I Like Me Better, Lauv
130,131,51154,2022,sg,小幸運, Hebe Tien
131,132,50813,2022,sg,Sweater Weather, The Neighbourhood
132,133,50619,2022,sg,"想見你想見你想見你(電視劇""想見你""片尾曲)", 831
133,134,50531,2022,sg,Something Just Like This, The Chainsmokers
134,135,50360,2022,sg,告白氣球, Jay Chou
135,136,50055,2022,sg,Circles, Post Malone
136,137,49844,2022,sg,Payphone, Maroon 5
137,138,49514,2022,sg,Fingers Crossed, Lauren Spencer-Smith
138,139,48832,2022,sg,Swim, Chase Atlantic
139,140,48197,2022,sg,The Nights, Avicii
140,141,47940,2022,sg,Next Level, aespa
141,142,47869,2022,sg,Pepas, Farruko
142,143,47713,2022,sg,10000 Hours (with Justin Bieber), Dan + Shay
143,144,47287,2022,sg,Falling, Harry Styles
144,145,46884,2022,sg,Last One Standing (feat. Polo G Mozzy & Eminem) - From Venom: Let There Be Carnage, Skylar Grey
145,146,46837,2022,sg,Yellow, Coldplay
146,147,46808,2022,sg,Be Alright, Dean Lewis
147,148,46446,2022,sg,演員, Joker Xue
148,149,46409,2022,sg,comethru, Jeremy Zucker
149,150,46375,2022,sg,What Else Can I Do?, Diane Guerrero
150,151,46307,2022,sg,Closer, The Chainsmokers
151,152,46275,2022,sg,If the World Was Ending (feat. Julia Michaels), JP Saxe
152,153,46172,2022,sg,有些, 颜人中
153,154,46105,2022,sg,You Are The Reason, Calum Scott
154,155,45527,2022,sg,Watermelon Sugar, Harry Styles
155,156,45420,2022,sg,All of Me, John Legend
156,157,45221,2022,sg,SCIENTIST, TWICE
157,158,45211,2022,sg,Somebody To You, The Vamps
158,159,44950,2022,sg,Title, Meghan Trainor
159,160,44919,2022,sg,Know Me Too Well (with Danna Paola), New Hope Club
160,161,44874,2022,sg,Too Good At Good,es  
161,162,44731,2022,sg,如果雨之後, Eric Chou
162,163,44730,2022,sg,Night Changes, One Direction
163,164,44476,2022,sg,Don’t Break My Heart, The Weeknd
164,165,44340,2022,sg,Cheating on You, Charlie Puth
165,166,44282,2022,sg,间距, en
166,167,44241,2022,sg,willow, Taylor Swift
167,168,44230,2022,sg,Die For You, The Weeknd
168,169,43819,2022,sg,Life Goes On, Oliver Tree
169,170,43817,2022,sg,Meet Me At Our Spot, THE ANXIETY
170,171,43800,2022,sg,離開你以後 - 電影《你的婚禮》插曲, Eric Chou
171,172,43794,2022,sg,Boy With Luv (feat. Halsey), BTS
172,173,43639,2022,sg,happier, Olivia Rodrigo
173,174,43514,2022,sg,Anyone, Justin Bieber
174,175,43493,2022,sg,无人之岛, Ren Ran
175,176,43355,2022,sg,白月光与朱砂痣, 大籽
176,177,43281,2022,sg,那些你很冒險的夢, JJ Lin
177,178,43270,2022,sg,A Tale By Quincy, The Weeknd
178,179,43216,2022,sg,Shallow, Lady Gaga
179,180,43173,2022,sg,The Motto, Tiësto
180,181,43164,2022,sg,How You Like That, BLACKPINK
181,182,42781,2022,sg,晴天, Jay Chou
182,183,42764,2022,sg,lovely (with Khalid), Billie Eilish
183,184,42718,2022,sg,XOXO, JEON SOMI
184,185,42614,2022,sg,感谢你曾来过, 阿涵
185,186,42568,2022,sg,Dancing With Your Ghost, Sasha Alex Sloan
186,187,42557,2022,sg,Love Is Gone - Acoustic, SLANDER
187,188,42352,2022,sg,A Thousand Years, Christina Perri
188,189,42184,2022,sg,Rock with you, SEVENTEEN
189,190,42180,2022,sg,Mood (feat. iann dior), 24kGoldn
190,191,41249,2022,sg,以後別做朋友, Eric Chou
191,192,40914,2022,sg,Every Angel is Terrifying, The Weeknd
192,193,40887,2022,sg,Life Goes On, BTS
193,194,40769,2022,sg,When I’m Gone (with Katy Perry), Alesso
194,195,40619,2022,sg,There's Nothing Holdin' Me Back, Shawn Mendes
195,196,40501,2022,sg,Don't Start Now, Dua Lipa
196,197,40474,2022,sg,FEVER, ENHYPEN
197,198,40150,2022,sg,Where Are You Now, Lost Frequencies
198,199,39823,2022,sg,Shape of You, Ed Sheeran
199,200,39761,2022,sg,Entertain Me, Ylona Garcia
