,Rank,Streams,Year,Country,Title,Artist
0,1,51446,2021,sk,The Business, Tiësto
1,2,42316,2021,sk,Pumpa, Ego
2,3,40788,2021,sk,Mood (feat. iann dior), 24kGoldn
3,4,38346,2021,sk,Paradise (feat. Dermot Kennedy), MEDUZA
4,5,36047,2021,sk,Head & Heart (feat. MNEK), Joel Corry
5,6,34199,2021,sk,Slobodna, Sima
6,7,34024,2021,sk,Malá Biš, Nik Tendo
7,8,33685,2021,sk,Lemonade (feat. Gunna Don Toliver & NAV), Internet Money
8,9,31189,2021,sk,Blinding Lights, The Weeknd
9,10,31120,2021,sk,Zatmenie, Ego
10,11,30939,2021,sk,HAWAII, Pil C
11,12,30075,2021,sk,Viac, Nerieš
12,13,29860,2021,sk,HOLIDAY, Lil Nas X
13,14,28355,2021,sk,Šílený, Ben Cristovao
14,15,27083,2021,sk,Therefore I Am, Billie Eilish
15,16,26836,2021,sk,Fajn, Ego
16,17,26675,2021,sk,Rolls, Yzomandias
17,18,26208,2021,sk,Anyone, Justin Bieber
18,19,26039,2021,sk,Ruka Na Volante, Nerieš
19,20,25783,2021,sk,Head Shoulders Knees & Toes (feat. Norma Jean Martine), Ofenbach
20,21,25427,2021,sk,Take You Dancing, Jason Derulo
21,22,25393,2021,sk,positions, Ariana Grande
22,23,24739,2021,sk,Lonely (with benny blanco), Justin Bieber
23,24,23680,2021,sk,Monster (Shawn Mendes & Justin Bieber), Shawn Mendes
24,25,23629,2021,sk,WITHOUT YOU, The Kid LAROI
25,26,23384,2021,sk,Whoopty, CJ
26,27,23363,2021,sk,you broke me first, Tate McRae
27,28,22926,2021,sk,ROCKSTAR (feat. Roddy Ricch), DaBa
28,29,22912,2021,sk,Watermelon Sugar, Harry Styles
29,30,22776,2021,sk,Afterglow, Ed Sheeran
30,31,22728,2021,sk,Roses - Imanbek Remix, SAINt JHN
31,32,22326,2021,sk,Dokola, Sima
32,33,22102,2021,sk,Lepšia Pesnička, DMS
33,34,22068,2021,sk,Goosebumps, HVME
34,35,21604,2021,sk,Levitating (feat. DaBa,)  
35,36,21107,2021,sk,Never Let Me Down, VIZE
36,37,20931,2021,sk,Lovesong, Sima
37,38,20799,2021,sk,Prisoner (feat. Dua Lipa), Miley Cyrus
38,39,20781,2021,sk,OG, Separ
39,40,20408,2021,sk,Breaking Me, Topic
40,41,20223,2021,sk,Niekde V Oblakoch, Saul
41,42,19819,2021,sk,Sweater Weather, The Neighbourhood
42,43,19768,2021,sk,Až na měsíc, Viktor Sheen
43,44,19710,2021,sk,Designer Flow, Yzomandias
44,45,19457,2021,sk,OMG, Sima
45,46,19308,2021,sk,Deep End, Fousheé
46,47,19091,2021,sk,Astronaut In The Ocean, Masked Wolf
47,48,18708,2021,sk,What You Know Bout Love, Pop Smoke
48,49,18359,2021,sk,J Lo, Kontrafakt
49,50,18355,2021,sk,Neviditelnej, Kontrafakt
50,51,18233,2021,sk,Lietačky, Moja Reč
51,52,18022,2021,sk,Ahoj Ahoj Čo Ty, Separ
52,53,17828,2021,sk,All We Got (feat. KIDDO), Robin Schulz
53,54,17574,2021,sk,34+35, Ariana Grande
54,55,17447,2021,sk,Wonder, Shawn Mendes
55,56,17445,2021,sk,Dynamite, BTS
56,57,16960,2021,sk,Snowman, Sia
57,58,16650,2021,sk,Doug Demuro, Ego
58,59,16556,2021,sk,Žijeme podľa, Rytmus
59,60,16431,2021,sk,willow, Taylor Swift
60,61,16187,2021,sk,DaysGo, Gleb
61,62,15946,2021,sk,GIRL LIKE ME, Black Eyed Peas
62,63,15915,2021,sk,MONEY2, SpecialBeatz
63,64,15540,2021,sk,Lovefool, twocolors
64,65,15432,2021,sk,WAP (feat. Megan Thee Stallion), Cardi B
65,66,15398,2021,sk,Ride It, Regard
66,67,15338,2021,sk,El Camino, Yzomandias
67,68,15297,2021,sk,The Box, Roddy Ricch
68,69,15218,2021,sk,Toto Leto, Sima
69,70,15214,2021,sk,HIGHEST IN THE ROOM, Travis Scott
70,71,15149,2021,sk,Golden, Harry Styles
71,72,15126,2021,sk,Hypnotized, Purple Disco Machine
72,73,15036,2021,sk,Someone You Loved, Lewis Capaldi
73,74,15009,2021,sk,Midnight Sky, Miley Cyrus
74,75,15000,2021,sk,MDMS, DMS
75,76,14983,2021,sk,goosebumps, Travis Scott
76,77,14616,2021,sk,For The Night (feat. Lil Ba, & DaBa
77,78,14583,2021,sk,Dance Monkey, Tones And I
78,79,14571,2021,sk,Some Say - Felix Jaehn Remix, Nea
79,80,14486,2021,sk,Mefek Pump It Up, Gleb
80,81,14468,2021,sk,Je Mi Fajn, Earth
81,82,14392,2021,sk,VOILÀ, Konex
82,83,14358,2021,sk,Chief Rocka, Ego
83,84,14175,2021,sk,Odjebem Strop, Separ
84,85,14107,2021,sk,Star Shopping, Lil Peep
85,86,13997,2021,sk,Blueberry Faygo, Lil Mosey
86,87,13461,2021,sk,Love Not War (The Tampa Beat), Jason Derulo
87,88,13401,2021,sk,Zlatí a Zároveň Kanál, DMS
88,89,13362,2021,sk,10 Minút (feat. Dms), Nerieš
89,90,13322,2021,sk,Godzilla (feat. Juice WRLD), Eminem
90,91,13225,2021,sk,Amnezia, Yzomandias
91,92,13201,2021,sk,Before You Go, Lewis Capaldi
92,93,13170,2021,sk,Falling, Trevor Daniel
93,94,13157,2021,sk,Rozdělený světy, Viktor Sheen
94,95,13151,2021,sk,POPSTAR (feat. Drake), DJ Khaled
95,96,13006,2021,sk,Daddy Issues, The Neighbourhood
96,97,12941,2021,sk,365247, Nik Tendo
97,98,12729,2021,sk,Čo Bude, Nerieš
98,99,12598,2021,sk,Circles, Post Malone
99,100,12502,2021,sk,Plastic, Viktor Sheen
100,101,12439,2021,sk,Stokárske R/N/B, Frayer Flexking
101,102,12417,2021,sk,Pompim, Porsche Boy
102,103,12347,2021,sk,Hello (feat. A Boogie Wit da Hoodie), Pop Smoke
103,104,12257,2021,sk,Origami, Separ
104,105,12211,2021,sk,Don't Start Now, Dua Lipa
105,106,12208,2021,sk,Screenshot, Sima
106,107,12184,2021,sk,Kosandra, Miyagi & Andy Panda
107,108,12154,2021,sk,KURT, Majk Spirit
108,109,12131,2021,sk,Jeď Tvrdě Nebo Jeď Domu, Yzomandias
109,110,12081,2021,sk,Savage Love (Laxed - Siren Beat), Jawsh 685
110,111,11943,2021,sk,Lucid Dreams, Juice WRLD
111,112,11908,2021,sk,Zrazu, Dame
112,113,11903,2021,sk,Alucard, Viktor Sheen
113,114,11899,2021,sk,Heather, Conan Gray
114,115,11888,2021,sk,Lose Somebody, Kygo
115,116,11880,2021,sk,Lose Control, MEDUZA
116,117,11829,2021,sk,Kings & Queens, Ava Max
117,118,11815,2021,sk,MP2, Pil C
118,119,11723,2021,sk,Rozdíl Mezi Náma, Yzomandias
119,120,11722,2021,sk,Holy (feat. Chance The Rapper), Justin Bieber
120,121,11678,2021,sk,Loyal, Nik Tendo
121,122,11581,2021,sk,SICKO MODE, Travis Scott
122,123,11558,2021,sk,Zdál Se Mi O Tobě Sen, Yzomandias
123,124,11497,2021,sk,Why'd You Only Call Me When You're High?, Arctic Monkeys
124,125,11483,2021,sk,Dior, Pop Smoke
125,126,11434,2021,sk,In Your Eyes (feat. Alida), Robin Schulz
126,127,11353,2021,sk,On My Mind, Diplo
127,128,11309,2021,sk,Adore You, Harry Styles
128,129,11286,2021,sk,Hayloft, Mother Mother
129,130,11247,2021,sk,Break My Heart, Dua Lipa
130,131,11238,2021,sk,Who's Laughing Now, Ava Max
131,132,11151,2021,sk,Secrets, Regard
132,133,11092,2021,sk,Paparazzi, Kim Dracula
133,134,11050,2021,sk,Dopis, Nerieš
134,135,11021,2021,sk,Nezastaviteľný, Rytmus
135,136,10983,2021,sk,Life Is Good (feat. Drake), Future
136,137,10955,2021,sk,MY, Samey
137,138,10923,2021,sk,Wishing Well, Juice WRLD
138,139,10919,2021,sk,E-GIRLS ARE RUINING MY LIFE!, CORPSE
139,140,10857,2021,sk,Falling, Harry Styles
140,141,10850,2021,sk,DÁKITI, Bad Bunny
141,142,10811,2021,sk,Robbery, Juice WRLD
142,143,10742,2021,sk,death bed (coffee for your head), Powfu
143,144,10719,2021,sk,Train Wreck, James Arthur
144,145,10647,2021,sk,Come & Go (with Marshmello), Juice WRLD
145,146,10643,2021,sk,my ex's best friend (with blackbear), Machine Gun Kelly
146,147,10591,2021,sk,Do I Wanna Know?, Arctic Monkeys
147,148,10574,2021,sk,Still Don't Know My Name, Labrinth
148,149,10565,2021,sk,Hollywood, LA Vision
149,150,10556,2021,sk,Zešlach Crunk, Gleb
150,151,10542,2021,sk,Někdy Je Míň Víc, Yzomandias
151,152,10535,2021,sk,Tempo, Nik Tendo
152,153,10487,2021,sk,Emoce Na Emoce, Ektor
153,154,10458,2021,sk,Blood // Water, grandson
154,155,10394,2021,sk,Ex, Ego
155,156,10388,2021,sk,Be Kind (with Halsey), Marshmello
156,157,10345,2021,sk,Sunflower - Spider-Man: Into the Spider-Verse, Post Malone
157,158,10326,2021,sk,Dancing in My Room, 347aidan
158,159,10239,2021,sk,Srdce Plače, Moja Reč
159,160,10210,2021,sk,Laugh Now Cry Later (feat. Lil Durk), Drake
160,161,10195,2021,sk,ONA, Konex
161,162,10112,2021,sk,hot girl bummer, blackbear
162,163,10088,2021,sk,Rain On Me (with Ariana Grande), Lady Gaga
163,164,10077,2021,sk,Včera Mi Zhorel Dom, Saul
164,165,10071,2021,sk,bad guy, Billie Eilish
165,166,10017,2021,sk,THE SCOTTS, THE SCOTTS
166,167,10016,2021,sk,Put Your Records On, Ritt Momney
167,168,9999,2021,sk,Tick Tock (feat. 24kGoldn), Clean Bandit
168,169,9952,2021,sk,Cooler Than Me, Lucky Luke
169,170,9950,2021,sk,Stratím sa ti ráno (feat. Separ), Emma Drobna
170,171,9926,2021,sk,Všetko čo ma trápi, Pil C
171,172,9915,2021,sk,Daisy, Ashnikko
172,173,9899,2021,sk,Memories (feat. Kid Cudi), David Guetta
173,174,9887,2021,sk,Čo Odo Mňa Chcete, Separ
174,175,9882,2021,sk,SO DONE, The Kid LAROI
175,176,9852,2021,sk,Save That Shit, Lil Peep
176,177,9806,2021,sk,Adikt Freestyle Remix, Yzomandias
177,178,9794,2021,sk,lovely (with Khalid), Billie Eilish
178,179,9793,2021,sk,All Girls Are The Same, Juice WRLD
179,180,9793,2021,sk,MAMACITA, Black Eyed Peas
180,181,9715,2021,sk,Trollin, Ego
181,182,9683,2021,sk,witchblades, Lil Peep
182,183,9683,2021,sk,Lalalalalalalalalala, Mikolas Josef
183,184,9653,2021,sk,Bohemian Rhapsody - Remastered 2011, Queen
184,185,9594,2021,sk,RBMK, Pil C
185,186,9590,2021,sk,Memories, Maroon 5
186,187,9549,2021,sk,Fever, Dua Lipa
187,188,9542,2021,sk,Teď tady, Ektor
188,189,9523,2021,sk,everything i wanted, Billie Eilish
189,190,9520,2021,sk,Good Days, SZA
190,191,9505,2021,sk,Reminds Me Of You, Juice WRLD
191,192,9496,2021,sk,ROXANNE, Arizona Zervas
192,193,9495,2021,sk,LALALA, Grey256
193,194,9442,2021,sk,Strýko Separ, Separ
194,195,9372,2021,sk,Body, Megan Thee Stallion
195,196,9332,2021,sk,OUT WEST (feat. Young Thug), JACKBOYS
196,197,9267,2021,sk,Fénix, Separ
197,198,9211,2021,sk,Nehehe, Frayer Flexking
198,199,9196,2021,sk,Falling Down - Bonus Track, Lil Peep
199,200,9159,2021,sk,Kardio, DMS
