,Rank,Streams,Year,Country,Title,Artist
0,1,1004772,2020,tr,Dolunay, Enes Batur
1,2,977082,2020,tr,AYA, Murda
2,3,962705,2020,tr,Dance Monkey, Tones And I
3,4,924642,2020,tr,Wir sind Kral, Ufo361
4,5,882203,2020,tr,Nalan, Emir Can İğrek
5,6,871549,2020,tr,Beatcoin, Ceza
6,7,813052,2020,tr,Goal, Patron
7,8,808719,2020,tr,Arkadaş, Ben Fero
8,9,785550,2020,tr,Bütün Istanbul Biliyo, İkiye On Kala
9,10,731988,2020,tr,Uslanmıyor Bu, Zeynep Bastık
10,11,702571,2020,tr,Benjamins 3, Rozz Kalliope
11,12,691682,2020,tr,Toz Taneleri, Sagopa Kajmer
12,13,666110,2020,tr,Yemin Olsun, Ufo361
13,14,658556,2020,tr,Eskimiş Senelere, Aspova
14,15,608497,2020,tr,LOLO, Ezhel
15,16,561972,2020,tr,Güzel Kızlar Patron Dinler, Patron
16,17,543989,2020,tr,Falling, Trevor Daniel
17,18,530740,2020,tr,Mod, Mustafa Sandal
18,19,513423,2020,tr,Neresi?, BEGE
19,20,503742,2020,tr,Böyle Sever, Kahraman Deniz
20,21,466119,2020,tr,Ay Tenli Kadın, Ufuk Beydemir
21,22,455031,2020,tr,Mekanın Sahibi, Norm Ender
22,23,453942,2020,tr,Señorita, Shawn Mendes
23,24,451303,2020,tr,Bırakman Doğru Mu, Anıl Piyancı
24,25,450449,2020,tr,YKKE, Ufo361
25,26,440291,2020,tr,Silahım Yok, Emir Can İğrek
26,27,431175,2020,tr,bad guy, Billie Eilish
27,28,426678,2020,tr,Ölsem Yeridir, Yüzyüzeyken Konuşuruz
28,29,420867,2020,tr,Gelemem, Grogi
29,30,419533,2020,tr,Dinle Beni Bi', Yüzyüzeyken Konuşuruz
30,31,415742,2020,tr,everything i wanted, Billie Eilish
31,32,409493,2020,tr,Ela, Reynmen
32,33,405821,2020,tr,Zombi, Adamlar
33,34,396620,2020,tr,Felaket, Ezhel
34,35,391232,2020,tr,Defoluyorum, Emir Can İğrek
35,36,387092,2020,tr,Yok Yok, Feride Hilal Akın
36,37,387052,2020,tr,Vazgeçtim İnan, Sagopa Kajmer
37,38,384304,2020,tr,Bedel, Mustafa Ceceli
38,39,383785,2020,tr,Şaraplar ve Kadınlar, Mert Şenel
39,40,369620,2020,tr,Kara Geceler, Şanışer
40,41,359665,2020,tr,Lalala, Y2K
41,42,347424,2020,tr,Uzak Gelecek, Kahraman Deniz
42,43,340393,2020,tr,Sen Benim Şarkılarımsın, Cem Adrian
