,Rank,Streams,Year,Country,Title,Artist
0,1,697090,2022,tw,"如果可以 - 電影""月老""主題曲", WeiBird
1,2,416986,2022,tw,閣愛妳一擺, EggPlantEgg
2,3,389208,2022,tw,好不容易 (《華燈初上》片尾曲), 告五人
3,4,336968,2022,tw,愛情你比我想的閣較偉大 -《當男人戀愛時》電影主題曲, EggPlantEgg
4,5,285377,2022,tw,STAY (with Justin Bieber), The Kid LAROI
5,6,263675,2022,tw,在這座城市遺失了你 (戲劇《他們創業的那些鳥事》插曲), 告五人
6,7,259176,2022,tw,飞鸟和蝉, Ren Ran
7,8,239300,2022,tw,愛上你算我賤, NICKTHEREAL
8,9,235071,2022,tw,我很好騙, Power Station
9,10,233048,2022,tw,不是因為天氣晴朗才愛你, 理想混蛋
10,11,217128,2022,tw,刻在我心底的名字 (Your Name Engraved Herein) - 電影<刻在你心底的名字>主題曲, Crowd Lu
11,12,207020,2022,tw,妹妹, 瘦子E.SO
12,13,203037,2022,tw,Shivers, Ed Sheeran
13,14,200082,2022,tw,你不屬於我 - 《比悲傷更悲傷的故事》影集版片尾曲, Eric Chou
14,15,192521,2022,tw,Easy On Me, Adele
15,16,183258,2022,tw,abcdefu, GAYLE
16,17,179570,2022,tw,披星戴月的想你, 告五人
17,18,178517,2022,tw,唯一 (三立/台視戲劇《戀愛是科學》插曲), 告五人
18,19,176234,2022,tw,無人知曉, Hebe Tien
19,20,168202,2022,tw,嘉宾, 张远
20,21,168174,2022,tw,Bad Habits, Ed Sheeran
21,22,165458,2022,tw,间距, en
22,23,164701,2022,tw,Way Up, 瘦子E.SO
23,24,159205,2022,tw,失重前幸福, 艾薇
24,25,150950,2022,tw,終究還是因為愛, TRASH
25,26,148046,2022,tw,玻璃心, Namewee
26,27,146604,2022,tw,勇气, 棉子
27,28,143128,2022,tw,有些, 颜人中
28,29,141910,2022,tw,My Universe, Coldplay
29,30,141485,2022,tw,hair tie, ØZI
30,31,141249,2022,tw,怎麼了, Eric Chou
31,32,140700,2022,tw,以年為單位的愛情(電影《以年為單位的戀愛》片尾主題曲), Rainie Yang
32,33,140372,2022,tw,炙愛 - 女聲版, Vicky Chen
33,34,139917,2022,tw,Enemy (with JID) - from the series Arcane League of Legends, Imagine Dragons
34,35,139902,2022,tw,對等關係 (feat. 張惠妹), Ronghao Li
35,36,139849,2022,tw,"想見你想見你想見你(電視劇""想見你""片尾曲)", 831
36,37,139797,2022,tw,因為是你 - 原創影集《火神的眼淚》片頭曲, WeiBird
37,38,139593,2022,tw,CHANGE, 瘦子E.SO
38,39,139549,2022,tw,Peaches (feat. Daniel Caesar & Giveon), Justin Bieber
39,40,139412,2022,tw,浪流連, EggPlantEgg
40,41,138856,2022,tw,與我無關, 阿冗
41,42,136755,2022,tw,Christmas Tree, V
42,43,135032,2022,tw,Have A Nice Day, Waa Wei
43,44,133432,2022,tw,ELEVEN, IVE
44,45,131714,2022,tw,Without You, 高爾宣 OSN
45,46,129198,2022,tw,Sacrifice, The Weeknd
46,47,127574,2022,tw,INDUSTRY BABY (feat. Jack Harlow), Lil Nas X
47,48,122062,2022,tw,我反芻著你留下的寂寞, 理想混蛋
48,49,119762,2022,tw,萬千花蕊慈母悲哀, 珂拉琪
49,50,113665,2022,tw,愛人錯過, 告五人
50,51,110263,2022,tw,我這個人, Eve Ai
51,52,109114,2022,tw,離開你以後 - 電影《你的婚禮》插曲, Eric Chou
52,53,106790,2022,tw,她沒在看我, 瘦子E.SO
53,54,104735,2022,tw,冰山, Feng Ze
54,55,104730,2022,tw,Ghost, Justin Bieber
55,56,104255,2022,tw,Crush On, 李浩瑋 Howard Lee
56,57,103132,2022,tw,DEATH TRIP, ØZI
57,58,102723,2022,tw,Heat Waves, Glass Animals
58,59,102066,2022,tw,浪費時間, Marz23
59,60,98228,2022,tw,WA DA DA, Kep1er
60,61,96241,2022,tw,Step Back, GOT the beat
61,62,95904,2022,tw,你的答案, 阿冗
62,63,94656,2022,tw,不刪, 井朧
63,64,94103,2022,tw,Cold Heart - PNAU Remix, Elton John
64,65,92862,2022,tw,Dreams Come True, aespa
65,66,92664,2022,tw,浪子回頭, EggPlantEgg
66,67,92280,2022,tw,慢冷, Fish Leong
67,68,91940,2022,tw,懸日, Hebe Tien
68,69,91807,2022,tw,白月光与朱砂痣, 大籽
69,70,91669,2022,tw,年少有為, Ronghao Li
70,71,91273,2022,tw,MONEY, LISA
71,72,89304,2022,tw,說好不哭, Jay Chou
72,73,87671,2022,tw,星辰大海, 黄霄雲
73,74,86199,2022,tw,藍色的你 (《比悲傷更悲傷的故事》 影集版 插曲), Cosmos People
74,75,85861,2022,tw,Home, Diana Wang
75,76,85115,2022,tw,残響散歌, Aimer
76,77,84845,2022,tw,嚣张, En
77,78,84826,2022,tw,Kiss Me More (feat. SZA), Doja Cat
78,79,84513,2022,tw,摩登愛情 (feat. Julia Wu), Gentle Bones
79,80,81308,2022,tw,One Right Now (with The Weeknd), Post Malone
80,81,80437,2022,tw,真的傻 (電影《一吻定情》追愛版主題曲), LaLa Hsu
81,82,80434,2022,tw,夜に駆ける, YOASOBI
82,83,79244,2022,tw,Just Look Up (From Don’t Look Up), Ariana Grande
83,84,78254,2022,tw,群青, YOASOBI
84,85,77446,2022,tw,未接來電, 莫宰羊
85,86,77003,2022,tw,有一種悲傷 - 電影《比悲傷更悲傷的故事》主題曲, A-Lin
86,87,76998,2022,tw,Butter, BTS
87,88,75683,2022,tw,小情歌, Sodagreen
88,89,75075,2022,tw,Dynamite, BTS
89,90,73771,2022,tw,R.I.P., WeiBird
90,91,73500,2022,tw,Circles, 高爾宣 OSN
91,92,71367,2022,tw,天黑請閉眼, 九澤CP
92,93,71075,2022,tw,你敢不敢, LaLa Hsu
93,94,70889,2022,tw,日常, EggPlantEgg
94,95,70821,2022,tw,閉上眼睛會想起的人 (電影《一杯熱奶茶的等待》主題曲), Jia Jia
95,96,70748,2022,tw,Celebrity, IU
96,97,70711,2022,tw,At My Worst, Pink Sweat$
97,98,70665,2022,tw,Infinity, Jaymes Young
98,99,69662,2022,tw,怎麼忘記了你 (feat.魏如昀), Xiao Yu
99,100,68121,2022,tw,路過人間 (電視劇《我們與惡的距離》插曲), Yisa Yu
100,101,68056,2022,tw,行星, 理想混蛋
101,102,67715,2022,tw,很久以後 - 電影《可不可以你也剛好喜歡我》主題曲, G.E.M.
102,103,67616,2022,tw,患得宠爱, Ren Ran
103,104,67321,2022,tw,おもかげ (produced, Vaundy)  
104,105,67143,2022,tw,長成什麼樣子算愛情, Mixer
105,106,66384,2022,tw,B.O., ØZI
106,107,66150,2022,tw,The Feels, TWICE
107,108,65977,2022,tw,我睡不著, 守夜人
108,109,65666,2022,tw,better off without you, Julia Wu
109,110,65543,2022,tw,Winter Sleep, IU
110,111,65502,2022,tw,When I’m Gone (with Katy Perry), Alesso
111,112,65387,2022,tw,Oh My God, Adele
112,113,64917,2022,tw,我就想你, 理想混蛋
113,114,64719,2022,tw,Smokin Out The Window, Bruno Mars
114,115,64563,2022,tw,重感情的廢物, TRASH
115,116,64277,2022,tw,少年, 梦然
116,117,64262,2022,tw,Don’t Wake Me Up, Jonas Blue
117,118,63903,2022,tw,永不失聯的愛, Eric Chou
118,119,63881,2022,tw,我還在你的夢裡嗎, Chih Siou
119,120,63639,2022,tw,連名帶姓, A-Mei Chang
120,121,63624,2022,tw,體面(電影《前任3:再見前任》插曲), Kelly Yu
121,122,63386,2022,tw,LOCO, ITZY
122,123,63238,2022,tw,无人之岛, Ren Ran
123,124,63085,2022,tw,太陽, 瘦子E.SO
124,125,62874,2022,tw,Something I Don't Need, 瘦子E.SO
125,126,62853,2022,tw,怪物, YOASOBI
126,127,62845,2022,tw,你好不好? - TVBS連續劇【遺憾拼圖】片尾曲, Eric Chou
127,128,62151,2022,tw,Permission to Dance, BTS
128,129,61976,2022,tw,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault), Taylor Swift
129,130,61533,2022,tw,還是會寂寞 - 滾石40 滾石撞樂隊 40團拚經典 (原唱:陳綺貞), 美秀集團
130,131,61207,2022,tw,太陽, Pika Chiu
131,132,60891,2022,tw,LALISA, LISA
132,133,60887,2022,tw,月亮代表我的心(《華燈初上》插曲), 9m88
133,134,59945,2022,tw,紅色高跟鞋, Tanya Chua
134,135,58617,2022,tw,芒种, 音阙诗听
135,136,58584,2022,tw,當你, Cyndi Wang
136,137,58120,2022,tw,Memories, Maroon 5
137,138,57267,2022,tw,最悲傷的事 - 《比悲傷更悲傷的故事》影集版 主題曲, A-Lin
138,139,57254,2022,tw,"起风了 - 电视剧""加油你是最棒的""主题曲", 吳青峰
139,140,57134,2022,tw,四季予你, Baozhai Mezhong
140,141,57095,2022,tw,疑心病, Ren Ran
141,142,56558,2022,tw,裸の勇者, Vaundy
142,143,56459,2022,tw,演員, Joker Xue
143,144,56395,2022,tw,愛我的時候, Eric Chou
144,145,56060,2022,tw,光年之外 (電影 《Passengers》 中國區主題曲), G.E.M.
145,146,55863,2022,tw,晴天, Jay Chou
