,Rank,Streams,Year,Country,Title,Artist
0,1,189464,2022,ua,astral step, shadowraze
1,2,182215,2022,ua,Кожура, ZAPOMNI
2,3,138110,2022,ua,баночка с окурками, КОСМОНАВТОВ НЕТ
3,4,135602,2022,ua,99 Problems, Big Ba
4,5,126688,2022,ua,Million, Big Ba
5,6,118228,2022,ua,Bandana, Big Ba
6,7,111237,2022,ua,Лёд, WENARO
7,8,102316,2022,ua,Лифон, uniqe
8,9,102243,2022,ua,Буревестник, Miyagi & Andy Panda
9,10,101184,2022,ua,плачь, rizza
10,11,98527,2022,ua,Барбисайз, Дора
11,12,95863,2022,ua,Marmalade, Miyagi & Andy Panda
12,13,94828,2022,ua,ВЛЮБИЛАСЬ, Big Ba
13,14,93750,2022,ua,Фотографирую закат, fem.love
14,15,91610,2022,ua,Enemy (with JID) - from the series Arcane League of Legends, Imagine Dragons
15,16,86525,2022,ua,МЯТОЙ - remix 2010, КОСМОНАВТОВ НЕТ
16,17,84977,2022,ua,juggernaut (Prod., PLVSTIC)  
17,18,83333,2022,ua,ТОЛПЫ КРИЧАТ, uniqe
18,19,82791,2022,ua,shadowfiend, shadowraze
19,20,77125,2022,ua,psiblades, shadowraze
20,21,76134,2022,ua,Вина (feat. 17 SEVENTEEN), OG Buda
21,22,74346,2022,ua,Aomine Daiki, quiizzzmeow
22,23,73652,2022,ua,Close Eyes, DVRST
23,24,72223,2022,ua,1000-7, shadowraze
24,25,71454,2022,ua,TRAXXXMANIA, GONE.Fludd
25,26,70147,2022,ua,Ba, mama  
26,27,69843,2022,ua,STAY (with Justin Bieber), The Kid LAROI
27,28,67915,2022,ua,СОЛНЦЕ МОНАКО, Lusia Chebotina
28,29,67631,2022,ua,Sacrifice, The Weeknd
29,30,64888,2022,ua,INDUSTRY BABY (feat. Jack Harlow), Lil Nas X
30,31,64780,2022,ua,Jungle - Radio Edit, Emma Louise
31,32,64641,2022,ua,сети, quiizzzmeow
32,33,64165,2022,ua,abcdefu, GAYLE
33,34,62972,2022,ua,Привет, Kambulat
34,35,61570,2022,ua,Сан Ларан, Платина
35,36,60837,2022,ua,Башня, Даня Милохин
36,37,60566,2022,ua,Звезда упала, Sqwore
37,38,60310,2022,ua,кладбище, вышел покурить
38,39,58766,2022,ua,Дорадура, Дора
39,40,57652,2022,ua,Mama Makusa, Big Ba
40,41,56424,2022,ua,1000-7, fem.love
41,42,55432,2022,ua,untitled, semmmyq
42,43,55393,2022,ua,Патрон, Miyagi & Andy Panda
43,44,53228,2022,ua,Домино, FACE
44,45,52890,2022,ua,Big Tymers, Big Ba
45,46,52658,2022,ua,Дежавю, kizaru
46,47,51994,2022,ua,Кукла колдуна, Korol i Shut
47,48,51567,2022,ua,Гуси, Wellboy
48,49,50807,2022,ua,Домой, MORGENSHTERN
49,50,50665,2022,ua,Рассвет, КАКАЯ РАЗНИЦА
50,51,49436,2022,ua,Heat Waves, Glass Animals
51,52,48511,2022,ua,Трахаца, ЛЯЛЬКА
52,53,47963,2022,ua,Dirrt, Big Ba
53,54,47586,2022,ua,Brooklyn, Miyagi & Andy Panda
54,55,47505,2022,ua,Я пиздатый, LIL MORTY
55,56,47327,2022,ua,тпм, КОСМОНАВТОВ НЕТ
56,57,46973,2022,ua,MIDDLE OF THE NIGHT, Elley Duhé
57,58,46888,2022,ua,After Dark, Mr.Kitty
58,59,46561,2022,ua,Rampampam, Minelli
59,60,45685,2022,ua,Sweater Weather, The Neighbourhood
60,61,45349,2022,ua,ты похож на кота, zhanulka
61,62,45313,2022,ua,Toxic, BoyWithUke
62,63,44901,2022,ua,So Icy Nihao, Big Ba
63,64,44333,2022,ua,Положение, Skryptonite
64,65,44222,2022,ua,LIPSI HA, INSTASAMKA
65,66,44031,2022,ua,Как тебя покорить, Перемотка
