,Rank,Streams,Year,Country,Title,Artist
0,1,14202522,2019,us,Sunflower - Spider-Man: Into the Spider-Verse, Post Malone
1,2,12721360,2019,us,Wow., Post Malone
2,3,9576466,2019,us,Going Bad (feat. Drake), Meek Mill
3,4,9005380,2019,us,SICKO MODE, Travis Scott
4,5,8917200,2019,us,Drip Too Hard (Lil Ba, & Gunna)  
5,6,8590215,2019,us,thank u next, Ariana Grande
6,7,8442905,2019,us,Without Me, Halsey
7,8,7930686,2019,us,ZEZE (feat. Travis Scott & Offset), Kodak Black
8,9,7305500,2019,us,Mo Bamba, Sheck Wes
9,10,6455797,2019,us,Leave Me Alone, Flipp Dinero
10,11,6306240,2019,us,Look Back at It, A Boogie Wit da Hoodie
11,12,5842884,2019,us,a lot, 21 Savage
12,13,5716237,2019,us,High Hopes, Panic! At The Disco
13,14,5590754,2019,us,Wake Up in the Sky, Gucci Mane
14,15,5155712,2019,us,Lucid Dreams, Juice WRLD
15,16,5044666,2019,us,SAD!, XXXTENTACION
16,17,5041228,2019,us,Startender (feat. Offset and Tyga), A Boogie Wit da Hoodie
17,18,4932963,2019,us,Better Now, Post Malone
18,19,4914581,2019,us,Happier, Marshmello
19,20,4798501,2019,us,monster, 21 Savage
20,21,4752055,2019,us,Money, Cardi B
21,22,4729224,2019,us,Better, Khalid
22,23,4716430,2019,us,whoa (mind in awe), XXXTENTACION
23,24,4527052,2019,us,Saturday Nights, Khalid
24,25,4446253,2019,us,Eastside (with Halsey & Khalid), benny blanco
25,26,4440126,2019,us,imagine, Ariana Grande
26,27,4429656,2019,us,Crushed Up, Future
27,28,4329344,2019,us,when the party's over, Billie Eilish
28,29,4262055,2019,us,Moonlight, XXXTENTACION
29,30,4220990,2019,us,Armed And Dangerous, Juice WRLD
30,31,4142882,2019,us,Nonstop, Drake
31,32,3987983,2019,us,MIA (feat. Drake), Bad Bunny
32,33,3884287,2019,us,Close To Me (with Diplo) (feat. Swae Lee), Ellie Goulding
33,34,3858878,2019,us,Taste (feat. Offset), Tyga
34,35,3815732,2019,us,Arms Around You (feat. Maluma & Swae Lee), XXXTENTACION
35,36,3786822,2019,us,Sweet but Psycho, Ava Max
36,37,3744781,2019,us,BAD!, XXXTENTACION
37,38,3646489,2019,us,lovely, Billie Eilish
38,39,3554389,2019,us,rockstar (feat. 21 Savage), Post Malone
39,40,3507279,2019,us,Nuketown (feat. Juice WRLD), Ski Mask The Slump God
40,41,3457638,2019,us,Jocelyn Flores, XXXTENTACION
41,42,3447506,2019,us,I Like It, Cardi B
42,43,3440372,2019,us,Taki Taki (with Selena Gomez Ozuna & Cardi B), DJ Snake
43,44,3415045,2019,us,YOSEMITE, Travis Scott
44,45,3406868,2019,us,Calling My Spirit, Kodak Black
45,46,3385341,2019,us,Roses (with Juice WRLD feat. Brendon Urie), benny blanco
46,47,3352630,2019,us,Yes Indeed, Lil Ba
47,48,3315264,2019,us,idontwannabeyouanymore, Billie Eilish
48,49,3239582,2019,us,Psycho (feat. Ty Dolla $ign), Post Malone
49,50,3236933,2019,us,KIKA, 6ix9ine
50,51,3221198,2019,us,Space Cadet (feat. Gunna), Metro Boomin
51,52,3142107,2019,us,Swervin (feat. 6ix9ine), A Boogie Wit da Hoodie
52,53,3141626,2019,us,Fine China, Future
53,54,3135723,2019,us,God's Plan, Drake
54,55,3114044,2019,us,I Fall Apart, Post Malone
55,56,3015496,2019,us,Shallow, Lady Gaga
56,57,2959034,2019,us,Topanga, Trippie Redd
57,58,2949781,2019,us,all my friends, 21 Savage
58,59,2949257,2019,us,FEFE, 6ix9ine
59,60,2934002,2019,us,Never Recover (Lil Ba, & Gunna
60,61,2928733,2019,us,Solo de Mi, Bad Bunny
61,62,2906188,2019,us,Splashin, Rich The Kid
62,63,2863536,2019,us,Beautiful (feat. Camila Cabello), Bazzi
63,64,2842659,2019,us,Demons and Angels (feat. Juice WRLD), A Boogie Wit da Hoodie
64,65,2827702,2019,us,Fuck Love (feat. Trippie Redd), XXXTENTACION
65,66,2787661,2019,us,Look Alive (feat. Drake), BlocBoy JB
66,67,2768517,2019,us,No Stylist (feat. Drake), French Montana
67,68,2733648,2019,us,Youngblood, 5 Seconds of Summer
68,69,2654281,2019,us,Nothing Breaks Like a Heart (feat. Miley Cyrus), Mark Ronson
69,70,2620128,2019,us,Noticed, Lil Mosey
70,71,2618640,2019,us,Best Part (feat. Daniel Caesar), H.E.R.
71,72,2613208,2019,us,10 Freaky Girls (with 21 Savage), Metro Boomin
72,73,2603069,2019,us,In My Feelings, Drake
73,74,2573959,2019,us,Pure Cocaine, Lil Ba
74,75,2525771,2019,us,All Girls Are The Same, Juice WRLD
75,76,2521843,2019,us,changes, XXXTENTACION
76,77,2470825,2019,us,Ric Flair Drip (with Metro Boomin), Offset
77,78,2440844,2019,us,Butterfly Doors, Lil Pump
78,79,2419092,2019,us,breathin, Ariana Grande
79,80,2417717,2019,us,Falling Down - Bonus Track, Lil Peep
80,81,2401653,2019,us,BIG BANK (feat. 2 Chainz Big Sean Nicki Minaj), YG
81,82,2396493,2019,us,Project Dreams, Marshmello
82,83,2356383,2019,us,Meant to Be (feat. Florida Georgia Line), Bebe Rexha
83,84,2334817,2019,us,Love Lies (with Normani), Khalid
84,85,2327256,2019,us,Speechless, Dan + Shay
85,86,2318347,2019,us,Be Alright, Dean Lewis
86,87,2315906,2019,us,no tears left to cry, Ariana Grande
87,88,2305507,2019,us,Girls Like You (feat. Cardi B) - Cardi B Version, Maroon 5
88,89,2305416,2019,us,Congratulations, Post Malone
89,90,2301527,2019,us,1400 / 999 Freestyle, Trippie Redd
90,91,2299985,2019,us,XO Tour Llif3, Lil Uzi Vert
91,92,2250650,2019,us,Bad Liar, Imagine Dragons
92,93,2242211,2019,us,Bohemian Rhapsody - Remastered 2011, Queen
93,94,2238626,2019,us,I Like Me Better, Lauv
94,95,2235159,2019,us,Trampoline, SHAED
95,96,2235106,2019,us,can't leave without it, 21 Savage
96,97,2230176,2019,us,Faucet Failure, Ski Mask The Slump God
97,98,2215712,2019,us,Lean Wit Me, Juice WRLD
98,99,2206789,2019,us,Familia (with Anuel Aa feat. Bantu) - Spider-Man: Into the Spider-Verse, Nicki Minaj
99,100,2203731,2019,us,ocean eyes, Billie Eilish
100,101,2200088,2019,us,Nice For What, Drake
101,102,2170763,2019,us,Ruin My Life, Zara Larsson
102,103,2162340,2019,us,Natural, Imagine Dragons
103,104,2160962,2019,us,Hide (feat. Seezyn), Juice WRLD
104,105,2160806,2019,us,Lucky You (feat. Joyner Lucas), Eminem
105,106,2147400,2019,us,Everybody Dies In Their Nightmares, XXXTENTACION
106,107,2140337,2019,us,I Love It (& Lil Pump), Kanye West
107,108,2140132,2019,us,bellyache, Billie Eilish
108,109,2113020,2019,us,Beautiful Crazy, Luke Combs
109,110,2108905,2019,us,Plug Walk, Rich The Kid
110,111,2095590,2019,us,STARGAZING, Travis Scott
111,112,2073777,2019,us,Trip, Ella Mai
112,113,2060440,2019,us,God is a woman, Ariana Grande
113,114,2054377,2019,us,This Feeling, The Chainsmokers
114,115,2049084,2019,us,Mine, Bazzi
115,116,2048747,2019,us,MoshPit (feat. Juice WRLD), Kodak Black
116,117,2029255,2019,us,Tequila, Dan + Shay
117,118,2016067,2019,us,Candy Paint, Post Malone
118,119,2008760,2019,us,Young Dumb & Broke, Khalid
119,120,1977469,2019,us,goosebumps, Travis Scott
120,121,1959411,2019,us,Murder On My Mind, YNW Melly
121,122,1931937,2019,us,Envy Me, Calboy
122,123,1929709,2019,us,Calma - Remix, Pedro Capó
123,124,1922825,2019,us,HUMBLE., Kendrick Lamar
124,125,1902189,2019,us,Lust, Lil Skies
125,126,1896270,2019,us,The Middle, Zedd
126,127,1891215,2019,us,All The Stars (with SZA), Kendrick Lamar
127,128,1884454,2019,us,Undecided, Chris Brown
128,129,1882475,2019,us,Uproar, Lil Wayne
129,130,1873316,2019,us,Walk, Comethazine
130,131,1858810,2019,us,MAMA, 6ix9ine
131,132,1853104,2019,us,New Patek, Lil Uzi Vert
132,133,1819893,2019,us,Location, Khalid
133,134,1781684,2019,us,WORKIN ME, Quavo
134,135,1776378,2019,us,REEL IT IN, Aminé
135,136,1775932,2019,us,Te Boté - Remix, Nio Garcia
136,137,1768267,2019,us,Thunder, Imagine Dragons
137,138,1763105,2019,us,Nowadays (feat. Landon Cube), Lil Skies
138,139,1759587,2019,us,Look At Me!, XXXTENTACION
139,140,1754944,2019,us,OTW, Khalid
140,141,1745706,2019,us,Don't Come Out The House (with 21 Savage), Metro Boomin
141,142,1734591,2019,us,Legends, Juice WRLD
142,143,1727496,2019,us,SLOW DANCING IN THE DARK, Joji
143,144,1715890,2019,us,Hope, XXXTENTACION
144,145,1710212,2019,us,Roll in Peace (feat. XXXTENTACION), Kodak Black
145,146,1690394,2019,us,Praise The Lord (Da Shine) (feat. Skepta), A$AP Rocky
146,147,1688634,2019,us,Thotiana, Blueface
147,148,1684605,2019,us,1.5, 21 Savage
148,149,1681293,2019,us,I'm a Mess, Bebe Rexha
149,150,1678080,2019,us,Kamikaze, Lil Mosey
150,151,1677214,2019,us,Taking A Walk, Trippie Redd
151,152,1668858,2019,us,Let Me Go (with Alesso Florida Georgia Line & watt), Hailee Steinfeld
152,153,1666364,2019,us,Call Out My Name, The Weeknd
153,154,1666199,2019,us,Back To You - From 13 Reasons Why – Season 2 Soundtrack, Selena Gomez
154,155,1662874,2019,us,Believer, Imagine Dragons
155,156,1643695,2019,us,Walk It Talk It, Migos
156,157,1639189,2019,us,BUTTERFLY EFFECT, Travis Scott
157,158,1638345,2019,us,Let You Down, NF
158,159,1633106,2019,us,NI BIEN NI MAL, Bad Bunny
159,160,1625833,2019,us,Say You Won't Let Go, James Arthur
160,161,1623530,2019,us,you should see me in a crown, Billie Eilish
161,162,1608232,2019,us,Foot Fungus, Ski Mask The Slump God
162,163,1606494,2019,us,the remedy for a broken heart (why am I so in love), XXXTENTACION
163,164,1604105,2019,us,TIC TOC, 6ix9ine
164,165,1600459,2019,us,Bank Account, 21 Savage
165,166,1598966,2019,us,asmr, 21 Savage
166,167,1581642,2019,us,ball w/o you, 21 Savage
167,168,1575097,2019,us,FeRRis WhEEL (feat. Trippie Redd), Tory Lanez
168,169,1572374,2019,us,WAKA, 6ix9ine
169,170,1571271,2019,us,The Way Life Goes (feat. Oh Wonder), Lil Uzi Vert
170,171,1569897,2019,us,Wasted (feat. Lil Uzi Vert), Juice WRLD
171,172,1569060,2019,us,Drowning (feat. Kodak Black), A Boogie Wit da Hoodie
172,173,1567562,2019,us,JAPAN, Famous Dex
173,174,1560756,2019,us,my boy, Billie Eilish
174,175,1555862,2019,us,Don't Stop Me Now - Remastered 2011, Queen
175,176,1552373,2019,us,Black & White, Juice WRLD
