,Rank,Streams,Year,Country,Title,Artist
0,1,201439,2021,uy,Si Me Tomo Una Cerveza, Migrantes
1,2,198802,2021,uy,BICHOTA, KAROL G
2,3,189539,2021,uy,DÁKITI, Bad Bunny
3,4,161747,2021,uy,Hecha Pa' Mi, Boza
4,5,150122,2021,uy,Bésame, El Reja
5,6,139120,2021,uy,Vida de Rico, Camilo
6,7,137423,2021,uy,Hawái, Maluma
7,8,132268,2021,uy,La Nota, Manuel Turizo
8,9,131963,2021,uy,LA NOCHE DE ANOCHE, Bad Bunny
9,10,131543,2021,uy,BEBÉ, Camilo
10,11,123835,2021,uy,Chica Ideal, Sebastian Yatra
11,12,115477,2021,uy,La Tóxica, Farruko
12,13,115204,2021,uy,Bandido, Myke Towers
13,14,114700,2021,uy,Nathy Peluso: Bzrp Music Sessions Vol. 36, Bizarrap
14,15,113940,2021,uy,Reloj, Rauw Alejandro
15,16,113437,2021,uy,L-Gante Rkt, Papu DJ
16,17,110454,2021,uy,Jeans, Justin Quiles
17,18,109130,2021,uy,Bonita, El Reja
18,19,103462,2021,uy,Una Locura, Ozuna
19,20,100558,2021,uy,Relación - Remix, Sech
20,21,96010,2021,uy,Barrio Prendido, The La Planta
21,22,95035,2021,uy,Polvo, Nicky Jam
22,23,95017,2021,uy,Despeinada, Ozuna
23,24,91617,2021,uy,Tattoo - Remix with Camilo, Rauw Alejandro
24,25,89575,2021,uy,La Curiosidad, Jay Wheeler
25,26,84070,2021,uy,Ay DiOs Mío!, KAROL G
26,27,79739,2021,uy,Parce (feat. Justin Quiles), Maluma
27,28,78736,2021,uy,Se Te Nota (with Guaynaa), Lele Pons
28,29,72825,2021,uy,Mi Niña, Wisin
29,30,72823,2021,uy,Caramelo, Ozuna
30,31,66037,2021,uy,Ponte Pa' Mi, Justin Quiles
31,32,65749,2021,uy,Ya No Más, Fer Palacio
32,33,61531,2021,uy,De Cora <3, Rauw Alejandro
33,34,61174,2021,uy,Confiesalo, Maria Becerra
34,35,58652,2021,uy,High (Remix), Maria Becerra
35,36,58240,2021,uy,La Luz, Sech
36,37,56808,2021,uy,UN DIA (ONE DAY) (Feat. Tainy), J Balvin
37,38,54826,2021,uy,Tusa, KAROL G
38,39,54429,2021,uy,Azul, J Balvin
39,40,53720,2021,uy,Mi Cuarto, Jerry Di
40,41,52039,2021,uy,Favorito, Camilo
41,42,51566,2021,uy,TE MUDASTE, Bad Bunny
42,43,51524,2021,uy,La Jeepeta - Remix, Nio Garcia
43,44,47872,2021,uy,Ayer Me Llamó Mi Ex – Remix, KHEA
44,45,46489,2021,uy,"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie", Tainy
45,46,45703,2021,uy,Quiéreme Mientras Se Pueda, Manuel Turizo
46,47,45668,2021,uy,2:50, MYA
47,48,44557,2021,uy,Enchule, Rauw Alejandro
48,49,43209,2021,uy,Bésame - Remix, El Reja
49,50,40531,2021,uy,Verte, Nicki Nicole
50,51,40283,2021,uy,Me Vas a Ver, El Reja
51,52,36791,2021,uy,El Cielo a un Diablo, The La Planta
52,53,35851,2021,uy,El Mismo Aire - con Pablo Alborán, Camilo
53,54,35716,2021,uy,Djadja (feat. Maluma) - Remix, Aya Nakamura
54,55,35627,2021,uy,Ayer Me Llamó Mi Ex (feat. Lenny Santos), KHEA
55,56,35089,2021,uy,Blinding Lights, The Weeknd
56,57,33929,2021,uy,Tú Me Dejaste De Querer, C. Tangana
57,58,33915,2021,uy,Que Locura Fue Enamorarme de Ti (Remix), La Banda De Lechuga
58,59,32597,2021,uy,Mamichula - con Nicki Nicole, Trueno
59,60,32017,2021,uy,Tal Vez (Remix), El Reja
60,61,31844,2021,uy,Cerca de tí - Remix, Tiago PZK
61,62,31474,2021,uy,Watermelon Sugar, Harry Styles
62,63,30713,2021,uy,Si Me Dices Que Sí, Reik
63,64,30587,2021,uy,Miedito o Qué? (feat. KAROL G), Ovy On The Drums
64,65,29702,2021,uy,La Curiosidad (feat. Dj Nelson Jhay Cortez Lunay & Kendo Kaponi) - Blue Grand Prix Remix, Jay Wheeler
65,66,28912,2021,uy,Mood (feat. iann dior), 24kGoldn
66,67,28846,2021,uy,Por Primera Vez, Camilo
67,68,28777,2021,uy,Más De La Una, Piso 21
68,69,28714,2021,uy,Cómo estás, Ke Personajes
69,70,28479,2021,uy,Don't Start Now, Dua Lipa
70,71,28383,2021,uy,Travesuras, Flow La Movie
71,72,27775,2021,uy,Lean (feat. Towy Osquel Beltito & Sammy & Falsetto), Super Yei
72,73,27588,2021,uy,+Linda, Dalex
73,74,27221,2021,uy,Par-Tusa, El Dipy
74,75,27140,2021,uy,Ojitos Chiquititos, The La Planta
75,76,26574,2021,uy,El Efecto - Remix, Rauw Alejandro
76,77,26433,2021,uy,Rojo, J Balvin
77,78,26248,2021,uy,En Tu Cuerpo - Remix, Lyanno
78,79,25823,2021,uy,Dance Monkey, Tones And I
79,80,25768,2021,uy,No Bailes Sola, Danna Paola
80,81,25345,2021,uy,Tutu, Camilo
81,82,25005,2021,uy,Fernet Fútbol & Cumbia, El Reja
82,83,24643,2021,uy,GIRL LIKE ME, Black Eyed Peas
83,84,24418,2021,uy,Tak Tiki Tak, Harry Nach
84,85,24191,2021,uy,Hola - Remix, Dalex
85,86,24117,2021,uy,Caramelo - Remix, Ozuna
86,87,23974,2021,uy,PORFA, Feid
87,88,23744,2021,uy,Vámonos, Lira
88,89,23697,2021,uy,Mambo - Remix, Garotihnio
89,90,23635,2021,uy,Nada, Cali Y El Dandee
90,91,23184,2021,uy,Previa y Cachengue 35 - Remix, Fer Palacio
91,92,22886,2021,uy,Tan Enamorados, CNCO
92,93,22861,2021,uy,Pininfarina - Remix, Rei
93,94,22815,2021,uy,Don Don, Daddy Yankee
94,95,22675,2021,uy,Tussi, Arcangel
95,96,22576,2021,uy,Bailame Despacio, The La Planta
96,97,22490,2021,uy,DUDADE, Dillom
97,98,22402,2021,uy,Ñeri, Trueno
98,99,22208,2021,uy,Victoria, Lunay
99,100,22000,2021,uy,Dynamite, BTS
100,101,21646,2021,uy,Relación, Sech
101,102,21631,2021,uy,Hasta Que Dios Diga, Anuel AA
102,103,21240,2021,uy,Flaca, Andrés Calamaro
103,104,20968,2021,uy,positions, Ariana Grande
104,105,20791,2021,uy,Me Gusta, Ciro y los Persas
105,106,20447,2021,uy,Bendición, Emilia
106,107,20079,2021,uy,Roto, Mariano Bermudez
107,108,19898,2021,uy,Reggaetonera, Anuel AA
108,109,19884,2021,uy,Voy a Tomar, Lira
109,110,19649,2021,uy,Ella Dice, TINI
110,111,19639,2021,uy,Si Me Tomo Una Cerveza - Remix, Alan Gomez
111,112,18990,2021,uy,Elegí (feat. Dímelo Flow), Rauw Alejandro
112,113,18985,2021,uy,Flasheaste Amor, Agapornis
113,114,18719,2021,uy,Locura, Cali Y El Dandee
114,115,18627,2021,uy,Seguir Viviendo Sin Tu Amor, Luis Alberto Spinetta
115,116,18617,2021,uy,Roses - Imanbek Remix, SAINt JHN
116,117,18286,2021,uy,Hawái - Remix, Maluma
117,118,18053,2021,uy,Hasta Abajo, Kevin Roldan
118,119,18046,2021,uy,Lo Que Tienes, Oriana
119,120,18010,2021,uy,Qué Mal Te Fue (Remix), Natti Natasha
120,121,17975,2021,uy,Inolvidable, Ovy On The Drums
121,122,17778,2021,uy,Colocao, Nicki Nicole
122,123,17764,2021,uy,34+35, Ariana Grande
123,124,17675,2021,uy,Mirenla, Ciro y los Persas
124,125,17491,2021,uy,Desnudarte, Brytiago
125,126,17435,2021,uy,Pistola, L-Gante
126,127,17397,2021,uy,Fantasias, Rauw Alejandro
127,128,17385,2021,uy,Jangueo, Alex Rose
128,129,17349,2021,uy,11 Y 6, Fito Paez
129,130,17335,2021,uy,Safaera, Bad Bunny
130,131,17122,2021,uy,Ponte Pa' Mix, Fer Palacio
131,132,17102,2021,uy,Soy Una Gargola, Rauw Alejandro
132,133,17049,2021,uy,Amor (Ft. Mon Laferte) - MTV Unplugged, Los Auténticos Decadentes
133,134,16946,2021,uy,Diosa, Myke Towers
134,135,16892,2021,uy,Anaranjado, Jowell & Randy
135,136,16820,2021,uy,De Vuelta Pa' La Vuelta, Daddy Yankee
136,137,16816,2021,uy,ADMV, Maluma
137,138,16618,2021,uy,Zafar, La Vela Puerca
138,139,16593,2021,uy,Yo Perreo Sola, Bad Bunny
139,140,16332,2021,uy,Sigues Con El, Arcangel
140,141,16291,2021,uy,No Te Enamores - Remix, Milly
141,142,16236,2021,uy,Mi Revolucion, Cuatro Pesos de Propina
142,143,16183,2021,uy,El Fantasma, Árbol
143,144,16156,2021,uy,Madrid (feat. Myke Towers), Maluma
144,145,16125,2021,uy,Un Beso en Madrid, TINI
145,146,16078,2021,uy,Que Tiene la Noche, Sonido Caracol
146,147,16018,2021,uy,Rangos II, Pekeño 77
147,148,15945,2021,uy,250X, MYA
148,149,15880,2021,uy,PORFA Remix ( Feat. Maluma Nicky Jam Sech) - Remix, Feid
149,150,15864,2021,uy,A Las Nueve, No Te Va Gustar
150,151,15748,2021,uy,Me Vas a Extrañar - En Vivo, Damas Gratis
151,152,15735,2021,uy,Del Mar, Ozuna
152,153,15700,2021,uy,Levitating (feat. DaBa,)  
153,154,15643,2021,uy,China, Anuel AA
154,155,15540,2021,uy,Flexin', LIT killah
155,156,15533,2021,uy,Los Besos, Greeicy
156,157,15500,2021,uy,Prisoner (feat. Dua Lipa), Miley Cyrus
157,158,15416,2021,uy,Jockey, Dalex
158,159,15163,2021,uy,PAPÁS, Mau y Ricky
159,160,15132,2021,uy,Playa, TINI
160,161,15051,2021,uy,Snowman, Sia
161,162,15015,2021,uy,Previa y Cachengue 33 - Remix, Fer Palacio
162,163,14998,2021,uy,Cerca de Ti, The La Planta
163,164,14980,2021,uy,Por Mil Noches, Airbag
164,165,14936,2021,uy,Relación Rota, Alan Gomez
165,166,14931,2021,uy,Bonita, Jeeiph
166,167,14879,2021,uy,Arde la Ciudad, Mancha De Rolando
167,168,14867,2021,uy,Debajo de la Luna, Olvidate!
168,169,14838,2021,uy,Chau, No Te Va Gustar
169,170,14752,2021,uy,ROCKSTAR (feat. Roddy Ricch), DaBa
170,171,14722,2021,uy,Calma - Remix, Pedro Capó
171,172,14720,2021,uy,Una Cerveza, Rafaga
172,173,14717,2021,uy,Pasos Al Costado, Turf
173,174,14637,2021,uy,Madrugada, La Beriso
174,175,14612,2021,uy,BOOKER T, Bad Bunny
175,176,14513,2021,uy,A Mi Lado, Dani Ribba
176,177,14471,2021,uy,Maldición, Once Tiros
177,178,14468,2021,uy,Nunca quise, Intoxicados
178,179,14455,2021,uy,Luna Llena, Dame 5
179,180,14348,2021,uy,Para No Verme Más, La Vela Puerca
180,181,14238,2021,uy,Desconocidos, Mau y Ricky
181,182,14238,2021,uy,Therefore I Am, Billie Eilish
182,183,14238,2021,uy,Break My Heart, Dua Lipa
183,184,14087,2021,uy,Fresa, TINI
184,185,13993,2021,uy,La Playax, Fer Palacio
185,186,13969,2021,uy,KHEA: Bzrp Music Sessions Vol. 34, Bizarrap
186,187,13960,2021,uy,CÓMO SE SIENTE - Remix, Jhay Cortez
187,188,13913,2021,uy,La Boca, Mau y Ricky
188,189,13882,2021,uy,La Forma en Que Me Miras, Super Yei
189,190,13874,2021,uy,Polvo de Estrellas, Karibe con K
190,191,13786,2021,uy,Morado, J Balvin
191,192,13771,2021,uy,Juntos a la Par, Pappo
192,193,13753,2021,uy,La Tóxica (feat. Jay Wheeler & Tempo) - Remix, Farruko
193,194,13677,2021,uy,Me haces bien, Jorge Drexler
194,195,13517,2021,uy,Nada Es para Siempre, Los Pikantes
195,196,13320,2021,uy,Amén, Ricardo Montaner
196,197,13156,2021,uy,Además de Mí, Rusherking
197,198,13148,2021,uy,Carretera Perdida, Buitres
198,199,13030,2021,uy,Monster (Shawn Mendes & Justin Bieber), Shawn Mendes
199,200,12926,2021,uy,Reconócelo, Rombai
