Country,Rank,Happiness,Year
Denmark,1,7.526,2016
Switzerland,2,7.509,2016
Iceland,3,7.501,2016
Norway,4,7.498,2016
Finland,5,7.413,2016
Canada,6,7.404,2016
Netherlands,7,7.339,2016
New Zealand,8,7.334,2016
Australia,9,7.313,2016
Sweden,10,7.291,2016
Israel,11,7.267,2016
Austria,12,7.119,2016
United States,13,7.104,2016
Costa Rica,14,7.087,2016
Germany,16,6.994,2016
Brazil,17,6.952,2016
Belgium,18,6.929,2016
Ireland,19,6.907,2016
Luxembourg,20,6.871,2016
Mexico,21,6.778,2016
Singapore,22,6.739,2016
United Kingdom,23,6.725,2016
Chile,24,6.705,2016
Panama,25,6.701,2016
Argentina,26,6.65,2016
Czech Republic,27,6.596,2016
United Arab Emirates,28,6.573,2016
Uruguay,29,6.545,2016
Colombia,31,6.481,2016
France,32,6.478,2016
Thailand,33,6.474,2016
Saudi Arabia,34,6.379,2016
Spain,37,6.361,2016
Guatemala,39,6.324,2016
Slovakia,45,6.078,2016
El Salvador,46,6.068,2016
Malaysia,47,6.005,2016
Nicaragua,48,5.992,2016
Italy,50,5.977,2016
Ecuador,51,5.976,2016
Japan,53,5.921,2016
Kazakhstan,54,5.919,2016
Poland,57,5.835,2016
Lithuania,60,5.813,2016
Belarus,61,5.802,2016
Peru,64,5.743,2016
Latvia,68,5.56,2016
Cyprus,69,5.546,2016
Paraguay,70,5.538,2016
Romania,71,5.528,2016
Estonia,72,5.517,2016
Hong Kong,75,5.458,2016
Turkey,78,5.389,2016
Indonesia,79,5.314,2016
Philippines,82,5.279,2016
Dominican Republic,89,5.155,2016
Morocco,90,5.151,2016
Hungary,91,5.145,2016
Portugal,94,5.123,2016
Greece,99,5.033,2016
Nigeria,103,4.875,2016
Honduras,104,4.871,2016
South Africa,116,4.459,2016
India,118,4.404,2016
Egypt,120,4.362,2016
Ukraine,123,4.324,2016
Bulgaria,129,4.217,2016
Norway,1,7.537,2017
Denmark,2,7.522,2017
Iceland,3,7.504,2017
Switzerland,4,7.494,2017
Finland,5,7.469,2017
Netherlands,6,7.377,2017
Canada,7,7.316,2017
New Zealand,8,7.314,2017
Sweden,9,7.284,2017
Australia,10,7.284,2017
Israel,11,7.213,2017
Costa Rica,12,7.079,2017
Austria,13,7.006,2017
United States,14,6.993,2017
Ireland,15,6.977,2017
Germany,16,6.951,2017
Belgium,17,6.891,2017
Luxembourg,18,6.863,2017
United Kingdom,19,6.714,2017
Chile,20,6.652,2017
United Arab Emirates,21,6.648,2017
Brazil,22,6.635,2017
Czech Republic,23,6.609,2017
Argentina,24,6.599,2017
Mexico,25,6.578,2017
Singapore,26,6.572,2017
Uruguay,28,6.454,2017
Guatemala,29,6.454,2017
Panama,30,6.452,2017
France,31,6.442,2017
Thailand,32,6.424,2017
Spain,34,6.403,2017
Colombia,36,6.357,2017
Saudi Arabia,37,6.344,2017
Slovakia,40,6.098,2017
Malaysia,42,6.084,2017
Nicaragua,43,6.071,2017
Ecuador,44,6.008,2017
El Salvador,45,6.003,2017
Poland,46,5.973,2017
Italy,48,5.964,2017
Japan,51,5.92,2017
Lithuania,52,5.902,2017
Latvia,54,5.85,2017
Romania,57,5.825,2017
Kazakhstan,60,5.819,2017
Peru,63,5.715,2017
Cyprus,65,5.621,2017
Estonia,66,5.611,2017
Belarus,67,5.569,2017
Turkey,69,5.5,2017
Paraguay,70,5.493,2017
Philippines,72,5.43,2017
Hungary,75,5.324,2017
Indonesia,81,5.262,2017
Morocco,84,5.235,2017
Dominican Republic,86,5.23,2017
Greece,87,5.227,2017
Portugal,89,5.195,2017
Honduras,91,5.181,2017
Nigeria,95,5.074,2017
South Africa,101,4.829,2017
Egypt,104,4.735,2017
Bulgaria,105,4.714,2017
India,122,4.315,2017
Ukraine,132,4.096,2017
Finland,1,7.632,2018
Norway,2,7.594,2018
Denmark,3,7.555,2018
Iceland,4,7.495,2018
Switzerland,5,7.487,2018
Netherlands,6,7.441,2018
Canada,7,7.328,2018
New Zealand,8,7.324,2018
Sweden,9,7.314,2018
Australia,10,7.272,2018
United Kingdom,11,7.19,2018
Austria,12,7.139,2018
Costa Rica,13,7.072,2018
Ireland,14,6.977,2018
Germany,15,6.965,2018
Belgium,16,6.927,2018
Luxembourg,17,6.91,2018
United States,18,6.886,2018
Israel,19,6.814,2018
United Arab Emirates,20,6.774,2018
Czech Republic,21,6.711,2018
France,23,6.489,2018
Mexico,24,6.488,2018
Chile,25,6.476,2018
Panama,27,6.43,2018
Brazil,28,6.419,2018
Argentina,29,6.388,2018
Guatemala,30,6.382,2018
Uruguay,31,6.379,2018
Saudi Arabia,33,6.371,2018
Singapore,34,6.343,2018
Malaysia,35,6.322,2018
Spain,36,6.31,2018
Colombia,37,6.26,2018
Slovakia,39,6.173,2018
El Salvador,40,6.167,2018
Nicaragua,41,6.141,2018
Poland,42,6.123,2018
Thailand,46,6.072,2018
Italy,47,6.0,2018
Ecuador,48,5.973,2018
Lithuania,50,5.952,2018
Romania,52,5.945,2018
Latvia,53,5.933,2018
Japan,54,5.915,2018
Kazakhstan,60,5.79,2018
Cyprus,61,5.762,2018
Estonia,63,5.739,2018
Paraguay,64,5.681,2018
Peru,65,5.663,2018
Hungary,69,5.62,2018
Philippines,71,5.524,2018
Honduras,72,5.504,2018
Belarus,73,5.483,2018
Turkey,74,5.483,2018
Hong Kong,76,5.43,2018
Portugal,77,5.41,2018
Greece,79,5.358,2018
Dominican Republic,83,5.302,2018
Morocco,85,5.254,2018
Nigeria,91,5.155,2018
Indonesia,96,5.093,2018
Bulgaria,100,4.933,2018
South Africa,105,4.724,2018
Egypt,122,4.419,2018
India,133,4.19,2018
