Country,Year,GDP/Cap
Argentina,2016,8031.0
Argentina,2017,5158.0
Argentina,2018,10429.0
Argentina,2019,14971.0
Argentina,2020,14628.0
Argentina,2021,11719.0
Argentina,2022,10041.0
Australia,2016,21736.0
Australia,2017,37710.0
Australia,2018,58654.0
Australia,2019,52131.0
Australia,2020,57629.0
Australia,2021,58597.0
Australia,2022,54763.0
Austria,2016,30169.0
Austria,2017,38282.0
Austria,2018,46599.0
Austria,2019,43995.0
Austria,2020,47306.0
Austria,2021,51184.0
Austria,2022,49701.0
Belarus,2016,19207.0
Belarus,2017,37454.0
Belarus,2018,53219.0
Belarus,2019,56455.0
Belarus,2020,56465.0
Belarus,2021,58244.0
Belarus,2022,58969.0
Belgium,2016,28276.0
Belgium,2017,36557.0
Belgium,2018,43968.0
Belgium,2019,40942.0
Belgium,2020,44020.0
Belgium,2021,47355.0
Belgium,2022,46198.0
Brazil,2016,4802.0
Brazil,2017,4790.0
Brazil,2018,11286.0
Brazil,2019,8814.0
Brazil,2020,9925.0
Brazil,2021,9001.0
Brazil,2022,8755.0
Bulgaria,2016,33151.0
Bulgaria,2017,39544.0
Bulgaria,2018,46370.0
Bulgaria,2019,50631.0
Bulgaria,2020,54404.0
Bulgaria,2021,56082.0
Bulgaria,2022,57972.0
Canada,2016,20777.0
Canada,2017,36474.0
Canada,2018,47361.0
Canada,2019,43194.0
Canada,2020,44907.0
Canada,2021,46444.0
Canada,2022,46550.0
Chile,2016,5222.0
Chile,2017,7599.0
Chile,2018,12808.0
Chile,2019,13574.0
Chile,2020,14999.0
Chile,2021,15925.0
Chile,2022,14896.0
Colombia,2016,3009.0
Colombia,2017,3414.0
Colombia,2018,6337.0
Colombia,2019,6176.0
Colombia,2020,6377.0
Colombia,2021,6717.0
Colombia,2022,6432.0
Costa Rica,2016,24296.0
Costa Rica,2017,36203.0
Costa Rica,2018,45676.0
Costa Rica,2019,54776.0
Costa Rica,2020,59306.0
Costa Rica,2021,60884.0
Costa Rica,2022,62153.0
Cyprus,2016,12621.0
Cyprus,2017,18869.0
Cyprus,2018,21514.0
Cyprus,2019,19771.0
Cyprus,2020,22025.0
Cyprus,2021,22919.0
Cyprus,2022,23659.0
Denmark,2016,35356.0
Denmark,2017,48779.0
Denmark,2018,57967.0
Denmark,2019,53206.0
Denmark,2020,57939.0
Denmark,2021,62043.0
Denmark,2022,60657.0
Dominican Republic,2016,24871.0
Dominican Republic,2017,41291.0
Dominican Republic,2018,55952.0
Dominican Republic,2019,71155.0
Dominican Republic,2020,79435.0
Dominican Republic,2021,84982.0
Dominican Republic,2022,89275.0
Ecuador,2016,50574.0
Ecuador,2017,67646.0
Ecuador,2018,79915.0
Ecuador,2019,99290.0
Ecuador,2020,6214.0
Ecuador,2021,6296.0
Ecuador,2022,6184.0
Egypt,2016,1055.0
Egypt,2017,1251.0
Egypt,2018,2593.0
Egypt,2019,3437.0
Egypt,2020,2023.0
Egypt,2021,2538.0
Egypt,2022,3161.0
El Salvador,2016,15188.0
El Salvador,2017,19830.0
El Salvador,2018,21277.0
El Salvador,2019,23438.0
El Salvador,2020,24574.0
El Salvador,2021,25171.0
El Salvador,2022,25771.0
Estonia,2016,10292.0
Estonia,2017,19881.0
Estonia,2018,19569.0
Estonia,2019,23049.0
Estonia,2020,25092.0
Estonia,2021,26184.0
Estonia,2022,27493.0
Finland,2016,26213.0
Finland,2017,38944.0
Finland,2018,46439.0
Finland,2019,42772.0
Finland,2020,46310.0
Finland,2021,49967.0
Finland,2022,48678.0
France,2016,26904.0
France,2017,34807.0
France,2018,40685.0
France,2019,36612.0
France,2020,38721.0
France,2021,41492.0
France,2022,40319.0
Germany,2016,31867.0
Germany,2017,34873.0
Germany,2018,42020.0
Germany,2019,41036.0
Germany,2020,44552.0
Germany,2021,47685.0
Germany,2022,46232.0
Greece,2016,12739.0
Greece,2017,22074.0
Greece,2018,27264.0
Greece,2019,18323.0
Greece,2020,18934.0
Greece,2021,20172.0
Greece,2022,19604.0
Guatemala,2016,30508.0
Guatemala,2017,42984.0
Guatemala,2018,51428.0
Guatemala,2019,62186.0
Guatemala,2020,65782.0
Guatemala,2021,67897.0
Guatemala,2022,70508.0
Honduras,2016,10138.0
Honduras,2017,14776.0
Honduras,2018,17639.0
Honduras,2019,20980.0
Honduras,2020,22852.0
Honduras,2021,23697.0
Honduras,2022,24326.0
Hungary,2016,79278.0
Hungary,2017,11202.0
Hungary,2018,13288.0
Hungary,2019,12791.0
Hungary,2020,14693.0
Hungary,2021,16525.0
Hungary,2022,16879.0
Iceland,2016,9013.0
Iceland,2017,14318.0
Iceland,2018,15132.0
Iceland,2019,17389.0
Iceland,2020,19384.0
Iceland,2021,20124.0
Iceland,2022,20510.0
India,2016,386.0
India,2017,718.0
India,2018,1353.0
India,2019,1639.0
India,2020,1961.0
India,2021,2051.0
India,2022,2116.0
Indonesia,2016,1196.0
Indonesia,2017,1345.0
Indonesia,2018,3122.0
Indonesia,2019,3332.0
Indonesia,2020,3838.0
Indonesia,2021,3894.0
Indonesia,2022,4136.0
Ireland,2016,19251.0
Ireland,2017,51120.0
Ireland,2018,48761.0
Ireland,2019,62660.0
Ireland,2020,71391.0
Ireland,2021,80137.0
Ireland,2022,81637.0
Israel,2016,19043.0
Israel,2017,21829.0
Israel,2018,31852.0
Israel,2019,37578.0
Israel,2020,42851.0
Israel,2021,44215.0
Israel,2022,46376.0
Italy,2016,20546.0
Italy,2017,31871.0
Italy,2018,35972.0
Italy,2019,30306.0
Italy,2020,32334.0
Italy,2021,34498.0
Italy,2022,33090.0
Japan,2016,43122.0
Japan,2017,37057.0
Japan,2018,44344.0
Japan,2019,34297.0
Japan,2020,38171.0
Japan,2021,38952.0
Japan,2022,40063.0
Kazakhstan,2016,58532.0
Kazakhstan,2017,3709.0
Kazakhstan,2018,9109.0
Kazakhstan,2019,10493.0
Kazakhstan,2020,9226.0
Kazakhstan,2021,9790.0
Kazakhstan,2022,9793.0
Latvia,2016,12224.0
Latvia,2017,23372.0
Latvia,2018,22818.0
Latvia,2019,27240.0
Latvia,2020,28793.0
Latvia,2021,29951.0
Latvia,2022,30566.0
Lithuania,2016,17906.0
Lithuania,2017,32436.0
Lithuania,2018,34388.0
Lithuania,2019,41419.0
Lithuania,2020,44281.0
Lithuania,2021,46024.0
Lithuania,2022,48021.0
Luxembourg,2016,28778.0
