,Rank,Streams,Year,Country,Title,Artist
0,1,46395,2021,ae,Lemonade (feat. Gunna Don Toliver & NAV), Internet Money
1,2,43742,2021,ae,positions, Ariana Grande
2,3,42292,2021,ae,Mood (feat. iann dior), 24kGoldn
3,4,42065,2021,ae,Whoopty, CJ
4,5,40135,2021,ae,34+35, Ariana Grande
5,6,39070,2021,ae,Dynamite, BTS
6,7,38187,2021,ae,Blinding Lights, The Weeknd
7,8,36352,2021,ae,HOLIDAY, Lil Nas X
8,9,35532,2021,ae,Levitating (feat. DaBa,)  
9,10,35082,2021,ae,Anyone, Justin Bieber
10,11,30422,2021,ae,What You Know Bout Love, Pop Smoke
11,12,29267,2021,ae,Therefore I Am, Billie Eilish
12,13,27218,2021,ae,Monster (Shawn Mendes & Justin Bieber), Shawn Mendes
13,14,26671,2021,ae,Afterglow, Ed Sheeran
14,15,25973,2021,ae,willow, Taylor Swift
15,16,25766,2021,ae,For The Night (feat. Lil Ba, & DaBa
16,17,25263,2021,ae,Someone You Loved, Lewis Capaldi
17,18,24877,2021,ae,ROCKSTAR (feat. Roddy Ricch), DaBa
18,19,24753,2021,ae,WITHOUT YOU, The Kid LAROI
19,20,24165,2021,ae,Good Days, SZA
20,21,23920,2021,ae,you broke me first, Tate McRae
21,22,23422,2021,ae,Watermelon Sugar, Harry Styles
22,23,22299,2021,ae,Head & Heart (feat. MNEK), Joel Corry
23,24,21224,2021,ae,Lonely (with benny blanco), Justin Bieber
24,25,21217,2021,ae,Snowman, Sia
25,26,20849,2021,ae,Laugh Now Cry Later (feat. Lil Durk), Drake
26,27,20709,2021,ae,WAP (feat. Megan Thee Stallion), Cardi B
27,28,20506,2021,ae,Memories, Maroon 5
28,29,20417,2021,ae,Don't Start Now, Dua Lipa
29,30,20390,2021,ae,Holy (feat. Chance The Rapper), Justin Bieber
30,31,20137,2021,ae,Life Goes On, BTS
31,32,19907,2021,ae,Dance Monkey, Tones And I
32,33,19745,2021,ae,Roses - Imanbek Remix, SAINt JHN
33,34,19613,2021,ae,The Box, Roddy Ricch
34,35,19515,2021,ae,Take You Dancing, Jason Derulo
35,36,19383,2021,ae,Prisoner (feat. Dua Lipa), Miley Cyrus
36,37,19058,2021,ae,DÁKITI, Bad Bunny
37,38,18708,2021,ae,At My Worst, Pink Sweat$
38,39,18238,2021,ae,Astronaut In The Ocean, Masked Wolf
39,40,18119,2021,ae,Put Your Records On, Ritt Momney
40,41,17843,2021,ae,Blueberry Faygo, Lil Mosey
41,42,17332,2021,ae,Wonder, Shawn Mendes
42,43,17306,2021,ae,Señorita, Shawn Mendes
43,44,17131,2021,ae,The Business, Tiësto
44,45,16889,2021,ae,Sweater Weather, The Neighbourhood
45,46,16827,2021,ae,Paradise (feat. Dermot Kennedy), MEDUZA
46,47,16460,2021,ae,Circles, Post Malone
47,48,16037,2021,ae,HIGHEST IN THE ROOM, Travis Scott
48,49,16023,2021,ae,death bed (coffee for your head), Powfu
49,50,15924,2021,ae,Before You Go, Lewis Capaldi
50,51,15861,2021,ae,Heather, Conan Gray
51,52,15857,2021,ae,Sunflower - Spider-Man: Into the Spider-Verse, Post Malone
52,53,15761,2021,ae,Go Crazy, Chris Brown
53,54,15712,2021,ae,Goosebumps, HVME
54,55,15700,2021,ae,Stuck with U (with Justin Bieber), Ariana Grande
55,56,15447,2021,ae,Breaking Me, Topic
56,57,15389,2021,ae,Falling, Trevor Daniel
57,58,15325,2021,ae,lovely (with Khalid), Billie Eilish
58,59,15225,2021,ae,Life Is Good (feat. Drake), Future
59,60,15217,2021,ae,Mood Swings (feat. Lil Tjay), Pop Smoke
60,61,15114,2021,ae,Savage Love (Laxed - Siren Beat), Jawsh 685
61,62,15058,2021,ae,Say You Won't Let Go, James Arthur
62,63,14580,2021,ae,Lucid Dreams, Juice WRLD
63,64,14416,2021,ae,Toosie Slide, Drake
64,65,14381,2021,ae,Intentions (feat. Quavo), Justin Bieber
65,66,14154,2021,ae,POPSTAR (feat. Drake), DJ Khaled
66,67,14066,2021,ae,goosebumps, Travis Scott
67,68,13746,2021,ae,pov, Ariana Grande
68,69,13691,2021,ae,If the World Was Ending (feat. Julia Michaels), JP Saxe
69,70,13671,2021,ae,Hello (feat. A Boogie Wit da Hoodie), Pop Smoke
70,71,13586,2021,ae,Wishing Well, Juice WRLD
71,72,13570,2021,ae,Hawái - Remix, Maluma
72,73,13401,2021,ae,Dior, Pop Smoke
73,74,13188,2021,ae,SAD!, XXXTENTACION
74,75,13066,2021,ae,ily (i love you ba,) (feat. Emilee)  
75,76,12956,2021,ae,Rain On Me (with Ariana Grande), Lady Gaga
76,77,12865,2021,ae,Godzilla (feat. Juice WRLD), Eminem
77,78,12851,2021,ae,Sofia, Clairo
78,79,12818,2021,ae,ROXANNE, Arizona Zervas
79,80,12808,2021,ae,Be Kind (with Halsey), Marshmello
80,81,12722,2021,ae,Adore You, Harry Styles
81,82,12551,2021,ae,SICKO MODE, Travis Scott
82,83,12502,2021,ae,10000 Hours (with Justin Bieber), Dan + Shay
83,84,12455,2021,ae,GREECE (feat. Drake), DJ Khaled
84,85,12418,2021,ae,Mood (Remix) feat. Justin Bieber J Balvin & iann dior, 24kGoldn
85,86,12184,2021,ae,2002, Anne-Marie
86,87,12121,2021,ae,Beautiful People (feat. Khalid), Ed Sheeran
87,88,12118,2021,ae,I Like Me Better, Lauv
88,89,12029,2021,ae,Reminds Me Of You, Juice WRLD
89,90,12016,2021,ae,Ice Cream (with Selena Gomez), BLACKPINK
90,91,11993,2021,ae,Yeshbahak Galbi, Aseel Hameem
91,92,11967,2021,ae,BOP, DaBa
92,93,11937,2021,ae,Without Me, Halsey
93,94,11916,2021,ae,THE SCOTTS, THE SCOTTS
94,95,11855,2021,ae,Spicy (feat. Post Malone), Ty Dolla $ign
95,96,11845,2021,ae,I Don't Care (with Justin Bieber), Ed Sheeran
96,97,11830,2021,ae,Daddy Issues, The Neighbourhood
97,98,11753,2021,ae,Golden, Harry Styles
98,99,11621,2021,ae,Moonlight, XXXTENTACION
99,100,11586,2021,ae,How You Like That, BLACKPINK
100,101,11539,2021,ae,Heat Waves, Glass Animals
101,102,11273,2021,ae,Deep End, Fousheé
102,103,11267,2021,ae,Love Not War (The Tampa Beat), Jason Derulo
103,104,11257,2021,ae,bad guy, Billie Eilish
104,105,11248,2021,ae,Train Wreck, James Arthur
105,106,11244,2021,ae,Whats Poppin (feat. DaBa,
106,107,11233,2021,ae,Way Out (feat. Big Sean), Jack Harlow
107,108,11168,2021,ae,Daisy, Ashnikko
108,109,11116,2021,ae,Shallow, Lady Gaga
109,110,11085,2021,ae,Body, Megan Thee Stallion
110,111,10957,2021,ae,7 rings, Ariana Grande
111,112,10930,2021,ae,Tequila Shots, Kid Cudi
112,113,10881,2021,ae,Perfect, Ed Sheeran
113,114,10777,2021,ae,Jocelyn Flores, XXXTENTACION
114,115,10770,2021,ae,SO DONE, The Kid LAROI
115,116,10753,2021,ae,Dance With You, Skusta Clee
116,117,10652,2021,ae,The Woo (feat. 50 Cent & Roddy Ricch), Pop Smoke
117,118,10625,2021,ae,Party Girl, StaySolidRocky
118,119,10520,2021,ae,Show Out (with Skepta & Pop Smoke), Kid Cudi
119,120,10463,2021,ae,Why'd You Only Call Me When You're High?, Arctic Monkeys
120,121,10456,2021,ae,Break My Heart, Dua Lipa
121,122,10432,2021,ae,the remedy for a broken heart (why am I so in love), XXXTENTACION
122,123,10216,2021,ae,All of Me, John Legend
123,124,10123,2021,ae,Let Me Down Slowly, Alec Benjamin
124,125,10097,2021,ae,everything i wanted, Billie Eilish
125,126,10082,2021,ae,Robbery, Juice WRLD
126,127,9952,2021,ae,Element, Pop Smoke
127,128,9928,2021,ae,my ex's best friend (with blackbear), Machine Gun Kelly
128,129,9919,2021,ae,All Girls Are The Same, Juice WRLD
129,130,9864,2021,ae,Lovesick Girls, BLACKPINK
130,131,9849,2021,ae,Ride It, Regard
131,132,9844,2021,ae,Hayloft, Mother Mother
132,133,9767,2021,ae,Falling, Harry Styles
133,134,9747,2021,ae,Scars To Your Beautiful, Alessia Cara
134,135,9741,2021,ae,Diamonds, Sam Smith
135,136,9709,2021,ae,It's You, Ali Gatie
136,137,9641,2021,ae,After Party, Don Toliver
137,138,9628,2021,ae,Something Just Like This, The Chainsmokers
138,139,9581,2021,ae,Hope, XXXTENTACION
139,140,9547,2021,ae,Thinking out Loud, Ed Sheeran
140,141,9539,2021,ae,Beautiful Scars, Maximillian
141,142,9533,2021,ae,GIRL LIKE ME, Black Eyed Peas
142,143,9515,2021,ae,Come & Go (with Marshmello), Juice WRLD
143,144,9511,2021,ae,Bad boy, Marwa Loud
144,145,9392,2021,ae,Shape of You, Ed Sheeran
145,146,9338,2021,ae,Paubaya, Moira Dela Torre
146,147,9290,2021,ae,Lose Somebody, Kygo
147,148,9285,2021,ae,Sunday Best, Surfaces
148,149,9281,2021,ae,champagne problems, Taylor Swift
149,150,9277,2021,ae,Believer, Imagine Dragons
150,151,9267,2021,ae,Say So, Doja Cat
151,152,9204,2021,ae,Copines, Aya Nakamura
152,153,9092,2021,ae,Tyler Herro, Jack Harlow
153,154,9001,2021,ae,Happier, Marshmello
154,155,8965,2021,ae,Closer, The Chainsmokers
155,156,8895,2021,ae,Dancing With A Stranger (with Normani), Sam Smith
156,157,8895,2021,ae,hot girl bummer, blackbear
157,158,8845,2021,ae,OUT WEST (feat. Young Thug), JACKBOYS
158,159,8820,2021,ae,E-GIRLS ARE RUINING MY LIFE!, CORPSE
159,160,8783,2021,ae,Photograph, Ed Sheeran
160,161,8752,2021,ae,Coco (feat. DaBa,)  
161,162,8725,2021,ae,Get You The Moon (feat. Snøw), Kina
162,163,8696,2021,ae,If I Can't Have You, Shawn Mendes
163,164,8678,2021,ae,Your New Boyfriend, Wilbur Soot
164,165,8676,2021,ae,Mad at Disney, salem ilese
165,166,8675,2021,ae,In Your Eyes, The Weeknd
166,167,8673,2021,ae,No Idea, Don Toliver
167,168,8667,2021,ae,thank u next, Ariana Grande
168,169,8638,2021,ae,This City, Sam Fischer
169,170,8620,2021,ae,No Guidance (feat. Drake), Chris Brown
170,171,8529,2021,ae,Too Good At Good,es  
171,172,8527,2021,ae,I'm Yours, Jason Mraz
172,173,8513,2021,ae,Chicago Freestyle (feat. Giveon), Drake
173,174,8508,2021,ae,Boy With Luv (feat. Halsey), BTS
174,175,8493,2021,ae,Midnight Sky, Miley Cyrus
175,176,8477,2021,ae,Bel Bont El3areedh, Hussain Aljassmi
176,177,8473,2021,ae,Lose You To Love Me, Selena Gomez
177,178,8464,2021,ae,Blue & Grey, BTS
178,179,8436,2021,ae,You Got It, Vedo
179,180,8404,2021,ae,Starboy, The Weeknd
180,181,8324,2021,ae,Everybody Dies In Their Nightmares, XXXTENTACION
181,182,8263,2021,ae,Dead Man Walking, Brent Faiyaz
182,183,8231,2021,ae,Be Alright, Dean Lewis
183,184,8199,2021,ae,No Role Modelz, J. Cole
184,185,8197,2021,ae,وناسه, DJ-MK
185,186,8191,2021,ae,505, Arctic Monkeys
186,187,8151,2021,ae,The Middle, Zedd
187,188,8127,2021,ae,OK Not To Be OK, Marshmello
188,189,8109,2021,ae,Lose Control, MEDUZA
189,190,8098,2021,ae,Blood // Water, grandson
190,191,8055,2021,ae,rockstar (feat. 21 Savage), Post Malone
191,192,8048,2021,ae,Gnat, Eminem
192,193,8026,2021,ae,comethru, Jeremy Zucker
193,194,7963,2021,ae,Papi Chulo, Octavian
194,195,7932,2021,ae,Sucker, Jonas Brothers
195,196,7931,2021,ae,Maniac, Conan Gray
196,197,7929,2021,ae,I CAN'T STOP ME, TWICE
197,198,7921,2021,ae,Yellow, Coldplay
198,199,7906,2021,ae,SLOW DANCING IN THE DARK, Joji
199,200,7898,2021,ae,Save Your Tears, The Weeknd
