,Rank,Streams,Year,Country,Title,Artist
0,1,2506857,2019,ar,Calma - Remix, Pedro Capó
1,2,2451964,2019,ar,Adan y Eva, Paulo Londra
2,3,1709216,2019,ar,Leña para el Carbón, DJ Alex
3,4,1427528,2019,ar,MIA (feat. Drake), Bad Bunny
4,5,1389999,2019,ar,Sin Culpa (feat. DrefQuila), Duki
5,6,1378374,2019,ar,Taki Taki (with Selena Gomez Ozuna & Cardi B), DJ Snake
6,7,1245245,2019,ar,Cuando Te Besé, Becky G
7,8,1215592,2019,ar,Adictiva, Daddy Yankee
8,9,1183089,2019,ar,Reggaeton, J Balvin
9,10,1172761,2019,ar,Me Voy, Rombai
10,11,1150556,2019,ar,Ya No Tiene Novio, Sebastian Yatra
11,12,1121985,2019,ar,Desconocidos, Mau y Ricky
12,13,1053533,2019,ar,Me Vas a Extrañar - En Vivo, Damas Gratis
13,14,929835,2019,ar,Vaina Loca, Ozuna
14,15,918990,2019,ar,Imposible, Luis Fonsi
15,16,880961,2019,ar,Ella Quiere Beber - Remix, Anuel AA
16,17,813717,2019,ar,Amigos Con Derechos, Reik
17,18,790947,2019,ar,Amanece, Anuel AA
18,19,750601,2019,ar,Bubalu, Becky G
19,20,742774,2019,ar,BEBE, 6ix9ine
20,21,726972,2019,ar,No Te Creas Tan Importante - En Vivo, Damas Gratis
21,22,708054,2019,ar,Puntos Suspensivos, Piso 21
22,23,658146,2019,ar,Mala Mía, Maluma
23,24,650903,2019,ar,Chica Paranormal, Paulo Londra
24,25,616612,2019,ar,Tan Bien (feat. Agus Padilla), LIT killah
25,26,613116,2019,ar,Solo de Mi, Bad Bunny
26,27,612324,2019,ar,PPP, Kevin Roldan
27,28,569294,2019,ar,LeBron, Duki
28,29,550282,2019,ar,Créeme, KAROL G
29,30,516389,2019,ar,No Es Justo, J Balvin
30,31,503581,2019,ar,Culpables, KAROL G
31,32,497075,2019,ar,Te Boté - Remix, Nio Garcia
32,33,458946,2019,ar,Sin Pijama, Becky G
33,34,457066,2019,ar,No Me Acuerdo, Thalia
34,35,455441,2019,ar,Asesina - Remix, Brytiago
