,Rank,Streams,Year,Country,Title,Artist
0,1,239522,2019,at,Benzema, Capital Bra
1,2,211072,2019,at,Sweet but Psycho, Ava Max
2,3,172298,2019,at,HaifischNikez Allstars, LX
3,4,165977,2019,at,High Hopes, Panic! At The Disco
4,5,153586,2019,at,Tausend Tattoos, Sido
5,6,152457,2019,at,Baller los, MERO
6,7,123732,2019,at,Lelele, Azet
7,8,109715,2019,at,Wow., Post Malone
8,9,109710,2019,at,Be Alright, Dean Lewis
9,10,109226,2019,at,500 PS, Bonez MC
10,11,102027,2019,at,Standard (feat. Trettmann Gringo Ufo361 & Gzuz), KitschKrieg
11,12,101329,2019,at,Crack Koks Piece Unternehmen, Nash
12,13,100143,2019,at,Without Me, Halsey
13,14,95319,2019,at,Feuer, Capital Bra
14,15,91865,2019,at,Happier, Marshmello
15,16,88237,2019,at,Perfekt (feat. Sofiane), RAF Camora
16,17,87225,2019,at,Speechless (feat. Erika Sirola), Robin Schulz
17,18,86241,2019,at,In My Mind, Dynoro
18,19,82435,2019,at,Zoey, Nimo
19,20,82250,2019,at,thank u next, Ariana Grande
20,21,80730,2019,at,Sunflower - Spider-Man: Into the Spider-Verse, Post Malone
21,22,80112,2019,at,Cataleya, Samra
22,23,78735,2019,at,Kokain, Bonez MC
23,24,77587,2019,at,Shallow, Lady Gaga
24,25,74040,2019,at,Let You Love Me, Rita Ora
25,26,73911,2019,at,Meer, Luciano
26,27,73190,2019,at,Close To Me (with Diplo) (feat. Swae Lee), Ellie Goulding
27,28,71710,2019,at,Taki Taki (with Selena Gomez Ozuna & Cardi B), DJ Snake
28,29,71072,2019,at,Eastside (with Halsey & Khalid), benny blanco
29,30,70250,2019,at,Ich liebe es (feat. XATAR & SAMY), Capital Bra
30,31,69446,2019,at,Dior 2001, RIN
31,32,65679,2019,at,Fading, Alle Farben
32,33,64663,2019,at,MILLIONDOLLAR$MILE, Loredana
33,34,63487,2019,at,Facetime, Dardan
34,35,63164,2019,at,Body (feat. brando), Loud Luxury
35,36,62468,2019,at,Melodien (feat. Juju), Capital Bra
