,Rank,Streams,Year,Country,Title,Artist
0,1,2033591,2019,au,Sunflower - Spider-Man: Into the Spider-Verse, Post Malone
1,2,1645312,2019,au,Wow., Post Malone
2,3,1613363,2019,au,Without Me, Halsey
3,4,1524605,2019,au,thank u next, Ariana Grande
4,5,1503990,2019,au,Sweet but Psycho, Ava Max
5,6,1238104,2019,au,Eastside (with Halsey & Khalid), benny blanco
6,7,1081327,2019,au,Better, Khalid
7,8,1030395,2019,au,Shotgun, George Ezra
8,9,1024934,2019,au,SICKO MODE, Travis Scott
9,10,969915,2019,au,Nothing Breaks Like a Heart (feat. Miley Cyrus), Mark Ronson
10,11,925771,2019,au,Happier, Marshmello
11,12,859693,2019,au,Body (feat. brando), Loud Luxury
12,13,856167,2019,au,Be Alright, Dean Lewis
13,14,821716,2019,au,when the party's over, Billie Eilish
14,15,819530,2019,au,Close To Me (with Diplo) (feat. Swae Lee), Ellie Goulding
15,16,813084,2019,au,Shallow, Lady Gaga
16,17,804150,2019,au,Youngblood, 5 Seconds of Summer
17,18,803071,2019,au,Leave Me Lonely, Hilltop Hoods
18,19,789709,2019,au,Waiting, KIAN
19,20,776025,2019,au,Bad Liar, Imagine Dragons
20,21,767403,2019,au,Let You Love Me, Rita Ora
21,22,751073,2019,au,Saturday Nights, Khalid
22,23,741716,2019,au,In My Mind, Dynoro
23,24,716873,2019,au,1999, Charli XCX
24,25,689055,2019,au,imagine, Ariana Grande
25,26,685015,2019,au,Love Someone, Lukas Graham
26,27,678042,2019,au,ZEZE (feat. Travis Scott & Offset), Kodak Black
27,28,675308,2019,au,Better Now, Post Malone
28,29,663706,2019,au,High Hopes, Panic! At The Disco
29,30,655577,2019,au,Going Bad (feat. Drake), Meek Mill
30,31,646058,2019,au,Ruin My Life, Zara Larsson
31,32,618694,2019,au,Rise, Jonas Blue
32,33,596486,2019,au,Promises (with Sam Smith), Calvin Harris
33,34,590389,2019,au,Arms Around You (feat. Maluma & Swae Lee), XXXTENTACION
34,35,586010,2019,au,Mo Bamba, Sheck Wes
35,36,572811,2019,au,So Close, NOTD
36,37,541665,2019,au,Girls Like You (feat. Cardi B) - Cardi B Version, Maroon 5
37,38,541571,2019,au,Day Drunk, Morgan Evans
38,39,530870,2019,au,Lucid Dreams, Juice WRLD
39,40,527723,2019,au,Taste (feat. Offset), Tyga
40,41,524446,2019,au,2002, Anne-Marie
41,42,506058,2019,au,rockstar (feat. 21 Savage), Post Malone
42,43,501505,2019,au,whoa (mind in awe), XXXTENTACION
43,44,495810,2019,au,I Fall Apart, Post Malone
44,45,493849,2019,au,Bohemian Rhapsody - Remastered 2011, Queen
45,46,484153,2019,au,I Love It (& Lil Pump), Kanye West
46,47,479516,2019,au,SAD!, XXXTENTACION
