,Rank,Streams,Year,Country,Title,Artist
0,1,469354,2020,be,Dance Monkey, Tones And I
1,2,344724,2020,be,Blinding Lights, The Weeknd
2,3,291559,2020,be,ROXANNE, Arizona Zervas
3,4,262692,2020,be,Don't Start Now, Dua Lipa
4,5,258069,2020,be,everything i wanted, Billie Eilish
5,6,256353,2020,be,Ride It, Regard
6,7,248531,2020,be,Memories, Maroon 5
7,8,247924,2020,be,Ne reviens pas, Gradur
8,9,222129,2020,be,Falling, Trevor Daniel
9,10,220939,2020,be,Yummy, Justin Bieber
10,11,201481,2020,be,Circles, Post Malone
11,12,200255,2020,be,Lose Control, MEDUZA
12,13,192053,2020,be,Someone You Loved, Lewis Capaldi
13,14,188821,2020,be,Trampoline (with ZAYN), SHAED
14,15,188227,2020,be,Señorita, Shawn Mendes
15,16,186882,2020,be,Lose You To Love Me, Selena Gomez
16,17,175923,2020,be,Before You Go, Lewis Capaldi
17,18,174000,2020,be,bad guy, Billie Eilish
18,19,171190,2020,be,Hoe Het Danst, Marco Borsato
19,20,171163,2020,be,RITMO (Bad Boys For Life), Black Eyed Peas
20,21,170108,2020,be,hot girl bummer, blackbear
21,22,163396,2020,be,Oui ou non, Angèle
22,23,161152,2020,be,The Box, Roddy Ricch
23,24,157003,2020,be,My Oh My (feat. DaBa,)  
24,25,153641,2020,be,Moulaga, Heuss L'enfoiré
25,26,141238,2020,be,Adore You, Harry Styles
26,27,140655,2020,be,Reünie, Snelle
27,28,136600,2020,be,Lalala, Y2K
28,29,136520,2020,be,Good as Hell (feat. Ariana Grande) - Remix, Lizzo
29,30,133208,2020,be,South of the Border (feat. Camila Cabello & Cardi B), Ed Sheeran
30,31,130791,2020,be,Pookie, Aya Nakamura
31,32,128933,2020,be,Beautiful People (feat. Khalid), Ed Sheeran
32,33,125886,2020,be,Sun is Shining, Lost Frequencies
33,34,125573,2020,be,Turn Me On (feat. Vula), Riton
34,35,115965,2020,be,How Do You Sleep?, Sam Smith
35,36,115957,2020,be,God Bless (feat. Damso), Hamza
36,37,114599,2020,be,POPOPOP, Gambi
37,38,114144,2020,be,Instagram, Dimitri Vegas & Like Mike
38,39,111245,2020,be,I Don't Care (with Justin Bieber), Ed Sheeran
39,40,110725,2020,be,Baianá, Bakermat
40,41,109872,2020,be,HIGHEST IN THE ROOM, Travis Scott
41,42,109803,2020,be,Lucid Dreams, Juice WRLD
42,43,108120,2020,be,Don't Call Me Up, Mabel
43,44,107105,2020,be,Ransom, Lil Tecca
44,45,104316,2020,be,Higher Love, Kygo
45,46,103012,2020,be,Loco Contigo (feat. J. Balvin & Tyga), DJ Snake
46,47,102559,2020,be,40%, Aya Nakamura
47,48,98725,2020,be,Lippenstift, Marco Borsato
48,49,98477,2020,be,Liar, Camila Cabello
49,50,94709,2020,be,Piece Of Your Heart, MEDUZA
50,51,94623,2020,be,Shallow, Lady Gaga
51,52,94254,2020,be,No Idea, Don Toliver
52,53,93396,2020,be,Roses - Imanbek Remix, SAINt JHN
53,54,89790,2020,be,Old Town Road - Remix, Lil Nas X
54,55,86547,2020,be,Only Human, Jonas Brothers
55,56,86031,2020,be,when the party's over, Billie Eilish
56,57,84075,2020,be,BOP, DaBa
57,58,82820,2020,be,Balance ton quoi, Angèle
58,59,81321,2020,be,Own It (feat. Ed Sheeran & Burna Boy), Stormzy
59,60,80932,2020,be,10000 Hours (with Justin Bieber), Dan + Shay
60,61,80850,2020,be,Ritual, Tiësto
61,62,76497,2020,be,If the World Was Ending (feat. Julia Michaels), JP Saxe
62,63,75995,2020,be,Takeaway, The Chainsmokers
63,64,75663,2020,be,All Around The World (La La La), R3HAB
64,65,74946,2020,be,Nice To Meet Ya, Niall Horan
65,66,74222,2020,be,Good,es (Feat. Young Thug)  
66,67,74206,2020,be,Heartless, The Weeknd
67,68,74198,2020,be,Watermelon Sugar, Harry Styles
68,69,72577,2020,be,Let Me Down Slowly, Alec Benjamin
69,70,71747,2020,be,Flou, Angèle
70,71,71472,2020,be,Bandit (with YoungBoy Never Broke Again), Juice WRLD
71,72,70730,2020,be,Used To Love (with Dean Lewis), Martin Garrix
72,73,69831,2020,be,Ayy Macarena, Tyga
73,74,69681,2020,be,Tout oublier, Angèle
74,75,69574,2020,be,lovely (with Khalid), Billie Eilish
75,76,68869,2020,be,Suicidal, YNW Melly
76,77,68594,2020,be,Bruises, Lewis Capaldi
77,78,66720,2020,be,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Ba,) - REMIX  
78,79,65903,2020,be,HÉ OH, Gambi
79,80,65229,2020,be,MD (feat. Niska), 4Keus
80,81,64295,2020,be,Sweet but Psycho, Ava Max
81,82,63893,2020,be,7 rings, Ariana Grande
82,83,61689,2020,be,Never Seen the Rain, Tones And I
83,84,61428,2020,be,Be Alright, Dean Lewis
84,85,61172,2020,be,Que Calor (with J Balvin & El Alfa), Major Lazer
85,86,60216,2020,be,Blauwe Dag, Suzan & Freek
86,87,60126,2020,be,Africa, TOTO
87,88,59848,2020,be,SOS (feat. Aloe Blacc), Avicii
88,89,59757,2020,be,Orphans, Coldplay
89,90,59659,2020,be,Robbery, Juice WRLD
90,91,59116,2020,be,bury a friend, Billie Eilish
