,Rank,Streams,Year,Country,Title,Artist
0,1,48970,2017,bg,Shape of You, Ed Sheeran
1,2,19141,2017,bg,Castle on the Hill, Ed Sheeran
2,3,15055,2017,bg,Starboy, The Weeknd
3,4,10681,2017,bg,Rocka,e (feat. Sean Paul & Anne-Marie)  
4,5,9985,2017,bg,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""", ZAYN
5,6,8348,2017,bg,I Feel It Coming, The Weeknd
6,7,7817,2017,bg,Closer, The Chainsmokers
7,8,7457,2017,bg,Party Monster, The Weeknd
8,9,7404,2017,bg,Chantaje (feat. Maluma), Shakira
9,10,7179,2017,bg,Black Beatles, Rae Sremmurd
10,11,7093,2017,bg,Fake Love, Drake
11,12,6875,2017,bg,Bad and Boujee (feat. Lil Uzi Vert), Migos
12,13,6835,2017,bg,Call On Me - Ryan Riback Extended Remix, Starley
13,14,6754,2017,bg,Let Me Love You, DJ Snake
14,15,6594,2017,bg,Don't Wanna Know, Maroon 5
15,16,6441,2017,bg,Bad Things (with Camila Cabello), Machine Gun Kelly
16,17,6305,2017,bg,Say You Won't Let Go, James Arthur
17,18,6089,2017,bg,Just Hold On, Steve Aoki
18,19,5985,2017,bg,One Dance, Drake
19,20,5914,2017,bg,Side To Side, Ariana Grande
20,21,5320,2017,bg,Photograph, Ed Sheeran
21,22,5316,2017,bg,Six Feet Under, The Weeknd
22,23,5262,2017,bg,I Would Like, Zara Larsson
23,24,5244,2017,bg,I Got You, Bebe Rexha
24,25,5222,2017,bg,24K Magic, Bruno Mars
25,26,5130,2017,bg,Heathens, Twenty One Pilots
26,27,5088,2017,bg,Mercy, Shawn Mendes
27,28,5016,2017,bg,Treat You Better, Shawn Mendes
28,29,4953,2017,bg,Cold Water (feat. Justin Bieber & MØ), Major Lazer
29,30,4814,2017,bg,All We Know, The Chainsmokers
30,31,4634,2017,bg,All Night, The Vamps
31,32,4610,2017,bg,Sidewalks, The Weeknd
32,33,4597,2017,bg,In the Name of Love, Martin Garrix
33,34,4385,2017,bg,Now and Later, Sage The Gemini
34,35,4380,2017,bg,Starving, Hailee Steinfeld
35,36,4354,2017,bg,Love Me Now, John Legend
36,37,4207,2017,bg,Panda, Desiigner
37,38,4205,2017,bg,Human, Rag'n'Bone Man
38,39,4141,2017,bg,"How Far I'll Go - From ""Moana""", Alessia Cara
39,40,4089,2017,bg,Cheap Thrills, Sia
40,41,4065,2017,bg,Shed a Light, Robin Schulz
41,42,4016,2017,bg,All Time Low, Jon Bellion
42,43,4008,2017,bg,Thinking out Loud, Ed Sheeran
43,44,3968,2017,bg,By Your Side, Jonas Blue
44,45,3870,2017,bg,Готина и луда, Gery-Nikol
45,46,3864,2017,bg,Don't Let Me Down (feat. Daya), The Chainsmokers
46,47,3788,2017,bg,Setting Fires, The Chainsmokers
47,48,3648,2017,bg,Reminder, The Weeknd
48,49,3605,2017,bg,Sunset Lover, Petit Biscuit
49,50,3575,2017,bg,Vdigam Level, Pavell & Venci Venc'
50,51,3559,2017,bg,Trust Nobody (feat. Selena Gomez & Tory Lanez), Cashmere Cat
51,52,3537,2017,bg,We Don't Talk Anymore (feat. Selena Gomez), Charlie Puth
52,53,3511,2017,bg,The Greatest (feat. Kendrick Lamar), Sia
53,54,3497,2017,bg,"I See Fire - From ""The Hobbit - The Desolation Of Smaug""", Ed Sheeran
54,55,3453,2017,bg,Scars To Your Beautiful, Alessia Cara
55,56,3369,2017,bg,My Way, Calvin Harris
56,57,3364,2017,bg,The A Team, Ed Sheeran
57,58,3351,2017,bg,Safari, J Balvin
58,59,3313,2017,bg,Don't, Ed Sheeran
59,60,3245,2017,bg,Weak, AJR
60,61,3225,2017,bg,Alone, Alan Walker
61,62,3218,2017,bg,Bounce Back, Big Sean
62,63,3180,2017,bg,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")", Justin Timberlake
63,64,3168,2017,bg,Gold, Kiiara
64,65,3153,2017,bg,Die For You, The Weeknd
65,66,3129,2017,bg,Hear Me Now, Alok
66,67,3119,2017,bg,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars), Vice
67,68,3089,2017,bg,The Mack, Nevada
68,69,3078,2017,bg,Sucker for Pain (with Wiz Khalifa Imagine Dragons Logic & Ty Dolla $ign feat. X Ambassadors), Lil Wayne
69,70,3078,2017,bg,Lighthouse - Andrelli Remix, Hearts & Colors
70,71,3035,2017,bg,False Alarm, The Weeknd
71,72,3000,2017,bg,Solo Dance, Martin Jensen
72,73,2993,2017,bg,Rockin’, The Weeknd
73,74,2948,2017,bg,Needed Me, Rihanna
74,75,2912,2017,bg,Stressed Out, Twenty One Pilots
75,76,2885,2017,bg,Ain't My Fault, Zara Larsson
76,77,2823,2017,bg,I Took A Pill In Ibiza - Seeb Remix, Mike Posner
77,78,2822,2017,bg,Dynamite (feat. Pretty Sister), Nause
78,79,2794,2017,bg,The Hills, The Weeknd
79,80,2753,2017,bg,Some Kind Of Drug (feat. Marc E. Bassy), G-Eazy
80,81,2733,2017,bg,Give Me Love, Ed Sheeran
81,82,2728,2017,bg,Oh Lord, MiC LOWRY
82,83,2715,2017,bg,This Is What You Came For (feat. Rihanna), Calvin Harris
83,84,2714,2017,bg,Lot to Learn, Luke Christopher
84,85,2704,2017,bg,Too Good, Drake
85,86,2701,2017,bg,Broccoli (feat. Lil Yachty), Shelley FKA DRAM
86,87,2695,2017,bg,All I Know, The Weeknd
87,88,2685,2017,bg,Work from Home (feat. Ty Dolla $ign), Fifth Harmony
88,89,2669,2017,bg,Secrets, The Weeknd
89,90,2648,2017,bg,True Colors, The Weeknd
90,91,2636,2017,bg,Into You, Ariana Grande
91,92,2608,2017,bg,Light, San Holo
92,93,2574,2017,bg,Purple Lamborghini (with Rick Ross), Skrillex
93,94,2564,2017,bg,Not Going Home (feat. Gia Koka), DVBBS
