,Rank,Streams,Year,Country,Title,Artist
0,1,48760,2017,bo,Reggaetón Lento (Bailemos), CNCO
1,2,39021,2017,bo,Chantaje (feat. Maluma), Shakira
2,3,38673,2017,bo,Otra vez (feat. J Balvin), Zion & Lennox
3,4,30860,2017,bo,Traicionera, Sebastian Yatra
4,5,29685,2017,bo,Vente Pa' Ca (feat. Maluma), Ricky Martin
5,6,29511,2017,bo,Me Rehúso, Danny Ocean
6,7,29117,2017,bo,Safari, J Balvin
7,8,28849,2017,bo,Let Me Love You, DJ Snake
8,9,28668,2017,bo,Shape of You, Ed Sheeran
9,10,25455,2017,bo,Ay Mi Dios (feat. Pitbull Yandel & Chacal), IAmChino
10,11,23688,2017,bo,Closer, The Chainsmokers
11,12,22773,2017,bo,Me llamas (feat. Maluma) - Remix, Piso 21
12,13,21916,2017,bo,Don't Wanna Know, Maroon 5
13,14,21776,2017,bo,Vacaciones, Wisin
14,15,20858,2017,bo,Dile Que Tu Me Quieres, Ozuna
15,16,19803,2017,bo,Starboy, The Weeknd
16,17,18928,2017,bo,La Bicicleta, Carlos Vives
17,18,18228,2017,bo,In the Name of Love, Martin Garrix
18,19,17279,2017,bo,Cold Water (feat. Justin Bieber & MØ), Major Lazer
19,20,16896,2017,bo,My Way, Calvin Harris
20,21,16844,2017,bo,Rocka,e (feat. Sean Paul & Anne-Marie)  
21,22,16732,2017,bo,24K Magic, Bruno Mars
22,23,16648,2017,bo,Andas En Mi Cabeza, Chino & Nacho
23,24,16538,2017,bo,Cuatro Ba,s (feat. Trap Capos
24,25,16369,2017,bo,Shaky Shaky, Daddy Yankee
25,26,16178,2017,bo,One Dance, Drake
26,27,15769,2017,bo,We Don't Talk Anymore (feat. Selena Gomez), Charlie Puth
27,28,15400,2017,bo,Side To Side, Ariana Grande
28,29,15394,2017,bo,I Took A Pill In Ibiza - Seeb Remix, Mike Posner
29,30,15145,2017,bo,Me Llamas, Piso 21
30,31,14741,2017,bo,I Feel It Coming, The Weeknd
31,32,14594,2017,bo,Chillax (feat. Ky-Mani Marley), Farruko
32,33,14444,2017,bo,Gyal You A Party Animal - Remix, Charly Black
33,34,14028,2017,bo,Bailame Despacio, Xantos
34,35,14013,2017,bo,Treat You Better, Shawn Mendes
35,36,13892,2017,bo,Don't Let Me Down (feat. Daya), The Chainsmokers
36,37,13650,2017,bo,Castle on the Hill, Ed Sheeran
37,38,13340,2017,bo,Heathens, Twenty One Pilots
38,39,13296,2017,bo,Borro Cassette, Maluma
39,40,13154,2017,bo,El Chisme, Reykon
40,41,12728,2017,bo,Te Quiero Pa´Mi, Don Omar
41,42,12266,2017,bo,Ya Me Enteré (feat. Nicky Jam) - Urban Version, Reik
42,43,12142,2017,bo,DUELE EL CORAZON (feat. Wisin), Enrique Iglesias
43,44,11797,2017,bo,Just Hold On, Steve Aoki
44,45,11723,2017,bo,Muchachita, Bonny Lovy
45,46,11553,2017,bo,Cheap Thrills, Sia
46,47,11496,2017,bo,Bobo, J Balvin
47,48,11361,2017,bo,Amor y dolor, Carlos Baute
48,49,11155,2017,bo,Desde Esa Noche (feat. Maluma), Thalia
49,50,10472,2017,bo,Gyal You A Party Animal, Charly Black
50,51,10067,2017,bo,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""", ZAYN
51,52,9995,2017,bo,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")", Justin Timberlake
