,Rank,Streams,Year,Country,Title,Artist
0,1,70246,2022,by,Отпускаю, Egor Kreed
1,2,67946,2022,by,astral step, shadowraze
2,3,65672,2022,by,МАЛИНОВАЯ ЛАДА, GAYAZOV$ BROTHER$
3,4,60719,2022,by,adaptive strike, shadowraze
4,5,42285,2022,by,Фотографирую закат, fem.love
5,6,37410,2022,by,Лёд, WENARO
6,7,33042,2022,by,99 Problems, Big Ba
7,8,31973,2022,by,Marmalade, Miyagi & Andy Panda
8,9,31768,2022,by,За всех, MACAN
9,10,31512,2022,by,СОЛНЦЕ МОНАКО, Lusia Chebotina
10,11,30493,2022,by,Bandana, Big Ba
11,12,29706,2022,by,ТОЛПЫ КРИЧАТ, uniqe
12,13,29462,2022,by,shadowfiend, shadowraze
13,14,29197,2022,by,Гармония, Artik & Asti
14,15,28707,2022,by,Yeyo!, Шайни
15,16,28655,2022,by,в темноте, КОСМОНАВТОВ НЕТ
16,17,28489,2022,by,Седьмой лепесток, Антон Токарев
17,18,28344,2022,by,Stay Alive (Prod. SUGA of BTS), Jung Kook
18,19,28192,2022,by,баночка с окурками, КОСМОНАВТОВ НЕТ
19,20,27991,2022,by,плачь, rizza
20,21,26802,2022,by,Million, Big Ba
21,22,26325,2022,by,juggernaut (Prod., PLVSTIC)  
22,23,25892,2022,by,ВЛЮБИЛАСЬ, Big Ba
23,24,23985,2022,by,Барбисайз, Дора
24,25,23653,2022,by,Aomine Daiki, quiizzzmeow
25,26,23489,2022,by,Буревестник, Miyagi & Andy Panda
26,27,23078,2022,by,MIDDLE OF THE NIGHT, Elley Duhé
27,28,23060,2022,by,МЯТОЙ - remix 2010, КОСМОНАВТОВ НЕТ
28,29,22932,2022,by,Enemy (with JID) - from the series Arcane League of Legends, Imagine Dragons
29,30,22816,2022,by,psiblades, shadowraze
30,31,22813,2022,by,Днями-ночами, pyrokinesis
31,32,22711,2022,by,первое свидание, алёна швец.
32,33,22572,2022,by,Феникс, ANNA ASTI
33,34,22543,2022,by,Я всё решу (Intro), ZAPOMNI
34,35,22048,2022,by,Кожура, ZAPOMNI
35,36,21789,2022,by,Привет, Kambulat
36,37,21493,2022,by,1000-7, shadowraze
37,38,20215,2022,by,Башня, Даня Милохин
38,39,20074,2022,by,STAY (with Justin Bieber), The Kid LAROI
39,40,19968,2022,by,abcdefu, GAYLE
40,41,19913,2022,by,ночь, ooes
41,42,19548,2022,by,Ba, mama  
42,43,19503,2022,by,Close Eyes, DVRST
43,44,18998,2022,by,Первый раз - remix nevroz, JojoHF
44,45,18989,2022,by,Лифон, uniqe
45,46,18693,2022,by,Дом Периньон, Poshlaya Molly
46,47,18473,2022,by,Выпей меня, Kambulat
47,48,17791,2022,by,ТАЙМАУТ, Nikitata
48,49,17565,2022,by,Снеговичок, LSP
49,50,17483,2022,by,Вина (feat. 17 SEVENTEEN), OG Buda
50,51,17265,2022,by,1000-7, fem.love
51,52,17190,2022,by,ПОЧЕМУ?, MORGENSHTERN
52,53,17080,2022,by,Демоны, Три дня дождя
53,54,16871,2022,by,Кайф ты поймала, Konfuz
54,55,16746,2022,by,Дежавю, kizaru
55,56,16356,2022,by,Зелёный глаз, Минин
56,57,16341,2022,by,Softcore, The Neighbourhood
57,58,16242,2022,by,TRAXXXMANIA, GONE.Fludd
58,59,16235,2022,by,Диалоги тет-а-тет, ALEKS ATAMAN
59,60,16202,2022,by,reGeneration, Джизус
60,61,16171,2022,by,макинтош бизнес онли, BUSHIDO ZHO
61,62,15766,2022,by,Дорадура, Дора
62,63,15746,2022,by,Heat Waves, Glass Animals
63,64,15655,2022,by,ШОПЛИФТЕР, 163ONMYNECK
64,65,15524,2022,by,Динозаврики, Папин Олимпос
65,66,15453,2022,by,Кукла колдуна, Korol i Shut
66,67,15436,2022,by,Хочешь, Arthur Pirozhkov
67,68,15386,2022,by,Август - это ты, МОТ
68,69,15340,2022,by,Положение, Skryptonite
69,70,15335,2022,by,After Dark, Mr.Kitty
70,71,15077,2022,by,Ты не моя пара, Dima Bilan
71,72,15076,2022,by,INDUSTRY BABY (feat. Jack Harlow), Lil Nas X
72,73,15004,2022,by,Наверно ты меня не помнишь, JONY
73,74,14951,2022,by,Стеклянная, GUMA
74,75,14948,2022,by,Плакала, Lesha Svik
75,76,14874,2022,by,Никто, NЮ
76,77,14589,2022,by,Патрон, Miyagi & Andy Panda
77,78,14531,2022,by,Любовь после тебя, Artik & Asti
78,79,14521,2022,by,Замигает свет, KENTUKKI
79,80,14508,2022,by,Без названия, MACAN
80,81,14494,2022,by,Афган, Max Korzh
81,82,14322,2022,by,Sweater Weather, The Neighbourhood
82,83,14124,2022,by,Brooklyn, Miyagi & Andy Panda
83,84,13872,2022,by,I WANNA BE YOUR SLAVE, Måneskin
84,85,13870,2022,by,Я так соскучился, Pornofilmy
85,86,13795,2022,by,The Motto, Tiësto
86,87,13731,2022,by,Это любовь, Skryptonite
87,88,13684,2022,by,LIPSI HA, INSTASAMKA
88,89,13610,2022,by,Перезаряжай, Три дня дождя
89,90,13540,2022,by,Боже как завидую, HammAli & Navai
90,91,13516,2022,by,Formula, Labrinth
91,92,13483,2022,by,Звезда упала, Sqwore
92,93,13373,2022,by,Зоопарк, 10AGE
93,94,13330,2022,by,Холодно, Chris Yank
94,95,13227,2022,by,Танцы, ssshhhiiittt!
95,96,13180,2022,by,Нету интереса, 10AGE
96,97,13147,2022,by,Сан Ларан, Платина
97,98,13129,2022,by,Тёмно-оранжевый закат, Папин Олимпос
98,99,13030,2022,by,No Love, АДЛИН
99,100,12973,2022,by,Цветами радуги, pyrokinesis
100,101,12943,2022,by,Таблетка, PLOHOYPAREN
101,102,12840,2022,by,Колхозник, Mnogoznaal
102,103,12828,2022,by,Если устал, Mari Kraimbrery
103,104,12765,2022,by,Останься, NЮ
104,105,12684,2022,by,Кайен, Valentin Strykalo
105,106,12580,2022,by,HELLA PLAYERS, OBLADAET
106,107,12569,2022,by,Послала, VAVAN
107,108,12567,2022,by,Someone like you, NILETTO
108,109,12551,2022,by,Цепи, Skryptonite
109,110,12548,2022,by,LAMBO URUS, Egor Kreed
110,111,12472,2022,by,untitled, semmmyq
111,112,12433,2022,by,Маяк, Ramil'
112,113,12421,2022,by,Notion, The Rare Occasions
113,114,12397,2022,by,sH1pu4Ka!, MAYBE BABY
114,115,12375,2022,by,Люди, Дайте танк (!)
115,116,12346,2022,by,Вороны, Xcho
116,117,12314,2022,by,ДЕВОЧКА С КАРЕ, MUKKA
117,118,12239,2022,by,Буква Х, Scally Milano
118,119,12190,2022,by,Кино, MACAN
119,120,12173,2022,by,17 лет, Max Korzh
120,121,12115,2022,by,ДРЕССКОД, Nikitata
121,122,12108,2022,by,Пошла жара, GAYAZOV$ BROTHER$
122,123,12097,2022,by,Infinity, Jaymes Young
123,124,12058,2022,by,Jungle, Emma Louise
124,125,12046,2022,by,Контракт, Poshlaya Molly
125,126,12036,2022,by,so low, escape
126,127,12005,2022,by,Убей Меня, Ramil'
127,128,11969,2022,by,Я пиздатый, LIL MORTY
128,129,11902,2022,by,Домино, FACE
129,130,11898,2022,by,зима, ooes
130,131,11836,2022,by,Снова обогнал их, uglystephan
131,132,11713,2022,by,Freaks, Surf Curse
132,133,11659,2022,by,Я уёбываю в джаз, Кишлак
133,134,11636,2022,by,Под Звездопадом, Tima Belorusskih
134,135,11621,2022,by,Батареи, Нервы
135,136,11619,2022,by,Рассвет, КАКАЯ РАЗНИЦА
136,137,11603,2022,by,Пачка сигарет, LIZER
137,138,11583,2022,by,ODIUM, LXST CXNTURY
138,139,11562,2022,by,Ты далеко, SLAVA MARLOW
139,140,11533,2022,by,Minor, Miyagi & Andy Panda
140,141,11509,2022,by,Пушка, 10AGE
141,142,11463,2022,by,Вокзал, Dzharakhov
142,143,11412,2022,by,Ginseng Strip 2002, Yung Lean
143,144,11383,2022,by,На твиче, нексюша
144,145,11325,2022,by,Toxic, BoyWithUke
145,146,11288,2022,by,Москва любит..., Skryptonite
146,147,11285,2022,by,Погоди, DSPRITE
147,148,11280,2022,by,Mama Makusa, Big Ba
148,149,11273,2022,by,Миллионы, THRILL PILL
149,150,11137,2022,by,Холодное оружие, Sqwore
150,151,11052,2022,by,Чистый - OST «Псих», Skryptonite
151,152,10980,2022,by,Три Дня Любви, Zivert
152,153,10933,2022,by,Как тебя покорить, Перемотка
153,154,10894,2022,by,toxin, Benedixhion
154,155,10891,2022,by,Blinding Lights, The Weeknd
155,156,10868,2022,by,ЗанесLo, LOBODA
156,157,10860,2022,by,Домой, MORGENSHTERN
157,158,10739,2022,by,Танцуй сама, Skryptonite
158,159,10725,2022,by,Веном, Платина
159,160,10724,2022,by,Shivers (feat. FEDUK & SLAVA MARLOW), Ed Sheeran
160,161,10588,2022,by,молчи, кис-кис
161,162,10550,2022,by,На часах ноль-ноль, Dabro
162,163,10532,2022,by,Goosebumps, HVME
163,164,10515,2022,by,Мальчик на девятке, DEAD BLONDE
164,165,10513,2022,by,Где ты, Три дня дождя
165,166,10496,2022,by,Ау, 10AGE
166,167,10446,2022,by,Нервы, Нервы
167,168,10406,2022,by,Крышу сносит, LXNER
168,169,10380,2022,by,Говорят чо, LOVV66
169,170,10340,2022,by,Трахаца, ЛЯЛЬКА
170,171,10338,2022,by,Нон стоп, Poshlaya Molly
171,172,10317,2022,by,SUICIDE YEAR, WEEDMANE
172,173,10306,2022,by,Phonky Town, PlayaPhonk
173,174,10265,2022,by,Пополам, BRANYA
174,175,10234,2022,by,Big Tymers, Big Ba
175,176,10230,2022,by,Инкассатор, ROCKET
176,177,10195,2022,by,сети, quiizzzmeow
177,178,10155,2022,by,Антикобыла (prod., SHEEPY)  
178,179,10122,2022,by,Another Love, Tom Odell
179,180,10108,2022,by,спать с тобой, хочуспать
180,181,10087,2022,by,Между Нами, LIZER
181,182,10005,2022,by,тпм, КОСМОНАВТОВ НЕТ
182,183,9996,2022,by,Птичка, HammAli & Navai
183,184,9974,2022,by,кладбище, вышел покурить
184,185,9964,2022,by,Венера-Юпитер, Ваня Дмитриенко
185,186,9963,2022,by,Не Бруклин, МОТ
186,187,9960,2022,by,Пропал интерес, Konfuz
187,188,9933,2022,by,РАССВЕТ, Джизус
188,189,9925,2022,by,Меня не будет, ANIKV
189,190,9847,2022,by,СТИКЕР, CMH
190,191,9837,2022,by,Я тебе не верю, Grigory Leps
191,192,9831,2022,by,Втюрилась, Дора
192,193,9813,2022,by,ИСКАЛА, Zemfira
193,194,9802,2022,by,u., niteboi
194,195,9788,2022,by,там где хорошо, ANIKV
195,196,9774,2022,by,Не по пути, PHARAOH
196,197,9768,2022,by,Cold Heart - PNAU Remix, Elton John
197,198,9736,2022,by,Cristal & МОЁТ (feat. SODA LUV & blago white & OG Buda & MAYOT) - Remix, MORGENSHTERN
198,199,9732,2022,by,Ghoul, Twinky
199,200,9732,2022,by,ФИТИЛЬ, 3TERNITY
