,Rank,Streams,Year,Country,Title,Artist
0,1,1804619,2019,ca,Wow., Post Malone
1,2,1632201,2019,ca,Sunflower - Spider-Man: Into the Spider-Verse, Post Malone
2,3,1280519,2019,ca,Going Bad (feat. Drake), Meek Mill
3,4,1126559,2019,ca,thank u next, Ariana Grande
4,5,1124029,2019,ca,SICKO MODE, Travis Scott
5,6,1095760,2019,ca,Without Me, Halsey
6,7,1006870,2019,ca,ZEZE (feat. Travis Scott & Offset), Kodak Black
7,8,882688,2019,ca,Drip Too Hard (Lil Ba, & Gunna)  
8,9,850847,2019,ca,Mo Bamba, Sheck Wes
9,10,850481,2019,ca,High Hopes, Panic! At The Disco
10,11,774960,2019,ca,Look Back at It, A Boogie Wit da Hoodie
11,12,752395,2019,ca,Happier, Marshmello
12,13,719228,2019,ca,Better, Khalid
13,14,708307,2019,ca,Eastside (with Halsey & Khalid), benny blanco
14,15,674763,2019,ca,Leave Me Alone, Flipp Dinero
15,16,665248,2019,ca,Arms Around You (feat. Maluma & Swae Lee), XXXTENTACION
16,17,643054,2019,ca,Better Now, Post Malone
17,18,635415,2019,ca,monster, 21 Savage
18,19,630210,2019,ca,Saturday Nights, Khalid
19,20,625535,2019,ca,Shallow, Lady Gaga
20,21,612060,2019,ca,Startender (feat. Offset and Tyga), A Boogie Wit da Hoodie
21,22,607505,2019,ca,Nonstop, Drake
22,23,584001,2019,ca,Lucid Dreams, Juice WRLD
23,24,562983,2019,ca,KIKA, 6ix9ine
24,25,554626,2019,ca,Close To Me (with Diplo) (feat. Swae Lee), Ellie Goulding
25,26,553904,2019,ca,imagine, Ariana Grande
26,27,539511,2019,ca,MIA (feat. Drake), Bad Bunny
27,28,538854,2019,ca,Taste (feat. Offset), Tyga
28,29,535717,2019,ca,Crushed Up, Future
29,30,532748,2019,ca,Sweet but Psycho, Ava Max
30,31,532687,2019,ca,when the party's over, Billie Eilish
31,32,526336,2019,ca,Youngblood, 5 Seconds of Summer
32,33,523027,2019,ca,No Stylist (feat. Drake), French Montana
33,34,518192,2019,ca,SAD!, XXXTENTACION
34,35,515590,2019,ca,Swervin (feat. 6ix9ine), A Boogie Wit da Hoodie
35,36,503609,2019,ca,a lot, 21 Savage
36,37,494860,2019,ca,Taki Taki (with Selena Gomez Ozuna & Cardi B), DJ Snake
37,38,492785,2019,ca,Nothing Breaks Like a Heart (feat. Miley Cyrus), Mark Ronson
38,39,484353,2019,ca,Wake Up in the Sky, Gucci Mane
39,40,483101,2019,ca,whoa (mind in awe), XXXTENTACION
40,41,466475,2019,ca,rockstar (feat. 21 Savage), Post Malone
41,42,452348,2019,ca,I Like It, Cardi B
42,43,438373,2019,ca,Money, Cardi B
43,44,434518,2019,ca,Girls Like You (feat. Cardi B) - Cardi B Version, Maroon 5
44,45,434109,2019,ca,God's Plan, Drake
45,46,422362,2019,ca,Moonlight, XXXTENTACION
46,47,421457,2019,ca,Space Cadet (feat. Gunna), Metro Boomin
47,48,415073,2019,ca,Body (feat. brando), Loud Luxury
48,49,409435,2019,ca,Armed And Dangerous, Juice WRLD
49,50,401869,2019,ca,Noticed, Lil Mosey
50,51,401354,2019,ca,Psycho (feat. Ty Dolla $ign), Post Malone
51,52,401105,2019,ca,In My Feelings, Drake
52,53,398837,2019,ca,BAD!, XXXTENTACION
53,54,398267,2019,ca,lovely, Billie Eilish
54,55,390806,2019,ca,Butterfly Doors, Lil Pump
55,56,382438,2019,ca,YOSEMITE, Travis Scott
56,57,378978,2019,ca,Be Alright, Dean Lewis
57,58,376696,2019,ca,Look Alive (feat. Drake), BlocBoy JB
58,59,376004,2019,ca,Roses (with Juice WRLD feat. Brendon Urie), benny blanco
59,60,370538,2019,ca,Beautiful (feat. Camila Cabello), Bazzi
60,61,370284,2019,ca,FEFE, 6ix9ine
61,62,365875,2019,ca,Meant to Be (feat. Florida Georgia Line), Bebe Rexha
62,63,352306,2019,ca,I Like Me Better, Lauv
63,64,350363,2019,ca,I Love It (& Lil Pump), Kanye West
64,65,349212,2019,ca,Bad Liar, Imagine Dragons
65,66,346632,2019,ca,Splashin, Rich The Kid
66,67,341182,2019,ca,Hope, The Chainsmokers
67,68,341132,2019,ca,Lucky You (feat. Joyner Lucas), Eminem
68,69,336596,2019,ca,This Feeling, The Chainsmokers
69,70,335442,2019,ca,Fine China, Future
70,71,333124,2019,ca,Never Recover (Lil Ba, & Gunna
71,72,332154,2019,ca,Ruin My Life, Zara Larsson
72,73,325581,2019,ca,Bohemian Rhapsody - Remastered 2011, Queen
73,74,324566,2019,ca,idontwannabeyouanymore, Billie Eilish
74,75,320493,2019,ca,Love Lies (with Normani), Khalid
75,76,319836,2019,ca,Natural, Imagine Dragons
76,77,318973,2019,ca,Nuketown (feat. Juice WRLD), Ski Mask The Slump God
77,78,318387,2019,ca,all my friends, 21 Savage
78,79,315304,2019,ca,Ric Flair Drip (with Metro Boomin), Offset
79,80,313767,2019,ca,Jocelyn Flores, XXXTENTACION
80,81,313605,2019,ca,I Fall Apart, Post Malone
81,82,312388,2019,ca,Yes Indeed, Lil Ba
82,83,300417,2019,ca,Nice For What, Drake
83,84,299577,2019,ca,no tears left to cry, Ariana Grande
84,85,298284,2019,ca,10 Freaky Girls (with 21 Savage), Metro Boomin
85,86,297897,2019,ca,Familia (with Anuel Aa feat. Bantu) - Spider-Man: Into the Spider-Verse, Nicki Minaj
86,87,297469,2019,ca,Kiss and Make Up, Dua Lipa
87,88,296021,2019,ca,The Middle, Zedd
88,89,295748,2019,ca,Trampoline, SHAED
89,90,295575,2019,ca,TIC TOC, 6ix9ine
90,91,292406,2019,ca,breathin, Ariana Grande
91,92,288730,2019,ca,MAMA, 6ix9ine
92,93,287904,2019,ca,Best Part (feat. Daniel Caesar), H.E.R.
93,94,283521,2019,ca,Demons and Angels (feat. Juice WRLD), A Boogie Wit da Hoodie
94,95,283462,2019,ca,Jackie Chan, Tiësto
95,96,282424,2019,ca,Happy Now, Kygo
96,97,281176,2019,ca,Back To You - From 13 Reasons Why – Season 2 Soundtrack, Selena Gomez
97,98,275767,2019,ca,Havana (feat. Young Thug), Camila Cabello
98,99,273990,2019,ca,Hurts Like Hell (feat. Offset), Madison Beer
99,100,271598,2019,ca,Plug Walk, Rich The Kid
100,101,269438,2019,ca,Project Dreams, Marshmello
101,102,269031,2019,ca,XO Tour Llif3, Lil Uzi Vert
102,103,266587,2019,ca,Undecided, Chris Brown
103,104,263009,2019,ca,Promises (with Sam Smith), Calvin Harris
104,105,262872,2019,ca,I'm a Mess, Bebe Rexha
105,106,262008,2019,ca,Let Me Go (with Alesso Florida Georgia Line & watt), Hailee Steinfeld
106,107,261289,2019,ca,2002, Anne-Marie
107,108,258833,2019,ca,STARGAZING, Travis Scott
108,109,258256,2019,ca,Hide (feat. Seezyn), Juice WRLD
109,110,256833,2019,ca,Thunder, Imagine Dragons
110,111,256559,2019,ca,Rewrite The Stars (with James Arthur & Anne-Marie), James Arthur
111,112,256137,2019,ca,Say You Won't Let Go, James Arthur
112,113,255124,2019,ca,Perfect, Ed Sheeran
113,114,254944,2019,ca,Praise The Lord (Da Shine) (feat. Skepta), A$AP Rocky
114,115,254444,2019,ca,Falling Down - Bonus Track, Lil Peep
115,116,253335,2019,ca,HUMBLE., Kendrick Lamar
116,117,251593,2019,ca,La Di Da, Lennon Stella
117,118,250718,2019,ca,Shape of You, Ed Sheeran
118,119,250391,2019,ca,Calling My Spirit, Kodak Black
119,120,248722,2019,ca,God is a woman, Ariana Grande
120,121,245208,2019,ca,Killshot, Eminem
121,122,244879,2019,ca,Solo (feat. Demi Lovato), Clean Bandit
122,123,244331,2019,ca,Young Dumb & Broke, Khalid
123,124,242294,2019,ca,Faucet Failure, Ski Mask The Slump God
124,125,240731,2019,ca,REEL IT IN, Aminé
125,126,240550,2019,ca,Congratulations, Post Malone
126,127,236627,2019,ca,Speechless, Dan + Shay
127,128,236308,2019,ca,Believer, Imagine Dragons
128,129,236205,2019,ca,So Close, NOTD
129,130,235908,2019,ca,"Fire On Fire - From ""Watership Down""", Sam Smith
130,131,235893,2019,ca,can't leave without it, 21 Savage
131,132,234551,2019,ca,All The Stars (with SZA), Kendrick Lamar
132,133,232660,2019,ca,One Kiss (with Dua Lipa), Calvin Harris
133,134,230720,2019,ca,changes, XXXTENTACION
134,135,230319,2019,ca,WAKA, 6ix9ine
135,136,230283,2019,ca,Mine, Bazzi
136,137,228631,2019,ca,ocean eyes, Billie Eilish
137,138,228311,2019,ca,Unforgettable, French Montana
138,139,225233,2019,ca,TAlk tO Me (with Rich The Kid feat. Lil Wayne) - Remix, Tory Lanez
139,140,225182,2019,ca,No Brainer, DJ Khaled
140,141,224998,2019,ca,goosebumps, Travis Scott
141,142,224912,2019,ca,Fuck Love (feat. Trippie Redd), XXXTENTACION
142,143,224226,2019,ca,Someone You Loved, Lewis Capaldi
143,144,223728,2019,ca,Pure Cocaine, Lil Ba
144,145,223380,2019,ca,Walk It Talk It, Migos
145,146,222864,2019,ca,OTW, Khalid
146,147,222736,2019,ca,bellyache, Billie Eilish
