,Rank,Streams,Year,Country,Title,Artist
0,1,256681,2022,ch,abcdefu, GAYLE
1,2,247317,2022,ch,Heat Waves, Glass Animals
2,3,225462,2022,ch,Shivers, Ed Sheeran
3,4,222373,2022,ch,Pepas, Farruko
4,5,199471,2022,ch,Easy On Me, Adele
5,6,193131,2022,ch,Where Are You Now, Lost Frequencies
6,7,190136,2022,ch,Cold Heart - PNAU Remix, Elton John
7,8,178686,2022,ch,Do It To It, ACRAZE
8,9,177741,2022,ch,Enemy (with JID) - from the series Arcane League of Legends, Imagine Dragons
9,10,177555,2022,ch,STAY (with Justin Bieber), The Kid LAROI
10,11,166229,2022,ch,Wenn ich will, Gzuz
11,12,165618,2022,ch,L’enfer, Stromae
12,13,158457,2022,ch,TO THE MOON, Jnr Choi
13,14,156366,2022,ch,Sacrifice, The Weeknd
14,15,155254,2022,ch,Bad Habits, Ed Sheeran
15,16,154875,2022,ch,INDUSTRY BABY (feat. Jack Harlow), Lil Nas X
16,17,146579,2022,ch,Infinity, Jaymes Young
17,18,139958,2022,ch,It'll Be Okay, Shawn Mendes
18,19,134526,2022,ch,Fingers Crossed, Lauren Spencer-Smith
19,20,123511,2022,ch,Wrecked, Imagine Dragons
20,21,123057,2022,ch,Thunder, Gabry Ponte
21,22,122221,2022,ch,love nwantiti (ah ah ah), CKay
22,23,118859,2022,ch,10von10 - Remix, Pajel
23,24,112005,2022,ch,THATS WHAT I WANT, Lil Nas X
24,25,111489,2022,ch,The Motto, Tiësto
25,26,109903,2022,ch,Jefe, Ninho
26,27,106719,2022,ch,How Do I Make You Love Me?, The Weeknd
27,28,106430,2022,ch,Acapulco, Jason Derulo
28,29,104532,2022,ch,My Universe, Coldplay
29,30,103144,2022,ch,Moth To A Flame (with The Weeknd), Swedish House Mafia
30,31,102695,2022,ch,Is There Someone Else?, The Weeknd
31,32,97586,2022,ch,Gasoline, The Weeknd
32,33,97263,2022,ch,Blinding Lights, The Weeknd
33,34,96066,2022,ch,Mit Dir, Sido
34,35,95850,2022,ch,Woman, Doja Cat
35,36,92926,2022,ch,Out of Time, The Weeknd
36,37,92144,2022,ch,Because You Move Me, Tinlicker
37,38,90058,2022,ch,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit, Riton
38,39,89965,2022,ch,good 4 u, Olivia Rodrigo
39,40,89901,2022,ch,Beggin', Måneskin
40,41,89344,2022,ch,Corazon, Butrint Imeri
41,42,87262,2022,ch,Take My Breath, The Weeknd
42,43,86641,2022,ch,Love Tonight - Edit, Shouse
43,44,86593,2022,ch,Another Love, Tom Odell
44,45,86526,2022,ch,Never Going Home, Kungs
45,46,85234,2022,ch,Santé, Stromae
46,47,82515,2022,ch,Emiliana, CKay
47,48,82150,2022,ch,MONTERO (Call Me By Your Name), Lil Nas X
48,49,82024,2022,ch,LA FAMA (with The Weeknd), ROSALÍA
49,50,81778,2022,ch,Softcore, The Neighbourhood
50,51,81544,2022,ch,Miserable Man, David Kushner
51,52,81495,2022,ch,Dawn FM, The Weeknd
52,53,78751,2022,ch,Toxic, BoyWithUke
53,54,77105,2022,ch,Best Friends, The Weeknd
54,55,76847,2022,ch,Less Than Zero, The Weeknd
55,56,76668,2022,ch,VVS, Ninho
56,57,75332,2022,ch,I Heard You’re Married (feat. Lil Wayne), The Weeknd
57,58,74314,2022,ch,Here We Go… Again (feat. Tyler the Creator), The Weeknd
58,59,73844,2022,ch,paris freestyle - skrilla remix, Pashanim
59,60,72671,2022,ch,I AM WOMAN, Emmy Meli
60,61,70149,2022,ch,Pourquoi, Samra
61,62,69874,2022,ch,Run, OneRepublic
62,63,69820,2022,ch,Starry Eyes, The Weeknd
63,64,69352,2022,ch,LOYALTY OVER LOVE, reezy
64,65,68958,2022,ch,Sweater Weather, The Neighbourhood
65,66,68600,2022,ch,OUT OUT (feat. Charli XCX & Saweetie), Joel Corry
66,67,68079,2022,ch,pushin P (feat. Young Thug), Gunna
67,68,67917,2022,ch,Anunnaki, Vald
68,69,67434,2022,ch,Molly (feat. Bausa), Selmon
69,70,67102,2022,ch,Someone You Loved, Lewis Capaldi
70,71,65823,2022,ch,The Business, Tiësto
71,72,65383,2022,ch,Oh My God, Adele
72,73,64905,2022,ch,allein allein, Ufo361
73,74,64513,2022,ch,Peru, Fireboy DML
74,75,63759,2022,ch,One Right Now (with The Weeknd), Post Malone
75,76,62728,2022,ch,Shallow, Lady Gaga
76,77,62712,2022,ch,Can't Hold Us (feat. Ray Dalton), Macklemore & Ryan Lewis
77,78,61962,2022,ch,Save Your Tears, The Weeknd
78,79,61611,2022,ch,Auf & Ab, Montez
79,80,61037,2022,ch,Awimbawe (feat. Capo), Kurdo
80,81,60448,2022,ch,Späti, Gzuz
81,82,59772,2022,ch,Love Again, Dua Lipa
82,83,59687,2022,ch,drivers license, Olivia Rodrigo
83,84,59476,2022,ch,Arcade, Duncan Laurence
84,85,59143,2022,ch,Head & Heart (feat. MNEK), Joel Corry
85,86,58749,2022,ch,Don't Be Shy, Tiësto
86,87,58741,2022,ch,Kiss Me More (feat. SZA), Doja Cat
87,88,58370,2022,ch,Don’t Break My Heart, The Weeknd
88,89,58309,2022,ch,Young Right Now, Robin Schulz
89,90,58216,2022,ch,Sommergewitter, Pashanim
90,91,58179,2022,ch,Vérité, Ninho
91,92,58126,2022,ch,Blaues Licht, RAF Camora
92,93,58046,2022,ch,A Tale By Quincy, The Weeknd
93,94,57914,2022,ch,Criminal, Dhurata Dora
94,95,57833,2022,ch,love nwantiti (feat. Dj Yo! & AX'EL) - Remix, CKay
95,96,57390,2022,ch,Dance Monkey, Tones And I
96,97,57151,2022,ch,Ghost, Justin Bieber
97,98,56925,2022,ch,DER LETZTE SONG (ALLES WIRD GUT) (feat. Fred Rabe), KUMMER
98,99,56866,2022,ch,Overpass Graffiti, Ed Sheeran
99,100,56090,2022,ch,Cover Me In Sunshine, P!nk
100,101,55921,2022,ch,Little Bit of Love, Tom Grennan
101,102,55818,2022,ch,Bossmode, Kollegah
102,103,55373,2022,ch,Without Me, Eminem
103,104,55336,2022,ch,Levitating (feat. DaBa,)  
104,105,55182,2022,ch,alotta cake, Gunna
105,106,54861,2022,ch,SUVs, Luciano
106,107,54432,2022,ch,MONEY, LISA
107,108,54035,2022,ch,Save Your Tears (with Ariana Grande) (Remix), The Weeknd
108,109,53551,2022,ch,We Don't Talk About Bruno, Carolina Gaitán - La Gaita
109,110,53349,2022,ch,Your Love (9PM), ATB
110,111,52973,2022,ch,D O D O, Tayc
111,112,52947,2022,ch,SOLITE PARE (feat. tha Supreme & Sfera Ebbasta), Sick Luke
112,113,52835,2022,ch,Billigwein, Monet192
113,114,52673,2022,ch,Mood (feat. iann dior), 24kGoldn
114,115,52401,2022,ch,Happier Than Ever, Billie Eilish
115,116,52258,2022,ch,Manila, Ray Dalton
116,117,51943,2022,ch,All of Me, John Legend
117,118,51800,2022,ch,Gangsta's Paradise, Coolio
118,119,51613,2022,ch,thought i was playing, Gunna
119,120,51545,2022,ch,HIGH, Hava
120,121,51446,2022,ch,Lost in the Fire (feat. The Weeknd), Gesaffelstein
121,122,51166,2022,ch,Wasted Love (feat. Lagique), Ofenbach
122,123,50811,2022,ch,lovely (with Khalid), Billie Eilish
123,124,50099,2022,ch,La kiffance, Naps
124,125,49904,2022,ch,Kuku, Butrint Imeri
125,126,49796,2022,ch,Every Angel is Terrifying, The Weeknd
126,127,49787,2022,ch,Watermelon Sugar, Harry Styles
127,128,49365,2022,ch,Wellerman - Sea Shanty, Nathan Evans
128,129,49296,2022,ch,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy), Amaarae
129,130,48754,2022,ch,The Real Slim Shady, Eminem
130,131,48636,2022,ch,Before You Go, Lewis Capaldi
131,132,48539,2022,ch,Down Under (feat. Colin Hay), Luude
132,133,48371,2022,ch,Believer, Imagine Dragons
133,134,48166,2022,ch,Sunshine, OneRepublic
134,135,48162,2022,ch,Counting Stars, OneRepublic
135,136,48137,2022,ch,MIDDLE OF THE NIGHT, Elley Duhé
136,137,48074,2022,ch,Take My Breath - Single Version, The Weeknd
137,138,47966,2022,ch,'Till I Collapse, Eminem
138,139,47636,2022,ch,Need to Know, Doja Cat
139,140,47335,2022,ch,Unstoppable, Sia
140,141,47202,2022,ch,Rasputin, Majestic
141,142,46436,2022,ch,BM (London View), OTP
142,143,46383,2022,ch,Riptide, Vance Joy
143,144,46236,2022,ch,Alors on danse - Radio Edit, Stromae
144,145,46233,2022,ch,Peaches (feat. Daniel Caesar & Giveon), Justin Bieber
145,146,46063,2022,ch,"Lose Yourself - From ""8 Mile"" Soundtrack", Eminem
146,147,46052,2022,ch,I WANNA BE YOUR SLAVE, Måneskin
147,148,45789,2022,ch,you broke me first, Tate McRae
148,149,45515,2022,ch,Bohemian Rhapsody - Remastered 2011, Queen
149,150,45380,2022,ch,Girls Like Us, Zoe Wees
150,151,45376,2022,ch,Dandelions, Ruth B.
151,152,45370,2022,ch,2CB, RAF Camora
152,153,45340,2022,ch,10von10, Pajel
153,154,45311,2022,ch,Wellerman - Sea Shanty / 220 KID x Billen Ted Remix, Nathan Evans
154,155,45245,2022,ch,private island, Gunna
155,156,45038,2022,ch,Astronaut In The Ocean, Masked Wolf
156,157,45028,2022,ch,Head Shoulders Knees & Toes (feat. Norma Jean Martine), Ofenbach
157,158,44916,2022,ch,I Gotta Feeling, Black Eyed Peas
158,159,44819,2022,ch,Perfect, Ed Sheeran
159,160,44206,2022,ch,Démons, Angèle
160,161,44190,2022,ch,Retail Therapy, Central Cee
161,162,43851,2022,ch,Ramenez la coupe à la maison, Vegedream
162,163,43740,2022,ch,Wake Me Up, Avicii
163,164,43710,2022,ch,Colorado, Milky Chance
164,165,43625,2022,ch,Love Grows (Where My Rosemary Goes), Edison Lighthouse
165,166,43625,2022,ch,25k jacket (feat. Lil Ba,)  
166,167,43420,2022,ch,Obsessed With You, Central Cee
167,168,43168,2022,ch,Danza Kuduro, Don Omar
168,169,43159,2022,ch,how you did that (feat. Kodak Black), Gunna
169,170,42902,2022,ch,Afterglow, Ed Sheeran
170,171,42832,2022,ch,Only Love Can Hurt Like This, Paloma Faith
171,172,42797,2022,ch,Roller, Apache 207
172,173,42596,2022,ch,Don't Stop Me Now - Remastered 2011, Queen
173,174,42526,2022,ch,The Nights, Avicii
174,175,42438,2022,ch,Let Her Go, Passenger
175,176,42435,2022,ch,Paradise (feat. Dermot Kennedy), MEDUZA
176,177,42399,2022,ch,I GUESS I'M IN LOVE, Clinton Kane
177,178,42289,2022,ch,Coming for You (feat. A1 x J1), SwitchOTR
178,179,42265,2022,ch,In Da Getto, J Balvin
179,180,42231,2022,ch,Taxi Taxi, Lo & Leduc
180,181,42136,2022,ch,mop (feat. Young Thug), Gunna
181,182,42091,2022,ch,poochie gown, Gunna
182,183,41973,2022,ch,Je te laisserai des mots, Patrick Watson
183,184,41828,2022,ch,Be Alright, Dean Lewis
184,185,41602,2022,ch,Papaoutai, Stromae
185,186,41577,2022,ch,Still D.R.E., Dr. Dre
186,187,41502,2022,ch,B.I.B.O., Dardan
187,188,41124,2022,ch,Lemonade (feat. Gunna Don Toliver & NAV), Internet Money
188,189,41111,2022,ch,Rolling in the Deep, Adele
189,190,40970,2022,ch,Love Tonight - David Guetta Remix Edit, Shouse
190,191,40793,2022,ch,Bruxelles je t’aime, Angèle
191,192,40531,2022,ch,Jerusalema (feat. Nomcebo Zikode), Master KG
192,193,40495,2022,ch,Demons, Imagine Dragons
193,194,40470,2022,ch,Roses - Imanbek Remix, SAINt JHN
194,195,40420,2022,ch,Control, Zoe Wees
195,196,40361,2022,ch,Someone To You, BANNERS
196,197,39906,2022,ch,TDB, OBOY
197,198,39860,2022,ch,Jour meilleur, Orelsan
198,199,39823,2022,ch,Hall of Fame (feat. will.i.am), The Script
199,200,39607,2022,ch,Every Breath You Take, The Police
