,Rank,Streams,Year,Country,Title,Artist
0,1,2272852,2019,cl,Calma - Remix, Pedro Capó
1,2,2103505,2019,cl,No Te Enamores, Paloma Mami
2,3,1957504,2019,cl,Adan y Eva, Paulo Londra
3,4,1815852,2019,cl,Amanece, Anuel AA
4,5,1572154,2019,cl,Not Steady, Paloma Mami
5,6,1502717,2019,cl,MIA (feat. Drake), Bad Bunny
6,7,1381316,2019,cl,Adictiva, Daddy Yankee
7,8,1197620,2019,cl,Imposible, Luis Fonsi
8,9,1187607,2019,cl,Taki Taki (with Selena Gomez Ozuna & Cardi B), DJ Snake
9,10,1113814,2019,cl,Cuando Te Besé, Becky G
10,11,984280,2019,cl,Desconocidos, Mau y Ricky
11,12,970316,2019,cl,Vaina Loca, Ozuna
12,13,958424,2019,cl,Bubalu, Becky G
13,14,932903,2019,cl,BEBE, 6ix9ine
14,15,914418,2019,cl,Ella Quiere Beber - Remix, Anuel AA
15,16,905824,2019,cl,Solo de Mi, Bad Bunny
16,17,891972,2019,cl,Hipócrita, Anuel AA
17,18,878622,2019,cl,Culpables, KAROL G
18,19,819990,2019,cl,Ya No Tiene Novio, Sebastian Yatra
19,20,779590,2019,cl,PPP, Kevin Roldan
20,21,767778,2019,cl,Sigue Bailandome, Yannc
21,22,761183,2019,cl,Reggaeton, J Balvin
22,23,743691,2019,cl,Reggaetón en lo Oscuro, Wisin & Yandel
23,24,704847,2019,cl,Quiere Beber, Anuel AA
24,25,701280,2019,cl,A Solas - Remix, Lunay
25,26,689847,2019,cl,Tanta Falta, Bryant Myers
26,27,635274,2019,cl,Puntos Suspensivos, Piso 21
27,28,611096,2019,cl,Sin Culpa (feat. DrefQuila), Duki
28,29,590563,2019,cl,Hookah & Sheridan s, Tommy Boysen
29,30,571199,2019,cl,Subete, Lary Over
30,31,571111,2019,cl,Amigos Con Derechos, Reik
31,32,564220,2019,cl,Asesina - Remix, Brytiago
32,33,552916,2019,cl,No Es Justo, J Balvin
33,34,539403,2019,cl,No Me Acuerdo, Thalia
34,35,503193,2019,cl,Créeme, KAROL G
35,36,496635,2019,cl,El Gil de Tu Ex, Santaferia
36,37,487131,2019,cl,La player (Bandolera), Zion & Lennox
37,38,458539,2019,cl,NI BIEN NI MAL, Bad Bunny
38,39,448439,2019,cl,Ibiza, Ozuna
39,40,448273,2019,cl,Te Boté - Remix, Nio Garcia
40,41,442571,2019,cl,Mala Mía, Maluma
41,42,437283,2019,cl,Exhibicionista, DrefQuila
42,43,430661,2019,cl,Hola, Zion & Lennox
43,44,427812,2019,cl,Algún Día Volveras, Santaferia
44,45,426209,2019,cl,A fuego, DrefQuila
45,46,424626,2019,cl,Luz Apaga, Ozuna
46,47,419673,2019,cl,Chica Paranormal, Paulo Londra
47,48,415454,2019,cl,Sin Pijama, Becky G
48,49,395666,2019,cl,Estamos Bien, Bad Bunny
49,50,377434,2019,cl,Ta To Gucci (Remix), Cauty
50,51,374711,2019,cl,MALA, 6ix9ine
