,Rank,Streams,Year,Country,Title,Artist
0,1,1124356,2022,co,Monastery, Ryan Castro
1,2,991709,2022,co,Medallo, Blessd
2,3,909083,2022,co,Yo No Se, Chucho Flash
3,4,743270,2022,co,Wasa Wasa, Ryan Castro
4,5,598683,2022,co,Yonaguni, Bad Bunny
5,6,555432,2022,co,Jordan, Ryan Castro
6,7,545304,2022,co,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas), Tainy
7,8,533275,2022,co,VACAXIONES, Feid
8,9,509198,2022,co,SI TÚ SUPIERAS - Bonus Track, Feid
9,10,427025,2022,co,AMOR DE MI VIDA, Feid
10,11,424749,2022,co,FRIKI, Feid
11,12,418353,2022,co,Volando - Remix, Mora
12,13,388787,2022,co,Mon Amour - Remix, zzoilo
13,14,384451,2022,co,DÁKITI, Bad Bunny
14,15,377901,2022,co,Quien TV, Blessd
15,16,371594,2022,co,Volví, Aventura
16,17,368993,2022,co,Todo De Ti, Rauw Alejandro
17,18,365088,2022,co,Sobrio, Maluma
18,19,330493,2022,co,AM Remix, Nio Garcia
19,20,328514,2022,co,Malory, Ryan Castro
20,21,318263,2022,co,Cold Heart - PNAU Remix, Elton John
21,22,314101,2022,co,Desesperados, Rauw Alejandro
22,23,306228,2022,co,Qué Más Pues?, J Balvin
23,24,301748,2022,co,Monumento, Andy Rivera
24,25,300009,2022,co,TE MATA, Feid
25,26,295940,2022,co,Pepas, Farruko
26,27,290573,2022,co,Mujeriego, Ryan Castro
27,28,279693,2022,co,200 COPAS, KAROL G
28,29,277131,2022,co,Poblado - Remix, J Balvin
29,30,272482,2022,co,CHIMBITA, Feid
30,31,272406,2022,co,Tacones Rojos, Sebastian Yatra
31,32,271730,2022,co,Se Le Ve, Dímelo Flow
32,33,263665,2022,co,SEJODIOTO, KAROL G
33,34,262960,2022,co,Botella Tras Botella, Gera MX
34,35,256646,2022,co,LA CANCIÓN, J Balvin
35,36,252703,2022,co,Enemy (with JID) - from the series Arcane League of Legends, Imagine Dragons
36,37,250881,2022,co,Pareja Del Año, Sebastian Yatra
37,38,250535,2022,co,Algo Que Se Quede, Grupo Niche
38,39,244673,2022,co,Hace Tiempo, Blessd
39,40,243097,2022,co,Una Nota, J Balvin
40,41,242391,2022,co,La Curiosidad, Jay Wheeler
41,42,234638,2022,co,Cúrame, Rauw Alejandro
42,43,231017,2022,co,2/Catorce, Rauw Alejandro
43,44,230927,2022,co,Hawái, Maluma
44,45,228976,2022,co,Ley Seca, Jhay Cortez
45,46,219029,2022,co,IMPOSIBLE - REMIX, Blessd
46,47,217347,2022,co,TENGO FE, Feid
47,48,214117,2022,co,Súbelo, Anuel AA
48,49,209079,2022,co,Índigo, Camilo
49,50,208806,2022,co,12x3, DEKKO
50,51,206531,2022,co,No se habla de Bruno, Carolina Gaitán - La Gaita
51,52,190808,2022,co,Easy On Me, Adele
52,53,189505,2022,co,Guaro - Remix, Pipe Bueno
53,54,183590,2022,co,Ella - Remix, Boza
54,55,179411,2022,co,Dos Problemas (feat. Big Soto) - Remix, Blessd
