,Rank,Streams,Year,Country,Title,Artist
0,1,7271,2019,cy,Without Me, Halsey
1,2,7257,2019,cy,Wow., Post Malone
2,3,5457,2019,cy,Shallow, Lady Gaga
3,4,5336,2019,cy,thank u next, Ariana Grande
4,5,5259,2019,cy,Sweet but Psycho, Ava Max
5,6,4642,2019,cy,Taki Taki (with Selena Gomez Ozuna & Cardi B), DJ Snake
6,7,4533,2019,cy,Sunflower - Spider-Man: Into the Spider-Verse, Post Malone
7,8,4433,2019,cy,ZEZE (feat. Travis Scott & Offset), Kodak Black
8,9,4242,2019,cy,SICKO MODE, Travis Scott
9,10,4154,2019,cy,Going Bad (feat. Drake), Meek Mill
10,11,4083,2019,cy,High Hopes, Panic! At The Disco
11,12,4044,2019,cy,Happier, Marshmello
12,13,3878,2019,cy,Eastside (with Halsey & Khalid), benny blanco
13,14,3842,2019,cy,Arms Around You (feat. Maluma & Swae Lee), XXXTENTACION
14,15,3745,2019,cy,Be Alright, Dean Lewis
15,16,3732,2019,cy,Mo Bamba, Sheck Wes
16,17,3448,2019,cy,Close To Me (with Diplo) (feat. Swae Lee), Ellie Goulding
17,18,3434,2019,cy,Nothing Breaks Like a Heart (feat. Miley Cyrus), Mark Ronson
18,19,3431,2019,cy,Better Now, Post Malone
19,20,3357,2019,cy,Leave Me Alone, Flipp Dinero
20,21,3229,2019,cy,Saturday Nights, Khalid
21,22,3216,2019,cy,MIA (feat. Drake), Bad Bunny
22,23,3169,2019,cy,Moonlight, XXXTENTACION
23,24,3071,2019,cy,imagine, Ariana Grande
24,25,3040,2019,cy,Look Back at It, A Boogie Wit da Hoodie
25,26,3007,2019,cy,SAD!, XXXTENTACION
26,27,2933,2019,cy,Taste (feat. Offset), Tyga
27,28,2920,2019,cy,Better, Khalid
28,29,2890,2019,cy,when the party's over, Billie Eilish
29,30,2884,2019,cy,Drip Too Hard (Lil Ba, & Gunna)  
30,31,2866,2019,cy,Ti Na To Kano, Konstantinos Argiros
31,32,2790,2019,cy,Bohemian Rhapsody - Remastered 2011, Queen
32,33,2773,2019,cy,rockstar (feat. 21 Savage), Post Malone
33,34,2769,2019,cy,Girls Like You (feat. Cardi B) - Cardi B Version, Maroon 5
34,35,2759,2019,cy,Let You Love Me, Rita Ora
35,36,2651,2019,cy,I Like It, Cardi B
36,37,2646,2019,cy,Lucid Dreams, Juice WRLD
37,38,2433,2019,cy,Nonstop, Drake
38,39,2429,2019,cy,Youngblood, 5 Seconds of Summer
39,40,2418,2019,cy,Bad Liar, Imagine Dragons
40,41,2389,2019,cy,Wake Up in the Sky, Gucci Mane
41,42,2384,2019,cy,Ruin My Life, Zara Larsson
42,43,2353,2019,cy,Calma - Remix, Pedro Capó
43,44,2302,2019,cy,Natural, Imagine Dragons
44,45,2283,2019,cy,whoa (mind in awe), XXXTENTACION
45,46,2269,2019,cy,In My Mind, Dynoro
46,47,2265,2019,cy,Kiss and Make Up, Dua Lipa
47,48,2258,2019,cy,God's Plan, Drake
48,49,2243,2019,cy,no tears left to cry, Ariana Grande
49,50,2227,2019,cy,lovely, Billie Eilish
50,51,2214,2019,cy,monster, 21 Savage
51,52,2183,2019,cy,Thunderclouds, Sia
52,53,2138,2019,cy,"Fire On Fire - From ""Watership Down""", Sam Smith
53,54,2101,2019,cy,In My Feelings, Drake
54,55,2097,2019,cy,No Stylist (feat. Drake), French Montana
55,56,2068,2019,cy,Te Boté - Remix, Nio Garcia
56,57,2062,2019,cy,Promises (with Sam Smith), Calvin Harris
57,58,2060,2019,cy,Solo (feat. Demi Lovato), Clean Bandit
58,59,2030,2019,cy,Money, Cardi B
59,60,1986,2019,cy,KIKA, 6ix9ine
60,61,1973,2019,cy,Lucky You (feat. Joyner Lucas), Eminem
61,62,1972,2019,cy,Body (feat. brando), Loud Luxury
62,63,1958,2019,cy,idontwannabeyouanymore, Billie Eilish
63,64,1942,2019,cy,Back To You - From 13 Reasons Why – Season 2 Soundtrack, Selena Gomez
64,65,1907,2019,cy,Tora Ti Na To Kano, Nikos Oikonomopoulos
65,66,1890,2019,cy,2002, Anne-Marie
66,67,1848,2019,cy,Another One Bites The Dust - Remastered 2011, Queen
67,68,1848,2019,cy,Say My Name, David Guetta
68,69,1847,2019,cy,IDGAF, Dua Lipa
69,70,1832,2019,cy,Happy Now, Kygo
70,71,1823,2019,cy,FRIENDS, Marshmello
71,72,1811,2019,cy,Beautiful (feat. Camila Cabello), Bazzi
72,73,1792,2019,cy,I Love It (& Lil Pump), Kanye West
73,74,1788,2019,cy,Havana (feat. Young Thug), Camila Cabello
74,75,1787,2019,cy,a lot, 21 Savage
75,76,1771,2019,cy,Rewrite The Stars (with James Arthur & Anne-Marie), James Arthur
76,77,1762,2019,cy,Jocelyn Flores, XXXTENTACION
77,78,1697,2019,cy,Startender (feat. Offset and Tyga), A Boogie Wit da Hoodie
78,79,1696,2019,cy,Familia (with Anuel Aa feat. Bantu) - Spider-Man: Into the Spider-Verse, Nicki Minaj
79,80,1687,2019,cy,Look Alive (feat. Drake), BlocBoy JB
80,81,1674,2019,cy,One Kiss (with Dua Lipa), Calvin Harris
81,82,1651,2019,cy,Crushed Up, Future
82,83,1649,2019,cy,BAD!, XXXTENTACION
83,84,1640,2019,cy,Trampoline, SHAED
84,85,1637,2019,cy,Woman Like Me (feat. Nicki Minaj), Little Mix
85,86,1631,2019,cy,The Middle, Zedd
86,87,1626,2019,cy,Roses (with Juice WRLD feat. Brendon Urie), benny blanco
87,88,1620,2019,cy,Ocean (feat. Khalid), Martin Garrix
88,89,1608,2019,cy,Believer, Imagine Dragons
89,90,1583,2019,cy,Always Remember Us This Way, Lady Gaga
90,91,1581,2019,cy,Venom - Music From The Motion Picture, Eminem
91,92,1564,2019,cy,God is a woman, Ariana Grande
92,93,1545,2019,cy,FEFE, 6ix9ine
93,94,1545,2019,cy,Rise, Jonas Blue
94,95,1538,2019,cy,Nevermind, Dennis Lloyd
95,96,1530,2019,cy,Project Dreams, Marshmello
96,97,1528,2019,cy,Jackie Chan, Tiësto
97,98,1515,2019,cy,YOSEMITE, Travis Scott
98,99,1511,2019,cy,These Days (feat. Jess Glynne Macklemore & Dan Caplen), Rudimental
99,100,1496,2019,cy,Too Good At Good,es  
100,101,1494,2019,cy,New Rules, Dua Lipa
101,102,1492,2019,cy,Hope, The Chainsmokers
102,103,1492,2019,cy,I'm a Mess, Bebe Rexha
103,104,1490,2019,cy,I Like Me Better, Lauv
104,105,1487,2019,cy,MALA, 6ix9ine
105,106,1487,2019,cy,Psycho (feat. Ty Dolla $ign), Post Malone
106,107,1479,2019,cy,Shape of You, Ed Sheeran
107,108,1467,2019,cy,Electricity (with Dua Lipa), Silk City
108,109,1458,2019,cy,breathin, Ariana Grande
109,110,1456,2019,cy,Giati, Melisses
110,111,1442,2019,cy,Don't Stop Me Now - Remastered 2011, Queen
111,112,1433,2019,cy,Butterfly Doors, Lil Pump
112,113,1416,2019,cy,changes, XXXTENTACION
113,114,1397,2019,cy,In My Blood, Shawn Mendes
114,115,1397,2019,cy,In My Head, Peter Manos
115,116,1397,2019,cy,Thunder, Imagine Dragons
116,117,1384,2019,cy,Perfect, Ed Sheeran
117,118,1370,2019,cy,Love Someone, Lukas Graham
118,119,1366,2019,cy,Adan y Eva, Paulo Londra
119,120,1361,2019,cy,Whenever (feat. Conor Maynard), Kris Kross Amsterdam
120,121,1358,2019,cy,'Till I Collapse, Eminem
121,122,1357,2019,cy,Love Lies (with Normani), Khalid
122,123,1353,2019,cy,Meant to Be (feat. Florida Georgia Line), Bebe Rexha
123,124,1353,2019,cy,Kane Hiliosta Ta Hiliometra, Nikos Makropoulos
124,125,1319,2019,cy,Suncity (feat. Empress Of), Khalid
125,126,1319,2019,cy,Unforgettable, French Montana
126,127,1297,2019,cy,Under Pressure - Remastered 2011, Queen
127,128,1294,2019,cy,Wolves, Selena Gomez
128,129,1291,2019,cy,Shotgun, George Ezra
129,130,1282,2019,cy,Call Out My Name, The Weeknd
130,131,1272,2019,cy,Good,e (feat. Nicki Minaj & Willy William)  
131,132,1266,2019,cy,Silence, Marshmello
132,133,1263,2019,cy,Let You Down, NF
133,134,1255,2019,cy,Killshot, Eminem
134,135,1245,2019,cy,Say You Won't Let Go, James Arthur
135,136,1237,2019,cy,Tómame, Eleni Foureira
136,137,1234,2019,cy,There You Are, ZAYN
137,138,1228,2019,cy,Solo de Mi, Bad Bunny
138,139,1224,2019,cy,Someone You Loved, Lewis Capaldi
139,140,1218,2019,cy,Nice For What, Drake
140,141,1203,2019,cy,Everybody Dies In Their Nightmares, XXXTENTACION
141,142,1197,2019,cy,Thinking out Loud, Ed Sheeran
142,143,1197,2019,cy,Fuck Love (feat. Trippie Redd), XXXTENTACION
143,144,1191,2019,cy,Flames, David Guetta
144,145,1182,2019,cy,Praise The Lord (Da Shine) (feat. Skepta), A$AP Rocky
145,146,1181,2019,cy,Congratulations, Post Malone
146,147,1175,2019,cy,HUMBLE., Kendrick Lamar
147,148,1175,2019,cy,Happy Now, Zedd
148,149,1170,2019,cy,Falling Down - Bonus Track, Lil Peep
149,150,1168,2019,cy,Somebody To Love - Remastered 2011, Queen
150,151,1166,2019,cy,Let Me Go (with Alesso Florida Georgia Line & watt), Hailee Steinfeld
151,152,1163,2019,cy,All The Stars (with SZA), Kendrick Lamar
152,153,1160,2019,cy,Hurts Like Hell (feat. Offset), Madison Beer
153,154,1154,2019,cy,MAMA, 6ix9ine
154,155,1153,2019,cy,bellyache, Billie Eilish
155,156,1148,2019,cy,I Fall Apart, Post Malone
156,157,1142,2019,cy,River (feat. Ed Sheeran), Eminem
157,158,1136,2019,cy,"Lose Yourself - From ""8 Mile"" Soundtrack", Eminem
158,159,1125,2019,cy,Dusk Till Dawn (feat. Sia) - Radio Edit, ZAYN
159,160,1122,2019,cy,No Brainer, DJ Khaled
160,161,1119,2019,cy,I'm Yours, Jason Mraz
161,162,1118,2019,cy,goosebumps, Travis Scott
162,163,1117,2019,cy,Ric Flair Drip (with Metro Boomin), Offset
163,164,1109,2019,cy,Photograph, Ed Sheeran
164,165,1108,2019,cy,SOLO, JENNIE
165,166,1104,2019,cy,Treat You Better, Shawn Mendes
166,167,1090,2019,cy,1950, King Princess
