,Rank,Streams,Year,Country,Title,Artist
0,1,146430,2021,cz,Malá Biš, Nik Tendo
1,2,118543,2021,cz,Mood (feat. iann dior), 24kGoldn
2,3,117090,2021,cz,The Business, Tiësto
3,4,103286,2021,cz,Blinding Lights, The Weeknd
4,5,98196,2021,cz,Head & Heart (feat. MNEK), Joel Corry
5,6,97476,2021,cz,Rolls, Yzomandias
6,7,92368,2021,cz,Bad Man Song (feat. Ca$hanova Bulhar), Smack
7,8,90710,2021,cz,Je Mi Fajn, Earth
8,9,89836,2021,cz,Rozdělený světy, Viktor Sheen
9,10,87496,2021,cz,Šílený, Ben Cristovao
10,11,81990,2021,cz,Plastic, Viktor Sheen
11,12,80460,2021,cz,Až na měsíc, Viktor Sheen
12,13,77672,2021,cz,HOLIDAY, Lil Nas X
13,14,77019,2021,cz,Planeta Zombie, FIZIstyle
14,15,76522,2021,cz,Lemonade (feat. Gunna Don Toliver & NAV), Internet Money
15,16,73529,2021,cz,Designer Flow, Yzomandias
16,17,72998,2021,cz,Watermelon Sugar, Harry Styles
17,18,72859,2021,cz,WITHOUT YOU, The Kid LAROI
18,19,70619,2021,cz,Head Shoulders Knees & Toes (feat. Norma Jean Martine), Ofenbach
19,20,70371,2021,cz,Roses - Imanbek Remix, SAINt JHN
20,21,70142,2021,cz,Alucard, Viktor Sheen
21,22,68363,2021,cz,you broke me first, Tate McRae
22,23,68351,2021,cz,Someone You Loved, Lewis Capaldi
23,24,67283,2021,cz,Afterglow, Ed Sheeran
24,25,66411,2021,cz,Breaking Me, Topic
25,26,64372,2021,cz,I PŘES TO VŠECHNO, Mirai
26,27,64155,2021,cz,El Camino, Yzomandias
27,28,62531,2021,cz,Therefore I Am, Billie Eilish
28,29,59472,2021,cz,ROCKSTAR (feat. Roddy Ricch), DaBa
29,30,58923,2021,cz,Paradise (feat. Dermot Kennedy), MEDUZA
30,31,58341,2021,cz,Wonder, Shawn Mendes
31,32,57889,2021,cz,Emoce Na Emoce, Ektor
32,33,57652,2021,cz,Anyone, Justin Bieber
33,34,57267,2021,cz,Snowman, Sia
34,35,56575,2021,cz,Pumpa, Ego
35,36,56398,2021,cz,positions, Ariana Grande
36,37,56269,2021,cz,Dlouhý noci, CA$HANOVA BULHAR
37,38,56070,2021,cz,Dance Monkey, Tones And I
38,39,55797,2021,cz,365247, Nik Tendo
39,40,55547,2021,cz,What You Know Bout Love, Pop Smoke
40,41,55303,2021,cz,Zrovna jí to najelo, CA$HANOVA BULHAR
41,42,54990,2021,cz,Monster (Shawn Mendes & Justin Bieber), Shawn Mendes
42,43,54113,2021,cz,Svaz ceskych bohemu, Wohnout
43,44,53847,2021,cz,Take You Dancing, Jason Derulo
44,45,53147,2021,cz,Amnezia, Yzomandias
45,46,53069,2021,cz,Bounce (feat. Yzomandias), Calin
46,47,53003,2021,cz,my ex's best friend (with blackbear), Machine Gun Kelly
47,48,52944,2021,cz,Lonely (with benny blanco), Justin Bieber
48,49,52436,2021,cz,Project Pat (feat. Yzomandias & Nik Tendo), Smack
49,50,51852,2021,cz,Sweater Weather, The Neighbourhood
50,51,51140,2021,cz,Mlha, Viktor Sheen
51,52,50487,2021,cz,Whoopty, CJ
52,53,50063,2021,cz,Before You Go, Lewis Capaldi
53,54,49972,2021,cz,Rozdíl Mezi Náma, Yzomandias
54,55,49159,2021,cz,Come & Go (with Marshmello), Juice WRLD
55,56,48569,2021,cz,Levitating (feat. DaBa,)  
56,57,47944,2021,cz,Ride It, Regard
57,58,47913,2021,cz,Loyal, Nik Tendo
58,59,47821,2021,cz,Kings & Queens, Ava Max
59,60,46573,2021,cz,Kytky z pumpy, Renne Dang
60,61,46545,2021,cz,Prisoner (feat. Dua Lipa), Miley Cyrus
61,62,46328,2021,cz,LALALA, Grey256
62,63,46224,2021,cz,Goosebumps, HVME
63,64,45797,2021,cz,Jeď Tvrdě Nebo Jeď Domu, Yzomandias
64,65,45445,2021,cz,Pisnicka (feat. Pokac), Pavel Callta
65,66,44930,2021,cz,Memories (feat. Kid Cudi), David Guetta
66,67,44489,2021,cz,Dynamite, BTS
67,68,43616,2021,cz,Zdál Se Mi O Tobě Sen, Yzomandias
68,69,43316,2021,cz,Kouř, Sergei Barracuda
69,70,43224,2021,cz,Růže, Calin
70,71,42807,2021,cz,Síla Starejch Vín, ŠKWOR
71,72,42445,2021,cz,All We Got (feat. KIDDO), Robin Schulz
72,73,42066,2021,cz,Lalalalalalalalalala, Mikolas Josef
73,74,41877,2021,cz,Astronaut In The Ocean, Masked Wolf
74,75,41720,2021,cz,In Your Eyes (feat. Alida), Robin Schulz
75,76,41276,2021,cz,willow, Taylor Swift
76,77,41010,2021,cz,Kolik, Viktor Sheen
77,78,40930,2021,cz,Zlatíčka, Kapitán Demo
78,79,40857,2021,cz,Vivienne Westwood, Smack
79,80,40532,2021,cz,Don't Start Now, Dua Lipa
80,81,40196,2021,cz,Savage Love (Laxed - Siren Beat), Jawsh 685
81,82,39896,2021,cz,Shallow, Lady Gaga
82,83,39299,2021,cz,Díky, Rest
83,84,39276,2021,cz,Poslední přání, Viktor Sheen
84,85,38990,2021,cz,Robbery, Juice WRLD
85,86,38699,2021,cz,Be Kind (with Halsey), Marshmello
86,87,38699,2021,cz,Napořád, Earth
87,88,38697,2021,cz,Bolest, Smack
88,89,38599,2021,cz,Blueberry Faygo, Lil Mosey
89,90,38564,2021,cz,Čísla (feat. Sergei Barracuda), Smack
90,91,38482,2021,cz,Godzilla (feat. Juice WRLD), Eminem
91,92,38447,2021,cz,Teď tady, Ektor
92,93,38140,2021,cz,Panama, Calin
93,94,37770,2021,cz,Wishing Well, Juice WRLD
94,95,37487,2021,cz,Lose Somebody, Kygo
95,96,37213,2021,cz,WAP (feat. Megan Thee Stallion), Cardi B
96,97,37212,2021,cz,Česká Floriida, Robin Zoot
97,98,37026,2021,cz,Midnight Sky, Miley Cyrus
98,99,37002,2021,cz,Někdy Je Míň Víc, Yzomandias
99,100,36927,2021,cz,Plakala, DIVOKEJ BILL
100,101,36826,2021,cz,34+35, Ariana Grande
101,102,36811,2021,cz,Star Shopping, Lil Peep
102,103,35811,2021,cz,HIGHEST IN THE ROOM, Travis Scott
103,104,35716,2021,cz,Train Wreck, James Arthur
104,105,35703,2021,cz,The Box, Roddy Ricch
105,106,35602,2021,cz,Lucid Dreams, Juice WRLD
106,107,35572,2021,cz,Tempo, Nik Tendo
107,108,35562,2021,cz,goosebumps, Travis Scott
108,109,35486,2021,cz,ice ba,  
109,110,35477,2021,cz,Never Let Me Down, VIZE
