,Rank,Streams,Year,Country,Title,Artist
0,1,3021918,2017,de,Shape of You, Ed Sheeran
1,2,2233757,2017,de,Castle on the Hill, Ed Sheeran
2,3,1794072,2017,de,Rocka,e (feat. Sean Paul & Anne-Marie)  
3,4,1643288,2017,de,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""", ZAYN
4,5,1576903,2017,de,Alone, Alan Walker
5,6,1405089,2017,de,Shed a Light, Robin Schulz
6,7,1375058,2017,de,Call On Me - Ryan Riback Extended Remix, Starley
7,8,1348411,2017,de,Starboy, The Weeknd
8,9,1343523,2017,de,Now and Later, Sage The Gemini
9,10,1264473,2017,de,Say You Won't Let Go, James Arthur
10,11,1240125,2017,de,Chöre, Mark Forster
11,12,1236154,2017,de,Ohne mein Team, Bonez MC
12,13,1226698,2017,de,Solo Dance, Martin Jensen
13,14,1170385,2017,de,Bad Ideas, Alle Farben
14,15,1159923,2017,de,Closer, The Chainsmokers
15,16,1137425,2017,de,No Lie, Sean Paul
16,17,1052039,2017,de,iPhone 17 (feat. Moé), KC Rebell
17,18,1050414,2017,de,Just Hold On, Steve Aoki
18,19,1042520,2017,de,An ihnen vorbei, Bonez MC
19,20,1020431,2017,de,Love Me Now, John Legend
20,21,1012359,2017,de,Lot to Learn, Luke Christopher
21,22,994376,2017,de,Let Me Love You, DJ Snake
22,23,982720,2017,de,Black Beatles, Rae Sremmurd
23,24,935596,2017,de,Mercy, Shawn Mendes
24,25,930669,2017,de,Don't Wanna Know, Maroon 5
25,26,905852,2017,de,Scars To Your Beautiful, Alessia Cara
26,27,900827,2017,de,My Way, Calvin Harris
27,28,898709,2017,de,Would I Lie to You - Radio Edit, David Guetta
28,29,895273,2017,de,Dye My Hair, ALMA
29,30,866008,2017,de,Cocoon, Milky Chance
30,31,855693,2017,de,By Your Side, Jonas Blue
31,32,832694,2017,de,Kokaina, Miami Yacine
32,33,829719,2017,de,Palmen aus Plastik, Bonez MC
33,34,825917,2017,de,Palmen aus Gold, Bonez MC
34,35,824488,2017,de,Never Give Up, Sia
35,36,823045,2017,de,Chantaje (feat. Maluma), Shakira
36,37,796191,2017,de,Human, Rag'n'Bone Man
37,38,787696,2017,de,Hear Me Now, Alok
38,39,737250,2017,de,The Mack, Nevada
39,40,729533,2017,de,10 Jahre, Gzuz
40,41,706158,2017,de,One Dance, Drake
41,42,679473,2017,de,In the Name of Love, Martin Garrix
42,43,666010,2017,de,I Feel It Coming, The Weeknd
43,44,654285,2017,de,Heathens, Twenty One Pilots
44,45,645191,2017,de,What Is Love 2016, Lost Frequencies
45,46,643535,2017,de,Safari, Maxwell
46,47,641100,2017,de,Cold Water (feat. Justin Bieber & MØ), Major Lazer
47,48,637482,2017,de,Don't Let Me Down (feat. Daya), The Chainsmokers
48,49,624774,2017,de,Sunset Lover, Petit Biscuit
49,50,597823,2017,de,Treat You Better, Shawn Mendes
50,51,586093,2017,de,Bonfire, Felix Jaehn
51,52,562833,2017,de,I Would Like, Zara Larsson
52,53,536019,2017,de,Fake Love, Drake
53,54,532593,2017,de,All Night, The Vamps
54,55,525370,2017,de,Sexual, NEIKED
55,56,510662,2017,de,Bad Things (with Camila Cabello), Machine Gun Kelly
56,57,509356,2017,de,Starving, Hailee Steinfeld
57,58,493868,2017,de,Wenn sie tanzt, Max Giesinger
58,59,482930,2017,de,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars), Vice
59,60,480573,2017,de,24K Magic, Bruno Mars
60,61,474218,2017,de,Side To Side, Ariana Grande
61,62,467168,2017,de,All We Know, The Chainsmokers
62,63,435212,2017,de,Miss You, James Hersey
63,64,431358,2017,de,Cheap Thrills, Sia
64,65,425209,2017,de,Mörder, Bonez MC
65,66,417848,2017,de,Ahnma, Beginner
66,67,409958,2017,de,Skandale, Bonez MC
67,68,395000,2017,de,The Ocean (feat. Shy Martin), Mike Perry
68,69,382741,2017,de,The Greatest, Sia
69,70,377021,2017,de,Bad and Boujee (feat. Lil Uzi Vert), Migos
70,71,375241,2017,de,Sucker for Pain (with Wiz Khalifa Imagine Dragons Logic & Ty Dolla $ign feat. X Ambassadors), Lil Wayne
71,72,368788,2017,de,Atramis, Bonez MC
72,73,367129,2017,de,Places, Martin Solveig
73,74,357984,2017,de,Water Under the Bridge, Adele
74,75,357958,2017,de,Photograph, Ed Sheeran
75,76,355309,2017,de,Love on Me, Galantis
76,77,354193,2017,de,Fresh Eyes, Andy Grammer
77,78,345095,2017,de,Nummer Eins, Stereoact
78,79,343540,2017,de,Your Soul (Holding On), RHODES
79,80,341834,2017,de,Faded, Alan Walker
80,81,340027,2017,de,Patte fließt, Azet
81,82,337481,2017,de,I Took A Pill In Ibiza - Seeb Remix, Mike Posner
82,83,335978,2017,de,Holz, 257ers
83,84,333238,2017,de,"How Far I'll Go - From ""Moana""", Alessia Cara
84,85,330682,2017,de,Final Song, MØ
85,86,328486,2017,de,The Sound of Silence, Disturbed
86,87,327324,2017,de,Panda, Desiigner
87,88,326183,2017,de,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")", Justin Timberlake
88,89,325378,2017,de,Sex ohne Grund (feat. Shindy), Ali Bumaye
89,90,325099,2017,de,Großes Kaliber, Bonez MC
90,91,321907,2017,de,Stoff und Schnaps, Lil Kleine
91,92,318125,2017,de,I Was Wrong - Robin Schulz Remix, A R I Z O N A
92,93,317892,2017,de,Alarm, Anne-Marie
93,94,317618,2017,de,Sex, Cheat Codes
94,95,309562,2017,de,The Greatest (feat. Kendrick Lamar), Sia
95,96,306458,2017,de,Don't Be So Shy - Filatov & Karas Remix, Imany
96,97,304379,2017,de,Ride, Twenty One Pilots
97,98,304104,2017,de,I Got You, Bebe Rexha
98,99,303191,2017,de,Stressed Out, Twenty One Pilots
99,100,300172,2017,de,Capsize, FRENSHIP
100,101,288454,2017,de,Irgendwas (feat. Bengio), Yvonne Catterfeld
101,102,286175,2017,de,Dancing On My Own, Calum Scott
102,103,284134,2017,de,Hey Ba,  
103,104,282838,2017,de,Work from Home (feat. Ty Dolla $ign), Fifth Harmony
104,105,280096,2017,de,Perfect Strangers, Jonas Blue
105,106,279870,2017,de,Ain't My Fault, Zara Larsson
106,107,278733,2017,de,Spielplatz, Maxwell
107,108,274941,2017,de,i hate u i love u (feat. olivia o'brien), Garrett Nash
108,109,274649,2017,de,Light It Up (feat. Nyla & Fuse ODG) - Remix, Major Lazer
109,110,271665,2017,de,Don't Leave, Snakehips
110,111,270832,2017,de,Love On The Brain, Rihanna
111,112,267239,2017,de,Broccoli (feat. Lil Yachty), Shelley FKA DRAM
112,113,262095,2017,de,Lebenslauf, Bonez MC
113,114,261881,2017,de,Dynamite (feat. Pretty Sister), Nause
114,115,260687,2017,de,I'm in Love with the Coco, Hitimpulse
115,116,260620,2017,de,Weak, AJR
116,117,259054,2017,de,Me Myself & I, G-Eazy
117,118,258949,2017,de,Let Me Hold You (Turn Me On), Dante Klein
118,119,256622,2017,de,Let's Hurt Tonight, OneRepublic
119,120,253534,2017,de,Make Me (Cry), Noah Cyrus
120,121,252455,2017,de,Musik sein, Wincent Weiss
121,122,252448,2017,de,All Time Low, Jon Bellion
122,123,249915,2017,de,We Don't Talk Anymore (feat. Selena Gomez), Charlie Puth
123,124,247035,2017,de,Meine Sprache, Gzuz
124,125,242688,2017,de,This Girl (Kungs Vs. Cookin' On 3 Burners), Kungs
125,126,242112,2017,de,Fast Car, Jonas Blue
126,127,241795,2017,de,Bianco, Yung Hurn
127,128,241445,2017,de,Inside the Lines (feat. Casso), Mike Perry
128,129,239577,2017,de,Hymn for the Weekend - Seeb Remix, Coldplay
129,130,238149,2017,de,Vanilla Sky, Hanybal
130,131,238123,2017,de,"I See Fire - From ""The Hobbit - The Desolation Of Smaug""", Ed Sheeran
131,132,237529,2017,de,Cake - Challenge Version, Flo Rida
132,133,236121,2017,de,Feel (feat. Sena Sener) - Radio Edit, Mahmut Orhan
133,134,235888,2017,de,Juju on That Beat (TZ Anthem), Zay Hilfigerrr
134,135,232136,2017,de,Love$ick (feat. A$AP Rocky), Mura Masa
135,136,231026,2017,de,Kartell (feat. Azet & Nash), Zuna
136,137,230948,2017,de,Thinking out Loud, Ed Sheeran
137,138,230515,2017,de,"Lose Yourself - From ""8 Mile"" Soundtrack", Eminem
138,139,229432,2017,de,Bungalow, Bilderbuch
139,140,228288,2017,de,No Money, Galantis
140,141,227381,2017,de,Party Monster, The Weeknd
141,142,224631,2017,de,Love Yourself, Justin Bieber
142,143,223643,2017,de,Bleib in der Schule, Trailerpark
143,144,217888,2017,de,Too Good, Drake
144,145,217363,2017,de,Sorry, Justin Bieber
145,146,217257,2017,de,Fast Life, Azet
146,147,217155,2017,de,This Is What You Came For (feat. Rihanna), Calvin Harris
147,148,214871,2017,de,Erkläre mir die Liebe, Philipp Poisel
148,149,212108,2017,de,Caroline, Aminé
149,150,211349,2017,de,Shout Out to My Ex, Little Mix
150,151,211153,2017,de,Holland, 257ers
151,152,210093,2017,de,Ain't Your Mama, Jennifer Lopez
152,153,209260,2017,de,'Till I Collapse, Eminem
153,154,208823,2017,de,Ruhe nach dem Sturm, Bonez MC
154,155,205694,2017,de,7 Years, Lukas Graham
155,156,203277,2017,de,Setting Fires, The Chainsmokers
156,157,202638,2017,de,The A Team, Ed Sheeran
157,158,202502,2017,de,Rooting For You, London Grammar
158,159,201231,2017,de,Please Tell Rosie, Alle Farben
159,160,201042,2017,de,Masafaka, Sido
160,161,200391,2017,de,Ich brauch Dich, KC Rebell
161,162,199754,2017,de,Do It Right, Martin Solveig
162,163,199520,2017,de,Trust Nobody (feat. Selena Gomez & Tory Lanez), Cashmere Cat
163,164,198768,2017,de,Wide Awake - Red Mix, Eric Saade
164,165,197320,2017,de,Nero, Kollegah
165,166,197320,2017,de,Wieder vereint, LX
166,167,195662,2017,de,Bounce Back, Big Sean
167,168,195540,2017,de,American Express (feat. Farid Bang), Kollegah
168,169,195238,2017,de,Sing Me to Sleep, Alan Walker
169,170,194662,2017,de,Love Me, Jane XØ
170,171,193444,2017,de,Attackieren, Bonez MC
171,172,192888,2017,de,Hulapalu, Andreas Gabalier
172,173,192016,2017,de,Barfuß am Klavier, AnnenMayKantereit
173,174,186864,2017,de,Heatwave (feat. Akon), Robin Schulz
174,175,186674,2017,de,Stitches, Shawn Mendes
175,176,186315,2017,de,Pizza, Antilopen Gang
176,177,185242,2017,de,Cool Girl, Tove Lo
177,178,184759,2017,de,Whispering Still (feat. Charity Children) - Little Rose Remix, SRTW
178,179,182536,2017,de,Cake By The Ocean, DNCE
179,180,182327,2017,de,Lush Life, Zara Larsson
180,181,181954,2017,de,Paper, KC Rebell
181,182,180915,2017,de,Oceans Away, A R I Z O N A
182,183,180473,2017,de,Pharao, Kollegah
183,184,179493,2017,de,Million, Eno
184,185,178679,2017,de,Without Me, Eminem
185,186,178296,2017,de,Verräter, Bonez MC
186,187,178027,2017,de,Du bist schön, Alligatoah
187,188,177952,2017,de,Die Immer Lacht - Radio 2016 Mix, Stereoact
188,189,177485,2017,de,Lighthouse - Andrelli Remix, Hearts & Colors
189,190,177373,2017,de,Kaiseraura, Kollegah
190,191,177346,2017,de,See You, Iggy
191,192,177134,2017,de,Ciao Ciao, Bonez MC
192,193,177030,2017,de,Controlla, Drake
193,194,176949,2017,de,Hakuna Matata, Maxwell
194,195,176552,2017,de,Taped Up Heart (feat. Clara Mae), KREAM
195,196,176464,2017,de,What Do You Love, Seeb
196,197,176043,2017,de,Work, Rihanna
197,198,174683,2017,de,Einer von Millionen (feat. Motrip), Kollegah
198,199,174432,2017,de,Ala'ba'ba, Capital Bra
199,200,173340,2017,de,Leer, KC Rebell
