,Rank,Streams,Year,Country,Title,Artist
0,1,749646,2022,dk,STOR MAND, Tobias Rahim
1,2,531622,2022,dk,Under Din Sne, The Minds Of 99
2,3,415266,2022,dk,Fingers Crossed, Lauren Spencer-Smith
3,4,352355,2022,dk,Sacrifice, The Weeknd
4,5,342331,2022,dk,Krop Som En Sten, The Minds Of 99
5,6,328948,2022,dk,Shivers, Ed Sheeran
6,7,323602,2022,dk,Cold Heart - PNAU Remix, Elton John
7,8,307787,2022,dk,STAY (with Justin Bieber), The Kid LAROI
8,9,306544,2022,dk,Where Are You Now, Lost Frequencies
9,10,298944,2022,dk,abcdefu, GAYLE
10,11,296102,2022,dk,Ibiza, Benny Jamz
11,12,292044,2022,dk,Easy On Me, Adele
12,13,274575,2022,dk,Budapest, George Ezra
13,14,245925,2022,dk,Heat Waves, Glass Animals
14,15,239576,2022,dk,Emil, The Minds Of 99
15,16,234974,2022,dk,Bad Habits, Ed Sheeran
16,17,232629,2022,dk,Vi Vokser, The Minds Of 99
17,18,221824,2022,dk,How Do I Make You Love Me?, The Weeknd
18,19,207864,2022,dk,En Stemme, The Minds Of 99
19,20,205133,2022,dk,Is There Someone Else?, The Weeknd
20,21,204944,2022,dk,Som Fluer, The Minds Of 99
21,22,196053,2022,dk,Er Her (Artigeardit KESI), Artigeardit
22,23,195203,2022,dk,Nothing But Love, The Minds Of 99
23,24,193871,2022,dk,1234, The Minds Of 99
24,25,193834,2022,dk,Pepas, Farruko
25,26,193817,2022,dk,Enemy (with JID) - from the series Arcane League of Legends, Imagine Dragons
26,27,189108,2022,dk,Out of Time, The Weeknd
27,28,185745,2022,dk,Do It To It, ACRAZE
28,29,185058,2022,dk,Det Vi Venter På, The Minds Of 99
29,30,184933,2022,dk,Coming for You (feat. A1 x J1), SwitchOTR
30,31,184234,2022,dk,Gasoline, The Weeknd
31,32,182757,2022,dk,GHOST TOWN, Benson Boone
32,33,177887,2022,dk,INDUSTRY BABY (feat. Jack Harlow), Lil Nas X
33,34,177451,2022,dk,Thunder, Gabry Ponte
34,35,171246,2022,dk,Ghost, Justin Bieber
35,36,171185,2022,dk,Moth To A Flame (with The Weeknd), Swedish House Mafia
36,37,171055,2022,dk,The Motto, Tiësto
37,38,170593,2022,dk,Samma gamla vanliga (feat. Branco & Kamelen) - Remix, A36
