,Rank,Streams,Year,Country,Title,Artist
0,1,294273,2022,ec,Medallo, Blessd
1,2,271824,2022,ec,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas), Tainy
2,3,264585,2022,ec,Yonaguni, Bad Bunny
3,4,238446,2022,ec,Monastery, Ryan Castro
4,5,216432,2022,ec,Mon Amour - Remix, zzoilo
5,6,211078,2022,ec,Tacones Rojos, Sebastian Yatra
6,7,197111,2022,ec,Desesperados, Rauw Alejandro
7,8,194931,2022,ec,Wasa Wasa, Ryan Castro
8,9,192844,2022,ec,Volví, Aventura
9,10,172834,2022,ec,Volando - Remix, Mora
10,11,171615,2022,ec,Sobrio, Maluma
11,12,164908,2022,ec,DÁKITI, Bad Bunny
12,13,160641,2022,ec,Se Le Ve, Dímelo Flow
13,14,156627,2022,ec,Entre Nosotros (Remix) [con Nicki Nicole], Tiago PZK
14,15,152563,2022,ec,Todo De Ti, Rauw Alejandro
15,16,141822,2022,ec,Se Va, Carlos Cortez
16,17,138200,2022,ec,A Tu Merced, Bad Bunny
17,18,137258,2022,ec,Jordan, Ryan Castro
18,19,136646,2022,ec,AM Remix, Nio Garcia
19,20,132533,2022,ec,Nostálgico, Rvssian
20,21,125153,2022,ec,Pepas, Farruko
21,22,122036,2022,ec,Enemy (with JID) - from the series Arcane League of Legends, Imagine Dragons
22,23,121817,2022,ec,Qué Más Pues?, J Balvin
23,24,118904,2022,ec,Pareja Del Año, Sebastian Yatra
24,25,118748,2022,ec,Cúrame, Rauw Alejandro
25,26,118741,2022,ec,Entre Nosotros, Tiago PZK
26,27,115740,2022,ec,Cold Heart - PNAU Remix, Elton John
27,28,115635,2022,ec,Miénteme, TINI
28,29,115069,2022,ec,LA CANCIÓN, J Balvin
29,30,111934,2022,ec,Salimo de Noche, Tiago PZK
30,31,107733,2022,ec,Ley Seca, Jhay Cortez
31,32,106949,2022,ec,Tiroteo - Remix, Marc Seguí
32,33,106147,2022,ec,Si Veo a Tu Mamá, Bad Bunny
33,34,106024,2022,ec,Hasta la Raíz, Natalia Lafourcade
34,35,104169,2022,ec,SEJODIOTO, KAROL G
35,36,103322,2022,ec,12x3, DEKKO
36,37,103120,2022,ec,Tiago PZK: Bzrp Music Sessions Vol. 48, Bizarrap
37,38,102760,2022,ec,23 (With Ape Drums), Randy
38,39,99678,2022,ec,Problemón, Alvaro Diaz
39,40,99344,2022,ec,LA NOCHE DE ANOCHE, Bad Bunny
40,41,97431,2022,ec,120, Bad Bunny
41,42,97428,2022,ec,DANCE CRIP, Trueno
42,43,97166,2022,ec,La Santa, Bad Bunny
43,44,96073,2022,ec,Una Nota, J Balvin
44,45,95426,2022,ec,La Curiosidad, Jay Wheeler
45,46,92969,2022,ec,Ella - Remix, Boza
46,47,91529,2022,ec,Si Estuviésemos Juntos, Bad Bunny
47,48,90915,2022,ec,TE MUDASTE, Bad Bunny
48,49,89569,2022,ec,911 - Remix, Sech
49,50,88038,2022,ec,Fuentes de Ortiz, Ed Maverick
50,51,87682,2022,ec,512, Mora
51,52,83760,2022,ec,Índigo, Camilo
52,53,81456,2022,ec,Súbelo, Anuel AA
53,54,80404,2022,ec,2/Catorce, Rauw Alejandro
54,55,78914,2022,ec,Poblado - Remix, J Balvin
55,56,78858,2022,ec,STAY (with Justin Bieber), The Kid LAROI
56,57,77795,2022,ec,Vete, Bad Bunny
57,58,73724,2022,ec,París, Ingratax
58,59,72920,2022,ec,Hawái, Maluma
59,60,72841,2022,ec,VACAXIONES, Feid
60,61,72619,2022,ec,Toxic, BoyWithUke
61,62,72117,2022,ec,Una Vez, Bad Bunny
62,63,72057,2022,ec,FEEL ME??, Trueno
63,64,71846,2022,ec,Borracho, Sech
64,65,71062,2022,ec,Colorín Colorado, Justin Quiles
65,66,70823,2022,ec,No Me Conoce - Remix, Jhay Cortez
66,67,70060,2022,ec,Virgen, Adolescent's Orquesta
67,68,69875,2022,ec,Tal Vez, Paulo Londra
68,69,68727,2022,ec,My Universe, Coldplay
69,70,68579,2022,ec,HACIENDO QUE ME AMAS, Bad Bunny
70,71,68372,2022,ec,FRIKI, Feid
71,72,68292,2022,ec,Bang Bang, K'NAAN
72,73,67890,2022,ec,TE DESEO LO MEJOR, Bad Bunny
73,74,67344,2022,ec,Don't Be Shy, Tiësto
74,75,66661,2022,ec,UN PESO, J Balvin
75,76,66342,2022,ec,Amor Pasajero, Sebastian Yatra
76,77,65579,2022,ec,Diles, Bad Bunny
77,78,65502,2022,ec,Easy On Me, Adele
78,79,64490,2022,ec,Botella Tras Botella, Gera MX
79,80,64328,2022,ec,CÓMO SE SIENTE - Remix, Jhay Cortez
80,81,64125,2022,ec,SI TÚ SUPIERAS - Bonus Track, Feid
81,82,63096,2022,ec,INDUSTRY BABY (feat. Jack Harlow), Lil Nas X
82,83,62983,2022,ec,Saturno, Pablo Alborán
83,84,62829,2022,ec,Callaita, Bad Bunny
84,85,62301,2022,ec,Vámonos a Marte, Kevin Kaarl
85,86,61261,2022,ec,EL MAKINON, KAROL G
86,87,61182,2022,ec,Emojis de Corazones (feat. Los Legendarios), Wisin
87,88,61064,2022,ec,Sacrifice, The Weeknd
88,89,60922,2022,ec,ANTES QUE SE ACABE, Bad Bunny
89,90,60597,2022,ec,traitor, Olivia Rodrigo
90,91,60488,2022,ec,Pa' Que Retozen, Tego Calderon
91,92,60417,2022,ec,La Botella, Justin Quiles
92,93,60373,2022,ec,Me Rehúso, Danny Ocean
93,94,60095,2022,ec,Bar, TINI
94,95,60005,2022,ec,Persia - Remix, Jossef
95,96,59697,2022,ec,Colapso, Kevin Kaarl
96,97,59345,2022,ec,Loco, Justin Quiles
97,98,57715,2022,ec,Fiel, Los Legendarios
