,Rank,Streams,Year,Country,Title,Artist
0,1,55726,2017,ee,Shape of You, Ed Sheeran
1,2,36606,2017,ee,Castle on the Hill, Ed Sheeran
2,3,19461,2017,ee,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""", ZAYN
3,4,17629,2017,ee,Starboy, The Weeknd
4,5,15328,2017,ee,Rocka,e (feat. Sean Paul & Anne-Marie)  
5,6,14490,2017,ee,I Feel It Coming, The Weeknd
6,7,14077,2017,ee,Tuesday, Burak Yeter
7,8,13282,2017,ee,Alone, Alan Walker
8,9,13205,2017,ee,Call On Me - Ryan Riback Extended Remix, Starley
9,10,12920,2017,ee,Say You Won't Let Go, James Arthur
10,11,12331,2017,ee,Closer, The Chainsmokers
11,12,11437,2017,ee,Bad Things (with Camila Cabello), Machine Gun Kelly
12,13,11383,2017,ee,Black Beatles, Rae Sremmurd
13,14,10649,2017,ee,Don't Wanna Know, Maroon 5
14,15,10507,2017,ee,Just Hold On, Steve Aoki
15,16,9821,2017,ee,Let Me Love You, DJ Snake
16,17,9745,2017,ee,All We Know, The Chainsmokers
17,18,9716,2017,ee,Shed a Light, Robin Schulz
18,19,9411,2017,ee,Hear Me Now, Alok
19,20,9232,2017,ee,Now and Later, Sage The Gemini
20,21,9121,2017,ee,Fake Love, Drake
21,22,8518,2017,ee,Rooftop, NOËP
22,23,8403,2017,ee,In the Name of Love, Martin Garrix
23,24,8048,2017,ee,All Night, The Vamps
24,25,7868,2017,ee,Human, Rag'n'Bone Man
25,26,7855,2017,ee,Sunset Lover, Petit Biscuit
26,27,7790,2017,ee,Starving, Hailee Steinfeld
27,28,7693,2017,ee,"How Far I'll Go - From ""Moana""", Alessia Cara
28,29,7432,2017,ee,Lähedal, Karl-Erik Taukar
29,30,7385,2017,ee,Heathens, Twenty One Pilots
30,31,7364,2017,ee,Mercy, Shawn Mendes
31,32,7305,2017,ee,Photograph, Ed Sheeran
32,33,7221,2017,ee,One Dance, Drake
33,34,7168,2017,ee,Cold Water (feat. Justin Bieber & MØ), Major Lazer
34,35,6839,2017,ee,24K Magic, Bruno Mars
35,36,6819,2017,ee,All Time Low, Jon Bellion
36,37,6743,2017,ee,By Your Side, Jonas Blue
37,38,6704,2017,ee,Love Me Now, John Legend
38,39,6624,2017,ee,My Way, Calvin Harris
39,40,6502,2017,ee,Scars To Your Beautiful, Alessia Cara
40,41,6229,2017,ee,Solo Dance, Martin Jensen
41,42,6173,2017,ee,I Got You, Bebe Rexha
42,43,6159,2017,ee,Köievedu, Reket
43,44,6018,2017,ee,Weak, AJR
44,45,6017,2017,ee,Don't Let Me Down (feat. Daya), The Chainsmokers
45,46,5987,2017,ee,Bad and Boujee (feat. Lil Uzi Vert), Migos
46,47,5982,2017,ee,I Would Like, Zara Larsson
47,48,5891,2017,ee,Side To Side, Ariana Grande
48,49,5740,2017,ee,Steady 1234 (feat. Jasmine Thompson & Skizzy Mars), Vice
49,50,5637,2017,ee,Treat You Better, Shawn Mendes
50,51,5600,2017,ee,Lot to Learn, Luke Christopher
51,52,5544,2017,ee,The Mack, Nevada
52,53,5524,2017,ee,The Ocean (feat. Shy Martin), Mike Perry
53,54,5346,2017,ee,Would I Lie to You - Radio Edit, David Guetta
54,55,5338,2017,ee,Thinking out Loud, Ed Sheeran
55,56,5311,2017,ee,Cheap Thrills, Sia
56,57,5205,2017,ee,Run Run Run, Junge Junge
57,58,5184,2017,ee,Not Going Home (feat. Gia Koka), DVBBS
58,59,5179,2017,ee,Make Me (Cry), Noah Cyrus
59,60,5143,2017,ee,Chantaje (feat. Maluma), Shakira
60,61,5094,2017,ee,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")", Justin Timberlake
61,62,5082,2017,ee,Lighthouse - Andrelli Remix, Hearts & Colors
62,63,4910,2017,ee,Dynamite (feat. Pretty Sister), Nause
63,64,4877,2017,ee,Faded, Alan Walker
64,65,4823,2017,ee,I Took A Pill In Ibiza - Seeb Remix, Mike Posner
65,66,4806,2017,ee,Don't Leave, Snakehips
66,67,4761,2017,ee,Light, San Holo
67,68,4742,2017,ee,Trust Nobody (feat. Selena Gomez & Tory Lanez), Cashmere Cat
68,69,4672,2017,ee,Stressed Out, Twenty One Pilots
69,70,4641,2017,ee,Some Kind Of Drug (feat. Marc E. Bassy), G-Eazy
70,71,4641,2017,ee,We Don't Talk Anymore (feat. Selena Gomez), Charlie Puth
71,72,4628,2017,ee,The Greatest (feat. Kendrick Lamar), Sia
72,73,4564,2017,ee,Party Monster, The Weeknd
73,74,4563,2017,ee,Setting Fires, The Chainsmokers
74,75,4542,2017,ee,The A Team, Ed Sheeran
75,76,4530,2017,ee,Fast Car, Jonas Blue
76,77,4499,2017,ee,Perfect Strangers, Jonas Blue
77,78,4430,2017,ee,This Town, Niall Horan
78,79,4321,2017,ee,Believer, Major Lazer
79,80,4228,2017,ee,"I See Fire - From ""The Hobbit - The Desolation Of Smaug""", Ed Sheeran
80,81,4221,2017,ee,Sexual, NEIKED
81,82,4203,2017,ee,Ride, Twenty One Pilots
82,83,4163,2017,ee,Sex, Cheat Codes
83,84,4140,2017,ee,It's Gotta Be You, Isaiah Firebrace
84,85,4137,2017,ee,Water Under the Bridge, Adele
85,86,4095,2017,ee,Panda, Desiigner
86,87,4064,2017,ee,Salaja, Karl-Erik Taukar
87,88,4051,2017,ee,Hymn for the Weekend - Seeb Remix, Coldplay
88,89,4037,2017,ee,Capsize, FRENSHIP
89,90,4037,2017,ee,Light It Up (feat. Nyla & Fuse ODG) - Remix, Major Lazer
90,91,3999,2017,ee,Tenerife Sea, Ed Sheeran
91,92,3951,2017,ee,Taped Up Heart (feat. Clara Mae), KREAM
92,93,3923,2017,ee,Miss You, James Hersey
93,94,3858,2017,ee,Final Song, MØ
94,95,3792,2017,ee,Don't, Ed Sheeran
95,96,3728,2017,ee,Oh Lord, MiC LOWRY
96,97,3691,2017,ee,Me Myself & I, G-Eazy
97,98,3632,2017,ee,Sucker for Pain (with Wiz Khalifa Imagine Dragons Logic & Ty Dolla $ign feat. X Ambassadors), Lil Wayne
98,99,3610,2017,ee,Broccoli (feat. Lil Yachty), Shelley FKA DRAM
99,100,3511,2017,ee,This Is What You Came For (feat. Rihanna), Calvin Harris
100,101,3508,2017,ee,Dancing On My Own, Calum Scott
101,102,3497,2017,ee,Wake Up Where You Are, State of Sound
102,103,3490,2017,ee,Somebody Else, VÉRITÉ
103,104,3458,2017,ee,Never Be Like You, Flume
104,105,3456,2017,ee,Sing Me to Sleep, Alan Walker
105,106,3447,2017,ee,Let Me Hold You (Turn Me On), Dante Klein
106,107,3442,2017,ee,This Girl (Kungs Vs. Cookin' On 3 Burners), Kungs
107,108,3429,2017,ee,Move, NOËP
108,109,3416,2017,ee,Give Me Love, Ed Sheeran
109,110,3397,2017,ee,Lean On (feat. MØ & DJ Snake), Major Lazer
110,111,3393,2017,ee,Bounce Back, Big Sean
111,112,3367,2017,ee,September Song, JP Cooper
112,113,3361,2017,ee,Cake - Challenge Version, Flo Rida
113,114,3347,2017,ee,Don't Be So Shy - Filatov & Karas Remix, Imany
114,115,3312,2017,ee,Work from Home (feat. Ty Dolla $ign), Fifth Harmony
115,116,3295,2017,ee,History, Olivia Holt
116,117,3259,2017,ee,Too Good, Drake
117,118,3228,2017,ee,Sugar (feat. Francesco Yates), Robin Schulz
118,119,3208,2017,ee,i hate u i love u (feat. olivia o'brien), Garrett Nash
119,120,3185,2017,ee,Deja Vu, J. Cole
120,121,3177,2017,ee,Inside the Lines (feat. Casso), Mike Perry
121,122,3116,2017,ee,The Other, Lauv
122,123,3115,2017,ee,Oceans Away, A R I Z O N A
123,124,3114,2017,ee,Move Your Body - Alan Walker Remix, Sia
124,125,3064,2017,ee,7 Years, Lukas Graham
125,126,3061,2017,ee,Ei, Karl-Erik Taukar
126,127,3058,2017,ee,Lay It All on Me (feat. Ed Sheeran), Rudimental
127,128,3050,2017,ee,Let It Go, James Bay
128,129,3039,2017,ee,Redbone, Childish Gambino
129,130,3032,2017,ee,Love Yourself, Justin Bieber
130,131,3029,2017,ee,Ain't My Fault, Zara Larsson
131,132,3027,2017,ee,Into You, Ariana Grande
132,133,3024,2017,ee,Sidewalks, The Weeknd
133,134,2957,2017,ee,Lordly (feat. Alex Aiono), Feder
134,135,2935,2017,ee,No Lie, Sean Paul
135,136,2927,2017,ee,Caroline, Aminé
136,137,2886,2017,ee,Needed Me, Rihanna
137,138,2881,2017,ee,Californication, Syn Cole
138,139,2867,2017,ee,Tähti Täis On Öö, Karl-Erik Taukar
139,140,2859,2017,ee,Kodutee, Karl-Erik Taukar
140,141,2858,2017,ee,Bonfire, Felix Jaehn
141,142,2853,2017,ee,Roses (feat. ROZES), The Chainsmokers
142,143,2849,2017,ee,Take Me To Church, Hozier
143,144,2845,2017,ee,Send My Love (To Your New Lover), Adele
144,145,2831,2017,ee,Gold, Kiiara
145,146,2824,2017,ee,Are You Sure? (feat. Ty Dolla $ign), Kris Kross Amsterdam
146,147,2813,2017,ee,Love$ick (feat. A$AP Rocky), Mura Masa
147,148,2810,2017,ee,Kiss Me, Ed Sheeran
148,149,2808,2017,ee,Romantic - NOTD Remix, Stanaj
149,150,2794,2017,ee,Thinking About It (Let It Go) - KVR Remix, Nathan Goshen
150,151,2784,2017,ee,Lost on You, LP
151,152,2767,2017,ee,Californication - VIP Mix, Syn Cole
152,153,2705,2017,ee,Please Don't Go, Joel Adams
153,154,2688,2017,ee,Ära mine närvi, Metsakutsu
154,155,2677,2017,ee,Lush Life, Zara Larsson
155,156,2641,2017,ee,Cool Girl, Tove Lo
156,157,2636,2017,ee,Love on Me, Galantis
157,158,2615,2017,ee,Rockin’, The Weeknd
158,159,2612,2017,ee,The Hills, The Weeknd
159,160,2595,2017,ee,Secrets, The Weeknd
160,161,2562,2017,ee,Hommik, Reket
161,162,2561,2017,ee,Say It (feat. Tove Lo), Flume
162,163,2542,2017,ee,I'm a Mess, Ed Sheeran
163,164,2516,2017,ee,You & Me, Marc E. Bassy
164,165,2503,2017,ee,Say Something Loving, The xx
165,166,2485,2017,ee,Six Feet Under, The Weeknd
166,167,2480,2017,ee,Dancing On My Own - Tiësto Remix, Calum Scott
167,168,2431,2017,ee,Cake By The Ocean, DNCE
168,169,2428,2017,ee,Ära Ole Kurb, AZMA
169,170,2426,2017,ee,Stay (feat. Maty Noyes), Kygo
170,171,2411,2017,ee,11:11, Reket
171,172,2405,2017,ee,Middle, DJ Snake
172,173,2402,2017,ee,Seitse Pühapäeva, Karl-Erik Taukar
173,174,2391,2017,ee,One, Ed Sheeran
174,175,2387,2017,ee,Do I Wanna Know?, Arctic Monkeys
175,176,2369,2017,ee,Shangri-La, Karl-Erik Taukar
176,177,2362,2017,ee,Purple Lamborghini (with Rick Ross), Skrillex
177,178,2353,2017,ee,Pumped Up Kicks, Foster The People
178,179,2338,2017,ee,What Do You Love, Seeb
179,180,2325,2017,ee,Sorry, Justin Bieber
180,181,2316,2017,ee,Hello, Adele
181,182,2312,2017,ee,Let Her Go, Passenger
182,183,2298,2017,ee,False Alarm, The Weeknd
183,184,2289,2017,ee,Riptide, Vance Joy
184,185,2274,2017,ee,Segased lood, Karl-Erik Taukar
185,186,2271,2017,ee,Mäng, Karl-Erik Taukar
186,187,2271,2017,ee,Work, Rihanna
187,188,2270,2017,ee,Sing, Ed Sheeran
188,189,2240,2017,ee,Beast, Tungevaag
