,Rank,Streams,Year,Country,Title,Artist
0,1,17392,2019,eg,Mafia, Mohamed Ramadan
1,2,9025,2019,eg,Without Me, Halsey
2,3,8732,2019,eg,Mabatsh Akhaf, Ahmed Kamel
3,4,8299,2019,eg,Wow., Post Malone
4,5,7064,2019,eg,Sunflower - Spider-Man: Into the Spider-Verse, Post Malone
5,6,6068,2019,eg,rockstar (feat. 21 Savage), Post Malone
6,7,5733,2019,eg,Waga'a El Hawa, Mahmoud El Esseily
7,8,5435,2019,eg,Taki Taki (with Selena Gomez Ozuna & Cardi B), DJ Snake
8,9,5313,2019,eg,SAD!, XXXTENTACION
9,10,5249,2019,eg,thank u next, Ariana Grande
10,11,4857,2019,eg,Arms Around You (feat. Maluma & Swae Lee), XXXTENTACION
11,12,4766,2019,eg,Bayen Habeit, Marshmello
12,13,4698,2019,eg,SICKO MODE, Travis Scott
13,14,4437,2019,eg,Happier, Marshmello
14,15,4292,2019,eg,Believer, Imagine Dragons
15,16,4248,2019,eg,lovely, Billie Eilish
16,17,4232,2019,eg,Moonlight, XXXTENTACION
17,18,3955,2019,eg,Going Bad (feat. Drake), Meek Mill
18,19,3938,2019,eg,Venom - Music From The Motion Picture, Eminem
19,20,3934,2019,eg,Close To Me (with Diplo) (feat. Swae Lee), Ellie Goulding
20,21,3911,2019,eg,Helm Seneen, Tamer Hosny
21,22,3894,2019,eg,Bad Liar, Imagine Dragons
22,23,3846,2019,eg,when the party's over, Billie Eilish
23,24,3781,2019,eg,Rab El Kon Mayezna Bmeeza, Hamo Bika
24,25,3753,2019,eg,حبه جنة, Sherine
25,26,3680,2019,eg,Sweet but Psycho, Ava Max
26,27,3672,2019,eg,7elm B3eed, Mahmoud El Esseily
27,28,3670,2019,eg,ZEZE (feat. Travis Scott & Offset), Kodak Black
28,29,3641,2019,eg,Glow (Radio Edit), Luc
29,30,3618,2019,eg,High Hopes, Panic! At The Disco
30,31,3615,2019,eg,FRIENDS, Marshmello
31,32,3584,2019,eg,Natural, Imagine Dragons
32,33,3574,2019,eg,Eastside (with Halsey & Khalid), benny blanco
33,34,3571,2019,eg,Kan Fe Tefl, Ahmed Kamel
34,35,3502,2019,eg,Girls Like You (feat. Cardi B) - Cardi B Version, Maroon 5
35,36,3499,2019,eg,"Fire On Fire - From ""Watership Down""", Sam Smith
36,37,3429,2019,eg,Thunder, Imagine Dragons
