,Rank,Streams,Year,Country,Title,Artist
0,1,3044892,2021,es,DÁKITI, Bad Bunny
1,2,2597167,2021,es,Bandido, Myke Towers
2,3,2396780,2021,es,LA NOCHE DE ANOCHE, Bad Bunny
3,4,2383660,2021,es,Tú Me Dejaste De Querer, C. Tangana
4,5,2090778,2021,es,BICHOTA, KAROL G
5,6,2064464,2021,es,Hecha Pa' Mi, Boza
6,7,1863139,2021,es,La Nota, Manuel Turizo
7,8,1552084,2021,es,Chica Ideal, Sebastian Yatra
8,9,1525632,2021,es,Nathy Peluso: Bzrp Music Sessions Vol. 36, Bizarrap
9,10,1515052,2021,es,BEBÉ, Camilo
10,11,1477204,2021,es,Vida de Rico, Camilo
11,12,1417508,2021,es,A Un Paso De La Luna, Ana Mena
12,13,1358568,2021,es,Polvo, Nicky Jam
13,14,1252702,2021,es,Reloj, Rauw Alejandro
14,15,1211655,2021,es,Blin Blin, Bad Gyal
15,16,1158026,2021,es,Mi Niña, Wisin
16,17,1148964,2021,es,La Luz, Sech
17,18,1101759,2021,es,Hawái, Maluma
18,19,1059748,2021,es,Problemas, Paris Boy
19,20,1049285,2021,es,Despeinada, Ozuna
20,21,1043978,2021,es,Motorola, Morad
21,22,1011930,2021,es,Relación - Remix, Sech
22,23,1004106,2021,es,Yo No Sé, Rvfv
23,24,996727,2021,es,Del Mar, Ozuna
24,25,980585,2021,es,Una Locura, Ozuna
25,26,956320,2021,es,Bonita, Jeeiph
26,27,927100,2021,es,TE MUDASTE, Bad Bunny
27,28,898513,2021,es,Tussi, Arcangel
28,29,895615,2021,es,Tattoo - Remix with Camilo, Rauw Alejandro
29,30,885187,2021,es,Qué Le Voy a Hacer, Skechi
30,31,879008,2021,es,De Cora <3, Rauw Alejandro
31,32,877161,2021,es,Demasiadas Mujeres, C. Tangana
32,33,860695,2021,es,Vete Pal Carajo, Yan Block
33,34,858255,2021,es,La Curiosidad (feat. Dj Nelson Jhay Cortez Lunay & Kendo Kaponi) - Blue Grand Prix Remix, Jay Wheeler
34,35,832047,2021,es,Yo No Voy, Morad
35,36,812025,2021,es,Entre tú y yo, Chema Rivas
36,37,811113,2021,es,La Tirita, Belén Aguilera
37,38,808922,2021,es,La Tóxica, Farruko
38,39,802594,2021,es,11 RAZONES, Aitana
39,40,791428,2021,es,Fake Capo (Remix), Karetta el Gucci
40,41,754097,2021,es,Como Estrellas, LA YOUNG
41,42,727136,2021,es,Tusa, KAROL G
42,43,714168,2021,es,La Curiosidad, Jay Wheeler
43,44,708729,2021,es,YO VISTO ASÍ, Bad Bunny
44,45,699223,2021,es,Blinding Lights, The Weeknd
45,46,692276,2021,es,No Te Enamores - Remix, Milly
46,47,666741,2021,es,Se Te Nota (with Guaynaa), Lele Pons
47,48,662751,2021,es,Favorito, Camilo
48,49,645171,2021,es,Parce (feat. Justin Quiles), Maluma
49,50,632980,2021,es,CORAZÓN SIN VIDA, Aitana
50,51,622047,2021,es,Enchule, Rauw Alejandro
51,52,582468,2021,es,Caramelo, Ozuna
52,53,568178,2021,es,Batmóvil - Remix, Hens
53,54,564792,2021,es,Tu Foto Del DNI, Marmi
54,55,563500,2021,es,Se iluminaba, Fred De Palma
55,56,545129,2021,es,Mood (feat. iann dior), 24kGoldn
56,57,544007,2021,es,UN DIA (ONE DAY) (Feat. Tainy), J Balvin
57,58,525763,2021,es,BOOKER T, Bad Bunny
58,59,512644,2021,es,34 Amor y Mafia, JC Reyes
59,60,508188,2021,es,CUANDO TE FUISTE, Aitana
60,61,490218,2021,es,El Mismo Aire - con Pablo Alborán, Camilo
61,62,480281,2021,es,+ (MÁS), Aitana
62,63,480035,2021,es,Ponte Pa' Mi, Justin Quiles
63,64,475061,2021,es,Ay DiOs Mío!, KAROL G
64,65,471987,2021,es,Mamichula - con Nicki Nicole, Trueno
65,66,469936,2021,es,Ayer Me Llamó Mi Ex – Remix, KHEA
66,67,469349,2021,es,Jeans, Justin Quiles
67,68,461762,2021,es,La Jeepeta - Remix, Nio Garcia
68,69,461217,2021,es,cómo te va?, Lola Indigo
69,70,460016,2021,es,Ayer Me Llamó Mi Ex (feat. Lenny Santos), KHEA
70,71,436704,2021,es,Más De Lo Que Aposté, Aitana
71,72,434506,2021,es,Snowman, Sia
72,73,427841,2021,es,Lonely (with benny blanco), Justin Bieber
73,74,423977,2021,es,Si Tú La Quieres, David Bisbal
74,75,420540,2021,es,Mami, Ptazeta
75,76,418743,2021,es,El Farsante, Ozuna
76,77,413161,2021,es,Watermelon Sugar, Harry Styles
77,78,401527,2021,es,Normal que se lo crea (feat. Keen Levy), Daviles de Novelda
78,79,400428,2021,es,Don Don, Daddy Yankee
79,80,400031,2021,es,Only Fans - Remix, Young Martino
80,81,398723,2021,es,Carita de Inocente (feat. Myke Towers) - Remix, Prince Royce
81,82,394163,2021,es,Nunca Estoy, C. Tangana
82,83,391535,2021,es,Jerusalema (feat. Nomcebo Zikode), Master KG
83,84,387446,2021,es,4 besos, Lola Indigo
84,85,384627,2021,es,Eso Que Tú Me Das, Jarabe De Palo
85,86,382027,2021,es,Flamenkito, Lérica
86,87,379971,2021,es,Dance Monkey, Tones And I
87,88,379274,2021,es,Juramento eterno de sal, Álvaro De Luna
88,89,375804,2021,es,Fernando Alonso, El Jhota
89,90,374525,2021,es,HACIENDO QUE ME AMAS, Bad Bunny
90,91,374396,2021,es,Travesuras, Flow La Movie
91,92,373519,2021,es,Safaera, Bad Bunny
92,93,372398,2021,es,"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie", Tainy
93,94,371817,2021,es,positions, Ariana Grande
94,95,366306,2021,es,Explícito, Myke Towers
95,96,365533,2021,es,Hasta Que Dios Diga, Anuel AA
96,97,365389,2021,es,Entre Sobras Y Sobras Me Faltas, Antonio Orozco
97,98,365331,2021,es,Djadja (feat. Maluma) - Remix, Aya Nakamura
98,99,363835,2021,es,Sueño (con Pablo Alborán), Beret
99,100,360503,2021,es,Mil Tequilas, Chema Rivas
100,101,357269,2021,es,Normal, Morad
101,102,354846,2021,es,Santería, Lola Indigo
102,103,351593,2021,es,Una Foto en Blanco y Negro, David Otero
103,104,342272,2021,es,Si Me Dices Que Sí, Reik
104,105,341864,2021,es,CÓMO SE SIENTE - Remix, Jhay Cortez
105,106,336848,2021,es,Dynamite, BTS
106,107,333260,2021,es,34+35, Ariana Grande
107,108,332292,2021,es,Anyone, Justin Bieber
108,109,331457,2021,es,Quédate conmigo, Pole.
109,110,330782,2021,es,Mi Regalo Mas Bonito, La Ross Maria
110,111,317655,2021,es,Head & Heart (feat. MNEK), Joel Corry
111,112,317016,2021,es,Mi Cuarto, Jerry Di
112,113,316955,2021,es,Yo Tengo Un Ángel, Rels B
113,114,313498,2021,es,Don't Start Now, Dua Lipa
114,115,312199,2021,es,El Manual, Anuel AA
115,116,311421,2021,es,Me Olvidé De Los 2, Rels B
116,117,306679,2021,es,China, Anuel AA
117,118,305921,2021,es,PAM, Justin Quiles
118,119,301497,2021,es,Quiéreme Mientras Se Pueda, Manuel Turizo
119,120,300852,2021,es,Veneno, Delaossa
120,121,300521,2021,es,Mi Religión, Nil Moliner
121,122,297829,2021,es,Alocao (With Bad Gyal), Omar Montes
122,123,296159,2021,es,Amigos, Galvan Real
123,124,294775,2021,es,Duros Blandos y Flojos, Morad
124,125,294497,2021,es,Hasta Abajo, Kevin Roldan
125,126,294061,2021,es,Relación, Sech
126,127,293133,2021,es,El Hipo, Danny Romero
127,128,292578,2021,es,LA DROGA, Bad Bunny
128,129,291179,2021,es,Más De La Una, Piso 21
129,130,290927,2021,es,Prisoner (feat. Dua Lipa), Miley Cyrus
130,131,290368,2021,es,Cuando Éramos Dos, Sinsinati
131,132,283795,2021,es,Before You Go, Lewis Capaldi
132,133,283036,2021,es,– (MENOS), Aitana
133,134,280985,2021,es,Nada, Cali Y El Dandee
134,135,279894,2021,es,Bailemos, Dani Fernández
135,136,277456,2021,es,Lemonade (feat. Gunna Don Toliver & NAV), Internet Money
136,137,274924,2021,es,GIRL LIKE ME, Black Eyed Peas
137,138,272570,2021,es,Breaking Me, Topic
138,139,271508,2021,es,Soldadito marinero, Fito y Fitipaldis
139,140,270468,2021,es,Qué Bonito Es Querer, Manuel Carrasco
140,141,270220,2021,es,Locura, Cali Y El Dandee
141,142,269420,2021,es,Lean (feat. Towy Osquel Beltito & Sammy & Falsetto), Super Yei
142,143,269398,2021,es,Bob,  
143,144,268791,2021,es,Monster (Shawn Mendes & Justin Bieber), Shawn Mendes
144,145,265928,2021,es,Si Me Tomo Una Cerveza, Migrantes
145,146,265402,2021,es,120, Bad Bunny
146,147,264341,2021,es,Soy Una Gargola, Rauw Alejandro
147,148,263745,2021,es,Extasy, Myke Towers
148,149,263716,2021,es,Lo Real, Hard GZ
149,150,263596,2021,es,Roses - Imanbek Remix, SAINt JHN
150,151,263556,2021,es,Diosa, Myke Towers
151,152,263549,2021,es,Si por mi fuera, Beret
152,153,262479,2021,es,Levitating (feat. DaBa,)  
153,154,262301,2021,es,Yo Perreo Sola, Bad Bunny
154,155,260136,2021,es,Therefore I Am, Billie Eilish
155,156,260123,2021,es,Desnudarte, Brytiago
156,157,259146,2021,es,Soy de Volar, Dvicio
157,158,256659,2021,es,K y B, Beny Jr
158,159,256621,2021,es,HOY COBRÉ, Bad Bunny
159,160,256544,2021,es,El Fin del Mundo, La La Love You
160,161,253040,2021,es,High (Remix), Maria Becerra
161,162,252892,2021,es,Prendio (Remix), Rvfv
162,163,252401,2021,es,Trendy, Rvfv
163,164,251645,2021,es,En Tu Cuerpo - Remix, Lyanno
164,165,251456,2021,es,Someone You Loved, Lewis Capaldi
165,166,251284,2021,es,Savage Love (Laxed - Siren Beat), Jawsh 685
166,167,251090,2021,es,Amarillo, J Balvin
167,168,250479,2021,es,Break My Heart, Dua Lipa
168,169,250243,2021,es,Morado, J Balvin
169,170,249113,2021,es,Whoopty, CJ
170,171,248871,2021,es,Physical, Dua Lipa
171,172,248057,2021,es,Pa toda la vida (feat. Mozart La Para), Don Patricio
172,173,247180,2021,es,Cicatrices, Natos y Waor
173,174,246582,2021,es,ADMV, Maluma
174,175,243402,2021,es,Indios y Vaqueros, Sinsinati
175,176,243216,2021,es,Rojo, J Balvin
176,177,242358,2021,es,Singapur (Remix), El Alfa
177,178,242285,2021,es,Afterglow, Ed Sheeran
178,179,240325,2021,es,Princesas, Pereza
179,180,240111,2021,es,Si hubieras querido, Pablo Alborán
180,181,239490,2021,es,Por Primera Vez, Camilo
181,182,238097,2021,es,She Don't Give a Fo, Duki
182,183,234999,2021,es,No Me Conoce - Remix, Jhay Cortez
183,184,233098,2021,es,Un Beso en Madrid, TINI
184,185,229355,2021,es,Antes de Morirme (feat. ROSALÍA), C. Tangana
185,186,229353,2021,es,Victoria, Lunay
186,187,228880,2021,es,Madrid (feat. Myke Towers), Maluma
187,188,227846,2021,es,ESTUPIDEZ, Aitana
188,189,225718,2021,es,Como Si Fueras a Morir Mañana, Leiva
189,190,225491,2021,es,ROCKSTAR (feat. Roddy Ricch), DaBa
190,191,225223,2021,es,Heather, Conan Gray
191,192,225147,2021,es,SORRY PAPI, Bad Bunny
192,193,224388,2021,es,DOSIS, Dvicio
193,194,224029,2021,es,Perreo Pesau', Rauw Alejandro
194,195,224025,2021,es,Shallow, Lady Gaga
195,196,223128,2021,es,El Encuentro, Alizzz
196,197,223005,2021,es,La Difícil, Bad Bunny
197,198,222678,2021,es,Bajo La Mesa, Morat
198,199,221218,2021,es,All I Want for Christmas Is You, Mariah Carey
199,200,220684,2021,es,Ñeri, Trueno
