,Rank,Streams,Year,Country,Title,Artist
0,1,330855,2021,fi,Treenaa, Antti Tuisku
1,2,241026,2021,fi,WITHOUT YOU, The Kid LAROI
2,3,219438,2021,fi,Frida, BEHM
3,4,207385,2021,fi,Penelope (feat. Clever), william
4,5,176263,2021,fi,Jenny (I Wanna Ruin Our Friendship), Studio Killers
5,6,173308,2021,fi,Universum, nublu
6,7,171111,2021,fi,HOLIDAY, Lil Nas X
7,8,159010,2021,fi,Anyone, Justin Bieber
8,9,155966,2021,fi,Mood (feat. iann dior), 24kGoldn
9,10,150473,2021,fi,Hei rakas, BEHM
10,11,149828,2021,fi,Veli mä vannon, Gettomasa
11,12,148206,2021,fi,Whoopty, CJ
12,13,147022,2021,fi,Blinding Lights, The Weeknd
13,14,142891,2021,fi,Ehjää, Uniikki
14,15,139849,2021,fi,Therefore I Am, Billie Eilish
15,16,133933,2021,fi,Lady Domina, Haloo Helsinki!
16,17,130317,2021,fi,Dinosauruksii, Ellinoora
17,18,127707,2021,fi,Lemonade (feat. Gunna Don Toliver & NAV), Internet Money
18,19,125727,2021,fi,Afterglow, Ed Sheeran
19,20,119359,2021,fi,100, Kube
20,21,116867,2021,fi,Pyyntö - Vain elämää kausi 11, Jannika B
21,22,116857,2021,fi,you broke me first, Tate McRae
22,23,115058,2021,fi,Goosebumps, HVME
23,24,114182,2021,fi,The Business, Tiësto
24,25,112305,2021,fi,molemmat, ibe
25,26,111326,2021,fi,Syntisten pöytä, Erika Vikman
26,27,110440,2021,fi,positions, Ariana Grande
27,28,109844,2021,fi,Lonely (with benny blanco), Justin Bieber
28,29,109753,2021,fi,Prisoner (feat. Dua Lipa), Miley Cyrus
29,30,106231,2021,fi,Lupaan, BEHM
30,31,101937,2021,fi,Päästä varpaisiin, BEHM
31,32,101292,2021,fi,What You Know Bout Love, Pop Smoke
32,33,101086,2021,fi,Tässäkö tää oli? (feat. Leavings-Orkesteri), Arttu Wiskari
33,34,100887,2021,fi,Tivolit, BEHM
34,35,100656,2021,fi,SO DONE, The Kid LAROI
35,36,99405,2021,fi,Epäkohtelias (feat. Axel Kala & Gettomasa), Pyrythekid
36,37,99121,2021,fi,Levitating (feat. DaBa,)  
37,38,99106,2021,fi,Pojat (feat. Yeboyah), Pihlaja
38,39,98815,2021,fi,Head Shoulders Knees & Toes (feat. Norma Jean Martine), Ofenbach
39,40,98024,2021,fi,Kopiokissa, william
40,41,95708,2021,fi,WAP (feat. Megan Thee Stallion), Cardi B
41,42,93497,2021,fi,Paradise (feat. Dermot Kennedy), MEDUZA
42,43,89556,2021,fi,Epäröimättä hetkeekään, Elastinen
43,44,86938,2021,fi,Are You Dead Yet?, Children Of Bodom
44,45,86688,2021,fi,ROCKSTAR (feat. Roddy Ricch), DaBa
45,46,84965,2021,fi,34+35, Ariana Grande
46,47,83826,2021,fi,Ikuinen vappu, JVG
47,48,80694,2021,fi,Moni meist, Axel Kala
48,49,73440,2021,fi,My Head & My Heart, Ava Max
49,50,72417,2021,fi,Dance Monkey, Tones And I
50,51,72284,2021,fi,Kaikki kerrat kun me tavattiin, Nelma U
51,52,70917,2021,fi,Lääke, VIIVI
52,53,69715,2021,fi,Kuningaskobra (Vain elämää kausi 11), STIG
53,54,69681,2021,fi,Take You Dancing, Jason Derulo
54,55,68484,2021,fi,Monster (Shawn Mendes & Justin Bieber), Shawn Mendes
55,56,68432,2021,fi,Silmät, Gettomasa
56,57,67955,2021,fi,Roses - Imanbek Remix, SAINt JHN
57,58,67665,2021,fi,Head & Heart (feat. MNEK), Joel Corry
58,59,66804,2021,fi,Sweater Weather, The Neighbourhood
59,60,65661,2021,fi,Japanese Drip, Kube
60,61,65162,2021,fi,For The Night (feat. Lil Ba, & DaBa
61,62,64002,2021,fi,Someone You Loved, Lewis Capaldi
62,63,62948,2021,fi,16v, Cavallini & Shrty
63,64,62274,2021,fi,Oli aikoi, Mikael Gabriel
64,65,62075,2021,fi,Snowman, Sia
65,66,61878,2021,fi,Needled 24 / 7, Children Of Bodom
66,67,61418,2021,fi,willow, Taylor Swift
67,68,60791,2021,fi,Yhtenä sunnuntaina, Erin
68,69,60749,2021,fi,2020, Anna Puu
