,Rank,Streams,Year,Country,Title,Artist
0,1,2758404,2022,fr,Jefe, Ninho
1,2,2082463,2022,fr,VVS, Ninho
2,3,1909738,2022,fr,L’enfer, Stromae
3,4,1801865,2022,fr,Anunnaki, Vald
4,5,1618039,2022,fr,Jour meilleur, Orelsan
5,6,1446341,2022,fr,abcdefu, GAYLE
6,7,1445625,2022,fr,Best life, Naps
7,8,1390117,2022,fr,Fixette - Bonus, Ziak
8,9,1342020,2022,fr,Démons, Angèle
9,10,1323813,2022,fr,Shivers, Ed Sheeran
10,11,1312995,2022,fr,Vérité, Ninho
11,12,1262680,2022,fr,TDB, OBOY
12,13,1221720,2022,fr,Pepas, Farruko
13,14,1167605,2022,fr,Cold Heart - PNAU Remix, Elton John
14,15,1129034,2022,fr,Le classico organisé, Le classico organisé
15,16,1122384,2022,fr,STAY (with Justin Bieber), The Kid LAROI
16,17,1103818,2022,fr,Enemy (with JID) - from the series Arcane League of Legends, Imagine Dragons
17,18,1083440,2022,fr,Where Are You Now, Lost Frequencies
18,19,1075110,2022,fr,Gasolina (feat. Ninho), Hornet La Frappe
19,20,1065429,2022,fr,Aïcha, Ninho
20,21,1062488,2022,fr,La kiffance, Naps
21,22,1042344,2022,fr,Time Time (feat. Squeezie Myd & KronoMuzik), Trei Degete
22,23,1000375,2022,fr,INDUSTRY BABY (feat. Jack Harlow), Lil Nas X
23,24,985403,2022,fr,Bruxelles je t’aime, Angèle
24,25,980142,2022,fr,love nwantiti (ah ah ah), CKay
25,26,941229,2022,fr,MAUVAIS 2X (feat. Ninho), Gazo
26,27,929072,2022,fr,La Quête, Orelsan
27,28,927865,2022,fr,Sacrifice, The Weeknd
28,29,906844,2022,fr,Cœur de pirate, Le classico organisé
29,30,899584,2022,fr,Sky Priority, Ninho
30,31,889603,2022,fr,Heat Waves, Glass Animals
31,32,887842,2022,fr,Arme de poing, Ninho
32,33,876235,2022,fr,Attentat, PLK
33,34,865589,2022,fr,CANADA, 1PLIKÉ140
34,35,859563,2022,fr,Tu le sais, Kalash
35,36,855850,2022,fr,Doudou, Koba LaD
36,37,852570,2022,fr,Easy On Me, Adele
37,38,852551,2022,fr,Wrecked, Imagine Dragons
38,39,848617,2022,fr,Woman, Doja Cat
39,40,841898,2022,fr,Thunder, Gabry Ponte
40,41,837431,2022,fr,L'odeur de l'essence, Orelsan
41,42,829467,2022,fr,Santé, Stromae
42,43,820595,2022,fr,Do It To It, ACRAZE
43,44,799185,2022,fr,Daddy chocolat, Koba LaD
44,45,776606,2022,fr,Pic et pic alcool et drame, Jul
45,46,754938,2022,fr,THATS WHAT I WANT, Lil Nas X
46,47,752335,2022,fr,D O D O, Tayc
47,48,744755,2022,fr,Moth To A Flame (with The Weeknd), Swedish House Mafia
48,49,743235,2022,fr,La miss, Jul
49,50,740437,2022,fr,Outro, Ninho
50,51,739114,2022,fr,Raspoutine, Ziak
51,52,722484,2022,fr,Akimbo, Ziak
52,53,719134,2022,fr,Because You Move Me, Tinlicker
53,54,717811,2022,fr,N.I, Niska
54,55,711550,2022,fr,Bad Habits, Ed Sheeran
55,56,710969,2022,fr,Acapulco, Jason Derulo
56,57,704255,2022,fr,OG, Ninho
57,58,693622,2022,fr,No Life, Ninho
58,59,692403,2022,fr,Intro, Ninho
59,60,679051,2022,fr,Love & Lové, Kim
60,61,677463,2022,fr,Hurricane, Ofenbach
61,62,671829,2022,fr,My Universe, Coldplay
62,63,671564,2022,fr,LA FAMA (with The Weeknd), ROSALÍA
63,64,664205,2022,fr,Du propre, Orelsan
64,65,645601,2022,fr,Out of Time, The Weeknd
65,66,638489,2022,fr,How Do I Make You Love Me?, The Weeknd
66,67,630532,2022,fr,La maison que je voulais, Ninho
67,68,619541,2022,fr,Mapessa (feat. Tiakola), Leto
68,69,614959,2022,fr,Dans le Réseau, Djadja & Dinaz
69,70,614945,2022,fr,Gasoline, The Weeknd
70,71,612069,2022,fr,Bande organisée, 13 Organisé
71,72,610292,2022,fr,Vengeance !, menace Santana
72,73,593750,2022,fr,PRENDS MA MAIN, GIMS
73,74,579363,2022,fr,Is There Someone Else?, The Weeknd
74,75,572147,2022,fr,Mood, Ninho
75,76,565811,2022,fr,Cabeza, OBOY
76,77,560225,2022,fr,1+1 (feat. Amir) - Banx & Ranx Remix, Sia
77,78,558946,2022,fr,La vie qu'on mène, Ninho
78,79,548579,2022,fr,Petrouchka (feat. PLK), Soso Maness
79,80,545171,2022,fr,Athéna, Ninho
80,81,537514,2022,fr,Avec Toi, OBOY
81,82,535082,2022,fr,Loi de la calle, Le classico organisé
82,83,535009,2022,fr,Take My Breath, The Weeknd
83,84,532151,2022,fr,Good,e  
84,85,530631,2022,fr,Le cœur des filles, A2h
85,86,520718,2022,fr,SG (with Ozuna Megan Thee Stallion & LISA of BLACKPINK), DJ Snake
86,87,506329,2022,fr,Less Than Zero, The Weeknd
87,88,506185,2022,fr,Ça canarde, Bolémvn
88,89,503676,2022,fr,Fais un voeu !, menace Santana
89,90,498989,2022,fr,TO THE MOON, Jnr Choi
90,91,497682,2022,fr,Galerie, Ziak
91,92,496908,2022,fr,Little Bit of Love, Tom Grennan
92,93,496681,2022,fr,Dawn FM, The Weeknd
93,94,495872,2022,fr,Elle veut, Sasso
94,95,495065,2022,fr,Best Friends, The Weeknd
95,96,494686,2022,fr,Dans mes bras, Kendji Girac
96,97,491859,2022,fr,Here We Go… Again (feat. Tyler the Creator), The Weeknd
97,98,489244,2022,fr,YSL, Ninho
98,99,483280,2022,fr,MAUVAIS PAYEUR, La Fève
99,100,479478,2022,fr,Tu dois des sous, Kaaris
100,101,478543,2022,fr,Infinity, Jaymes Young
101,102,473613,2022,fr,HAINE&SEX, Gazo
102,103,473600,2022,fr,Blinding Lights, The Weeknd
103,104,472298,2022,fr,Mapess, Niska
104,105,470896,2022,fr,SPECIAL (feat. Nekfeu & Fousheé), Laylow
105,106,467283,2022,fr,La street, Jul
106,107,462151,2022,fr,RER D, Ninho
107,108,454747,2022,fr,A la base, PLK
108,109,452214,2022,fr,MONTERO (Call Me By Your Name), Lil Nas X
109,110,446799,2022,fr,The Motto, Tiësto
110,111,445468,2022,fr,Mon poto - Extrait de la BO de « En Passant Pécho », Kore
111,112,438197,2022,fr,Starry Eyes, The Weeknd
112,113,435209,2022,fr,Θ. Macarena, Damso
113,114,433859,2022,fr,Shonen, Orelsan
114,115,429883,2022,fr,Trucs de choses, Gradur
115,116,428741,2022,fr,La clé, Tiakola
116,117,426722,2022,fr,Nos plus belles années, Grand Corps Malade
117,118,424088,2022,fr,Casseurs Flowters Infinity, Orelsan
118,119,421198,2022,fr,Eté 90, Therapie TAXI
119,120,419374,2022,fr,Never Going Home, Kungs
120,121,415071,2022,fr,I Heard You’re Married (feat. Lil Wayne), The Weeknd
121,122,412433,2022,fr,Trop beau, Lomepal
122,123,409214,2022,fr,Take My Breath - Single Version, The Weeknd
123,124,407679,2022,fr,Respire encore, Clara Luciani
124,125,403103,2022,fr,Σ. MOROSE, Damso
125,126,402996,2022,fr,A Tale By Quincy, The Weeknd
126,127,402966,2022,fr,Du mal à te dire, Dinos
127,128,401211,2022,fr,Rider toute la night, Laeti
128,129,398320,2022,fr,Fever, Dua Lipa
129,130,396840,2022,fr,Panorama, Jazzy Bazz
130,131,394370,2022,fr,La danse des bandits, Naps
131,132,393456,2022,fr,Boosk'Halloween, menace Santana
132,133,390669,2022,fr,Dry Bones, Gregory Porter
133,134,389936,2022,fr,L'apprentie sorcière !, menace Santana
134,135,389315,2022,fr,Seul avec du monde autour, Orelsan
135,136,388687,2022,fr,La Seleçao, Alonzo
136,137,385124,2022,fr,Onizuka, PNL
137,138,384759,2022,fr,Seuls, Djadja & Dinaz
138,139,383239,2022,fr,Shonen, Ziak
139,140,383161,2022,fr,Don’t Break My Heart, The Weeknd
140,141,383080,2022,fr,Mardi gras, Maes
141,142,382173,2022,fr,Ma Casio, Jul
142,143,378584,2022,fr,Skiboy, menace Santana
143,144,375005,2022,fr,Lipstick, Kungs
144,145,374549,2022,fr,Love de moi, Jul
145,146,373007,2022,fr,OMBRE, 1PLIKÉ140
146,147,369501,2022,fr,Save Your Tears, The Weeknd
147,148,368013,2022,fr,44, Niska
148,149,365192,2022,fr,Mon soleil, Dadju
149,150,365145,2022,fr,P A S C O M M E Ç A, Tayc
150,151,363452,2022,fr,Peru, Fireboy DML
151,152,360669,2022,fr,Dopamine (feat. Eyelar), Purple Disco Machine
152,153,360201,2022,fr,FUM22 NOCIVE, Green Montana
153,154,360125,2022,fr,Message In A Bottle - Colorblast Version, Colorblast
154,155,359134,2022,fr,Manège, Djadja & Dinaz
155,156,358538,2022,fr,It'll Be Okay, Shawn Mendes
156,157,355824,2022,fr,Mona Lisa, Booba
157,158,355785,2022,fr,Rétine, Amir
158,159,354533,2022,fr,Le Dernier Jour du Disco, Juliette Armanet
159,160,351048,2022,fr,Ba, girl (feat. Leto)  
160,161,350950,2022,fr,Deux frères, PNL
161,162,347630,2022,fr,Hasta la vista, PNL
162,163,345271,2022,fr,Dynamite, Sean Paul
163,164,343579,2022,fr,PERSO, 1PLIKÉ140
164,165,341791,2022,fr,Every Angel is Terrifying, The Weeknd
