,Rank,Streams,Year,Country,Title,Artist
0,1,9283703,2017,gb,Shape of You, Ed Sheeran
1,2,7698380,2017,gb,Castle on the Hill, Ed Sheeran
2,3,2448758,2017,gb,Rocka,e (feat. Sean Paul & Anne-Marie)  
3,4,2306972,2017,gb,Touch, Little Mix
4,5,2153797,2017,gb,I Would Like, Zara Larsson
5,6,1893757,2017,gb,Say You Won't Let Go, James Arthur
6,7,1846867,2017,gb,Just Hold On, Steve Aoki
7,8,1823865,2017,gb,Human, Rag'n'Bone Man
8,9,1800313,2017,gb,Starboy, The Weeknd
9,10,1707456,2017,gb,Call On Me - Ryan Riback Extended Remix, Starley
10,11,1656601,2017,gb,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""", ZAYN
11,12,1647790,2017,gb,Sexual, NEIKED
12,13,1628530,2017,gb,You Don't Know Me - Radio Edit, Jax Jones
13,14,1572412,2017,gb,Don't Wanna Know, Maroon 5
14,15,1558010,2017,gb,I Feel It Coming, The Weeknd
15,16,1486857,2017,gb,All Night, The Vamps
16,17,1390076,2017,gb,Fake Love, Drake
17,18,1363814,2017,gb,By Your Side, Jonas Blue
18,19,1354009,2017,gb,The Mack, Nevada
19,20,1349895,2017,gb,Closer, The Chainsmokers
20,21,1340054,2017,gb,24K Magic, Bruno Mars
21,22,1318063,2017,gb,Black Beatles, Rae Sremmurd
22,23,1301328,2017,gb,September Song, JP Cooper
23,24,1192408,2017,gb,Shout Out to My Ex, Little Mix
24,25,1145360,2017,gb,Water Under the Bridge, Adele
25,26,1131660,2017,gb,You Want Me (feat. Sadie Ama), Tom Zanetti
26,27,1121169,2017,gb,One Dance, Drake
27,28,1100698,2017,gb,Now and Later, Sage The Gemini
28,29,1077688,2017,gb,Love Me Now, John Legend
29,30,1045701,2017,gb,Photograph, Ed Sheeran
30,31,1037930,2017,gb,Side To Side, Ariana Grande
31,32,1027892,2017,gb,Shed a Light, Robin Schulz
32,33,1020025,2017,gb,Bad Things (with Camila Cabello), Machine Gun Kelly
33,34,1006298,2017,gb,Starving, Hailee Steinfeld
34,35,959142,2017,gb,After the Afterparty (feat. Lil Yachty), Charli XCX
35,36,942796,2017,gb,Love on Me, Galantis
