,Rank,Streams,Year,Country,Title,Artist
0,1,89921,2020,gr,BIG MAN, SNIK
1,2,87829,2020,gr,Dance Monkey, Tones And I
2,3,76427,2020,gr,Oxi Simera, LEX
3,4,75299,2020,gr,Falling, Trevor Daniel
4,5,71702,2020,gr,HIGHEST IN THE ROOM, Travis Scott
5,6,64119,2020,gr,Ayy Macarena, Tyga
6,7,62799,2020,gr,Senorita, SNIK
7,8,62613,2020,gr,The Box, Roddy Ricch
8,9,60363,2020,gr,Guccci, Mad Clip
9,10,60257,2020,gr,everything i wanted, Billie Eilish
10,11,58190,2020,gr,Yummy, Justin Bieber
11,12,54995,2020,gr,ROXANNE, Arizona Zervas
12,13,53964,2020,gr,Blinding Lights, The Weeknd
13,14,52337,2020,gr,Don't Start Now, Dua Lipa
14,15,52069,2020,gr,Caliente, Mente Fuerte
15,16,51996,2020,gr,Colpo Grosso, SNIK
16,17,47773,2020,gr,Stars, TOQUEL
17,18,47727,2020,gr,My Oh My (feat. DaBa,)  
18,19,46390,2020,gr,Business, TOQUEL
19,20,45808,2020,gr,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Ba,) - REMIX  
20,21,43992,2020,gr,Lalala, Y2K
21,22,43506,2020,gr,Hustla, Mad Clip
22,23,42180,2020,gr,bad guy, Billie Eilish
23,24,41069,2020,gr,BOP, DaBa
24,25,40969,2020,gr,Netflix, TOQUEL
25,26,40941,2020,gr,Sandra, TOQUEL
26,27,40630,2020,gr,Heartless, The Weeknd
27,28,39915,2020,gr,Deja Vu, Hawk
28,29,38385,2020,gr,Montecristo, Mad Clip
29,30,37582,2020,gr,Señorita, Shawn Mendes
30,31,36703,2020,gr,Kilo, SNIK
31,32,36634,2020,gr,Cyan, Saske
32,33,35598,2020,gr,Ekali, Billy Sio
33,34,35222,2020,gr,Mosca, Light
34,35,34769,2020,gr,Circles, Post Malone
35,36,34083,2020,gr,Tipota Ston Kosmo, LEX
36,37,33560,2020,gr,Someone You Loved, Lewis Capaldi
37,38,33259,2020,gr,Adore You, Harry Styles
38,39,31616,2020,gr,Memories, Maroon 5
39,40,31533,2020,gr,Mama?, Sin Boy
40,41,31259,2020,gr,No Idea, Don Toliver
41,42,30036,2020,gr,Watermelon Sugar, Harry Styles
42,43,29574,2020,gr,De Me Theloun, Fy
43,44,29348,2020,gr,Medusa, SNIK
44,45,29255,2020,gr,Lose You To Love Me, Selena Gomez
45,46,28751,2020,gr,MVP Freestyle, Light
46,47,28618,2020,gr,Bandit (with YoungBoy Never Broke Again), Juice WRLD
47,48,28255,2020,gr,Ride It, Regard
48,49,27869,2020,gr,Roses - Imanbek Remix, SAINt JHN
49,50,27602,2020,gr,RITMO (Bad Boys For Life), Black Eyed Peas
50,51,27547,2020,gr,GANG GANG, JACKBOYS
51,52,27282,2020,gr,Sientelo, Sin Boy
52,53,27184,2020,gr,Motto, MG
53,54,26437,2020,gr,OUT WEST (feat. Young Thug), JACKBOYS
54,55,26021,2020,gr,Ta Leme Meta, TOQUEL
55,56,25861,2020,gr,Futsal Shuffle 2020, Lil Uzi Vert
56,57,25221,2020,gr,Lose Control, MEDUZA
57,58,24210,2020,gr,7 rings, Ariana Grande
58,59,23740,2020,gr,Ksero Mana, Saske
59,60,23654,2020,gr,Lucid Dreams, Juice WRLD
60,61,23613,2020,gr,Ransom, Lil Tecca
61,62,23483,2020,gr,Angelina, Sin Boy
62,63,22980,2020,gr,#31#, Sin Boy
63,64,22959,2020,gr,lovely (with Khalid), Billie Eilish
64,65,22564,2020,gr,hot girl bummer, blackbear
65,66,22317,2020,gr,GATTI, JACKBOYS
66,67,22235,2020,gr,I Don't Care (with Justin Bieber), Ed Sheeran
67,68,22112,2020,gr,How Do You Sleep?, Sam Smith
68,69,22071,2020,gr,Vgazei Story, Sele
69,70,22047,2020,gr,Niotho Entona, Logos Timis
70,71,21910,2020,gr,Old Town Road - Remix, Lil Nas X
71,72,21827,2020,gr,Before You Go, Lewis Capaldi
72,73,21821,2020,gr,SICKO MODE, Travis Scott
73,74,21722,2020,gr,GANGSTA, SNIK
74,75,21432,2020,gr,Money In The Grave (Drake ft. Rick Ross), Drake
75,76,21317,2020,gr,Vittorio, LEX
76,77,21030,2020,gr,777, TOQUEL
77,78,20978,2020,gr,Mavro Range, Mente Fuerte
78,79,20948,2020,gr,Hot (Remix) [feat. Gunna and Travis Scott], Young Thug
79,80,20935,2020,gr,VIBEZ, DaBa
80,81,20740,2020,gr,South of the Border (feat. Camila Cabello & Cardi B), Ed Sheeran
81,82,20551,2020,gr,Drugs N Roses, Pepe Frantik
82,83,20416,2020,gr,Cuba Libre, Mente Fuerte
83,84,20295,2020,gr,Kolasi, TOQUEL
84,85,20223,2020,gr,WHAT TO DO? (feat. Don Toliver), JACKBOYS
85,86,20219,2020,gr,when the party's over, Billie Eilish
86,87,19938,2020,gr,Trampoline (with ZAYN), SHAED
87,88,19884,2020,gr,Pantha - Remix, Dappy
88,89,19758,2020,gr,Beautiful People (feat. Khalid), Ed Sheeran
89,90,19644,2020,gr,Americana, Sin Boy
90,91,19475,2020,gr,Gigi, Rina
91,92,19387,2020,gr,Megistanas, Mad Clip
92,93,19183,2020,gr,Primo, Light
93,94,19021,2020,gr,MONO XASIS, iLLEOo
94,95,18110,2020,gr,In Greece We Trap, Moose
95,96,17763,2020,gr,goosebumps, Travis Scott
96,97,17622,2020,gr,Ju Ju, Sin Boy
97,98,17555,2020,gr,Monos Mou, SNIK
98,99,17474,2020,gr,Ballin' (with Roddy Ricch), Mustard
99,100,17441,2020,gr,Falling, Harry Styles
100,101,17360,2020,gr,Look At Her Now, Selena Gomez
101,102,16927,2020,gr,Comsi Comsa, Sin Boy
102,103,16828,2020,gr,Sportex, Mente Fuerte
103,104,16717,2020,gr,Mousiki Gia Tsoglanous, LEX
104,105,16536,2020,gr,Loco Contigo (feat. J. Balvin & Tyga), DJ Snake
105,106,16338,2020,gr,No IQ, Fy
106,107,16326,2020,gr,Keef, iLLEOo
107,108,16321,2020,gr,Say So, Doja Cat
108,109,16237,2020,gr,Kathimerina, Nikos Oikonomopoulos
109,110,16198,2020,gr,LOBY, iLLEOo
110,111,15968,2020,gr,bury a friend, Billie Eilish
111,112,15941,2020,gr,Liar, Camila Cabello
112,113,15879,2020,gr,Ciao Bella, Sin Boy
113,114,15827,2020,gr,Den Exo Sima, Josephine
114,115,15733,2020,gr,BLOCK, iLLEOo
115,116,15591,2020,gr,Oikogeneia, Logos Timis
116,117,15459,2020,gr,rockstar (feat. 21 Savage), Post Malone
117,118,15397,2020,gr,Yellow Hearts, Ant Saunders
118,119,15379,2020,gr,The London (feat. J. Cole & Travis Scott), Young Thug
119,120,15363,2020,gr,Wow., Post Malone
120,121,15353,2020,gr,Xorepse Mazi Mou, Saske
121,122,15284,2020,gr,Sunflower - Spider-Man: Into the Spider-Verse, Post Malone
122,123,15250,2020,gr,KONTRA / LOUMIDIS, iLLEOo
123,124,15117,2020,gr,Don't Call Me Up, Mabel
124,125,15079,2020,gr,Suicidal, YNW Melly
125,126,15079,2020,gr,Dianikterevo, Giorgos Mazonakis
126,127,15053,2020,gr,Boss Moves, Saske
127,128,15025,2020,gr,Valto Terma, Nikos Oikonomopoulos
128,129,14943,2020,gr,Piece Of Your Heart, MEDUZA
129,130,14839,2020,gr,Alaxe Ta Ola, Giorgos Sabanis
130,131,14716,2020,gr,Own It (feat. Ed Sheeran & Burna Boy), Stormzy
131,132,14633,2020,gr,Had Enough (feat. Quavo & Offset), Don Toliver
132,133,14632,2020,gr,Good as Hell (feat. Ariana Grande) - Remix, Lizzo
133,134,14605,2020,gr,GANGO, SNIK
134,135,14599,2020,gr,Without Me, Halsey
135,136,14451,2020,gr,all the good girls go to hell, Billie Eilish
136,137,14394,2020,gr,Graveyard, Halsey
137,138,14254,2020,gr,ATH, SNIK
138,139,14253,2020,gr,Ena Lepto, Christos Mastoras
139,140,14212,2020,gr,Izy, MG
140,141,14167,2020,gr,If the World Was Ending (feat. Julia Michaels), JP Saxe
141,142,14133,2020,gr,Woah, Lil Ba
142,143,14078,2020,gr,Peripoliko, VLOSPA
143,144,13992,2020,gr,Suge, DaBa
144,145,13875,2020,gr,Polikatoikies, LEX
145,146,13821,2020,gr,Shallow, Lady Gaga
146,147,13727,2020,gr,Up All Night, Khalid
147,148,13687,2020,gr,Kinitro, Mad Clip
148,149,13662,2020,gr,Morena, Mente Fuerte
149,150,13657,2020,gr,Death, Trippie Redd
150,151,13630,2020,gr,SAD!, XXXTENTACION
151,152,13625,2020,gr,Karolina, TOQUEL
152,153,13591,2020,gr,Lights Up, Harry Styles
153,154,13542,2020,gr,Rap Tou 90, Logos Timis
154,155,13534,2020,gr,Tetancion, Sin Boy
155,156,13434,2020,gr,CHEATCODE, GODSQUAD
156,157,13242,2020,gr,M' Ena Sou Vlema, Giorgos Sabanis
157,158,13237,2020,gr,Tusa, KAROL G
158,159,13181,2020,gr,FENDI, iLLEOo
159,160,13158,2020,gr,Sweet but Psycho, Ava Max
160,161,13154,2020,gr,Celebrity, Fy
161,162,13112,2020,gr,Taste (feat. Offset), Tyga
162,163,13111,2020,gr,Going Bad (feat. Drake), Meek Mill
163,164,13103,2020,gr,Sucker, Jonas Brothers
164,165,13100,2020,gr,Dealer, Mad Clip
165,166,13081,2020,gr,OJ, Light
166,167,13059,2020,gr,Poios Eimai, Light
167,168,13043,2020,gr,BUTTERFLY EFFECT, Travis Scott
168,169,13017,2020,gr,Nice To Meet Ya, Niall Horan
169,170,12938,2020,gr,Bye Bye, EPITHE
170,171,12928,2020,gr,Alone Pt. II, Alan Walker
171,172,12867,2020,gr,Πέτα Τα, Light
172,173,12817,2020,gr,MIDDLE CHILD, J. Cole
173,174,12769,2020,gr,Let Me Down Slowly, Alec Benjamin
174,175,12729,2020,gr,SUGAR, BROCKHAMPTON
175,176,12615,2020,gr,Good,es (Feat. Young Thug)  
176,177,12536,2020,gr,Lora, Mente Fuerte
177,178,12523,2020,gr,Moonlight, XXXTENTACION
178,179,12467,2020,gr,wish you were gay, Billie Eilish
